Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,32.330002,32.43,31.52,31.57,37800,31.339107
2015-12-30,32.540001,32.689999,32.189999,32.32,23100,32.083622
2015-12-29,31.940001,32.849998,31.83,32.689999,24300,32.450915
2015-12-28,32.119999,32.380001,31.530001,31.790001,29000,31.557499
2015-12-24,32.669998,32.669998,31.83,32.34,31100,32.103476
2015-12-23,32.57,32.849998,32.259998,32.77,25700,32.530332
2015-12-22,32.130001,32.880001,31.870001,32.68,52800,32.44099
2015-12-21,32.669998,32.700001,31.530001,32.330002,56700,32.093551
2015-12-18,32.220001,32.75,31.51,32.330002,132700,32.093551
2015-12-17,31.98,32.939999,31.629999,32.34,40400,32.103476
2015-12-16,31.059999,32.259998,31.01,32.110001,65500,31.875159
2015-12-15,30.049999,31.040001,29.26,30.940001,60000,30.713716
2015-12-14,30.65,31.00,29.620001,29.91,47300,29.691248
2015-12-11,31.450001,31.75,30.870001,30.879999,54700,30.495325
2015-12-10,31.10,32.369999,30.98,32.07,57200,31.670501
2015-12-09,30.83,31.200001,30.799999,30.950001,55600,30.564454
2015-12-08,30.709999,31.15,30.42,30.799999,23700,30.416321
2015-12-07,31.110001,31.25,30.65,30.870001,68600,30.485451
2015-12-04,31.610001,32.389999,30.40,31.219999,73800,30.83109
2015-12-03,30.48,32.68,30.309999,31.639999,227700,31.245858
2015-12-02,30.17,30.24,29.90,30.049999,71400,29.675664
2015-12-01,30.299999,30.299999,29.639999,30.10,47900,29.725042
2015-11-30,30.34,30.34,29.93,29.969999,75400,29.596661
2015-11-27,29.879999,30.40,29.75,30.16,45800,29.784295
2015-11-25,29.76,30.16,29.00,29.98,69500,29.606537
2015-11-24,29.57,29.98,29.379999,29.870001,20100,29.497908
2015-11-23,29.870001,30.00,29.43,29.85,38500,29.478157
2015-11-20,29.98,30.66,29.889999,29.99,36000,29.616412
2015-11-19,30.00,30.10,29.58,29.799999,26900,29.428778
2015-11-18,29.41,30.110001,29.41,30.07,32000,29.695416
2015-11-17,30.18,30.33,29.33,29.40,23200,29.033762
2015-11-16,29.65,30.10,29.27,30.00,28400,29.626288
2015-11-13,29.549999,30.09,29.200001,29.959999,24900,29.586785
2015-11-12,30.450001,30.450001,29.700001,29.76,22900,29.389278
2015-11-11,30.559999,31.25,30.299999,30.67,60200,30.287942
2015-11-10,30.00,30.42,29.950001,30.40,19700,30.021305
2015-11-09,30.549999,30.809999,29.860001,30.25,23700,29.873174
2015-11-06,30.24,30.459999,29.91,30.18,26800,29.804046
2015-11-05,30.40,30.40,29.77,30.110001,20400,29.734918
2015-11-04,30.07,30.08,29.84,30.00,28200,29.626288
2015-11-03,30.58,30.92,29.889999,29.93,47300,29.55716
2015-11-02,29.389999,30.879999,29.389999,30.73,37900,30.347194
2015-10-30,29.700001,29.700001,28.799999,29.360001,35700,28.994261
2015-10-29,30.43,30.620001,29.540001,29.719999,25600,29.349775
2015-10-28,29.07,30.77,29.030001,30.74,46000,30.357069
2015-10-27,28.940001,29.25,28.74,28.959999,39800,28.599242
2015-10-26,29.76,30.209999,28.83,28.99,20700,28.628869
2015-10-23,30.15,30.34,29.709999,30.040001,48500,29.66579
2015-10-22,28.85,30.00,28.85,30.00,16800,29.626288
2015-10-21,29.84,30.17,29.32,29.40,52200,29.033762
2015-10-20,29.469999,29.940001,29.40,29.73,17400,29.359651
2015-10-19,29.25,29.50,29.219999,29.379999,22700,29.01401
2015-10-16,29.74,29.790001,29.120001,29.389999,20400,29.023886
2015-10-15,28.42,29.67,28.25,29.65,29300,29.280647
2015-10-14,28.26,28.48,27.90,28.33,26500,27.977091
2015-10-13,28.35,28.68,28.00,28.08,23300,27.730205
2015-10-12,27.75,28.65,27.559999,28.57,28400,28.214101
2015-10-09,27.620001,27.870001,27.57,27.809999,14000,27.463568
2015-10-08,27.17,27.549999,27.15,27.540001,21500,27.196933
2015-10-07,27.360001,28.209999,27.18,27.27,32100,26.930296
2015-10-06,27.40,27.52,27.26,27.440001,24400,27.098178
