Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,41.200001,41.540001,40.93,40.939999,855600,40.556912
2015-12-30,41.599998,41.759998,41.279999,41.380001,694800,40.992797
2015-12-29,41.560001,41.790001,41.369999,41.57,861500,41.181018
2015-12-28,40.98,41.32,40.779999,41.32,921500,40.933357
2015-12-24,41.060001,41.299999,40.779999,41.150002,388900,40.76495
2015-12-23,40.650002,41.02,40.279999,41.02,1324800,40.636165
2015-12-22,40.41,40.529999,39.799999,40.509998,1524600,40.130935
2015-12-21,40.27,40.490002,39.43,40.310001,2321100,39.93281
2015-12-18,41.23,41.380001,40.07,40.080002,4068200,39.704962
2015-12-17,42.470001,42.689999,41.049999,41.259998,2512400,40.873917
2015-12-16,43.599998,43.599998,42.049999,42.529999,2552300,42.132034
2015-12-15,43.110001,43.720001,43.110001,43.560001,962200,43.152399
2015-12-14,43.450001,43.84,42.450001,42.790001,1650500,42.389603
2015-12-11,42.950001,43.709999,42.900002,43.41,1455500,43.003801
2015-12-10,43.169998,43.580002,42.889999,43.450001,1290700,43.043427
2015-12-09,43.099998,43.630001,42.939999,43.200001,1187300,42.795767
2015-12-08,43.68,43.77,43.240002,43.330002,928000,42.924551
2015-12-07,43.849998,44.040001,43.639999,44.02,848300,43.608093
2015-12-04,43.060001,43.93,42.970001,43.919998,885400,43.509027
2015-12-03,43.509998,43.630001,42.759998,42.959999,1034600,42.558011
2015-12-02,43.599998,43.68,43.389999,43.459999,1026400,43.053332
2015-12-01,43.98,44.209999,43.650002,43.860001,1076500,43.08305
2015-11-30,44.139999,44.34,43.75,43.75,1486400,42.974998
2015-11-27,44.00,44.189999,43.759998,44.00,301800,43.22057
2015-11-25,44.209999,44.25,43.860001,43.950001,529600,43.171456
2015-11-24,43.919998,44.369999,43.860001,44.130001,887500,43.348268
2015-11-23,44.32,44.540001,44.040001,44.110001,882700,43.328622
2015-11-20,44.00,44.380001,44.00,44.189999,809300,43.407203
2015-11-19,43.740002,43.959999,43.529999,43.869999,680000,43.092872
2015-11-18,43.279999,43.84,43.200001,43.810001,802300,43.033937
2015-11-17,43.610001,43.689999,43.169998,43.23,964300,42.464209
2015-11-16,42.849998,43.540001,42.790001,43.540001,784000,42.768719
2015-11-13,43.220001,43.299999,42.860001,42.98,652400,42.218638
2015-11-12,43.959999,44.099998,43.27,43.27,615500,42.503502
2015-11-11,44.099998,44.439999,43.970001,44.23,1119000,43.446495
2015-11-10,43.599998,44.049999,43.48,44.02,1000100,43.240216
2015-11-09,44.00,44.00,43.32,43.650002,616700,42.876771
2015-11-06,44.259998,44.310001,43.830002,44.060001,848900,43.279508
2015-11-05,43.990002,44.16,43.779999,44.09,845900,43.308976
2015-11-04,43.970001,44.189999,43.82,44.009998,1240500,43.230391
2015-11-03,43.580002,44.16,43.529999,43.919998,1562200,43.141985
2015-11-02,43.189999,43.689999,42.91,43.68,1072600,42.906239
2015-10-30,44.099998,44.259998,43.560001,43.73,1398400,42.955352
2015-10-29,43.73,44.290001,43.73,44.150002,1306700,43.367914
2015-10-28,44.029999,44.299999,43.630001,44.049999,1606000,43.269683
2015-10-27,43.50,43.73,43.32,43.650002,1244600,42.876771
2015-10-26,43.57,43.82,43.32,43.720001,1056700,42.945531
2015-10-23,43.759998,43.939999,43.470001,43.560001,1390000,42.788365
2015-10-22,43.34,43.799999,43.23,43.580002,948300,42.808012
2015-10-21,43.599998,43.759998,43.029999,43.119999,695100,42.356157
2015-10-20,42.599998,43.619999,42.560001,43.450001,1510600,42.680313
