Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.70,15.84,15.65,15.66,207900,15.66
2015-12-30,16.15,16.17,15.70,15.72,140900,15.72
2015-12-29,15.77,16.290001,15.77,16.25,117300,16.25
2015-12-28,16.030001,16.030001,15.54,15.69,198300,15.69
2015-12-24,15.73,16.08,15.73,16.00,62500,16.00
2015-12-23,16.120001,16.209999,15.59,15.74,227000,15.74
2015-12-22,15.85,16.23,15.68,16.07,232700,16.07
2015-12-21,15.74,15.95,15.50,15.77,172800,15.77
2015-12-18,15.86,15.99,15.63,15.78,636700,15.78
2015-12-17,16.219999,16.51,15.86,15.87,226700,15.87
2015-12-16,16.33,16.58,15.90,16.219999,511400,16.219999
2015-12-15,16.10,16.280001,15.96,16.18,249500,16.18
2015-12-14,16.48,16.690001,15.90,15.94,303000,15.94
2015-12-11,16.73,16.870001,16.40,16.48,217500,16.48
2015-12-10,17.00,17.139999,16.879999,16.98,183000,16.98
2015-12-09,17.469999,17.700001,16.889999,17.049999,135200,17.049999
2015-12-08,17.860001,17.870001,17.42,17.469999,199400,17.469999
2015-12-07,18.15,18.379999,17.889999,17.969999,297600,17.969999
2015-12-04,18.690001,18.719999,18.08,18.120001,383900,18.120001
2015-12-03,18.65,18.870001,18.389999,18.540001,454800,18.540001
2015-12-02,17.85,18.719999,17.85,18.59,533700,18.59
2015-12-01,17.57,17.91,17.559999,17.85,316700,17.85
2015-11-30,17.32,17.58,17.25,17.540001,385200,17.540001
2015-11-27,17.540001,17.719999,17.26,17.290001,204800,17.290001
2015-11-25,18.10,18.10,17.440001,17.50,587800,17.50
2015-11-24,18.700001,19.50,18.139999,18.23,640300,18.23
2015-11-23,16.18,16.450001,16.15,16.25,318700,16.25
2015-11-20,16.24,16.51,16.139999,16.200001,249400,16.200001
2015-11-19,15.98,16.32,15.96,16.120001,231500,16.120001
2015-11-18,16.17,16.27,15.71,15.95,445500,15.95
2015-11-17,16.49,16.74,16.17,16.18,293000,16.18
2015-11-16,15.13,16.34,15.13,16.27,328500,16.27
2015-11-13,15.14,15.28,14.86,15.07,666900,15.07
2015-11-12,16.110001,16.110001,15.29,15.33,244000,15.33
2015-11-11,16.309999,16.51,16.040001,16.23,290500,16.23
2015-11-10,16.59,16.639999,16.16,16.25,301600,16.25
2015-11-09,17.280001,17.34,16.549999,16.58,193500,16.58
2015-11-06,17.110001,17.34,16.93,17.280001,149700,17.280001
2015-11-05,17.40,17.450001,17.00,17.200001,142600,17.200001
2015-11-04,17.440001,17.709999,17.35,17.40,194300,17.40
2015-11-03,17.17,17.459999,17.030001,17.440001,146700,17.440001
2015-11-02,16.99,17.379999,16.93,17.190001,355400,17.190001
2015-10-30,16.68,17.139999,16.65,16.940001,282200,16.940001
2015-10-29,16.940001,17.219999,16.60,16.700001,324800,16.700001
2015-10-28,16.43,16.969999,16.389999,16.93,264100,16.93
2015-10-27,16.450001,16.639999,16.15,16.35,232400,16.35
2015-10-26,17.049999,17.25,16.459999,16.530001,305600,16.530001
2015-10-23,16.780001,17.26,16.700001,17.16,209200,17.16
2015-10-22,16.52,16.799999,16.450001,16.67,316400,16.67
2015-10-21,16.76,16.91,16.35,16.540001,251800,16.540001
2015-10-20,16.450001,16.790001,16.35,16.66,248700,16.66
2015-10-19,16.700001,16.82,16.309999,16.43,215200,16.43
2015-10-16,16.709999,16.799999,16.51,16.780001,296100,16.780001
2015-10-15,16.90,17.10,16.48,16.709999,323900,16.709999
2015-10-14,17.33,17.66,16.530001,16.610001,424400,16.610001
2015-10-13,16.969999,17.42,16.879999,17.25,255400,17.25
2015-10-12,17.33,17.34,16.950001,17.07,145600,17.07
2015-10-09,17.27,17.719999,17.27,17.389999,271300,17.389999
2015-10-08,17.15,17.40,17.040001,17.27,227100,17.27
2015-10-07,17.450001,17.77,17.129999,17.209999,307500,17.209999
2015-10-06,17.23,17.530001,17.139999,17.370001,495200,17.370001
2015-10-05,16.75,17.280001,16.559999,17.27,361000,17.27
2015-10-02,16.10,16.60,16.030001,16.58,277300,16.58
2015-10-01,16.24,16.59,16.09,16.219999,452400,16.219999
2015-09-30,16.16,16.34,15.89,16.18,589500,16.18
2015-09-29,16.09,16.200001,15.81,16.08,435600,16.08
2015-09-28,16.58,16.690001,16.049999,16.049999,432300,16.049999
2015-09-25,17.49,17.49,16.620001,16.700001,544600,16.700001
2015-09-24,17.780001,18.24,17.290001,17.440001,852100,17.440001
2015-09-23,19.41,19.549999,17.540001,17.549999,773400,17.549999
2015-09-22,19.74,19.780001,19.35,19.43,336600,19.43
2015-09-21,19.809999,20.15,19.620001,19.85,197100,19.85
2015-09-18,20.389999,20.639999,19.719999,19.77,514100,19.77
2015-09-17,20.690001,20.889999,20.43,20.620001,315600,20.620001
2015-09-16,21.32,21.41,20.549999,20.719999,274300,20.719999
2015-09-15,21.200001,21.32,21.030001,21.299999,196700,21.299999
2015-09-14,21.50,21.50,21.120001,21.18,183900,21.18
2015-09-11,22.110001,22.219999,21.219999,21.50,599600,21.50
2015-09-10,22.799999,23.459999,22.040001,22.299999,383600,22.299999
2015-09-09,20.709999,23.049999,20.709999,22.77,1150000,22.77
2015-09-08,20.41,20.75,20.370001,20.709999,229800,20.709999
2015-09-04,20.139999,20.33,20.10,20.18,161300,20.18
2015-09-03,20.440001,20.57,20.32,20.379999,151300,20.379999
2015-09-02,20.18,20.530001,19.969999,20.43,319300,20.43
2015-09-01,20.25,20.34,19.83,20.02,301400,20.02
2015-08-31,20.58,20.74,20.440001,20.57,334400,20.57
2015-08-28,20.57,20.719999,20.48,20.60,162700,20.60
2015-08-27,20.32,20.77,20.23,20.610001,248300,20.610001
2015-08-26,20.379999,20.41,19.84,20.209999,440500,20.209999
2015-08-25,20.67,20.67,19.93,19.98,385700,19.98
2015-08-24,19.690001,20.870001,19.469999,20.15,473400,20.15
2015-08-21,20.91,21.120001,20.309999,20.620001,493700,20.620001
2015-08-20,21.52,21.74,21.16,21.18,276000,21.18
2015-08-19,22.00,22.08,21.60,21.77,467100,21.77
2015-08-18,22.57,22.639999,22.129999,22.18,330600,22.18
2015-08-17,22.57,22.85,22.17,22.639999,573300,22.639999
2015-08-14,22.42,22.719999,22.299999,22.549999,410700,22.549999
2015-08-13,22.379999,22.690001,22.35,22.450001,276000,22.450001
2015-08-12,22.15,22.42,22.030001,22.379999,395400,22.379999
2015-08-11,22.360001,22.65,22.190001,22.27,349400,22.27
2015-08-10,22.58,22.959999,22.51,22.59,311400,22.59
2015-08-07,22.639999,22.84,22.43,22.530001,247300,22.530001
2015-08-06,22.860001,22.98,22.68,22.83,443700,22.83
2015-08-05,23.299999,23.49,22.780001,22.85,466000,22.85
2015-08-04,23.33,23.50,23.09,23.129999,353400,23.129999
2015-08-03,23.370001,23.440001,23.059999,23.33,291000,23.33
2015-07-31,22.67,23.540001,22.60,23.41,662600,23.41
2015-07-30,23.15,23.190001,22.52,22.639999,300500,22.639999
2015-07-29,23.41,23.49,23.10,23.200001,195700,23.200001
2015-07-28,23.32,23.549999,22.940001,23.35,284000,23.35
2015-07-27,22.75,23.299999,22.559999,23.139999,368700,23.139999
2015-07-24,23.139999,23.389999,22.709999,22.790001,175000,22.790001
2015-07-23,23.74,23.790001,22.99,23.200001,197800,23.200001
2015-07-22,23.75,23.85,23.51,23.709999,201800,23.709999
2015-07-21,23.790001,23.959999,23.43,23.82,309800,23.82
2015-07-20,24.299999,24.35,23.85,23.92,397800,23.92
2015-07-17,24.27,24.35,24.17,24.24,294900,24.24
2015-07-16,24.120001,24.299999,24.08,24.27,384900,24.27
2015-07-15,23.82,24.120001,23.719999,24.049999,502600,24.049999
2015-07-14,22.85,23.809999,22.85,23.780001,746400,23.780001
2015-07-13,21.50,23.00,21.309999,22.84,760800,22.84
2015-07-10,21.059999,21.34,20.860001,21.219999,229200,21.219999
2015-07-09,20.719999,21.01,20.51,20.870001,238200,20.870001
2015-07-08,20.49,20.92,20.459999,20.540001,474300,20.540001
2015-07-07,20.84,20.879999,20.52,20.73,216600,20.73
2015-07-06,20.700001,21.00,20.620001,20.82,211900,20.82
2015-07-02,21.059999,21.10,20.76,20.799999,172400,20.799999
2015-07-01,20.74,21.07,20.66,21.01,249200,21.01
2015-06-30,20.77,20.83,20.549999,20.610001,534100,20.610001
2015-06-29,20.940001,21.200001,20.530001,20.66,455400,20.66
2015-06-26,21.200001,21.34,20.809999,21.040001,739600,21.040001
2015-06-25,21.040001,21.219999,20.969999,21.139999,138700,21.139999
2015-06-24,21.190001,21.35,20.99,21.040001,135900,21.040001
2015-06-23,21.290001,21.58,21.15,21.299999,129000,21.299999
2015-06-22,21.129999,21.40,21.030001,21.32,108500,21.32
2015-06-19,20.940001,21.34,20.940001,21.129999,391600,21.129999
2015-06-18,20.67,21.049999,20.65,20.809999,213500,20.809999
2015-06-17,20.950001,21.190001,20.50,20.620001,106000,20.620001
2015-06-16,20.52,20.969999,20.43,20.84,104200,20.84
2015-06-15,20.15,20.879999,20.09,20.60,213200,20.60
2015-06-12,20.91,21.110001,20.049999,20.219999,319200,20.219999
2015-06-11,20.780001,21.08,20.76,21.040001,122900,21.040001
2015-06-10,20.09,20.77,20.09,20.719999,223000,20.719999
2015-06-09,20.26,20.299999,19.98,20.049999,152500,20.049999
2015-06-08,20.49,20.610001,20.209999,20.24,143500,20.24
2015-06-05,20.700001,20.809999,20.469999,20.549999,305800,20.549999
2015-06-04,20.92,20.950001,20.700001,20.76,135700,20.76
2015-06-03,20.60,21.040001,20.549999,20.950001,198300,20.950001
2015-06-02,20.52,20.91,20.290001,20.58,298200,20.58
2015-06-01,20.82,20.99,20.459999,20.59,243800,20.59
2015-05-29,20.969999,20.98,20.66,20.75,384000,20.75
2015-05-28,20.790001,21.059999,20.700001,21.01,158500,21.01
2015-05-27,20.82,20.98,20.719999,20.889999,134900,20.889999
2015-05-26,20.629999,20.83,20.23,20.799999,164900,20.799999
2015-05-22,20.629999,21.110001,20.549999,20.719999,160300,20.719999
2015-05-21,21.139999,21.18,20.950001,21.10,328600,21.10
2015-05-20,21.08,21.209999,21.00,21.10,177500,21.10
2015-05-19,21.17,21.17,20.92,21.01,273500,21.01
2015-05-18,21.00,21.299999,20.99,21.17,138200,21.17
2015-05-15,21.040001,21.35,20.889999,21.01,231200,21.01
2015-05-14,20.57,21.049999,20.48,21.040001,166000,21.040001
2015-05-13,20.440001,20.67,20.309999,20.51,151900,20.51
2015-05-12,20.379999,20.52,20.209999,20.43,205500,20.43
2015-05-11,20.280001,20.66,20.280001,20.50,219700,20.50
2015-05-08,20.280001,20.629999,20.24,20.34,284900,20.34
2015-05-07,19.66,20.23,19.59,20.17,307200,20.17
2015-05-06,19.34,19.549999,19.209999,19.469999,217800,19.469999
2015-05-05,20.99,20.99,19.16,19.299999,488400,19.299999
2015-05-04,20.00,20.27,19.92,19.940001,228000,19.940001
2015-05-01,20.15,21.99,19.620001,20.030001,344700,20.030001
2015-04-30,20.209999,20.440001,19.58,19.66,520600,19.66
2015-04-29,20.870001,21.139999,20.200001,20.309999,475300,20.309999
2015-04-28,22.10,22.10,19.780001,20.700001,396000,20.700001
2015-04-27,20.950001,22.299999,20.92,22.299999,481700,22.299999
2015-04-24,20.83,20.969999,20.76,20.799999,257600,20.799999
2015-04-23,20.700001,20.889999,20.639999,20.85,195300,20.85
2015-04-22,20.50,20.809999,20.33,20.77,308300,20.77
2015-04-21,20.469999,20.60,20.309999,20.540001,230400,20.540001
2015-04-20,20.57,20.780001,20.32,20.389999,396400,20.389999
2015-04-17,20.65,20.66,20.26,20.48,384700,20.48
2015-04-16,20.799999,21.01,20.709999,20.74,330700,20.74
2015-04-15,21.42,21.469999,20.85,20.879999,534700,20.879999
2015-04-14,21.309999,21.59,21.309999,21.389999,542700,21.389999
2015-04-13,21.530001,21.610001,21.280001,21.33,523700,21.33
2015-04-10,22.700001,22.700001,20.52,21.549999,2224500,21.549999
2015-04-09,22.92,23.08,22.59,22.76,298900,22.76
2015-04-08,22.90,23.02,22.799999,22.969999,754200,22.969999
2015-04-07,23.030001,23.200001,22.870001,22.90,545400,22.90
2015-04-06,22.879999,23.110001,22.799999,23.049999,847500,23.049999
2015-04-02,23.030001,23.26,22.85,22.92,819200,22.92
2015-04-01,23.23,23.280001,22.91,23.01,579200,23.01
2015-03-31,23.09,23.389999,22.940001,23.190001,662600,23.190001
2015-03-30,23.00,23.27,22.959999,23.059999,500400,23.059999
2015-03-27,22.85,23.040001,22.77,22.92,409800,22.92
2015-03-26,22.91,22.93,22.67,22.82,355800,22.82
2015-03-25,22.870001,23.030001,22.780001,22.92,781800,22.92
2015-03-24,22.290001,22.870001,22.24,22.85,499600,22.85
2015-03-23,22.08,22.35,22.059999,22.27,305600,22.27
2015-03-20,21.950001,22.299999,21.90,22.120001,587300,22.120001
2015-03-19,21.85,21.950001,21.700001,21.83,373700,21.83
2015-03-18,21.799999,22.00,21.58,21.85,403600,21.85
2015-03-17,21.59,21.85,21.559999,21.780001,422000,21.780001
2015-03-16,21.700001,22.01,21.549999,21.58,420100,21.58
2015-03-13,21.440001,21.67,21.26,21.620001,365700,21.620001
2015-03-12,21.389999,21.610001,21.08,21.360001,516100,21.360001
2015-03-11,20.50,21.50,20.50,21.23,949600,21.23
2015-03-10,20.07,20.58,20.07,20.51,863500,20.51
2015-03-09,20.030001,20.27,20.01,20.209999,287000,20.209999
2015-03-06,19.950001,20.200001,19.790001,19.950001,654900,19.950001
2015-03-05,19.459999,19.98,19.299999,19.91,566400,19.91
2015-03-04,19.24,19.450001,19.18,19.32,474500,19.32
2015-03-03,19.389999,19.51,19.10,19.35,166600,19.35
2015-03-02,19.26,19.620001,19.25,19.48,210200,19.48
2015-02-27,19.26,19.440001,19.25,19.299999,190900,19.299999
2015-02-26,19.24,19.389999,19.129999,19.34,186600,19.34
2015-02-25,19.110001,19.33,19.110001,19.219999,234100,19.219999
2015-02-24,19.209999,19.26,19.00,19.17,196400,19.17
2015-02-23,19.040001,19.190001,18.92,19.15,450600,19.15
2015-02-20,18.98,19.09,18.879999,19.059999,1161000,19.059999
2015-02-19,18.860001,19.129999,18.82,19.07,312900,19.07
2015-02-18,18.93,19.059999,18.85,18.959999,341900,18.959999
2015-02-17,18.860001,19.08,18.780001,18.90,372300,18.90
2015-02-13,18.780001,18.969999,18.77,18.91,371900,18.91
2015-02-12,18.799999,18.969999,18.65,18.799999,541700,18.799999
2015-02-11,18.59,18.90,18.50,18.719999,594700,18.719999
