Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,56.060001,57.490002,55.830002,56.009998,663000,55.731047
2015-12-30,56.419998,57.200001,56.259998,56.34,733700,56.059405
2015-12-29,57.41,57.990002,56.240002,56.73,759600,56.447462
2015-12-28,55.720001,56.790001,55.130001,56.75,856400,56.467363
2015-12-24,56.25,56.50,55.799999,55.950001,380700,55.671348
2015-12-23,54.560001,56.450001,54.490002,56.290001,1068400,56.009655
2015-12-22,51.599998,54.77,51.43,54.310001,1159400,54.039517
2015-12-21,51.599998,51.869999,50.790001,51.459999,841100,51.203708
2015-12-18,52.009998,53.310001,50.970001,51.18,2112400,50.925104
2015-12-17,51.990002,53.099998,51.330002,52.419998,1716100,52.158926
2015-12-16,49.150002,52.060001,48.75,51.830002,2259400,51.571868
2015-12-15,48.099998,49.34,48.00,48.68,1032400,48.437555
2015-12-14,47.830002,47.970001,46.34,47.759998,1586600,47.522135
2015-12-11,47.970001,48.400002,47.310001,47.950001,1399600,47.711191
2015-12-10,49.93,49.959999,49.029999,49.209999,833800,48.676357
2015-12-09,50.77,51.419998,49.619999,50.02,1564900,49.477575
2015-12-08,50.549999,50.709999,49.669998,49.779999,731400,49.240176
2015-12-07,52.529999,52.66,50.880001,51.099998,968500,50.545861
2015-12-04,52.509998,53.52,51.939999,52.990002,1189800,52.415369
2015-12-03,52.27,52.959999,51.799999,52.830002,1451100,52.257104
2015-12-02,52.75,53.07,51.799999,52.279999,934900,51.713066
2015-12-01,53.68,53.799999,52.830002,52.950001,1255800,52.375802
2015-11-30,53.290001,53.689999,53.099998,53.560001,814900,52.979188
2015-11-27,52.900002,53.34,52.759998,53.110001,312000,52.534067
2015-11-25,52.889999,53.209999,52.549999,52.900002,649700,52.326345
2015-11-24,51.950001,53.09,51.669998,53.009998,1567700,52.435149
2015-11-23,51.57,52.150002,51.240002,52.110001,1609500,51.544911
2015-11-20,50.939999,51.970001,50.75,51.669998,1304600,51.10968
2015-11-19,50.50,51.139999,50.310001,50.689999,1066300,50.140308
2015-11-18,48.639999,50.860001,48.48,50.810001,1593600,50.259009
2015-11-17,48.110001,48.93,47.669998,48.52,1743000,47.993841
2015-11-16,47.43,48.07,47.02,47.98,1024500,47.459696
2015-11-13,46.75,48.240002,46.490002,47.619999,2017100,47.1036
2015-11-12,48.139999,48.860001,46.849998,46.919998,1314500,46.41119
2015-11-11,49.849998,49.990002,48.439999,48.900002,1645300,48.369722
2015-11-10,49.939999,50.330002,49.259998,49.580002,1199000,49.042348
2015-11-09,50.380001,50.82,49.48,49.919998,2509600,49.378657
2015-11-06,49.48,50.84,49.34,50.68,2224200,50.130418
2015-11-05,52.50,52.82,48.16,49.43,5880300,48.893973
2015-11-04,54.939999,55.299999,53.779999,54.220001,2019500,53.63203
2015-11-03,54.43,55.48,54.259998,54.669998,1563700,54.077147
2015-11-02,54.259998,54.869999,54.060001,54.240002,2509400,53.651814
2015-10-30,54.330002,54.369999,52.93,53.52,1412200,52.93962
2015-10-29,53.330002,54.59,53.09,54.290001,1433500,53.701271
2015-10-28,52.049999,54.07,51.779999,53.580002,1772600,52.998971
2015-10-27,52.240002,52.50,51.02,51.93,1697700,51.366862
2015-10-26,52.43,52.970001,52.049999,52.68,1085400,52.108729
2015-10-23,52.869999,53.66,52.490002,52.580002,1266200,52.009815
2015-10-22,51.82,53.119999,51.360001,52.389999,1463700,51.821873
2015-10-21,52.400002,52.84,51.02,51.18,1160100,50.624996
2015-10-20,52.189999,52.939999,52.060001,52.099998,939800,51.535017
2015-10-19,52.080002,52.400002,51.84,52.259998,1555600,51.693282
2015-10-16,51.700001,52.73,51.560001,52.450001,2035000,51.881224
2015-10-15,51.73,51.82,50.009998,51.470001,1460100,50.911852
2015-10-14,50.150002,51.720001,50.07,51.439999,905800,50.882174
2015-10-13,50.18,50.919998,49.869999,50.259998,917200,49.71497
2015-10-12,51.080002,51.259998,50.310001,50.509998,1161600,49.962259
2015-10-09,51.369999,51.880001,50.549999,50.720001,1927900,50.169985
2015-10-08,48.740002,50.990002,48.630001,50.57,1726100,50.02161
2015-10-07,47.900002,49.110001,47.669998,48.91,1903300,48.379611
2015-10-06,47.810001,48.84,47.540001,47.610001,1637200,47.09371
2015-10-05,46.48,47.610001,46.380001,47.43,1024800,46.915661
2015-10-02,44.540001,46.150002,44.32,46.150002,1231400,45.649543
2015-10-01,44.290001,45.23,44.099998,45.169998,1621200,44.680167
2015-09-30,43.029999,44.389999,42.970001,44.099998,1366800,43.621771
2015-09-29,41.52,42.700001,41.50,42.529999,1479700,42.068796
2015-09-28,44.82,44.889999,41.650002,41.779999,1738200,41.326929
2015-09-25,45.48,46.040001,44.799999,45.130001,1426700,44.640604
2015-09-24,44.57,45.529999,43.459999,45.220001,1622000,44.729628
2015-09-23,45.549999,46.189999,45.18,45.310001,1409000,44.818652
2015-09-22,45.880001,46.00,45.110001,45.709999,1777900,45.214312
2015-09-21,46.09,47.189999,45.599998,46.400002,2045500,45.896832
2015-09-18,44.419998,45.75,44.360001,45.709999,2980200,45.214312
2015-09-17,44.59,45.740002,44.560001,45.049999,1665400,44.561469
2015-09-16,44.529999,45.139999,44.150002,44.740002,1408200,44.254833
2015-09-15,42.240002,44.529999,42.240002,44.27,4852000,43.789929
2015-09-14,41.740002,42.23,41.369999,41.880001,1203300,41.425847
2015-09-11,42.48,42.830002,41.599998,42.00,873900,41.257691
2015-09-10,42.98,43.25,42.490002,42.799999,1659400,42.043551
2015-09-09,43.490002,44.029999,42.91,43.029999,1483200,42.269485
2015-09-08,43.27,43.27,42.77,43.02,2991800,42.259664
2015-09-04,42.169998,42.52,41.889999,42.43,1528800,41.680091
2015-09-03,43.060001,43.060001,42.279999,42.869999,2688500,42.112313
2015-09-02,43.50,43.650002,42.400002,42.73,1618600,41.974788
2015-09-01,44.139999,44.549999,42.599998,42.849998,2076100,42.092666
2015-08-31,44.950001,45.52,43.98,45.209999,1430200,44.410956
2015-08-28,44.939999,46.580002,44.77,45.299999,1459800,44.499366
2015-08-27,43.740002,46.200001,43.599998,45.130001,2054100,44.332372
2015-08-26,43.57,43.66,42.310001,43.07,3192700,42.308779
2015-08-25,45.610001,45.720001,42.779999,42.799999,1288400,42.043551
2015-08-24,44.27,45.830002,42.389999,44.34,2099600,43.556334
2015-08-21,48.830002,48.849998,46.669998,46.810001,1381200,45.98268
2015-08-20,49.41,49.939999,49.009998,49.32,831300,48.448317
2015-08-19,50.830002,51.25,49.41,49.880001,946600,48.99842
2015-08-18,51.619999,51.73,50.990002,51.110001,807200,50.206681
2015-08-17,50.82,51.950001,50.450001,51.77,1194100,50.855016
2015-08-14,50.450001,51.279999,50.290001,51.110001,600700,50.206681
2015-08-13,51.040001,51.330002,50.119999,50.419998,966800,49.528874
2015-08-12,51.450001,51.830002,50.290001,51.119999,979600,50.216503
2015-08-11,51.98,52.119999,51.41,52.00,785400,51.08095
2015-08-10,51.240002,52.73,51.16,52.689999,849100,51.758754
2015-08-07,51.93,53.029999,51.049999,51.240002,955900,50.334384
2015-08-06,53.68,53.68,49.549999,51.77,3863700,50.855016
2015-08-05,54.240002,54.25,52.529999,53.259998,1484800,52.31868
2015-08-04,53.41,54.209999,53.299999,53.630001,985200,52.682143
2015-08-03,54.099998,54.310001,53.00,53.290001,889900,52.348152
2015-07-31,53.830002,54.810001,53.34,54.200001,2140100,53.242068
2015-07-30,51.939999,53.540001,51.50,53.400002,1830700,52.456208
2015-07-29,50.919998,52.009998,50.549999,51.91,1146400,50.992541
2015-07-28,49.900002,50.970001,49.59,50.779999,893700,49.882512
2015-07-27,49.41,50.110001,49.029999,49.810001,842700,48.929658
2015-07-24,51.209999,51.310001,49.400002,49.810001,800700,48.929658
2015-07-23,51.84,52.080002,51.290001,51.32,694000,50.412969
