Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,53.509998,54.060001,52.00,52.099998,28200,52.006852
2015-12-30,53.43,54.23,53.43,53.529999,18300,53.434296
2015-12-29,53.66,54.18,52.93,53.630001,30300,53.534119
2015-12-28,54.060001,54.060001,53.009998,53.50,27800,53.40435
2015-12-24,55.080002,55.080002,54.400002,54.50,14500,54.402563
2015-12-23,54.810001,55.369999,54.310001,54.939999,16200,54.841775
2015-12-22,53.130001,55.110001,52.580002,54.639999,51200,54.542312
2015-12-21,52.580002,53.66,52.529999,52.939999,22800,52.84535
2015-12-18,51.779999,52.560001,51.779999,52.310001,94100,52.216479
2015-12-17,52.02,52.32,51.450001,52.139999,49000,52.046781
2015-12-16,51.07,52.110001,50.810001,51.98,26900,51.887068
2015-12-15,52.41,52.41,50.23,51.07,38600,50.978695
2015-12-14,51.790001,52.98,51.639999,52.16,51400,52.066746
2015-12-11,52.290001,53.299999,51.509998,51.860001,37800,51.767283
2015-12-10,53.32,53.720001,52.830002,53.32,27700,53.224672
2015-12-09,53.700001,54.450001,53.07,53.369999,56300,53.274582
2015-12-08,54.139999,54.310001,53.139999,53.959999,37700,53.863527
2015-12-07,55.200001,55.700001,54.380001,54.450001,49300,54.352653
2015-12-04,55.02,56.169998,54.57,55.630001,30900,55.530543
2015-12-03,56.259998,56.59,54.869999,55.040001,39800,54.941598
2015-12-02,56.080002,56.830002,55.48,56.259998,55000,56.159414
2015-12-01,57.07,57.09,55.540001,56.43,36200,56.329112
2015-11-30,56.110001,57.509998,56.110001,57.18,60100,57.077772
2015-11-27,55.189999,56.529999,55.189999,56.50,9400,56.398987
2015-11-25,54.869999,55.900002,54.610001,55.50,47200,55.400775
2015-11-24,54.369999,55.240002,54.09,54.599998,48600,54.502382
2015-11-23,54.919998,55.610001,54.16,54.700001,45100,54.602206
2015-11-20,54.209999,55.259998,53.900002,54.919998,34600,54.82181
2015-11-19,54.02,54.119999,53.029999,53.880001,26500,53.783672
2015-11-18,52.50,54.68,51.959999,54.34,64900,54.242849
2015-11-17,53.299999,53.41,51.830002,52.240002,39200,52.146605
2015-11-16,52.650002,53.619999,52.299999,53.169998,64100,53.074939
2015-11-13,51.43,53.099998,51.060001,52.889999,38900,52.79544
2015-11-12,53.82,54.209999,51.549999,51.73,125800,51.637515
2015-11-11,54.389999,54.48,53.650002,54.360001,40400,54.262814
2015-11-10,53.740002,54.610001,53.740002,54.419998,37900,54.322704
2015-11-09,55.240002,55.240002,52.900002,54.049999,51300,53.953366
2015-11-06,53.970001,55.57,53.209999,55.32,109100,55.221096
2015-11-05,50.040001,55.560001,48.369999,55.369999,101600,55.271006
2015-11-04,50.00,50.830002,49.259998,50.130001,53700,50.040377
2015-11-03,48.490002,50.529999,48.41,49.970001,46200,49.880663
2015-11-02,46.919998,49.00,46.919998,48.490002,125600,48.403309
2015-10-30,47.799999,47.900002,46.599998,46.919998,44800,46.836113
2015-10-29,48.09,48.970001,47.48,47.619999,56200,47.534862
2015-10-28,46.990002,48.400002,46.849998,48.400002,55800,48.31347
2015-10-27,47.82,48.450001,45.82,46.73,94200,46.646454
2015-10-26,48.57,48.57,47.689999,48.130001,79000,48.043952
2015-10-23,47.389999,48.560001,46.990002,48.560001,30200,48.473184
2015-10-22,46.799999,47.82,46.50,47.040001,42600,46.955901
2015-10-21,46.43,47.080002,45.939999,46.610001,42600,46.526669
2015-10-20,45.66,46.209999,45.200001,46.18,41300,46.097438
2015-10-19,45.200001,46.130001,44.959999,45.66,52500,45.578367
2015-10-16,45.889999,45.889999,44.330002,45.450001,40300,45.368743
2015-10-15,45.57,45.98,44.279999,45.779999,46800,45.698151
2015-10-14,44.369999,45.84,44.150002,45.509998,85600,45.428634
2015-10-13,45.080002,45.400002,43.98,44.299999,49400,44.220798
2015-10-12,46.959999,46.959999,45.25,45.299999,45200,45.139152
2015-10-09,49.00,49.259998,45.200001,47.240002,93300,47.072266
2015-10-08,49.779999,50.860001,49.09,50.459999,55500,50.28083
2015-10-07,49.349998,50.279999,48.450001,49.790001,83200,49.613211
2015-10-06,49.639999,50.310001,48.650002,49.07,50000,48.895766
2015-10-05,47.860001,50.099998,47.860001,49.740002,69700,49.563389
2015-10-02,45.50,47.669998,45.43,47.669998,54700,47.500736
2015-10-01,46.93,47.189999,44.810001,45.939999,53000,45.776879
2015-09-30,46.490002,47.540001,45.580002,46.75,109300,46.584004
2015-09-29,46.310001,46.59,45.52,46.189999,41000,46.025991
2015-09-28,45.490002,46.439999,45.049999,46.299999,48000,46.135601
2015-09-25,46.369999,46.470001,45.060001,45.959999,53900,45.796809
2015-09-24,45.830002,46.299999,44.509998,46.139999,45600,45.97617
2015-09-23,46.040001,46.369999,45.700001,46.330002,50300,46.165498
2015-09-22,45.939999,46.82,45.48,45.939999,43700,45.776879
2015-09-21,45.360001,46.650002,45.290001,46.41,50000,46.245211
2015-09-18,46.709999,46.709999,44.48,45.099998,90400,44.939862
2015-09-17,47.939999,48.029999,47.02,47.240002,43200,47.072266
2015-09-16,47.470001,48.540001,46.919998,48.18,46300,48.008927
2015-09-15,46.330002,47.470001,46.330002,47.200001,25600,47.032407
2015-09-14,48.049999,48.049999,46.25,46.27,22500,46.105709
2015-09-11,48.93,48.93,47.68,48.009998,27500,47.839529
2015-09-10,47.459999,49.580002,47.34,49.029999,72800,48.855908
2015-09-09,48.59,48.619999,47.50,47.68,32000,47.510703
2015-09-08,50.299999,50.299999,48.130001,48.50,79300,48.327791
2015-09-04,50.099998,51.41,49.290001,49.400002,123100,49.224597
2015-09-03,51.439999,51.650002,49.509998,50.75,43200,50.569802
2015-09-02,50.540001,51.610001,49.830002,51.529999,34200,51.347031
2015-09-01,50.740002,51.82,49.650002,49.939999,163900,49.762676
2015-08-31,50.00,51.799999,50.00,51.490002,25300,51.307176
2015-08-28,49.860001,50.57,49.77,50.380001,56200,50.201116
2015-08-27,50.470001,52.060001,49.200001,50.119999,129300,49.942037
2015-08-26,50.639999,50.700001,48.400002,50.299999,78300,50.121399
2015-08-25,53.450001,53.450001,48.990002,49.77,98300,49.593282
2015-08-24,47.889999,51.91,47.48,51.91,129200,51.725683
2015-08-21,48.900002,50.189999,47.169998,49.580002,44600,49.403958
2015-08-20,49.790001,50.00,49.34,49.700001,45100,49.523531
2015-08-19,50.16,50.580002,49.919998,49.970001,26800,49.792572
2015-08-18,50.459999,51.259998,49.950001,50.639999,28200,50.460192
