Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.38,4.40,4.35,4.35,612500,4.211758
2015-12-30,4.40,4.43,4.38,4.39,566800,4.250487
2015-12-29,4.40,4.44,4.38,4.43,629100,4.289216
2015-12-28,4.60,4.61,4.55,4.56,469900,4.269852
2015-12-24,4.61,4.63,4.60,4.62,200900,4.326034
2015-12-23,4.62,4.66,4.60,4.62,400100,4.326034
2015-12-22,4.57,4.65,4.55,4.63,586100,4.335398
2015-12-21,4.52,4.56,4.48,4.56,494000,4.269852
2015-12-18,4.51,4.58,4.48,4.50,2299700,4.213669
2015-12-17,4.54,4.58,4.51,4.54,431000,4.251124
2015-12-16,4.36,4.54,4.36,4.53,762500,4.241761
2015-12-15,4.34,4.43,4.33,4.37,751600,4.091941
2015-12-14,4.50,4.51,4.31,4.35,792100,4.073214
2015-12-11,4.50,4.55,4.48,4.50,935400,4.213669
2015-12-10,4.54,4.58,4.53,4.55,391800,4.260488
2015-12-09,4.55,4.59,4.52,4.55,576300,4.260488
2015-12-08,4.58,4.60,4.55,4.57,369300,4.279215
2015-12-07,4.65,4.66,4.58,4.60,416500,4.307306
2015-12-04,4.64,4.68,4.64,4.65,298700,4.354125
2015-12-03,4.63,4.68,4.63,4.64,490800,4.344761
2015-12-02,4.70,4.72,4.64,4.64,594300,4.344761
2015-12-01,4.81,4.81,4.70,4.71,1433200,4.410307
2015-11-30,4.80,4.82,4.77,4.81,766100,4.503944
2015-11-27,4.77,4.80,4.76,4.80,185500,4.494581
2015-11-25,4.77,4.79,4.73,4.78,377000,4.475853
2015-11-24,4.74,4.78,4.72,4.78,483100,4.475853
2015-11-23,4.75,4.79,4.73,4.77,324500,4.46649
2015-11-20,4.80,4.80,4.76,4.77,455700,4.46649
2015-11-19,4.75,4.80,4.75,4.79,418900,4.485217
2015-11-18,4.69,4.77,4.69,4.76,751100,4.457126
2015-11-17,4.72,4.75,4.70,4.70,608900,4.400943
2015-11-16,4.70,4.74,4.66,4.73,829900,4.429035
2015-11-13,4.68,4.75,4.67,4.71,767400,4.410307
2015-11-12,4.72,4.75,4.69,4.71,769400,4.410307
2015-11-11,4.70,4.76,4.69,4.75,755400,4.447762
2015-11-10,4.62,4.70,4.61,4.69,488600,4.39158
2015-11-09,4.66,4.70,4.63,4.63,669600,4.335398
2015-11-06,4.65,4.71,4.60,4.67,1222900,4.372852
2015-11-05,4.66,4.69,4.64,4.64,826900,4.344761
