Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,3.66,4.03,3.64,3.97,19600,3.97
2015-12-30,4.03,4.03,3.50,3.66,24000,3.66
2015-12-29,3.90,4.10,3.60,3.74,14400,3.74
2015-12-28,3.94,4.16,3.65,3.80,32000,3.80
2015-12-24,3.86,4.18,3.86,4.10,7100,4.10
2015-12-23,4.18,4.23,3.98,3.98,4000,3.98
2015-12-22,3.99,4.19,3.80,4.19,9700,4.19
2015-12-21,4.01,4.24,3.76,3.79,25300,3.79
2015-12-18,3.98,4.04,3.65,3.98,120700,3.98
2015-12-17,4.06,4.06,3.55,3.66,20800,3.66
2015-12-16,4.06,4.06,3.51,3.61,36900,3.61
2015-12-15,3.71,4.18,3.52,3.71,32100,3.71
2015-12-14,3.80,4.33,3.53,3.70,36300,3.70
2015-12-11,4.12,4.28,3.83,3.87,17600,3.87
2015-12-10,4.04,4.04,3.91,3.92,29100,3.92
2015-12-09,4.13,4.53,4.05,4.08,40800,4.08
2015-12-08,4.58,4.74,4.11,4.21,49600,4.21
2015-12-07,5.03,5.06,4.70,4.70,37900,4.70
2015-12-04,5.15,5.60,5.05,5.10,11600,5.10
2015-12-03,5.47,5.56,5.20,5.20,2500,5.20
2015-12-02,5.68,5.73,5.40,5.43,11700,5.43
2015-12-01,5.55,5.91,5.55,5.61,22600,5.61
2015-11-30,5.52,5.76,5.51,5.65,1900,5.65
2015-11-27,6.07,6.07,5.51,5.82,17100,5.82
2015-11-25,6.29,6.29,6.04,6.08,8100,6.08
2015-11-24,6.30,6.30,6.04,6.22,5400,6.22
2015-11-23,6.33,6.33,6.05,6.05,1300,6.05
2015-11-20,6.26,6.26,6.26,6.26,000,6.26
2015-11-19,6.25,6.28,6.25,6.26,3900,6.26
2015-11-18,6.35,6.35,6.28,6.34,1500,6.34
2015-11-17,6.35,6.41,6.30,6.41,7000,6.41
2015-11-16,6.28,6.54,6.28,6.54,1300,6.54
2015-11-13,6.30,6.45,6.30,6.45,2900,6.45
2015-11-12,6.55,6.55,6.35,6.50,14000,6.50
2015-11-11,6.53,6.75,6.53,6.59,3100,6.59
2015-11-10,6.54,6.54,6.54,6.54,100,6.54
2015-11-09,6.60,6.60,6.60,6.60,200,6.60
2015-11-06,6.75,6.76,6.67,6.67,400,6.67
2015-11-05,6.75,6.75,6.75,6.75,300,6.75
2015-11-04,6.65,6.65,6.60,6.60,5600,6.60
2015-11-03,6.59,6.72,6.59,6.72,1600,6.72
2015-11-02,6.76,6.76,6.55,6.57,4400,6.57
2015-10-30,6.80,6.80,6.53,6.53,4200,6.53
2015-10-29,6.55,6.74,6.50,6.74,1700,6.74
2015-10-28,6.67,6.67,6.54,6.54,7800,6.54
2015-10-27,6.97,6.97,6.77,6.77,400,6.77
2015-10-26,6.62,6.99,6.62,6.99,700,6.99
2015-10-23,6.75,6.76,6.75,6.76,700,6.76
2015-10-22,6.95,6.95,6.95,6.95,400,6.95
2015-10-21,6.41,7.00,6.41,6.86,2500,6.86
2015-10-20,6.90,6.91,6.90,6.91,1100,6.91
2015-10-19,6.90,7.00,6.81,6.81,3000,6.81
2015-10-16,6.90,7.05,6.90,7.04,3500,7.04
2015-10-15,6.70,7.25,6.61,7.07,5300,7.07
2015-10-14,7.07,7.07,7.07,7.07,400,7.07
2015-10-13,7.04,7.15,6.40,6.40,5000,6.40
2015-10-12,7.00,7.12,7.00,7.00,3400,7.00
2015-10-09,7.01,7.14,7.00,7.01,1100,7.01
2015-10-08,7.16,7.24,7.00,7.10,4200,7.10
2015-10-07,7.00,7.26,6.95,6.95,7600,6.95
2015-10-06,7.02,7.26,6.99,7.22,3500,7.22
2015-10-05,7.25,7.25,7.00,7.14,4700,7.14
2015-10-02,7.10,7.19,7.10,7.19,500,7.19
2015-10-01,6.94,7.10,6.94,7.10,300,7.10
2015-09-30,7.20,7.30,6.76,7.20,8400,7.20
2015-09-29,7.22,7.29,7.20,7.29,1700,7.29
2015-09-28,7.40,7.40,7.20,7.21,3900,7.21
2015-09-25,7.46,7.65,7.40,7.50,8300,7.50
2015-09-24,7.42,7.59,7.42,7.47,500,7.47
2015-09-23,7.59,7.83,7.46,7.55,4500,7.55
2015-09-22,7.40,7.49,7.37,7.49,1700,7.49
2015-09-21,7.31,7.90,7.31,7.42,3400,7.42
2015-09-18,7.48,7.73,7.20,7.20,19500,7.20
2015-09-17,7.32,7.56,7.32,7.51,4100,7.51
2015-09-16,7.45,7.45,7.27,7.40,2100,7.40
2015-09-15,7.19,7.67,7.19,7.45,1500,7.45
2015-09-14,7.00,7.38,7.00,7.35,3400,7.35
2015-09-11,7.35,7.36,7.31,7.36,1900,7.36
