Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,5.73,5.73,5.65,5.67,1054800,5.67
2015-12-30,5.64,5.67,5.58,5.61,624400,5.61
2015-12-29,5.73,5.75,5.71,5.74,593100,5.74
2015-12-28,5.79,5.79,5.68,5.71,1385700,5.71
2015-12-24,5.79,5.82,5.78,5.78,476000,5.78
2015-12-23,5.87,5.88,5.82,5.83,1467400,5.83
2015-12-22,5.58,5.70,5.55,5.68,2178400,5.68
2015-12-21,5.55,5.63,5.50,5.54,1571400,5.54
2015-12-18,5.50,5.50,5.41,5.43,1512900,5.43
2015-12-17,5.53,5.56,5.40,5.41,1004700,5.41
2015-12-16,5.53,5.54,5.45,5.52,784500,5.52
2015-12-15,5.35,5.49,5.30,5.48,1351200,5.48
2015-12-14,5.14,5.19,5.12,5.18,892800,5.18
2015-12-11,5.34,5.38,5.29,5.31,764000,5.31
2015-12-10,5.45,5.49,5.44,5.48,677800,5.48
2015-12-09,5.43,5.49,5.41,5.43,469200,5.43
2015-12-08,5.48,5.49,5.42,5.47,439400,5.47
2015-12-07,5.63,5.65,5.54,5.55,645700,5.55
2015-12-04,5.55,5.66,5.55,5.64,434500,5.64
2015-12-03,5.60,5.60,5.51,5.55,779800,5.55
2015-12-02,5.58,5.61,5.57,5.59,849400,5.59
2015-12-01,5.52,5.62,5.52,5.61,1015000,5.61
2015-11-30,5.33,5.41,5.28,5.39,1014000,5.39
2015-11-27,5.37,5.45,5.36,5.44,558800,5.44
2015-11-25,5.44,5.46,5.38,5.42,862700,5.42
2015-11-24,5.41,5.53,5.41,5.51,379500,5.51
2015-11-23,5.55,5.56,5.50,5.51,534800,5.51
2015-11-20,5.59,5.62,5.51,5.56,804300,5.56
2015-11-19,5.61,5.66,5.59,5.62,339400,5.62
2015-11-18,5.50,5.55,5.42,5.55,739200,5.55
2015-11-17,5.53,5.60,5.51,5.56,382000,5.56
2015-11-16,5.41,5.47,5.39,5.45,649800,5.45
2015-11-13,5.46,5.46,5.38,5.41,449100,5.41
2015-11-12,5.52,5.59,5.52,5.55,781500,5.55
2015-11-11,5.56,5.56,5.51,5.55,615800,5.55
2015-11-10,5.69,5.71,5.66,5.67,806600,5.67
2015-11-09,5.76,5.76,5.63,5.73,1094400,5.73
2015-11-06,5.68,5.82,5.65,5.79,1262700,5.79
2015-11-05,5.86,5.92,5.85,5.89,527600,5.89
2015-11-04,5.87,5.93,5.86,5.90,713500,5.90
2015-11-03,5.72,5.84,5.71,5.81,962600,5.81
2015-11-02,5.74,5.77,5.70,5.73,999600,5.73
2015-10-30,5.79,5.84,5.72,5.74,1406900,5.74
2015-10-29,5.84,5.84,5.68,5.71,833200,5.71
2015-10-28,5.83,5.94,5.83,5.93,1808100,5.93
2015-10-27,5.87,6.00,5.87,5.98,1344200,5.98
2015-10-26,6.10,6.11,5.97,6.01,1204900,6.01
2015-10-23,5.89,6.16,5.88,6.12,3400000,6.12
2015-10-22,5.83,5.93,5.82,5.91,1006300,5.91
2015-10-21,5.78,5.86,5.77,5.80,974800,5.80
2015-10-20,5.79,5.82,5.76,5.80,999900,5.80
2015-10-19,5.84,5.85,5.77,5.80,1111300,5.80
2015-10-16,5.94,5.98,5.92,5.95,1041200,5.95
2015-10-15,5.68,5.90,5.68,5.89,3553000,5.89
2015-10-14,5.29,5.44,5.29,5.40,888000,5.40
2015-10-13,5.26,5.31,5.23,5.24,571900,5.24
2015-10-12,5.36,5.38,5.33,5.34,423900,5.34
2015-10-09,5.36,5.42,5.31,5.34,767500,5.34
2015-10-08,5.30,5.34,5.22,5.34,1643500,5.34
2015-10-07,5.41,5.43,5.32,5.38,1319900,5.38
2015-10-06,5.34,5.35,5.28,5.34,1069800,5.34
2015-10-05,5.47,5.47,5.40,5.43,1757200,5.43
2015-10-02,5.37,5.42,5.32,5.42,1139400,5.42
2015-10-01,5.50,5.53,5.40,5.49,2087600,5.49
2015-09-30,5.30,5.49,5.30,5.49,2096600,5.49
2015-09-29,5.11,5.20,5.09,5.19,1101700,5.19
2015-09-28,5.12,5.15,5.08,5.10,946400,5.10
2015-09-25,5.24,5.26,5.09,5.14,1369100,5.14
2015-09-24,5.09,5.14,5.02,5.12,1712700,5.12
2015-09-23,5.26,5.27,5.18,5.20,863200,5.20
2015-09-22,5.33,5.34,5.25,5.31,912200,5.31
2015-09-21,5.50,5.50,5.40,5.43,1100000,5.43
2015-09-18,5.60,5.64,5.50,5.50,1234200,5.50
2015-09-17,5.60,5.80,5.58,5.65,2205300,5.65
2015-09-16,5.51,5.59,5.46,5.48,1451300,5.48
2015-09-15,5.48,5.52,5.43,5.50,1742800,5.50
2015-09-14,5.48,5.52,5.45,5.51,1038300,5.51
2015-09-11,5.45,5.56,5.44,5.48,1897500,5.48
2015-09-10,5.24,5.40,5.22,5.35,2089100,5.35
2015-09-09,5.36,5.41,5.17,5.17,1823900,5.17
2015-09-08,5.04,5.10,4.88,5.07,3025200,5.07
2015-09-04,4.84,4.84,4.72,4.76,1028200,4.76
2015-09-03,4.88,4.94,4.85,4.88,979500,4.88
2015-09-02,4.91,4.93,4.74,4.83,1031800,4.83
2015-09-01,4.76,4.85,4.70,4.74,1281900,4.74
2015-08-31,4.96,4.98,4.86,4.92,1599300,4.92
2015-08-28,5.03,5.13,4.88,4.91,1422400,4.91
2015-08-27,4.93,5.02,4.89,5.01,1368700,5.01
2015-08-26,4.67,4.78,4.65,4.78,2269300,4.78
2015-08-25,4.96,5.05,4.70,4.77,4014000,4.77
2015-08-24,4.62,5.08,4.54,4.84,2906300,4.84
2015-08-21,4.67,4.98,4.67,4.94,3479100,4.94
2015-08-20,4.77,4.79,4.69,4.69,1734200,4.69
2015-08-19,4.75,4.76,4.62,4.74,2200600,4.74
