Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2.92,2.94,2.91,2.91,402100,2.91
2015-12-30,2.95,2.96,2.91,2.93,731000,2.93
2015-12-29,3.00,3.04,2.98,2.99,436300,2.99
2015-12-28,3.01,3.03,2.97,2.97,786100,2.97
2015-12-24,3.04,3.07,3.03,3.03,236300,3.03
2015-12-23,3.02,3.05,3.02,3.02,657200,3.02
2015-12-22,2.88,2.94,2.86,2.90,1525200,2.90
2015-12-21,2.87,3.10,2.85,2.96,5848900,2.96
2015-12-18,2.59,2.60,2.56,2.57,1747200,2.57
2015-12-17,2.62,2.63,2.58,2.61,1720900,2.61
2015-12-16,2.63,2.66,2.61,2.66,1607100,2.66
2015-12-15,2.60,2.61,2.56,2.59,2584500,2.59
2015-12-14,2.43,2.44,2.38,2.42,1559500,2.42
2015-12-11,2.50,2.50,2.39,2.40,2055900,2.40
2015-12-10,2.57,2.59,2.55,2.56,2029900,2.56
2015-12-09,2.59,2.60,2.58,2.60,340100,2.60
2015-12-08,2.62,2.63,2.58,2.60,994000,2.60
2015-12-07,2.70,2.72,2.67,2.68,1250900,2.68
2015-12-04,2.66,2.68,2.64,2.68,551200,2.68
2015-12-03,2.66,2.67,2.64,2.64,1052400,2.64
2015-12-02,2.67,2.69,2.65,2.68,463100,2.68
2015-12-01,2.71,2.72,2.64,2.67,2989300,2.67
2015-11-30,2.66,2.69,2.65,2.68,802200,2.68
2015-11-27,2.68,2.70,2.64,2.69,586400,2.69
2015-11-25,2.68,2.71,2.67,2.68,1224100,2.68
2015-11-24,2.70,2.76,2.70,2.73,1106600,2.73
2015-11-23,2.78,2.78,2.73,2.76,827700,2.76
2015-11-20,2.77,2.80,2.75,2.77,3137500,2.77
2015-11-19,2.74,2.77,2.74,2.76,1095500,2.76
2015-11-18,2.71,2.71,2.67,2.69,1404800,2.69
2015-11-17,2.72,2.74,2.69,2.69,1531600,2.69
2015-11-16,2.65,2.70,2.64,2.70,1536100,2.70
2015-11-13,2.70,2.70,2.64,2.65,1512300,2.65
2015-11-12,2.77,2.77,2.72,2.74,1139900,2.74
2015-11-11,2.78,2.79,2.75,2.78,838400,2.78
2015-11-10,2.84,2.86,2.77,2.80,1515200,2.80
2015-11-09,2.90,2.91,2.86,2.87,1063200,2.87
