Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.84,4.85,4.78,4.81,6094900,4.788225
2015-12-30,4.95,4.99,4.79,4.82,10645200,4.79818
2015-12-29,5.09,5.11,5.03,5.08,8766700,5.057003
2015-12-28,4.99,5.08,4.92,5.01,9698400,4.98732
2015-12-24,4.86,4.99,4.86,4.93,2831100,4.907682
2015-12-23,4.83,4.92,4.83,4.91,10900300,4.887772
2015-12-22,4.82,4.87,4.73,4.77,10800700,4.748406
2015-12-21,4.93,4.94,4.70,4.73,15009800,4.708587
2015-12-18,5.13,5.21,4.86,4.86,20793100,4.837999
2015-12-17,5.27,5.34,5.19,5.19,21203500,5.166505
2015-12-16,5.14,5.44,5.03,5.39,25030400,5.140622
2015-12-15,5.35,5.42,5.27,5.31,10533000,5.064324
2015-12-14,5.27,5.27,5.17,5.24,17301100,4.997562
2015-12-11,5.39,5.40,5.26,5.30,18681800,5.054786
2015-12-10,5.69,5.69,5.33,5.34,30674900,5.092936
2015-12-09,5.81,5.87,5.73,5.80,24122900,5.531653
2015-12-08,5.53,5.69,5.37,5.62,25846900,5.359981
2015-12-07,5.81,5.83,5.55,5.58,11195700,5.321832
2015-12-04,5.68,5.78,5.59,5.68,9787300,5.417205
2015-12-03,5.81,5.87,5.69,5.72,16474200,5.455354
2015-12-02,5.46,5.52,5.26,5.51,25939700,5.255071
2015-12-01,5.43,5.44,5.32,5.36,17320000,5.107242
2015-11-30,5.43,5.49,5.35,5.36,36210600,5.107242
2015-11-27,5.85,5.85,5.61,5.62,11638800,5.354981
2015-11-25,5.81,5.88,5.68,5.72,20068400,5.450265
2015-11-24,6.06,6.22,6.00,6.13,12363600,5.840931
2015-11-23,6.25,6.32,6.08,6.10,14598100,5.812346
2015-11-20,6.38,6.51,6.33,6.44,13481600,6.136313
2015-11-19,6.10,6.34,6.07,6.33,14252000,6.0315
2015-11-18,5.92,6.08,5.88,6.07,14028500,5.783761
2015-11-17,5.80,5.96,5.79,5.83,17289200,5.555078
2015-11-16,5.53,5.71,5.50,5.69,13855300,5.42168
2015-11-13,5.64,5.68,5.51,5.58,15207900,5.316867
2015-11-12,5.61,5.78,5.59,5.64,11032800,5.374038
2015-11-11,5.81,5.81,5.63,5.81,19484900,5.536021
2015-11-10,5.50,5.75,5.41,5.65,13652300,5.383566
2015-11-09,5.67,5.71,5.53,5.60,17659600,5.335924
2015-11-06,5.69,5.83,5.61,5.83,11074400,5.555078
2015-11-05,5.69,5.85,5.65,5.81,12065900,5.536021
2015-11-04,5.82,5.86,5.61,5.67,16797400,5.402623
2015-11-03,5.51,5.86,5.51,5.83,24521100,5.550314
2015-11-02,5.48,5.55,5.38,5.53,17566100,5.264706
2015-10-30,5.45,5.48,5.38,5.44,31635400,5.179024
2015-10-29,5.44,5.58,5.40,5.44,33935900,5.179024
2015-10-28,5.47,5.81,5.46,5.58,53806100,5.312307
2015-10-27,5.40,5.48,5.34,5.43,15889200,5.169503
2015-10-26,5.58,5.59,5.37,5.43,21341600,5.169503
2015-10-23,5.62,5.66,5.45,5.48,18617900,5.217105
2015-10-22,5.58,5.58,5.46,5.51,17425700,5.245666
2015-10-21,5.42,5.46,5.31,5.36,16096100,5.102862
2015-10-20,5.66,5.67,5.42,5.44,22901700,5.179024
2015-10-19,5.70,5.70,5.57,5.62,30889100,5.350388
2015-10-16,5.83,5.84,5.64,5.75,20386400,5.474152
