Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.08,10.08,9.79,9.80,262500,9.80
2015-12-30,10.08,10.20,9.98,10.02,170400,10.02
2015-12-29,10.18,10.32,10.02,10.08,220400,10.08
2015-12-28,10.37,10.39,10.04,10.14,243900,10.14
2015-12-24,10.18,10.51,10.13,10.40,107500,10.40
2015-12-23,10.14,10.40,9.74,10.16,226300,10.16
2015-12-22,10.09,10.27,9.82,10.24,202600,10.24
2015-12-21,10.25,10.30,9.89,10.09,252700,10.09
2015-12-18,10.63,10.77,10.16,10.17,2296100,10.17
2015-12-17,10.65,10.80,10.43,10.67,396400,10.67
2015-12-16,10.40,10.67,10.00,10.62,348300,10.62
2015-12-15,10.42,10.68,10.20,10.36,524300,10.36
2015-12-14,9.58,10.69,9.58,10.42,981300,10.42
2015-12-11,9.80,9.83,9.50,9.55,273700,9.55
2015-12-10,9.81,10.11,9.76,10.01,206900,10.01
2015-12-09,10.09,10.15,9.82,9.83,294100,9.83
2015-12-08,9.93,10.18,9.84,10.08,161400,10.08
2015-12-07,10.36,10.41,10.06,10.07,288300,10.07
2015-12-04,10.31,10.40,10.14,10.36,164300,10.36
2015-12-03,10.48,10.62,10.07,10.31,300300,10.31
2015-12-02,10.62,10.73,10.41,10.46,234000,10.46
2015-12-01,10.63,10.76,10.48,10.58,222800,10.58
2015-11-30,10.29,10.69,10.26,10.63,350700,10.63
2015-11-27,10.45,10.53,9.95,10.29,127600,10.29
2015-11-25,10.21,10.56,10.13,10.47,201400,10.47
2015-11-24,10.00,10.19,9.92,10.18,189800,10.18
2015-11-23,10.09,10.18,9.92,10.04,208500,10.04
2015-11-20,10.36,10.49,10.06,10.11,358500,10.11
2015-11-19,10.54,10.57,10.32,10.35,337600,10.35
2015-11-18,10.45,10.55,10.33,10.54,270400,10.54
2015-11-17,10.44,10.56,10.34,10.46,289000,10.46
2015-11-16,10.23,10.72,10.07,10.43,582700,10.43
2015-11-13,10.57,10.79,10.28,10.28,508500,10.28
2015-11-12,10.31,10.31,10.11,10.20,270300,10.20
2015-11-11,10.27,10.48,10.22,10.35,375800,10.35
2015-11-10,10.25,10.38,9.99,10.25,650900,10.25
2015-11-09,10.10,10.30,9.97,10.20,483900,10.20
2015-11-06,9.64,10.13,9.62,10.12,377600,10.12
2015-11-05,9.89,10.10,9.49,9.62,531200,9.62
2015-11-04,10.21,10.41,9.83,9.84,549700,9.84
2015-11-03,9.86,10.40,9.72,10.24,869100,10.24
2015-11-02,9.80,10.21,9.61,9.86,799700,9.86
2015-10-30,11.02,11.41,8.85,9.80,2039700,9.80
2015-10-29,11.48,11.51,10.93,11.10,657300,11.10
2015-10-28,11.10,11.63,11.02,11.48,602900,11.48
2015-10-27,11.27,11.48,11.05,11.08,609700,11.08
2015-10-26,11.70,11.79,11.16,11.28,534600,11.28
2015-10-23,11.40,11.68,11.27,11.64,651700,11.64
2015-10-22,11.25,11.41,11.11,11.37,456700,11.37
2015-10-21,11.55,11.62,11.14,11.14,530900,11.14
2015-10-20,11.73,11.81,11.50,11.56,368100,11.56
2015-10-19,11.74,11.89,11.60,11.73,453500,11.73
2015-10-16,13.06,13.06,11.66,11.80,977100,11.80
2015-10-15,12.61,13.01,12.00,13.00,1036400,13.00
2015-10-14,15.11,15.15,12.35,12.58,3246400,12.58
2015-10-13,14.58,14.84,14.41,14.81,332400,14.81
2015-10-12,14.34,14.70,14.22,14.67,295100,14.67
2015-10-09,14.55,14.60,14.28,14.32,127800,14.32
2015-10-08,14.42,14.47,14.26,14.47,181800,14.47
2015-10-07,14.18,14.45,14.07,14.44,162600,14.44
2015-10-06,13.99,14.27,13.99,14.14,197200,14.14
2015-10-05,13.66,14.01,13.54,14.00,265800,14.00
2015-10-02,13.28,13.66,13.08,13.64,335900,13.64
2015-10-01,13.83,13.91,13.31,13.37,218200,13.37
2015-09-30,13.52,13.79,13.50,13.77,240800,13.77
2015-09-29,13.54,13.57,13.38,13.46,163400,13.46
2015-09-28,13.75,13.84,13.38,13.48,168300,13.48
2015-09-25,13.59,14.01,13.59,13.82,277300,13.82
2015-09-24,13.51,13.59,13.37,13.51,210700,13.51
2015-09-23,13.70,13.86,13.54,13.55,190600,13.55
2015-09-22,13.88,14.03,13.71,13.73,163300,13.73
2015-09-21,14.06,14.13,13.86,13.94,236000,13.94
2015-09-18,13.84,14.14,13.77,13.99,693900,13.99
2015-09-17,14.05,14.13,13.92,14.01,272700,14.01
2015-09-16,14.09,14.20,14.03,14.08,436900,14.08
2015-09-15,14.03,14.11,13.92,14.05,262200,14.05
2015-09-14,13.50,14.06,13.41,13.98,290200,13.98
2015-09-11,13.15,13.52,13.10,13.48,830500,13.48
2015-09-10,13.26,13.35,13.01,13.15,939300,13.15
2015-09-09,13.40,13.44,13.23,13.29,236400,13.29
2015-09-08,13.44,13.65,13.16,13.29,321700,13.29
2015-09-04,13.44,13.48,13.21,13.26,173500,13.26
2015-09-03,13.45,13.58,13.33,13.57,254600,13.57
2015-09-02,13.55,13.55,13.26,13.39,195300,13.39
2015-09-01,13.76,13.90,13.32,13.44,386200,13.44
2015-08-31,13.76,14.02,13.61,13.96,493300,13.96
2015-08-28,13.59,13.81,13.54,13.81,308200,13.81
2015-08-27,13.48,13.75,13.29,13.66,256600,13.66
2015-08-26,13.43,13.45,13.13,13.42,270300,13.42
2015-08-25,13.50,13.51,13.18,13.20,303200,13.20
2015-08-24,12.84,13.62,12.84,13.14,527900,13.14
2015-08-21,13.17,13.59,13.14,13.40,320200,13.40
2015-08-20,13.45,13.63,13.40,13.40,342000,13.40
2015-08-19,13.59,13.71,13.46,13.55,174900,13.55
2015-08-18,13.67,13.80,13.64,13.73,321100,13.73
2015-08-17,13.77,13.77,13.58,13.77,166600,13.77
2015-08-14,13.54,13.86,13.51,13.83,182400,13.83
2015-08-13,13.62,13.74,13.45,13.57,208800,13.57
2015-08-12,13.75,13.82,13.52,13.61,193100,13.61
