Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,17.620001,17.65,17.299999,17.299999,314900,17.19907
2015-12-30,17.76,17.85,17.59,17.620001,331200,17.517205
2015-12-29,16.870001,17.950001,16.870001,17.85,724500,17.745863
2015-12-28,16.83,16.950001,16.68,16.709999,240300,16.612512
2015-12-24,16.969999,17.059999,16.780001,16.93,155300,16.83123
2015-12-23,16.83,17.08,16.83,17.02,368400,16.920705
2015-12-22,16.219999,16.719999,16.219999,16.719999,362000,16.622454
2015-12-21,16.360001,16.50,16.08,16.18,524600,16.085605
2015-12-18,16.67,16.75,16.27,16.280001,681100,16.185022
2015-12-17,16.85,17.08,16.66,16.719999,529600,16.622454
2015-12-16,16.969999,17.16,16.76,16.84,570200,16.741755
2015-12-15,18.02,18.120001,16.629999,16.84,901100,16.741755
2015-12-14,17.98,18.129999,17.91,18.10,520000,17.860192
2015-12-11,17.879999,18.139999,17.860001,18.01,632900,17.771384
2015-12-10,17.48,18.049999,17.459999,18.040001,380500,17.800987
2015-12-09,17.389999,17.620001,17.389999,17.48,512100,17.248405
2015-12-08,17.84,17.950001,17.41,17.440001,822600,17.208936
2015-12-07,18.34,18.440001,17.940001,17.98,603800,17.741781
2015-12-04,18.440001,18.57,18.26,18.469999,541200,18.225288
2015-12-03,18.959999,19.01,18.389999,18.459999,529200,18.215421
2015-12-02,18.889999,19.26,18.889999,18.959999,338900,18.708796
2015-12-01,19.049999,19.17,18.700001,18.940001,490800,18.689063
2015-11-30,19.23,19.35,18.99,19.040001,258800,18.787738
2015-11-27,19.040001,19.309999,18.950001,19.219999,179300,18.965352
2015-11-25,18.93,19.02,18.73,18.99,192300,18.738399
2015-11-24,18.540001,18.969999,18.540001,18.940001,273400,18.689063
2015-11-23,18.809999,18.90,18.549999,18.629999,350000,18.383168
2015-11-20,18.639999,18.870001,18.459999,18.77,335800,18.521315
2015-11-19,18.52,18.629999,18.40,18.59,291700,18.343699
2015-11-18,18.469999,18.700001,18.34,18.59,587900,18.343699
2015-11-17,18.07,18.559999,18.059999,18.379999,542300,18.136481
2015-11-16,18.17,18.450001,17.959999,18.09,529800,17.850324
2015-11-13,17.129999,18.549999,17.129999,18.209999,845900,17.968733
2015-11-12,17.40,17.40,16.92,16.950001,472200,16.725429
2015-11-11,17.559999,17.66,17.41,17.530001,346500,17.297744
2015-11-10,17.620001,17.73,17.26,17.549999,552200,17.317478
2015-11-09,17.90,17.90,17.35,17.700001,604500,17.465492
2015-11-06,17.549999,17.959999,17.41,17.90,470200,17.662841
2015-11-05,17.559999,17.700001,17.209999,17.610001,490600,17.376684
2015-11-04,17.73,17.73,17.129999,17.559999,913500,17.327345
2015-11-03,18.049999,18.15,17.610001,17.73,684900,17.495093
2015-11-02,17.75,18.139999,17.27,18.10,923200,17.860192
2015-10-30,20.440001,20.440001,17.219999,17.77,1801000,17.534564
2015-10-29,20.440001,20.58,20.00,20.219999,416800,19.952103
2015-10-28,19.98,20.67,19.98,20.549999,554300,20.27773
2015-10-27,20.610001,20.700001,19.73,19.940001,579600,19.675813
2015-10-26,20.92,21.10,20.700001,20.780001,205100,20.504684
2015-10-23,21.110001,21.16,20.76,20.98,275100,20.702033
2015-10-22,20.809999,21.190001,20.709999,20.98,429500,20.702033
2015-10-21,20.709999,21.10,20.67,20.73,353500,20.455346
2015-10-20,20.540001,20.85,20.49,20.67,127700,20.396141
2015-10-19,20.309999,20.620001,20.309999,20.59,207500,20.317201
2015-10-16,20.879999,20.879999,20.25,20.389999,171100,20.11985
2015-10-15,20.57,20.82,20.35,20.82,200100,20.544153
2015-10-14,20.620001,20.83,20.51,20.540001,212600,20.267864
2015-10-13,20.74,21.049999,20.59,20.620001,290500,20.346804
2015-10-12,21.10,21.24,20.82,20.870001,178600,20.593492
2015-10-09,21.09,21.18,20.950001,21.09,342700,20.810577
2015-10-08,20.709999,21.15,20.709999,21.07,428000,20.790841
2015-10-07,20.51,20.870001,20.43,20.790001,388100,20.514552
2015-10-06,20.16,20.48,20.16,20.43,258100,20.159321
2015-10-05,19.67,20.280001,19.66,20.190001,501800,19.922501
2015-10-02,18.969999,19.50,18.969999,19.50,222500,19.241643
2015-10-01,19.309999,19.49,19.07,19.16,461400,18.906147
2015-09-30,19.50,19.52,19.15,19.309999,396400,19.054159
2015-09-29,19.299999,19.459999,19.209999,19.24,276500,18.985087
2015-09-28,19.290001,19.43,19.200001,19.280001,436700,19.024558
2015-09-25,19.530001,19.57,19.139999,19.41,479000,19.152835
2015-09-24,19.43,19.700001,19.190001,19.379999,302900,19.123232
2015-09-23,19.84,19.84,19.40,19.50,261700,19.241643
2015-09-22,19.809999,19.950001,19.32,19.77,269400,19.508066
2015-09-21,19.76,20.129999,19.700001,20.040001,309600,19.774489
2015-09-18,20.08,20.09,19.639999,19.68,588300,19.419258
2015-09-17,20.469999,20.59,20.280001,20.33,439500,20.060646
2015-09-16,20.40,20.540001,20.35,20.459999,720600,20.188923
2015-09-15,19.73,20.42,19.73,20.40,488600,20.129718
2015-09-14,19.870001,19.879999,19.65,19.790001,441100,19.394589
2015-09-11,19.540001,19.90,19.50,19.860001,313400,19.46319
2015-09-10,19.709999,19.870001,19.65,19.67,206000,19.276986
2015-09-09,20.129999,20.219999,19.719999,19.75,357600,19.355388
2015-09-08,19.82,20.040001,19.66,20.01,427000,19.610193
2015-09-04,19.540001,19.719999,19.51,19.559999,228100,19.169183
2015-09-03,19.870001,20.15,19.77,19.780001,321700,19.384789
2015-09-02,19.65,19.940001,19.469999,19.84,594200,19.44359
2015-09-01,19.719999,19.91,19.41,19.459999,473400,19.071181
2015-08-31,19.83,19.98,19.709999,19.98,748900,19.580792
2015-08-28,19.82,20.049999,19.709999,19.889999,543300,19.49259
2015-08-27,19.690001,19.90,19.450001,19.809999,455700,19.414188
2015-08-26,19.469999,19.60,19.26,19.530001,457000,19.139784
2015-08-25,19.709999,19.709999,19.10,19.110001,577000,18.728176
2015-08-24,18.66,19.629999,18.440001,19.209999,621600,18.826176
2015-08-21,19.639999,19.950001,19.48,19.50,609100,19.110383
2015-08-20,19.969999,20.24,19.940001,19.98,535100,19.580792
2015-08-19,19.84,20.139999,19.780001,20.10,822100,19.698395
2015-08-18,19.99,20.25,19.83,19.90,877200,19.50239
2015-08-17,19.92,20.09,19.84,20.00,1072400,19.600393
2015-08-14,19.93,20.15,19.82,19.99,968300,19.590592
2015-08-13,19.41,20.24,19.27,20.00,2670600,19.600393
2015-08-12,18.23,18.59,18.120001,18.549999,315700,18.179363
2015-08-11,18.139999,18.450001,18.139999,18.33,328200,17.96376
2015-08-10,18.32,18.469999,18.08,18.309999,844400,17.944159
2015-08-07,18.10,18.309999,18.030001,18.200001,350600,17.836358
2015-08-06,18.24,18.299999,18.110001,18.17,242300,17.806957
2015-08-05,18.24,18.469999,18.10,18.200001,245700,17.836358
2015-08-04,18.309999,18.35,18.09,18.17,272900,17.806957
2015-08-03,18.459999,18.58,18.190001,18.290001,314700,17.92456
2015-07-31,18.370001,18.51,18.370001,18.48,357400,18.110762
2015-07-30,18.110001,18.360001,18.07,18.299999,165800,17.934358
2015-07-29,17.98,18.24,17.879999,18.190001,195200,17.826558
2015-07-28,18.00,18.08,17.719999,18.030001,244700,17.669755
2015-07-27,17.969999,18.110001,17.889999,17.889999,253200,17.532551
2015-07-24,18.23,18.23,18.030001,18.049999,288800,17.689354
2015-07-23,18.450001,18.48,18.15,18.26,253200,17.895159
2015-07-22,18.42,18.59,18.309999,18.379999,220900,18.01276
2015-07-21,18.68,18.709999,18.440001,18.48,235800,18.110762
2015-07-20,18.82,18.83,18.639999,18.66,215700,18.287166
2015-07-17,18.83,18.84,18.700001,18.790001,213200,18.41457
2015-07-16,18.809999,19.040001,18.76,18.84,149200,18.46357
2015-07-15,18.83,18.90,18.700001,18.719999,245700,18.345967
2015-07-14,18.74,18.940001,18.65,18.860001,181800,18.483171
2015-07-13,18.75,18.879999,18.65,18.77,283800,18.394969
2015-07-10,18.65,18.799999,18.639999,18.66,250600,18.287166
2015-07-09,18.84,18.84,18.389999,18.450001,397700,18.081363
