Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,25.860001,26.139999,25.49,25.76,829900,25.76
2015-12-30,26.18,26.41,25.85,25.90,530900,25.90
2015-12-29,26.049999,26.23,25.620001,26.219999,674000,26.219999
2015-12-28,26.549999,26.690001,25.91,25.950001,714000,25.950001
2015-12-24,26.469999,26.77,26.15,26.67,515400,26.67
2015-12-23,26.790001,26.799999,26.34,26.40,905900,26.40
2015-12-22,26.530001,26.940001,26.32,26.73,653600,26.73
2015-12-21,26.60,26.700001,26.25,26.52,871200,26.52
2015-12-18,26.200001,26.879999,26.01,26.51,1824100,26.51
2015-12-17,27.18,27.18,26.469999,26.48,486200,26.48
2015-12-16,27.32,27.469999,26.93,27.08,790300,27.08
2015-12-15,26.690001,27.50,26.540001,27.09,1588300,27.09
2015-12-14,25.860001,26.58,25.860001,26.51,1938900,26.51
2015-12-11,26.450001,26.74,25.84,25.860001,842800,25.860001
2015-12-10,26.02,27.00,26.02,26.950001,1145500,26.950001
2015-12-09,26.27,26.67,25.709999,25.969999,952100,25.969999
2015-12-08,26.690001,26.959999,26.280001,26.33,825500,26.33
2015-12-07,27.469999,27.469999,26.620001,26.99,1679600,26.99
2015-12-04,27.950001,28.030001,27.60,27.68,808300,27.68
2015-12-03,28.870001,28.870001,27.57,27.83,842200,27.83
2015-12-02,28.40,29.309999,28.40,28.83,860800,28.83
2015-12-01,28.49,28.639999,28.01,28.58,888700,28.58
2015-11-30,29.09,29.200001,28.219999,28.309999,1060600,28.309999
2015-11-27,29.02,29.870001,29.02,29.07,316500,29.07
2015-11-25,29.15,29.50,29.02,29.25,723900,29.15
2015-11-24,28.040001,29.209999,28.00,29.129999,956000,29.030409
2015-11-23,29.040001,29.049999,28.17,28.190001,948000,28.093624
2015-11-20,29.00,29.450001,28.889999,28.99,967500,28.890889
2015-11-19,28.969999,29.17,28.709999,28.969999,1233000,28.870957
2015-11-18,29.059999,29.35,28.790001,29.08,1281900,28.980581
2015-11-17,29.34,29.379999,28.700001,28.90,761700,28.801196
2015-11-16,28.92,29.360001,28.549999,29.32,1074400,29.21976
2015-11-13,29.82,30.09,28.84,29.01,1571200,28.910821
2015-11-12,28.790001,30.67,28.26,30.01,3102300,29.907402
2015-11-11,30.08,30.08,28.40,28.709999,2118600,28.611845
2015-11-10,30.90,31.50,29.10,29.860001,3183000,29.757915
2015-11-09,35.080002,35.400002,31.41,32.009998,2535700,31.900562
2015-11-06,32.50,34.220001,32.290001,34.09,2358300,33.973453
2015-11-05,32.549999,33.240002,32.049999,32.540001,1889700,32.428753
2015-11-04,34.740002,34.849998,33.029999,33.18,1543200,33.066564
2015-11-03,34.32,34.830002,34.139999,34.57,598200,34.451812
2015-11-02,34.57,34.77,34.139999,34.389999,758000,34.272427
2015-10-30,34.400002,34.939999,34.27,34.650002,608700,34.53154
2015-10-29,34.400002,34.849998,34.110001,34.389999,455200,34.272427
2015-10-28,33.77,34.630001,33.599998,34.41,846700,34.292359
2015-10-27,33.57,34.029999,33.419998,33.669998,750700,33.554887
2015-10-26,33.740002,33.880001,33.52,33.790001,449500,33.67448
2015-10-23,34.130001,34.330002,33.52,33.709999,612300,33.594751
2015-10-22,33.360001,33.740002,33.240002,33.740002,787300,33.624651
2015-10-21,33.740002,33.799999,33.099998,33.139999,1225300,33.0267
2015-10-20,33.540001,34.00,33.490002,33.599998,1048500,33.485127
2015-10-19,33.380001,33.77,33.25,33.59,707500,33.475163
2015-10-16,33.970001,34.110001,33.360001,33.509998,787800,33.395434
2015-10-15,33.150002,33.950001,33.029999,33.939999,1556300,33.823964
2015-10-14,33.459999,33.650002,32.970001,33.110001,1192600,32.996804
2015-10-13,33.630001,33.970001,33.349998,33.380001,1009700,33.265881
2015-10-12,34.169998,34.259998,33.82,33.889999,560300,33.774136
2015-10-09,34.029999,34.330002,33.279999,34.09,1286000,33.973453
2015-10-08,34.599998,34.639999,33.919998,34.00,1241700,33.883761
2015-10-07,34.240002,34.560001,33.880001,34.549999,1227000,34.43188
2015-10-06,33.849998,34.279999,33.77,33.939999,685300,33.823964
2015-10-05,33.759998,34.139999,33.369999,33.869999,1449000,33.754204
2015-10-02,32.41,33.450001,32.380001,33.389999,1446700,33.275846
2015-10-01,32.09,32.990002,31.889999,32.740002,1575500,32.62807
2015-09-30,31.950001,32.299999,31.58,31.98,1149100,31.870666
2015-09-29,32.27,32.560001,31.459999,31.58,1526900,31.472034
2015-09-28,33.330002,33.369999,32.23,32.290001,1948800,32.179608
2015-09-25,34.34,34.34,33.349998,33.549999,1021300,33.435298
2015-09-24,34.00,34.220001,33.77,34.029999,947800,33.913657
2015-09-23,34.68,34.959999,34.18,34.299999,625700,34.182734
2015-09-22,34.650002,35.029999,34.279999,34.689999,684200,34.5714
2015-09-21,34.93,35.599998,34.77,35.119999,546500,34.999931
2015-09-18,34.849998,35.330002,34.630001,34.700001,739600,34.581368
2015-09-17,35.09,35.880001,35.080002,35.25,608800,35.129487
2015-09-16,34.830002,35.32,34.580002,35.189999,503300,35.069691
2015-09-15,34.41,35.099998,34.41,34.73,528100,34.611265
2015-09-14,34.68,34.73,34.330002,34.439999,540800,34.322255
2015-09-11,34.259998,34.779999,34.150002,34.709999,375300,34.591332
2015-09-10,34.580002,34.98,34.369999,34.490002,648600,34.372087
2015-09-09,35.209999,35.310001,34.529999,34.59,711000,34.471744
2015-09-08,34.689999,34.970001,34.18,34.93,820700,34.810582
2015-09-04,33.77,34.380001,33.669998,34.09,515300,33.973453
2015-09-03,34.439999,34.919998,33.950001,34.32,689400,34.202666
2015-09-02,34.68,34.68,33.860001,34.439999,767200,34.322255
2015-09-01,34.610001,35.080002,33.91,34.029999,938700,33.913657
2015-08-31,35.59,36.029999,35.040001,35.209999,902300,35.089623
2015-08-28,35.00,36.189999,34.349998,35.84,1123900,35.71747
2015-08-27,34.419998,35.41,34.18,35.189999,1385900,34.970033
2015-08-26,34.389999,34.389999,33.279999,33.950001,1638900,33.737786
2015-08-25,34.950001,35.02,33.669998,33.689999,1547300,33.479409
2015-08-24,33.849998,35.369999,32.18,34.00,1898800,33.787473
2015-08-21,36.279999,36.759998,35.900002,35.900002,927700,35.675598
2015-08-20,37.700001,38.02,36.84,36.860001,756600,36.629596
2015-08-19,38.25,39.139999,37.869999,38.09,667000,37.851907
2015-08-18,37.73,38.470001,37.73,38.43,1016300,38.189782
2015-08-17,37.919998,38.419998,36.900002,37.73,1771400,37.494157
2015-08-14,38.450001,38.66,37.799999,37.84,935000,37.60347
2015-08-13,36.700001,38.75,36.349998,38.060001,1500700,37.822096
2015-08-12,37.209999,38.450001,36.900002,37.490002,1468900,37.255659
2015-08-11,38.259998,38.349998,37.360001,37.52,3155800,37.28547
2015-08-10,37.599998,39.240002,37.00,38.720001,1548500,38.47797
2015-08-07,39.02,40.169998,36.759998,37.490002,2113400,37.255659
2015-08-06,41.939999,42.080002,40.419998,40.509998,1106700,40.256778
2015-08-05,40.93,42.189999,40.860001,41.950001,913800,41.68778
2015-08-04,40.700001,41.119999,40.279999,40.59,771200,40.33628
2015-08-03,41.830002,41.830002,40.110001,40.66,777700,40.405842
2015-07-31,41.580002,41.970001,41.299999,41.830002,510100,41.568531
2015-07-30,41.619999,41.77,41.279999,41.360001,490400,41.101468
2015-07-29,41.130001,41.860001,41.029999,41.740002,495200,41.479093
2015-07-28,41.439999,41.630001,40.849998,41.110001,581800,40.85303
2015-07-27,41.560001,41.689999,41.119999,41.23,280700,40.972279
2015-07-24,42.59,42.830002,41.720001,41.759998,320500,41.498965
2015-07-23,43.00,43.459999,42.540001,42.610001,263900,42.343654
2015-07-22,42.77,43.209999,42.77,42.919998,387200,42.651714
2015-07-21,43.48,43.869999,42.75,42.889999,450000,42.621903
2015-07-20,43.27,43.529999,43.00,43.41,260700,43.138653
2015-07-17,43.66,43.66,43.040001,43.27,599600,42.999528
2015-07-16,43.810001,43.950001,43.459999,43.639999,678100,43.367215
2015-07-15,44.099998,44.330002,43.490002,43.720001,476700,43.446716
2015-07-14,44.09,44.459999,43.869999,44.209999,270500,43.933651
2015-07-13,43.740002,44.259998,43.740002,44.040001,510200,43.764716
2015-07-10,43.82,44.060001,43.34,43.439999,471800,43.168464
2015-07-09,43.880001,43.880001,43.080002,43.16,628700,42.890215
2015-07-08,44.169998,44.389999,43.060001,43.27,490500,42.999528
2015-07-07,44.48,44.599998,43.380001,44.450001,770100,44.172153
2015-07-06,44.580002,44.93,44.009998,44.209999,563400,43.933651
2015-07-02,45.400002,45.57,44.669998,44.950001,305700,44.669027
2015-07-01,45.560001,45.740002,45.049999,45.349998,698500,45.066525
2015-06-30,45.50,45.75,45.189999,45.240002,364700,44.957216
2015-06-29,46.349998,46.610001,45.080002,45.16,562100,44.877714
2015-06-26,46.900002,47.279999,46.599998,46.709999,493000,46.418024
2015-06-25,46.799999,47.00,46.560001,46.740002,323900,46.447839
2015-06-24,46.91,47.200001,46.529999,46.59,458100,46.298775
2015-06-23,46.700001,47.049999,46.700001,46.93,393300,46.63665
2015-06-22,46.650002,46.650002,46.200001,46.639999,462500,46.348462
2015-06-19,46.549999,46.790001,46.380001,46.560001,638400,46.268964
2015-06-18,46.669998,46.959999,46.540001,46.639999,394500,46.348462
2015-06-17,46.630001,46.880001,46.450001,46.59,343200,46.298775
2015-06-16,45.990002,46.689999,45.779999,46.619999,242900,46.328587
2015-06-15,45.93,46.18,45.529999,45.990002,266400,45.702527
2015-06-12,46.240002,46.610001,46.099998,46.310001,271200,46.020527
2015-06-11,46.34,46.48,46.110001,46.330002,346000,46.040402
2015-06-10,46.369999,46.779999,46.200001,46.34,494200,46.050338
2015-06-09,46.139999,46.419998,45.759998,46.150002,300600,45.861527
2015-06-08,46.50,46.790001,46.209999,46.23,527500,45.941025
2015-06-05,45.869999,46.540001,45.57,46.529999,480000,46.239149
2015-06-04,45.880001,46.470001,45.68,45.959999,410100,45.672712
2015-06-03,45.650002,46.169998,45.439999,46.099998,709400,45.811837
2015-06-02,45.34,45.790001,45.299999,45.48,625900,45.195713
2015-06-01,44.98,45.98,44.73,45.52,1077100,45.235464
