Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.00,15.20,15.00,15.19,15200,14.972074
2015-12-30,14.96,15.05,14.96,15.05,19400,14.834083
2015-12-29,15.06,15.06,14.92,14.99,11800,14.774943
2015-12-28,15.03,15.06,14.96,15.05,21200,14.834083
2015-12-24,14.97,15.03,14.91,15.01,9900,14.794657
2015-12-23,14.91,14.96,14.87,14.88,16400,14.666522
2015-12-22,15.01,15.01,14.84,14.89,15900,14.676379
2015-12-21,14.94,14.97,14.91,14.96,11800,14.745374
2015-12-18,14.74,14.92,14.74,14.90,18700,14.686234
2015-12-17,14.63,14.80,14.63,14.79,30400,14.577813
2015-12-16,14.59,14.66,14.57,14.66,13200,14.449678
2015-12-15,14.63,14.72,14.59,14.63,17800,14.420108
2015-12-14,14.80,14.80,14.63,14.70,11200,14.489104
2015-12-11,14.72,14.85,14.72,14.78,23100,14.567956
2015-12-10,14.78,14.85,14.74,14.80,8300,14.58767
2015-12-09,14.76,14.85,14.76,14.85,10400,14.558101
2015-12-08,14.67,14.81,14.67,14.81,13200,14.518887
2015-12-07,14.67,14.79,14.67,14.72,12800,14.430656
2015-12-04,14.68,14.78,14.67,14.71,7100,14.420852
2015-12-03,14.78,14.79,14.66,14.66,13600,14.371835
2015-12-02,14.88,14.98,14.79,14.82,19100,14.52869
2015-12-01,15.03,15.10,14.88,14.88,15300,14.587511
2015-11-30,15.06,15.06,14.98,15.04,7300,14.744366
2015-11-27,14.96,15.09,14.96,15.08,4600,14.783579
2015-11-25,14.99,15.02,14.95,14.95,11600,14.656135
2015-11-24,14.92,15.01,14.89,14.97,15600,14.675742
2015-11-23,14.82,14.85,14.71,14.82,27100,14.52869
2015-11-20,14.82,14.89,14.78,14.89,7600,14.597314
2015-11-19,14.78,14.88,14.78,14.85,7900,14.558101
2015-11-18,14.75,14.78,14.74,14.75,11700,14.460066
2015-11-17,14.75,14.75,14.69,14.75,5600,14.460066
2015-11-16,14.84,14.84,14.67,14.76,15000,14.46987
2015-11-13,14.86,14.87,14.79,14.79,7800,14.49928
