Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.76,13.89,13.76,13.85,12700,13.644329
2015-12-30,13.72,13.83,13.70,13.76,20800,13.555666
2015-12-29,13.70,13.74,13.70,13.72,5500,13.51626
2015-12-28,13.71,13.73,13.64,13.69,13700,13.486704
2015-12-24,13.60,13.68,13.60,13.68,4300,13.476854
2015-12-23,13.57,13.65,13.57,13.63,15100,13.427596
2015-12-22,13.59,13.66,13.54,13.60,20700,13.398042
2015-12-21,13.56,13.67,13.56,13.60,14600,13.398042
2015-12-18,13.55,13.67,13.55,13.58,28100,13.378338
2015-12-17,13.47,13.61,13.47,13.56,16200,13.358636
2015-12-16,13.47,13.48,13.40,13.47,16500,13.269972
2015-12-15,13.45,13.55,13.40,13.42,30300,13.220714
2015-12-14,13.65,13.65,13.44,13.48,10300,13.279823
2015-12-11,13.64,13.71,13.59,13.71,8200,13.506408
2015-12-10,13.66,13.70,13.60,13.62,7000,13.417744
2015-12-09,13.65,13.70,13.65,13.69,5400,13.414788
2015-12-08,13.63,13.71,13.60,13.69,14900,13.414788
2015-12-07,13.63,13.69,13.63,13.63,900,13.355995
2015-12-04,13.61,13.70,13.61,13.65,3600,13.375592
2015-12-03,13.67,13.86,13.63,13.64,10600,13.365794
2015-12-02,13.79,13.79,13.74,13.77,6500,13.493181
2015-12-01,13.72,13.79,13.71,13.79,8600,13.512778
2015-11-30,13.67,13.72,13.67,13.72,3300,13.444186
2015-11-27,13.66,13.71,13.66,13.67,1500,13.395191
2015-11-25,13.68,13.73,13.66,13.69,2800,13.414788
2015-11-24,13.68,13.70,13.65,13.65,4300,13.375592
2015-11-23,13.59,13.73,13.59,13.69,5100,13.414788
2015-11-20,13.52,13.67,13.52,13.67,18700,13.395191
2015-11-19,13.52,13.59,13.52,13.55,1900,13.277603
2015-11-18,13.58,13.59,13.53,13.53,7500,13.258005
2015-11-17,13.54,13.59,13.50,13.59,2000,13.316799
2015-11-16,13.57,13.57,13.48,13.56,11700,13.287402
2015-11-13,13.44,13.53,13.44,13.49,11500,13.218809
2015-11-12,13.47,13.48,13.41,13.46,10400,13.189412
2015-11-11,13.45,13.48,13.45,13.47,11000,13.129639
2015-11-10,13.42,13.52,13.41,13.46,13300,13.119892
2015-11-09,13.46,13.54,13.41,13.43,11600,13.09065
2015-11-06,13.65,13.68,13.50,13.50,13300,13.158881
2015-11-05,13.72,13.75,13.65,13.69,5700,13.34408
2015-11-04,13.73,13.78,13.66,13.75,6400,13.402564
2015-11-03,13.75,13.76,13.66,13.73,16200,13.383069
2015-11-02,13.71,13.79,13.66,13.75,14100,13.402564
2015-10-30,13.59,13.71,13.59,13.71,13400,13.363575
2015-10-29,13.56,13.65,13.56,13.63,12400,13.285596
2015-10-28,13.59,13.60,13.56,13.59,7300,13.246607
2015-10-27,13.56,13.63,13.53,13.59,16600,13.246607
2015-10-26,13.58,13.63,13.54,13.56,7300,13.217365
2015-10-23,13.64,13.64,13.51,13.59,7000,13.246607
2015-10-22,13.66,13.69,13.62,13.63,3400,13.285596
2015-10-21,13.55,13.60,13.54,13.60,6200,13.256355
2015-10-20,13.60,13.60,13.51,13.55,2700,13.207618
2015-10-19,13.62,13.62,13.52,13.60,7800,13.256355
