Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,12.29,13.00,12.22,12.98,952900,12.860147
2015-12-30,12.22,12.55,12.04,12.35,786900,12.235965
2015-12-29,12.54,12.75,12.23,12.43,726100,12.315227
2015-12-28,12.19,12.58,12.04,12.38,779700,12.265688
2015-12-24,12.68,13.20,12.39,12.43,1287100,12.315227
2015-12-23,12.20,12.72,12.16,12.63,1130100,12.51338
2015-12-22,11.28,12.14,11.22,11.97,1451400,11.859474
2015-12-21,10.74,11.34,10.65,11.22,1406000,11.116399
2015-12-18,10.90,10.95,10.54,10.76,1307000,10.660647
2015-12-17,11.02,11.02,10.69,10.77,683800,10.670555
2015-12-16,11.01,11.05,10.69,11.01,950300,10.908338
2015-12-15,11.12,11.22,10.78,11.00,846400,10.89843
2015-12-14,11.67,11.71,10.94,10.98,1724300,10.878615
2015-12-11,11.77,11.99,11.71,11.75,1720900,11.641505
2015-12-10,11.80,12.16,11.70,12.02,1394400,11.909013
2015-12-09,11.41,12.25,11.41,11.86,1730200,11.750489
2015-12-08,10.97,11.55,10.94,11.36,1368700,11.255106
2015-12-07,11.38,11.38,10.70,11.23,2073400,11.126306
2015-12-04,11.94,11.99,11.41,11.62,1277900,11.512706
2015-12-03,12.44,12.61,11.88,12.02,987800,11.909013
2015-12-02,12.55,12.55,12.06,12.40,1318900,12.285503
2015-12-01,12.67,12.89,12.55,12.62,2039600,12.503472
2015-11-30,12.72,13.01,12.64,12.68,435600,12.562918
2015-11-27,12.63,12.95,12.63,12.69,239700,12.572825
2015-11-25,12.83,12.92,12.55,12.75,851500,12.632272
2015-11-24,12.53,12.96,12.45,12.87,809300,12.751164
2015-11-23,12.36,12.70,12.27,12.44,451600,12.325134
2015-11-20,12.53,12.65,12.14,12.36,815900,12.245872
2015-11-19,12.58,12.65,12.37,12.55,955700,12.434119
2015-11-18,12.37,12.72,12.20,12.64,852600,12.523288
2015-11-17,12.57,12.88,12.30,12.33,912800,12.21615
2015-11-16,12.05,12.67,11.95,12.64,1609600,12.523288
2015-11-13,12.13,12.21,11.90,12.01,2097000,11.899105
2015-11-12,12.37,12.72,12.05,12.11,534200,11.998181
2015-11-11,12.99,13.00,12.33,12.50,1889300,12.38458
2015-11-10,12.92,13.15,12.83,13.03,435100,12.909686
2015-11-09,13.18,13.41,12.80,12.98,575500,12.860147
2015-11-06,13.34,13.64,13.27,13.31,1782300,13.088024
2015-11-05,13.56,13.94,13.27,13.53,915100,13.304355
2015-11-04,13.83,13.99,13.18,13.59,839200,13.363355
2015-11-03,13.30,13.88,12.93,13.80,3399500,13.569852
2015-11-02,12.89,13.60,12.72,13.23,1438600,13.009358
2015-10-30,12.66,12.89,12.28,12.82,591400,12.606196
2015-10-29,12.04,12.69,12.04,12.59,744300,12.380032
2015-10-28,11.66,12.12,11.65,12.12,866000,11.91787
2015-10-27,12.07,12.18,11.61,11.76,713800,11.563874
2015-10-26,12.53,12.53,12.15,12.19,558100,11.986702
2015-10-23,12.42,12.71,12.27,12.58,479100,12.370198
2015-10-22,12.56,12.63,12.26,12.38,350000,12.173534
2015-10-21,12.66,13.19,12.51,12.57,711800,12.360365
2015-10-20,12.88,13.03,12.56,12.68,308600,12.468531
2015-10-19,12.69,12.98,12.53,12.92,603200,12.704528
2015-10-16,12.80,12.94,12.51,12.83,477700,12.616029
2015-10-15,12.74,12.90,12.61,12.80,445000,12.58653
2015-10-14,12.60,12.94,12.46,12.80,403900,12.58653
2015-10-13,12.65,12.79,12.48,12.64,1048200,12.429198
2015-10-12,13.16,13.20,12.72,12.76,621100,12.547197
2015-10-09,13.12,13.28,12.85,13.16,730400,12.940526
2015-10-08,12.75,13.08,12.47,13.06,696000,12.842194
2015-10-07,12.90,13.16,12.44,12.77,1579200,12.55703
2015-10-06,12.51,12.92,12.48,12.78,1118900,12.566863
2015-10-05,12.10,12.49,12.10,12.47,1065800,12.262033
2015-10-02,11.84,12.29,11.84,12.01,1607600,11.809705
2015-10-01,11.88,12.28,11.67,11.92,1154600,11.721206
2015-09-30,11.41,12.15,11.26,11.77,2301400,11.573708
2015-09-29,12.00,12.07,11.28,11.30,1723500,11.111546
2015-09-28,12.70,12.82,11.92,11.97,1416700,11.770372
2015-09-25,13.01,13.13,12.62,12.78,1383900,12.566863
2015-09-24,13.42,13.48,12.83,12.93,1439600,12.714362
2015-09-23,13.80,13.92,13.39,13.46,742900,13.235523
2015-09-22,13.87,14.15,13.77,13.83,1027100,13.599352
2015-09-21,13.85,14.17,13.80,14.08,481900,13.845182
2015-09-18,14.04,14.16,13.67,13.83,3913600,13.599352
2015-09-17,13.84,14.33,13.82,14.20,1047000,13.963181
2015-09-16,13.69,14.02,13.62,13.88,581200,13.648518
2015-09-15,13.37,13.76,13.37,13.63,658500,13.402687
2015-09-14,13.29,13.58,13.12,13.37,2679000,13.147023
2015-09-11,13.49,13.57,13.16,13.36,940000,13.13719
2015-09-10,13.11,13.53,13.05,13.46,943800,13.235523
2015-09-09,13.47,13.60,13.04,13.09,226500,12.871693
2015-09-08,13.28,13.48,13.13,13.46,421500,13.235523
2015-09-04,12.97,13.30,12.81,13.17,304100,12.950359
2015-09-03,13.27,13.48,13.07,13.13,366500,12.911026
2015-09-02,13.18,13.31,12.84,13.19,433500,12.970025
2015-09-01,13.39,13.41,12.92,13.13,528700,12.911026
2015-08-31,13.67,13.76,13.28,13.66,1342800,13.432187
2015-08-28,13.40,14.04,13.37,13.70,1185600,13.47152
2015-08-27,13.07,13.81,12.99,13.42,1030900,13.19619
2015-08-26,12.55,12.91,12.45,12.89,495900,12.675029
2015-08-25,12.91,13.08,12.36,12.41,709400,12.203034
2015-08-24,12.56,13.19,12.12,12.66,2044500,12.448864
2015-08-21,13.51,13.77,12.97,13.19,639200,12.970025
2015-08-20,13.77,13.94,13.50,13.52,352100,13.294522
2015-08-19,13.91,14.08,13.61,13.75,273600,13.520686
2015-08-18,14.02,14.38,13.92,14.02,413600,13.786184
2015-08-17,14.03,14.22,13.97,14.08,288900,13.845182
2015-08-14,14.18,14.29,14.00,14.07,264100,13.835349
2015-08-13,14.03,14.21,13.84,14.15,498300,13.914015
2015-08-12,13.60,14.18,13.56,14.09,468200,13.855016
2015-08-11,13.16,13.63,13.15,13.57,1118500,13.343688
2015-08-10,13.39,13.63,13.29,13.35,843100,13.029025
2015-08-07,13.61,13.76,13.24,13.36,376000,13.038784
2015-08-06,13.85,14.06,13.50,13.63,1260600,13.302293
2015-08-05,14.23,15.08,13.89,13.91,986400,13.575561
2015-08-04,13.93,14.20,13.76,14.16,1028900,13.81955
2015-08-03,13.40,14.25,13.39,13.89,753000,13.556042
2015-07-31,14.14,14.17,13.76,13.92,467600,13.58532
2015-07-30,14.30,14.31,14.00,14.16,270900,13.81955
2015-07-29,13.99,14.44,13.73,14.35,398800,14.004982
2015-07-28,13.35,14.09,13.14,14.01,558000,13.673157
2015-07-27,13.40,13.50,13.12,13.37,514600,13.048544
2015-07-24,13.39,13.50,13.28,13.42,785600,13.097342
2015-07-23,13.35,13.47,13.26,13.40,402100,13.077822
2015-07-22,13.76,13.76,13.27,13.35,656200,13.029025
2015-07-21,13.69,14.22,13.61,13.76,598900,13.429167
2015-07-20,13.67,13.79,13.55,13.68,583500,13.351091
2015-07-17,13.97,14.06,13.59,13.67,672200,13.341331
2015-07-16,14.31,14.38,13.98,14.00,583100,13.663397
2015-07-15,14.56,14.84,14.24,14.29,678400,13.946424
2015-07-14,14.30,14.64,14.29,14.63,329000,14.27825
2015-07-13,14.26,14.47,14.19,14.31,575300,13.965944
2015-07-10,14.37,14.46,14.18,14.22,459600,13.878108
2015-07-09,14.55,14.77,14.25,14.30,383200,13.956184
2015-07-08,14.72,14.81,14.30,14.46,355800,14.112337
2015-07-07,14.66,14.82,14.36,14.78,599900,14.424643
2015-07-06,14.35,14.57,14.31,14.50,1142400,14.151375
2015-07-02,14.57,14.60,14.39,14.52,632000,14.170895
2015-07-01,14.52,14.71,14.32,14.57,2074400,14.219692
2015-06-30,14.59,14.71,14.26,14.52,1533200,14.170895
2015-06-29,14.81,14.82,14.53,14.55,700200,14.200173
2015-06-26,15.07,15.08,14.81,14.87,720600,14.512479
2015-06-25,15.12,15.13,14.88,15.09,595700,14.72719
2015-06-24,15.10,15.19,14.99,15.14,364900,14.775988
2015-06-23,14.98,15.19,14.97,15.13,484400,14.766228
2015-06-22,15.41,15.47,14.98,15.01,836900,14.649114
2015-06-19,15.31,15.33,14.97,15.19,5733500,14.824785
2015-06-18,15.23,15.54,15.17,15.40,1847000,15.029736
2015-06-17,15.22,15.40,15.05,15.23,997300,14.863823
2015-06-16,15.09,15.24,14.90,15.20,930700,14.834545
2015-06-15,15.11,15.17,14.91,15.08,1148300,14.71743
2015-06-12,15.15,15.23,14.70,15.17,1529700,14.805267
2015-06-11,15.40,15.57,15.15,15.26,560100,14.893103
2015-06-10,15.65,15.73,15.40,15.43,681500,15.059016
2015-06-09,15.62,15.79,15.52,15.56,355800,15.18589
2015-06-08,15.66,15.92,15.51,15.57,596000,15.195649
2015-06-05,15.96,16.15,15.60,15.65,804100,15.273725
2015-06-04,16.26,16.360001,16.00,16.02,366400,15.63483
2015-06-03,16.08,16.440001,16.049999,16.26,1024200,15.86906
2015-06-02,15.94,16.209999,15.94,16.129999,946000,15.742184
2015-06-01,15.98,16.059999,15.86,15.96,751500,15.576272
2015-05-29,16.00,16.24,15.92,16.02,1397500,15.63483
2015-05-28,16.42,16.42,16.00,16.030001,653200,15.64459
2015-05-27,16.51,16.58,16.360001,16.440001,654800,16.044732
2015-05-26,16.719999,16.790001,16.389999,16.530001,924100,16.132569
2015-05-22,16.82,16.98,16.73,16.85,330900,16.444874
2015-05-21,16.809999,17.01,16.68,16.950001,479800,16.54247
2015-05-20,16.75,16.83,16.629999,16.709999,423000,16.308239
2015-05-19,16.870001,16.940001,16.68,16.74,597100,16.337519
2015-05-18,17.379999,17.40,16.790001,17.00,715800,16.591268
2015-05-15,17.16,17.469999,16.860001,17.35,1582600,16.932853
2015-05-14,17.10,17.290001,17.00,17.200001,466900,16.78646
2015-05-13,16.700001,17.10,16.51,17.08,820500,16.669344
2015-05-12,16.50,16.639999,16.25,16.540001,361000,16.142328
2015-05-11,16.700001,16.790001,16.51,16.58,377200,16.083769
2015-05-08,16.700001,16.889999,16.50,16.709999,499800,16.209878
2015-05-07,16.65,16.77,16.40,16.59,613400,16.09347
2015-05-06,16.959999,17.129999,16.459999,16.57,800200,16.074069
2015-05-05,17.190001,17.299999,16.889999,17.00,817600,16.491199
2015-05-04,17.65,17.65,16.98,17.139999,942200,16.627008
2015-05-01,17.540001,17.93,17.459999,17.65,847900,17.121745
2015-04-30,17.219999,17.530001,17.030001,17.51,438700,16.985935
2015-04-29,16.950001,17.23,16.85,17.209999,354200,16.694913
2015-04-28,16.690001,16.99,16.620001,16.959999,437800,16.452395
2015-04-27,16.75,16.799999,16.549999,16.690001,401900,16.190478
2015-04-24,16.639999,16.76,16.469999,16.75,351600,16.248682
2015-04-23,16.719999,16.83,16.559999,16.700001,518200,16.200179
2015-04-22,16.68,16.940001,16.459999,16.73,533100,16.22928
2015-04-21,16.73,16.790001,16.459999,16.66,523900,16.161375
2015-04-20,16.799999,17.049999,16.73,16.73,687000,16.22928
2015-04-17,16.860001,16.98,16.709999,16.799999,414300,16.297184
2015-04-16,17.030001,17.049999,16.790001,16.889999,766600,16.384491
2015-04-15,16.629999,17.23,16.60,17.10,889300,16.588207
2015-04-14,16.389999,16.60,16.379999,16.549999,441700,16.054667
2015-04-13,16.389999,16.540001,16.34,16.35,506500,15.860654
