Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,0.50,0.57,0.47,0.53,441900,0.53
2015-12-30,0.47,0.50,0.47,0.49,119100,0.49
2015-12-29,0.50,0.50,0.40,0.46,326400,0.46
2015-12-28,0.49,0.53,0.47,0.48,150100,0.48
2015-12-24,0.55,0.55,0.50,0.53,2002800,0.53
2015-12-23,0.55,0.55,0.54,0.55,23700,0.55
2015-12-22,0.58,0.58,0.53,0.54,33400,0.54
2015-12-21,0.56,0.58,0.56,0.57,3900,0.57
2015-12-18,0.55,0.60,0.52,0.59,55200,0.59
2015-12-17,0.59,0.60,0.55,0.56,39100,0.56
2015-12-16,0.59,0.60,0.55,0.59,74400,0.59
2015-12-15,0.60,0.60,0.58,0.58,9900,0.58
2015-12-14,0.55,0.62,0.54,0.59,40600,0.59
2015-12-11,0.63,0.65,0.53,0.60,82700,0.60
2015-12-10,0.54,0.65,0.54,0.63,4396000,0.63
2015-12-09,0.54,0.57,0.50,0.55,127400,0.55
2015-12-08,0.55,0.60,0.50,0.56,78800,0.56
2015-12-07,0.63,0.63,0.47,0.55,280900,0.55
2015-12-04,0.65,0.65,0.61,0.63,30000,0.63
2015-12-03,0.66,0.66,0.61,0.65,47400,0.65
2015-12-02,0.63,0.66,0.63,0.63,1600,0.63
2015-12-01,0.68,0.69,0.62,0.62,41700,0.62
2015-11-30,0.68,0.69,0.61,0.68,124900,0.68
2015-11-27,0.66,0.69,0.66,0.69,2400,0.69
2015-11-25,0.65,0.69,0.65,0.67,20500,0.67
2015-11-24,0.69,0.69,0.66,0.66,14700,0.66
2015-11-23,0.61,0.69,0.61,0.69,42200,0.69
2015-11-20,0.63,0.64,0.61,0.63,45600,0.63
2015-11-19,0.62,0.66,0.62,0.65,21000,0.65
2015-11-18,0.60,0.63,0.58,0.60,9700,0.60
2015-11-17,0.65,0.65,0.55,0.63,795200,0.63
2015-11-16,0.64,0.69,0.64,0.67,6700,0.67
2015-11-13,0.62,0.65,0.60,0.63,59800,0.63
2015-11-12,0.71,0.71,0.61,0.63,123700,0.63
2015-11-11,0.70,0.77,0.70,0.70,21900,0.70
2015-11-10,0.73,0.74,0.69,0.74,18600,0.74
2015-11-09,0.69,0.75,0.68,0.70,22600,0.70
2015-11-06,0.68,0.73,0.68,0.73,4800,0.73
2015-11-05,0.68,0.71,0.68,0.68,29800,0.68
2015-11-04,0.72,0.72,0.68,0.69,12400,0.69
2015-11-03,0.69,0.69,0.68,0.69,15500,0.69
2015-11-02,0.68,0.71,0.68,0.69,5400,0.69
2015-10-30,0.73,0.74,0.70,0.70,3200,0.70
2015-10-29,0.70,0.74,0.70,0.74,5500,0.74
2015-10-28,0.68,0.72,0.68,0.68,8900,0.68
2015-10-27,0.70,0.75,0.64,0.69,58300,0.69
2015-10-26,0.72,0.72,0.69,0.71,11800,0.71
2015-10-23,0.72,0.72,0.70,0.72,3000,0.72
