Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.68,14.90,14.64,14.88,90100,14.668454
2015-12-30,14.47,14.63,14.47,14.62,96900,14.412151
2015-12-29,14.47,14.53,14.41,14.47,51400,14.264283
2015-12-28,14.38,14.45,14.35,14.44,47700,14.234709
2015-12-24,14.34,14.39,14.34,14.38,44600,14.175563
2015-12-23,14.27,14.35,14.25,14.34,64200,14.136132
2015-12-22,14.28,14.29,14.21,14.27,49600,14.067127
2015-12-21,14.24,14.29,14.21,14.27,51100,14.067127
2015-12-18,14.23,14.23,14.17,14.20,120300,13.998122
2015-12-17,14.10,14.21,14.10,14.18,52700,13.978406
2015-12-16,14.08,14.14,14.07,14.09,36000,13.889686
2015-12-15,13.98,14.10,13.92,14.07,62700,13.86997
2015-12-14,14.04,14.04,13.90,13.94,63900,13.741818
2015-12-11,14.14,14.15,14.01,14.01,35200,13.810823
2015-12-10,14.12,14.15,14.09,14.09,37900,13.889686
2015-12-09,14.19,14.19,14.14,14.16,56400,13.887714
2015-12-08,14.19,14.25,14.19,14.25,96800,13.975983
2015-12-07,14.11,14.63,14.07,14.19,90600,13.917137
2015-12-04,14.00,14.11,13.97,14.07,62400,13.799444
2015-12-03,14.11,14.11,13.95,13.97,56900,13.701368
2015-12-02,14.11,14.14,14.08,14.11,46600,13.838675
2015-12-01,14.06,15.33,14.03,14.11,53100,13.838675
2015-11-30,14.10,14.10,13.97,14.00,68000,13.730791
2015-11-27,14.11,14.11,14.07,14.07,14800,13.799444
2015-11-25,14.07,14.08,13.99,14.07,51000,13.799444
2015-11-24,14.02,14.20,13.97,14.04,74200,13.770022
2015-11-23,13.97,14.01,13.91,13.97,43600,13.701368
2015-11-20,13.92,13.96,13.89,13.96,55500,13.69156
2015-11-19,13.94,13.96,13.87,13.89,40800,13.622906
2015-11-18,13.91,13.97,13.89,13.92,33500,13.652329
2015-11-17,13.91,13.95,13.88,13.88,48100,13.613098
2015-11-16,13.90,13.94,13.89,13.90,26100,13.632713
2015-11-13,13.82,13.98,13.80,13.92,71800,13.652329
2015-11-12,13.74,13.85,13.72,13.82,29100,13.554252
2015-11-11,13.77,13.83,13.74,13.80,66000,13.464021
2015-11-10,13.70,13.82,13.69,13.82,67500,13.483534
2015-11-09,13.89,13.89,13.72,13.77,60000,13.434752
2015-11-06,13.97,13.97,13.87,13.95,62200,13.610369
2015-11-05,14.08,14.10,13.98,14.02,66700,13.678665
2015-11-04,14.11,14.11,14.02,14.05,61400,13.707935
2015-11-03,14.17,14.19,14.08,14.11,93700,13.766473
2015-11-02,14.08,14.09,14.05,14.08,50100,13.737204
2015-10-30,14.06,14.09,14.01,14.07,22700,13.727447
2015-10-29,14.08,14.09,14.00,14.07,31500,13.727447
2015-10-28,14.07,14.11,14.06,14.08,9900,13.737204
2015-10-27,14.07,14.09,14.04,14.08,20100,13.737204
2015-10-26,14.04,14.08,14.02,14.08,27000,13.737204
2015-10-23,13.97,14.06,13.97,14.06,39000,13.717692
2015-10-22,14.01,14.07,13.95,13.96,23700,13.620126
2015-10-21,13.94,14.03,13.91,14.03,45100,13.688421
2015-10-20,13.85,13.97,13.85,13.92,65500,13.5811
2015-10-19,13.89,13.89,13.84,13.86,16200,13.52256
2015-10-16,13.87,13.90,13.85,13.88,25400,13.542074
2015-10-15,13.87,13.91,13.81,13.83,26000,13.493291
2015-10-14,13.86,13.89,13.77,13.87,35400,13.532317
2015-10-13,13.83,13.83,13.75,13.82,25400,13.483534
2015-10-12,13.90,13.92,13.85,13.86,22500,13.452313
2015-10-09,13.86,13.87,13.85,13.86,16900,13.452313
2015-10-08,13.87,13.92,13.82,13.88,57900,13.471725
2015-10-07,13.84,13.87,13.80,13.82,53700,13.413489
2015-10-06,13.81,13.93,13.79,13.89,41900,13.481431
2015-10-05,13.85,13.85,13.77,13.81,28300,13.403784
2015-10-02,13.86,13.89,13.83,13.83,20900,13.423195
2015-10-01,13.86,13.90,13.84,13.84,17400,13.432901
2015-09-30,13.92,13.92,13.80,13.80,37700,13.394078
2015-09-29,13.82,13.90,13.82,13.89,29200,13.481431
2015-09-28,13.88,13.90,13.80,13.81,41600,13.403784
2015-09-25,13.84,13.89,13.81,13.88,17200,13.471725
2015-09-24,13.87,13.90,13.81,13.81,21700,13.403784
2015-09-23,13.87,13.89,13.85,13.87,11600,13.462019
2015-09-22,13.82,13.90,13.78,13.90,19800,13.491136
2015-09-21,13.83,13.85,13.80,13.80,14000,13.394078
2015-09-18,13.71,13.89,13.71,13.85,52800,13.442607
2015-09-17,13.63,13.76,13.56,13.76,25700,13.355255
2015-09-16,13.61,13.63,13.57,13.62,22700,13.219372
2015-09-15,13.65,13.65,13.60,13.61,10600,13.209666
2015-09-14,13.69,13.78,13.67,13.68,33400,13.277608
2015-09-11,13.80,13.83,13.69,13.69,25600,13.287313
2015-09-10,13.86,13.93,13.86,13.87,36800,13.392137
2015-09-09,13.88,13.91,13.85,13.91,28800,13.430759
2015-09-08,13.77,13.88,13.75,13.88,41300,13.401793
2015-09-04,13.70,13.82,13.67,13.82,20000,13.34386
2015-09-03,13.70,13.71,13.63,13.70,24000,13.227994
2015-09-02,13.67,13.70,13.63,13.65,27200,13.179717
2015-09-01,13.75,14.35,13.67,13.69,32000,13.218338
2015-08-31,13.70,13.70,13.62,13.67,31500,13.199028
2015-08-28,13.61,13.70,13.61,13.68,32100,13.208684
2015-08-27,13.63,13.69,13.56,13.67,90400,13.199028
2015-08-26,13.75,13.76,13.60,13.63,63100,13.160406
2015-08-25,13.75,13.75,13.68,13.75,32100,13.276272
2015-08-24,13.78,13.78,13.66,13.75,49900,13.276272
2015-08-21,13.89,13.89,13.80,13.86,21000,13.382481
2015-08-20,13.86,13.87,13.81,13.86,14600,13.382481
2015-08-19,13.83,13.86,13.79,13.86,18500,13.382481
2015-08-18,13.76,13.85,13.76,13.83,22000,13.353515
2015-08-17,13.84,13.87,13.79,13.79,12300,13.314893
2015-08-14,13.83,13.85,13.81,13.84,11900,13.363171
2015-08-13,13.87,13.89,13.80,13.85,23300,13.372827
2015-08-12,13.82,13.90,13.82,13.90,22100,13.421103
2015-08-11,13.80,13.91,13.77,13.89,44000,13.341929
2015-08-10,13.84,13.84,13.75,13.75,21900,13.207453
2015-08-07,13.83,13.88,13.80,13.82,25700,13.27469
2015-08-06,13.77,13.88,13.77,13.84,45100,13.293902
2015-08-05,13.98,13.98,13.80,13.80,39800,13.25548
2015-08-04,13.74,14.09,13.73,14.04,138600,13.48601
