Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,51.48,52.240002,51.48,52.119999,1300,51.979739
2015-12-30,51.50,51.560001,51.50,51.560001,1300,51.421249
2015-12-29,51.959999,51.959999,51.959999,51.959999,900,51.82017
2015-12-28,52.25,52.25,52.18,52.23,800,52.089444
2015-12-24,52.279999,53.00,52.060001,52.860001,1800,52.71775
2015-12-23,51.75,52.709999,51.75,52.709999,2800,52.568152
2015-12-22,51.48,51.75,51.119999,51.75,1100,51.610736
2015-12-21,51.48,51.790001,50.889999,51.349998,5400,51.211811
2015-12-18,51.02,51.599998,51.02,51.599998,7700,51.461138
2015-12-17,51.099998,51.459999,50.57,51.200001,7800,51.062217
2015-12-16,51.279999,51.279999,50.419998,51.200001,3200,51.062217
2015-12-15,51.50,51.50,51.00,51.099998,900,50.962484
2015-12-14,50.509998,50.900002,50.509998,50.900002,900,50.763025
2015-12-11,51.50,52.919998,50.619999,50.619999,2200,50.483776
2015-12-10,52.099998,52.349998,51.73,52.349998,2400,52.20912
2015-12-09,52.060001,52.369999,52.060001,52.080002,1400,51.93985
2015-12-08,53.48,53.93,53.34,53.419998,2700,53.126646
2015-12-07,51.75,54.540001,51.75,54.450001,6100,54.150992
2015-12-04,53.25,53.669998,52.57,53.459999,45300,53.166427
2015-12-03,54.09,54.099998,52.759998,53.00,8300,52.708954
2015-12-02,55.25,55.25,53.450001,54.57,14200,54.270332
2015-12-01,54.57,56.25,54.57,56.25,1700,55.941107
2015-11-30,55.709999,55.740002,55.049999,55.049999,1100,54.747696
2015-11-27,55.50,55.66,55.50,55.66,600,55.354347
2015-11-25,55.48,56.02,55.48,55.950001,2700,55.642755
2015-11-24,55.66,55.779999,55.52,55.52,800,55.215116
2015-11-23,57.27,57.27,56.029999,56.029999,800,55.722314
2015-11-20,57.779999,57.779999,56.02,56.369999,11700,56.060447
2015-11-19,57.669998,57.779999,57.389999,57.389999,700,57.074846
2015-11-18,57.18,57.18,57.18,57.18,300,56.866
2015-11-17,57.220001,57.220001,57.220001,57.220001,500,56.905781
2015-11-16,56.700001,57.900002,56.689999,57.73,4900,57.412979
2015-11-13,56.650002,56.650002,56.650002,56.650002,000,56.338912
2015-11-12,56.779999,56.779999,56.650002,56.650002,900,56.338912
