Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,9.89,9.98,9.87,9.91,595400,9.603021
2015-12-30,10.04,10.05,9.91,9.94,400800,9.632092
2015-12-29,10.08,10.15,9.96,10.00,512500,9.690233
2015-12-28,10.25,10.27,10.11,10.18,515800,9.772601
2015-12-24,10.15,10.26,10.10,10.26,1947400,9.849399
2015-12-23,10.02,10.21,9.98,10.20,427800,9.7918
2015-12-22,9.83,10.05,9.78,10.02,532400,9.619004
2015-12-21,9.84,9.87,9.82,9.86,315800,9.465407
2015-12-18,9.84,9.87,9.79,9.84,391600,9.446208
2015-12-17,9.85,9.90,9.73,9.84,559300,9.446208
2015-12-16,9.55,9.89,9.55,9.86,423800,9.465407
2015-12-15,9.48,9.65,9.48,9.56,505900,9.177413
2015-12-14,9.77,9.81,9.37,9.46,583700,9.081415
2015-12-11,9.81,9.87,9.75,9.80,1593500,9.407808
2015-12-10,9.71,9.84,9.58,9.81,900800,9.417408
2015-12-09,9.80,9.84,9.71,9.75,506800,9.359809
2015-12-08,9.83,9.85,9.73,9.79,337700,9.398208
2015-12-07,9.90,9.95,9.86,9.94,286900,9.451007
2015-12-04,9.88,10.00,9.88,9.97,333300,9.479532
2015-12-03,10.02,10.02,9.89,9.95,328500,9.460515
2015-12-02,10.09,10.09,10.00,10.01,294200,9.517564
2015-12-01,10.00,10.11,10.00,10.10,176000,9.603136
2015-11-30,9.91,10.01,9.91,10.00,235700,9.508055
2015-11-27,9.97,10.00,9.86,9.94,111400,9.451007
2015-11-25,9.92,9.98,9.91,9.95,254600,9.460515
2015-11-24,9.90,9.98,9.87,9.94,237000,9.451007
2015-11-23,10.00,10.05,9.94,9.97,208400,9.479532
2015-11-20,10.03,10.07,9.94,9.97,169600,9.479532
2015-11-19,10.09,10.11,9.99,10.05,161700,9.555596
2015-11-18,10.00,10.10,9.98,10.09,200200,9.593628
2015-11-17,10.10,10.15,9.97,10.00,255100,9.508055
2015-11-16,9.99,10.14,9.98,10.12,220800,9.622152
2015-11-13,10.03,10.04,9.84,9.96,228900,9.470023
2015-11-12,10.12,10.12,10.00,10.01,151200,9.517564
2015-11-11,10.13,10.19,10.08,10.13,196800,9.63166
2015-11-10,10.17,10.22,10.06,10.17,216700,9.669692
2015-11-09,10.35,10.37,10.11,10.17,249200,9.669692
2015-11-06,10.50,10.51,10.34,10.40,267600,9.888377
2015-11-05,10.62,10.65,10.58,10.60,129800,9.988213
2015-11-04,10.65,10.67,10.56,10.65,157700,10.035326
2015-11-03,10.52,10.66,10.49,10.65,196700,10.035326
2015-11-02,10.43,10.58,10.42,10.56,194000,9.950521
2015-10-30,10.39,10.43,10.37,10.41,106800,9.809178
2015-10-29,10.32,10.42,10.29,10.40,177400,9.799755
2015-10-28,10.38,10.40,10.33,10.37,174300,9.771487
2015-10-27,10.41,10.45,10.31,10.33,242100,9.733795
2015-10-26,10.44,10.51,10.44,10.46,185700,9.856292
2015-10-23,10.50,10.54,10.47,10.48,224600,9.875138
2015-10-22,10.47,10.55,10.44,10.47,250500,9.865715
2015-10-21,10.51,10.53,10.43,10.43,136800,9.828024
2015-10-20,10.52,10.55,10.41,10.47,201800,9.865715
2015-10-19,10.43,10.54,10.42,10.52,154200,9.91283
2015-10-16,10.43,10.52,10.40,10.47,267400,9.865715
2015-10-15,10.30,10.42,10.25,10.41,235400,9.809178
2015-10-14,10.31,10.35,10.23,10.28,226500,9.686681
2015-10-13,10.30,10.42,10.30,10.37,204500,9.771487
2015-10-12,10.37,10.44,10.35,10.37,214000,9.771487
2015-10-09,10.20,10.38,10.20,10.37,195200,9.771487
2015-10-08,10.04,10.25,10.03,10.21,180400,9.620721
2015-10-07,9.99,10.12,9.92,10.11,223100,9.526493
2015-10-06,9.79,10.09,9.79,10.04,408000,9.371016
2015-10-05,9.75,9.87,9.75,9.85,323700,9.193677
2015-10-02,9.77,9.83,9.64,9.77,716200,9.119007
2015-10-01,9.85,9.92,9.81,9.88,233700,9.221677
2015-09-30,9.87,9.92,9.80,9.89,398000,9.231011
2015-09-29,10.02,10.06,9.73,9.84,483800,9.184343
2015-09-28,10.20,10.28,10.01,10.09,286900,9.417685
2015-09-25,10.46,10.51,10.23,10.25,350200,9.567024
2015-09-24,10.50,10.56,10.30,10.41,399500,9.716362
2015-09-23,10.57,10.66,10.55,10.57,162300,9.865701
2015-09-22,10.61,10.67,10.51,10.57,181100,9.865701
2015-09-21,10.71,10.74,10.68,10.71,141300,9.996373
2015-09-18,10.52,10.81,10.52,10.72,225100,10.005707
2015-09-17,10.49,10.71,10.47,10.62,404400,9.91237
2015-09-16,10.31,10.52,10.30,10.49,321900,9.791032
2015-09-15,10.22,10.32,10.16,10.30,264900,9.613692
2015-09-14,10.25,10.29,10.13,10.17,249900,9.492354
2015-09-11,10.27,10.33,10.21,10.21,275900,9.529689
2015-09-10,10.30,10.34,10.21,10.23,311100,9.548356
2015-09-09,10.35,10.44,10.26,10.28,313800,9.595024
2015-09-08,10.28,10.39,10.25,10.29,372000,9.604358
2015-09-04,10.29,10.36,10.28,10.33,225000,9.553023
2015-09-03,10.46,10.53,10.37,10.42,286000,9.636254
2015-09-02,10.45,10.50,10.38,10.48,268200,9.69174
2015-09-01,10.39,10.56,10.37,10.45,290800,9.663997
2015-08-31,10.53,10.63,10.52,10.60,243000,9.802715
2015-08-28,10.53,10.64,10.51,10.58,158500,9.784219
2015-08-27,10.52,10.68,10.50,10.63,218600,9.830459
2015-08-26,10.37,10.49,10.20,10.47,439000,9.682493
2015-08-25,10.39,10.59,10.29,10.34,558000,9.562271
2015-08-24,10.00,10.27,9.45,10.12,678600,9.358818
2015-08-21,10.90,10.93,10.57,10.67,435500,9.86745
2015-08-20,11.08,11.08,10.93,10.96,197100,10.135637
2015-08-19,11.06,11.16,11.05,11.14,223500,10.302099
2015-08-18,11.00,11.12,11.00,11.10,239400,10.265107
2015-08-17,11.12,11.14,10.98,11.03,348200,10.200372
2015-08-14,11.19,11.20,11.09,11.13,218200,10.292851
2015-08-13,11.15,11.21,11.12,11.18,138600,10.33909
2015-08-12,11.05,11.16,10.95,11.15,355400,10.311346
2015-08-11,11.23,11.24,11.11,11.14,169300,10.302099
2015-08-10,11.24,11.30,11.19,11.28,152900,10.431568
2015-08-07,11.35,11.42,11.20,11.23,158400,10.385329
2015-08-06,11.44,11.47,11.36,11.47,331500,10.519423
2015-08-05,11.45,11.52,11.41,11.42,154600,10.473567
2015-08-04,11.36,11.47,11.36,11.45,153300,10.50108
2015-08-03,11.40,11.49,11.36,11.37,244300,10.42771
2015-07-31,11.34,11.44,11.34,11.43,278100,10.482738
2015-07-30,11.29,11.36,11.29,11.30,248300,10.363512
2015-07-29,11.20,11.42,11.20,11.35,293700,10.409368
2015-07-28,11.28,11.34,11.21,11.29,374600,10.35434
2015-07-27,11.39,11.39,11.16,11.24,316300,10.308484
2015-07-24,11.49,11.54,11.30,11.34,302100,10.400197
2015-07-23,11.49,11.66,11.46,11.52,311100,10.56528
2015-07-22,11.79,11.80,11.44,11.47,566900,10.519423
2015-07-21,11.94,11.95,11.63,11.76,467500,10.785389
2015-07-20,12.10,12.10,11.91,11.93,243800,10.941301
2015-07-17,12.15,12.17,12.02,12.09,309600,11.088041
2015-07-16,12.02,12.19,12.01,12.18,404000,11.170582
2015-07-15,12.08,12.17,11.98,11.99,204500,10.996328
2015-07-14,11.93,12.07,11.92,12.06,265900,11.060527
2015-07-13,11.98,12.01,11.92,11.93,208500,10.941301
2015-07-10,11.93,11.99,11.88,11.90,241900,10.913786
2015-07-09,11.89,12.00,11.82,11.84,267500,10.858759
2015-07-08,11.93,11.96,11.85,11.88,178400,10.895444
2015-07-07,12.12,12.19,12.01,12.12,202700,11.028427
2015-07-06,12.09,12.14,12.00,12.11,239900,11.019328
2015-07-02,12.36,12.36,12.14,12.22,179600,11.119421
2015-07-01,12.28,12.43,12.21,12.33,358400,11.219514
2015-06-30,11.99,12.27,11.95,12.21,404300,11.110322
2015-06-29,12.25,12.25,11.84,11.92,531100,10.84644
2015-06-26,12.54,12.55,12.24,12.26,306200,11.155819
2015-06-25,12.69,12.73,12.51,12.55,271900,11.4197
2015-06-24,12.81,12.85,12.67,12.67,158600,11.528892
2015-06-23,12.81,12.87,12.74,12.87,133600,11.710879
2015-06-22,12.76,12.85,12.72,12.78,191300,11.628985
2015-06-19,12.78,12.79,12.69,12.77,99200,11.619886
2015-06-18,12.65,12.77,12.62,12.77,296500,11.619886
2015-06-17,12.53,12.72,12.53,12.65,216300,11.510693
2015-06-16,12.34,12.60,12.34,12.55,242300,11.4197
2015-06-15,12.50,12.50,12.35,12.38,325500,11.265011
