Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,30.15,30.15,30.00,30.030001,93400,30.030001
2015-12-30,30.15,30.18,30.01,30.08,70200,30.08
2015-12-29,30.200001,30.280001,30.16,30.24,85500,30.24
2015-12-28,30.219999,30.34,30.15,30.34,91300,30.34
2015-12-24,30.309999,30.43,30.200001,30.200001,61400,30.200001
2015-12-23,30.25,30.42,30.17,30.26,122700,30.26
2015-12-22,30.129999,30.219999,30.040001,30.18,235100,30.18
2015-12-21,29.98,30.030001,29.74,29.879999,105800,29.879999
2015-12-18,29.940001,30.00,29.809999,29.82,131700,29.82
2015-12-17,29.85,30.00,29.83,29.90,121900,29.90
2015-12-16,30.09,30.27,29.98,30.18,144700,30.18
2015-12-15,30.01,30.190001,29.969999,30.10,164900,30.10
2015-12-14,29.530001,29.77,29.530001,29.76,200700,29.76
2015-12-11,29.690001,29.690001,29.389999,29.40,247500,29.40
2015-12-10,29.950001,29.969999,29.76,29.790001,238800,29.790001
2015-12-09,29.90,30.049999,29.75,29.82,148600,29.82
2015-12-08,30.139999,30.139999,29.90,29.91,134000,29.91
2015-12-07,30.25,30.25,30.120001,30.209999,110700,30.209999
2015-12-04,30.27,30.450001,30.26,30.370001,190700,30.370001
2015-12-03,30.309999,30.309999,30.120001,30.18,152900,30.18
2015-12-02,30.41,30.42,30.25,30.299999,222000,30.299999
2015-12-01,30.65,30.700001,30.52,30.59,136900,30.59
2015-11-30,30.33,30.52,30.209999,30.40,294100,30.40
2015-11-27,30.459999,30.49,30.360001,30.360001,84300,30.360001
2015-11-25,30.540001,30.639999,30.42,30.59,156700,30.59
2015-11-24,30.469999,30.51,30.370001,30.450001,132300,30.450001
2015-11-23,30.68,30.68,30.43,30.51,199600,30.51
2015-11-20,30.790001,30.790001,30.629999,30.67,117100,30.67
2015-11-19,30.77,30.780001,30.620001,30.73,196900,30.73
2015-11-18,30.43,30.43,30.02,30.32,238400,30.32
2015-11-17,30.280001,30.469999,30.049999,30.469999,370400,30.469999
2015-11-16,29.809999,29.99,29.76,29.969999,195800,29.969999
2015-11-13,30.059999,30.09,29.74,29.799999,234700,29.799999
2015-11-12,30.17,30.41,30.16,30.33,206500,30.33
2015-11-11,30.26,30.299999,30.10,30.190001,140100,30.190001
2015-11-10,30.209999,30.27,30.08,30.18,170600,30.18
2015-11-09,30.34,30.370001,30.17,30.299999,209600,30.299999
2015-11-06,30.379999,30.51,30.24,30.40,222900,30.40
2015-11-05,30.90,30.93,30.780001,30.860001,173200,30.860001
2015-11-04,31.059999,31.08,30.809999,30.879999,200200,30.879999
2015-11-03,30.809999,31.10,30.76,31.040001,231900,31.040001
2015-11-02,30.950001,31.01,30.74,30.90,222300,30.90
2015-10-30,30.84,30.92,30.530001,30.639999,247000,30.639999
2015-10-29,30.84,30.84,30.65,30.76,344500,30.76
2015-10-28,31.030001,31.23,30.860001,30.92,234900,30.92
2015-10-27,31.17,31.24,31.040001,31.120001,294500,31.120001
