Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2.26,2.34,2.23,2.32,212500,2.256903
2015-12-30,2.25,2.27,2.24,2.26,35700,2.198535
2015-12-29,2.27,2.27,2.25,2.25,80200,2.188807
2015-12-28,2.30,2.30,2.26,2.28,70300,2.217991
2015-12-24,2.28,2.31,2.28,2.31,21200,2.247175
2015-12-23,2.27,2.34,2.25,2.31,38400,2.247175
2015-12-22,2.23,2.27,2.23,2.27,35500,2.208263
2015-12-21,2.25,2.26,2.20,2.26,96300,2.198535
2015-12-18,2.24,2.28,2.22,2.25,44800,2.188807
2015-12-17,2.19,2.29,2.19,2.27,94400,2.208263
2015-12-16,2.15,2.22,2.15,2.20,87000,2.140167
2015-12-15,2.11,2.16,2.11,2.15,68400,2.091527
2015-12-14,2.18,2.20,2.11,2.12,175600,2.040941
2015-12-11,2.22,2.23,2.17,2.18,52800,2.098704
2015-12-10,2.23,2.24,2.22,2.23,70100,2.146839
2015-12-09,2.25,2.26,2.22,2.23,62300,2.146839
2015-12-08,2.28,2.28,2.24,2.24,78500,2.156466
2015-12-07,2.33,2.33,2.29,2.30,11200,2.214229
2015-12-04,2.31,2.33,2.31,2.33,7500,2.24311
2015-12-03,2.32,2.33,2.30,2.32,39200,2.233483
2015-12-02,2.33,2.37,2.33,2.33,44400,2.24311
2015-12-01,2.31,2.35,2.31,2.34,42400,2.252737
2015-11-30,2.33,2.33,2.30,2.31,24800,2.223856
2015-11-27,2.33,2.33,2.29,2.33,37400,2.24311
2015-11-25,2.32,2.33,2.30,2.33,44500,2.24311
2015-11-24,2.32,2.33,2.31,2.33,28700,2.24311
2015-11-23,2.33,2.35,2.32,2.34,57900,2.252737
2015-11-20,2.32,2.34,2.32,2.34,29900,2.252737
2015-11-19,2.34,2.34,2.31,2.34,34800,2.252737
2015-11-18,2.31,2.34,2.31,2.34,27900,2.252737
2015-11-17,2.33,2.35,2.32,2.33,43300,2.24311
2015-11-16,2.38,2.38,2.34,2.34,34900,2.231557
2015-11-13,2.35,2.39,2.35,2.39,35400,2.27924
2015-11-12,2.37,2.40,2.37,2.39,25100,2.27924
2015-11-11,2.37,2.40,2.36,2.40,60900,2.288777
2015-11-10,2.40,2.41,2.38,2.39,10100,2.27924
2015-11-09,2.42,2.42,2.39,2.41,22800,2.298313
2015-11-06,2.43,2.44,2.41,2.43,35400,2.317387
2015-11-05,2.45,2.45,2.44,2.44,4300,2.326923
2015-11-04,2.46,2.48,2.46,2.46,4100,2.345996
2015-11-03,2.45,2.48,2.44,2.47,38600,2.355533
2015-11-02,2.45,2.48,2.43,2.46,95800,2.345996
2015-10-30,2.43,2.48,2.41,2.48,34100,2.365069
2015-10-29,2.41,2.43,2.41,2.42,15600,2.30785
2015-10-28,2.41,2.44,2.41,2.41,18600,2.298313
2015-10-27,2.42,2.43,2.41,2.41,24900,2.298313
2015-10-26,2.42,2.45,2.41,2.41,40800,2.298313
2015-10-23,2.42,2.45,2.41,2.41,37700,2.298313
2015-10-22,2.40,2.43,2.40,2.42,34000,2.30785
2015-10-21,2.40,2.42,2.40,2.41,30100,2.298313
2015-10-20,2.38,2.44,2.38,2.41,49200,2.298313
2015-10-19,2.39,2.41,2.38,2.39,28700,2.27924
2015-10-16,2.36,2.41,2.36,2.38,28400,2.269704
2015-10-15,2.35,2.39,2.35,2.38,36000,2.269704
2015-10-14,2.35,2.39,2.33,2.37,46600,2.260167
2015-10-13,2.35,2.39,2.33,2.37,147500,2.260167
2015-10-12,2.37,2.39,2.37,2.38,42700,2.248723
2015-10-09,2.34,2.39,2.34,2.37,67400,2.239275
2015-10-08,2.29,2.35,2.29,2.34,61500,2.210929
2015-10-07,2.29,2.32,2.28,2.31,34000,2.182584
2015-10-06,2.27,2.29,2.26,2.29,32200,2.163687
2015-10-05,2.27,2.28,2.23,2.26,51600,2.135342
2015-10-02,2.28,2.28,2.25,2.27,20600,2.144791
2015-10-01,2.28,2.30,2.28,2.29,56100,2.163687
2015-09-30,2.29,2.29,2.27,2.27,27300,2.144791
2015-09-29,2.29,2.30,2.28,2.28,25600,2.154239
2015-09-28,2.33,2.33,2.27,2.28,47900,2.154239
2015-09-25,2.36,2.36,2.33,2.33,17300,2.201481
2015-09-24,2.36,2.36,2.35,2.35,16000,2.220378
2015-09-23,2.36,2.36,2.33,2.36,61700,2.229826
2015-09-22,2.37,2.37,2.36,2.36,63400,2.229826
2015-09-21,2.37,2.38,2.35,2.38,24000,2.248723
2015-09-18,2.35,2.38,2.35,2.37,14800,2.239275
2015-09-17,2.36,2.37,2.33,2.37,415700,2.239275
2015-09-16,2.36,2.37,2.35,2.36,38600,2.229826
2015-09-15,2.36,2.37,2.35,2.36,16400,2.229826
2015-09-14,2.38,2.38,2.37,2.38,17700,2.226992
2015-09-11,2.39,2.39,2.37,2.38,53100,2.226992
2015-09-10,2.39,2.41,2.38,2.39,90400,2.236349
2015-09-09,2.40,2.41,2.38,2.39,83900,2.236349
2015-09-08,2.39,2.40,2.38,2.39,77400,2.236349
2015-09-04,2.40,2.40,2.37,2.37,70900,2.217635
2015-09-03,2.41,2.43,2.41,2.41,18500,2.255063
2015-09-02,2.37,2.43,2.37,2.43,28500,2.273777
2015-09-01,2.41,2.41,2.38,2.41,28400,2.255063
2015-08-31,2.41,2.42,2.41,2.42,35800,2.26442
2015-08-28,2.39,2.41,2.39,2.41,45000,2.255063
2015-08-27,2.38,2.43,2.38,2.42,40600,2.26442
2015-08-26,2.37,2.39,2.36,2.38,34000,2.226992
2015-08-25,2.36,2.39,2.35,2.35,49800,2.19892
2015-08-24,2.41,2.41,2.36,2.36,58300,2.208278
2015-08-21,2.41,2.42,2.39,2.39,27700,2.236349
2015-08-20,2.41,2.43,2.41,2.41,42800,2.255063
2015-08-19,2.40,2.44,2.40,2.44,55000,2.283135
2015-08-18,2.40,2.43,2.39,2.40,81600,2.245706
2015-08-17,2.47,2.47,2.44,2.44,46600,2.261613
2015-08-14,2.45,2.48,2.45,2.48,72900,2.298689
2015-08-13,2.47,2.48,2.44,2.45,113600,2.270882
2015-08-12,2.48,2.48,2.46,2.47,81400,2.28942
2015-08-11,2.49,2.49,2.48,2.48,31900,2.298689
2015-08-10,2.52,2.52,2.49,2.50,67100,2.317227
2015-08-07,2.51,2.51,2.49,2.49,50500,2.307958
2015-08-06,2.51,2.52,2.49,2.50,36100,2.317227
2015-08-05,2.54,2.55,2.51,2.52,35400,2.335764
2015-08-04,2.52,2.54,2.51,2.53,52800,2.345033
2015-08-03,2.54,2.55,2.52,2.52,81400,2.335764
2015-07-31,2.56,2.56,2.54,2.55,44600,2.363571
2015-07-30,2.53,2.56,2.53,2.56,31300,2.37284
2015-07-29,2.52,2.55,2.51,2.53,86800,2.345033
2015-07-28,2.52,2.54,2.51,2.53,87000,2.345033
2015-07-27,2.51,2.55,2.51,2.53,49800,2.345033
2015-07-24,2.56,2.57,2.54,2.55,50200,2.363571
2015-07-23,2.57,2.59,2.55,2.55,53800,2.363571
