Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.52,1.54,1.50,1.50,1029400,1.455556
2015-12-30,1.56,1.56,1.53,1.53,1685000,1.484667
2015-12-29,1.62,1.62,1.58,1.59,1939900,1.542889
2015-12-28,1.60,1.62,1.58,1.59,4124700,1.542889
2015-12-24,1.57,1.59,1.57,1.58,1032700,1.533185
2015-12-23,1.50,1.58,1.50,1.58,4427200,1.533185
2015-12-22,1.50,1.50,1.44,1.44,2403400,1.397333
2015-12-21,1.54,1.54,1.46,1.46,3793200,1.416741
2015-12-18,1.52,1.55,1.49,1.50,5341200,1.455556
2015-12-17,1.65,1.66,1.53,1.54,4964300,1.49437
2015-12-16,1.57,1.65,1.54,1.64,3861900,1.591407
2015-12-15,1.55,1.59,1.53,1.54,4228800,1.49437
2015-12-14,1.56,1.56,1.45,1.48,5397700,1.436148
2015-12-11,1.63,1.64,1.55,1.56,2723400,1.513778
2015-12-10,1.69,1.70,1.61,1.62,2460600,1.572
2015-12-09,1.65,1.74,1.65,1.70,3040100,1.64963
2015-12-08,1.62,1.65,1.58,1.62,3154400,1.572
2015-12-07,1.70,1.71,1.63,1.65,2775400,1.601111
2015-12-04,1.68,1.70,1.64,1.69,2543000,1.639926
2015-12-03,1.75,1.77,1.69,1.69,3305800,1.639926
2015-12-02,1.67,1.70,1.64,1.66,5568100,1.610815
2015-12-01,1.71,1.73,1.58,1.61,4437300,1.562296
2015-11-30,1.80,1.81,1.70,1.71,7569300,1.659333
2015-11-27,1.95,1.97,1.84,1.86,2324000,1.804889
2015-11-25,1.96,1.96,1.91,1.95,2250800,1.892222
2015-11-24,1.98,2.04,1.97,2.04,3039200,1.979555
2015-11-23,2.03,2.06,1.94,1.95,2247600,1.892222
2015-11-20,1.96,2.06,1.96,2.04,3164200,1.979555
2015-11-19,1.96,1.97,1.92,1.96,2296000,1.901926
2015-11-18,1.90,1.94,1.90,1.94,1442600,1.882519
2015-11-17,1.92,1.94,1.86,1.88,1628400,1.824296
2015-11-16,1.92,1.94,1.89,1.94,1179600,1.882519
2015-11-13,1.96,1.98,1.89,1.91,2860500,1.853407
2015-11-12,2.06,2.07,1.95,1.98,3577900,1.921333
2015-11-11,2.12,2.13,2.03,2.07,3642500,2.008667
2015-11-10,2.00,2.08,1.95,2.05,4367800,1.989259
2015-11-09,1.98,2.00,1.92,1.93,3414500,1.872815
2015-11-06,2.08,2.09,1.91,2.00,4392000,1.940741
2015-11-05,2.04,2.14,2.03,2.10,4140400,2.037778
2015-11-04,2.10,2.13,2.03,2.05,5428500,1.989259
2015-11-03,1.96,2.08,1.95,2.07,4795200,2.008667
2015-11-02,1.95,1.97,1.91,1.94,1931500,1.882519
2015-10-30,1.87,1.95,1.86,1.95,5205600,1.892222
2015-10-29,1.86,1.88,1.84,1.85,2449300,1.795185
2015-10-28,1.89,1.91,1.85,1.88,4056400,1.824296
2015-10-27,1.88,1.91,1.83,1.86,3742600,1.804889
2015-10-26,2.01,2.01,1.86,1.88,2771700,1.824296
2015-10-23,2.04,2.07,1.96,1.97,2391000,1.91163
2015-10-22,2.04,2.08,2.01,2.02,4548500,1.960148
2015-10-21,2.01,2.02,1.94,1.97,2287600,1.91163
2015-10-20,1.89,2.02,1.87,1.97,4107200,1.91163
2015-10-19,1.85,1.90,1.82,1.87,3557800,1.814593
2015-10-16,1.93,1.95,1.88,1.89,3323100,1.834
2015-10-15,1.92,1.97,1.91,1.93,3022600,1.872815
2015-10-14,1.91,1.95,1.88,1.92,3192500,1.863111
2015-10-13,1.91,1.97,1.88,1.90,5621800,1.843704
2015-10-12,1.96,2.05,1.95,2.02,3328800,1.960148
2015-10-09,1.93,1.99,1.92,1.95,5130800,1.892222
2015-10-08,1.86,1.92,1.85,1.90,4054700,1.843704
2015-10-07,1.87,1.91,1.81,1.84,2672100,1.785481
2015-10-06,1.86,1.90,1.83,1.85,3651000,1.795185
2015-10-05,1.84,1.86,1.81,1.83,2854400,1.775778
2015-10-02,1.72,1.82,1.70,1.81,2158400,1.75637
2015-10-01,1.80,1.81,1.71,1.75,3524700,1.698148
2015-09-30,1.73,1.81,1.71,1.78,7325200,1.727259
2015-09-29,1.65,1.69,1.62,1.66,3437500,1.610815
