Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,12.40,13.18,12.36,13.01,22800,12.678298
2015-12-30,12.50,12.76,12.17,12.54,52300,12.220281
2015-12-29,12.88,12.88,12.38,12.50,28800,12.181301
2015-12-28,13.14,13.14,12.68,12.93,30200,12.487295
2015-12-24,13.50,13.73,13.24,13.46,8900,12.999149
2015-12-23,12.84,13.43,12.84,13.40,17000,12.941203
2015-12-22,12.60,12.74,12.39,12.51,21200,12.081676
2015-12-21,12.79,13.08,12.43,12.55,24400,12.120306
2015-12-18,12.01,12.68,12.01,12.68,27600,12.245855
2015-12-17,12.01,12.28,12.01,12.02,27700,11.608453
2015-12-16,12.52,12.60,12.04,12.27,27400,11.849893
2015-12-15,12.63,12.81,12.50,12.54,25800,12.110648
2015-12-14,13.17,13.47,12.57,12.88,49600,12.439007
2015-12-11,13.34,13.36,13.17,13.25,15800,12.796339
2015-12-10,13.21,13.98,13.14,13.36,25400,12.902572
2015-12-09,13.51,14.36,13.10,13.23,26700,12.777023
2015-12-08,13.50,14.26,13.12,13.51,26600,13.047437
2015-12-07,14.55,14.62,12.97,13.71,43100,13.240589
2015-12-04,15.01,15.48,13.79,14.87,73900,14.360872
2015-12-03,15.31,15.41,15.05,15.11,26900,14.592655
2015-12-02,15.75,15.99,15.08,15.16,29400,14.640943
2015-12-01,15.87,16.549999,15.54,15.77,124200,15.230058
2015-11-30,15.20,16.40,15.04,15.96,40100,15.413552
2015-11-27,15.11,15.39,14.97,15.29,18600,14.766492
2015-11-25,15.35,15.73,15.21,15.31,18600,14.785808
2015-11-24,15.50,15.72,15.15,15.54,22200,14.886246
2015-11-23,15.51,15.74,15.04,15.44,20100,14.790453
2015-11-20,15.28,15.98,15.27,15.60,16400,14.943723
2015-11-19,15.00,15.47,14.92,15.46,19000,14.809612
2015-11-18,16.01,16.030001,15.02,15.22,23800,14.579709
2015-11-17,16.59,16.83,15.75,15.80,27200,15.135309
2015-11-16,16.889999,16.90,16.41,16.60,16200,15.901654
2015-11-13,17.35,17.48,16.90,16.90,10800,16.189032
2015-11-12,17.43,17.700001,17.18,17.40,21100,16.667998
2015-11-11,17.700001,17.85,17.10,17.84,75500,17.089488
2015-11-10,17.48,17.90,17.40,17.66,15500,16.91706
2015-11-09,17.549999,17.75,17.40,17.41,20700,16.677577
2015-11-06,17.42,17.99,17.40,17.41,8700,16.677577
2015-11-05,17.42,17.92,17.40,17.450001,17400,16.715895
2015-11-04,17.440001,17.709999,17.40,17.42,6900,16.687157
2015-11-03,17.48,17.90,17.40,17.469999,41200,16.735053
2015-11-02,17.190001,17.65,17.040001,17.040001,40100,16.323144
2015-10-30,17.16,17.40,16.90,17.280001,13200,16.553047
2015-10-29,17.18,17.540001,17.08,17.139999,10200,16.418935
2015-10-28,17.049999,17.959999,17.049999,17.389999,20900,16.658418
2015-10-27,17.780001,17.780001,16.00,17.040001,40800,16.225434
2015-10-26,18.059999,18.059999,17.51,17.67,20900,16.825317
2015-10-23,17.690001,18.25,17.690001,17.969999,43300,17.110975
2015-10-22,18.030001,18.030001,17.50,17.77,16000,16.920537
2015-10-21,18.00,18.16,17.60,17.77,14300,16.920537
2015-10-20,17.719999,18.93,17.60,18.030001,30800,17.168109
2015-10-19,17.709999,17.83,17.459999,17.57,13000,16.730097
2015-10-16,18.58,18.620001,17.120001,17.77,21200,16.920537
2015-10-15,17.74,18.67,17.110001,18.67,31900,17.777514
2015-10-14,17.049999,17.66,16.620001,17.379999,56200,16.549179
2015-10-13,17.379999,18.08,17.07,17.17,25700,16.349219
2015-10-12,18.00,18.00,17.209999,17.379999,26700,16.549179
2015-10-09,18.85,18.85,17.809999,17.959999,20000,17.101453
2015-10-08,18.50,18.950001,18.08,18.879999,23600,17.977474
2015-10-07,16.90,19.16,16.799999,18.540001,48600,17.653729
2015-10-06,15.95,17.299999,15.81,17.07,43900,16.253999
2015-10-05,15.25,16.00,15.20,15.90,21700,15.139928
2015-10-02,15.00,15.30,14.75,15.22,11600,14.492435
2015-10-01,15.50,15.66,15.04,15.07,12700,14.349605
2015-09-30,15.57,15.95,15.30,15.48,16900,14.740006
2015-09-29,15.19,15.95,14.73,15.92,44300,15.158973
2015-09-28,15.27,15.47,15.15,15.16,12700,14.435303
2015-09-25,15.45,15.56,15.30,15.47,9100,14.640979
2015-09-24,15.44,15.85,15.41,15.61,11500,14.773476
2015-09-23,15.60,15.76,15.10,15.72,22700,14.877581
2015-09-22,14.97,15.60,14.92,15.60,11300,14.764012
2015-09-21,15.17,15.30,14.87,15.25,15300,14.432768
2015-09-18,15.20,15.50,14.66,14.93,22200,14.129917
2015-09-17,15.31,15.57,15.31,15.39,4400,14.565266
2015-09-16,14.60,15.75,14.60,15.71,16700,14.868117
2015-09-15,15.18,15.47,14.31,14.60,21100,13.817601
2015-09-14,14.69,15.12,14.69,15.09,10500,14.281342
2015-09-11,14.85,15.03,14.70,14.70,9800,13.912242
2015-09-10,15.00,15.21,14.88,15.04,8400,14.234022
2015-09-09,15.00,15.68,14.85,15.05,31600,14.243486
2015-09-08,15.00,15.51,14.91,15.01,6000,14.20563
2015-09-04,14.66,15.48,14.66,15.12,10500,14.309734
2015-09-03,15.23,15.60,14.72,14.78,9500,13.987955
2015-09-02,15.59,15.78,14.79,15.43,22000,14.603122
2015-09-01,15.64,15.85,15.30,15.75,27500,14.905973
2015-08-31,15.44,15.79,15.12,15.79,23800,14.94383
2015-08-28,14.68,15.88,14.51,15.79,16900,14.94383
2015-08-27,13.96,15.45,13.96,14.98,34100,14.177237
2015-08-26,13.70,14.46,13.30,13.72,38000,12.891064
2015-08-25,13.68,13.95,12.85,13.82,49000,12.985022
2015-08-24,12.99,14.00,12.01,13.86,65800,13.022605
2015-08-21,13.17,13.65,13.15,13.25,53500,12.449461
2015-08-20,13.05,13.59,13.05,13.35,25600,12.543419
2015-08-19,13.43,13.85,13.15,13.20,52200,12.402481
2015-08-18,14.11,14.11,13.55,13.65,16700,12.825293
2015-08-17,13.35,14.14,13.31,14.14,20500,13.285689
2015-08-14,13.48,13.78,13.20,13.30,10400,12.49644
2015-08-13,14.24,14.47,13.45,13.45,18600,12.637377
2015-08-12,13.70,14.60,13.47,14.20,30000,13.342063
2015-08-11,13.56,13.76,13.31,13.61,23900,12.78771
2015-08-10,13.77,13.77,13.46,13.68,8200,12.853481
2015-08-07,13.62,13.85,13.25,13.36,40600,12.552814
2015-08-06,14.37,14.54,13.49,13.55,55600,12.731335
2015-08-05,14.50,14.84,14.23,14.39,41700,13.520584
2015-08-04,14.90,14.97,14.03,14.49,50100,13.614542
2015-08-03,15.42,15.85,14.91,14.91,40100,14.009166
2015-07-31,15.45,15.79,15.45,15.50,9400,14.56352
2015-07-30,15.60,15.95,15.32,15.57,6500,14.62929
2015-07-29,16.16,16.25,15.39,15.58,24500,14.638686
2015-07-28,15.42,16.190001,15.05,16.190001,15900,15.117874
2015-07-27,15.48,15.78,15.06,15.22,26900,14.212108
2015-07-24,15.08,15.52,15.01,15.22,14700,14.212108
2015-07-23,15.84,15.84,15.12,15.13,32100,14.128068
2015-07-22,15.87,15.97,15.58,15.66,11300,14.622971
2015-07-21,15.60,15.89,15.24,15.89,15000,14.83774
2015-07-20,15.61,16.049999,15.23,15.51,23100,14.482904
2015-07-17,15.88,16.129999,15.49,15.75,19400,14.707011
2015-07-16,15.97,16.40,15.84,15.89,25000,14.83774
2015-07-15,15.94,15.94,15.59,15.80,25400,14.7537
2015-07-14,15.67,15.96,15.50,15.66,16700,14.622971
2015-07-13,15.55,15.71,15.38,15.56,19600,14.529593
2015-07-10,16.10,16.139999,15.39,15.48,14000,14.45489
2015-07-09,15.42,16.309999,15.38,16.040001,21000,14.977807
2015-07-08,15.40,15.80,15.38,15.38,12600,14.361513
2015-07-07,15.88,15.88,15.38,15.56,20700,14.529593
2015-07-06,15.92,16.440001,15.80,15.81,18400,14.763038
2015-07-02,16.17,16.219999,15.87,15.92,20100,14.865753
2015-07-01,16.360001,16.50,15.86,15.91,21300,14.856415
2015-06-30,15.99,16.65,15.86,16.50,29800,15.407345
2015-06-29,15.78,16.27,15.68,16.040001,19300,14.977807
2015-06-26,15.94,16.23,15.82,15.98,16200,14.921779
2015-06-25,15.45,16.200001,15.26,16.059999,41100,14.92178
2015-06-24,15.56,15.75,15.38,15.58,19900,14.475799
2015-06-23,15.53,15.70,15.36,15.62,18100,14.512964
2015-06-22,15.62,15.62,15.03,15.50,30600,14.401469
2015-06-19,16.35,16.35,15.04,15.61,47900,14.503673
2015-06-18,16.639999,16.90,16.559999,16.639999,34900,15.460673
2015-06-17,16.75,17.040001,16.60,16.77,17000,15.581461
2015-06-16,17.08,17.08,16.549999,16.709999,28600,15.525712
2015-06-15,17.25,17.40,17.00,17.07,26300,15.860198
2015-06-12,17.440001,17.60,17.32,17.32,17700,16.09248
2015-06-11,17.459999,17.58,17.35,17.370001,13300,16.138937
2015-06-10,17.60,17.719999,17.370001,17.43,35900,16.194685
2015-06-09,17.60,17.60,17.379999,17.540001,12100,16.296889
2015-06-08,17.35,17.49,17.280001,17.450001,10300,16.213268
2015-06-05,17.309999,17.530001,17.290001,17.360001,10900,16.129646
2015-06-04,17.389999,17.690001,17.309999,17.43,13900,16.194685
2015-06-03,17.860001,17.860001,17.50,17.50,9500,16.259723
2015-06-02,17.49,17.90,17.33,17.84,14200,16.575626
2015-06-01,17.389999,17.50,17.299999,17.309999,19800,16.083189
2015-05-29,17.50,17.60,17.379999,17.549999,13100,16.306179
2015-05-28,17.60,17.809999,17.379999,17.50,15100,16.259723
2015-05-27,17.90,17.91,17.379999,17.60,14600,16.352636
2015-05-26,17.93,18.120001,17.799999,17.889999,12500,16.573767
2015-05-22,18.15,18.49,17.889999,18.10,20700,16.768317
2015-05-21,18.00,18.709999,17.65,18.24,33200,16.898016
2015-05-20,17.799999,17.799999,17.360001,17.68,46200,16.379218
2015-05-19,19.00,19.00,17.25,17.92,105100,16.60156
2015-05-18,20.99,20.99,19.25,19.32,65000,17.898557
2015-05-15,20.950001,21.50,20.049999,21.379999,25000,19.806995
2015-05-14,21.40,21.42,20.57,21.049999,18800,19.501274
2015-05-13,22.10,22.33,21.379999,21.559999,18400,19.973752
2015-05-12,22.01,22.059999,21.700001,22.059999,14900,20.436965
2015-05-11,21.98,22.08,21.83,21.950001,11300,20.335059
2015-05-08,21.85,21.98,21.65,21.84,11400,20.233152
2015-05-07,22.16,22.469999,21.65,21.66,17700,20.066395
2015-05-06,22.790001,22.889999,22.110001,22.309999,12900,20.668571
2015-05-05,22.459999,22.93,22.209999,22.540001,21000,20.881651
2015-05-04,22.65,22.92,22.16,22.389999,18700,20.742685
2015-05-01,22.700001,22.790001,22.459999,22.559999,15700,20.900178
2015-04-30,21.77,22.530001,21.709999,22.530001,17100,20.872386
2015-04-29,21.76,22.049999,21.379999,21.940001,13200,20.325795
2015-04-28,21.75,22.24,21.41,21.559999,24900,19.973752
2015-04-27,22.09,22.83,22.08,22.08,24600,20.310046
2015-04-24,22.24,22.50,22.00,22.200001,21900,20.420427
2015-04-23,22.15,22.42,22.00,22.120001,28300,20.34684
2015-04-22,22.58,22.940001,22.030001,22.209999,76500,20.429624
