Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,25.120001,25.290001,24.870001,24.889999,573800,24.815949
2015-12-30,25.52,25.59,25.23,25.26,353300,25.184849
2015-12-29,25.26,25.60,25.25,25.48,398700,25.404194
2015-12-28,24.91,25.15,24.719999,25.139999,568500,25.065205
2015-12-24,25.459999,25.559999,24.959999,25.00,515200,24.925622
2015-12-23,25.41,25.57,25.290001,25.42,428400,25.344373
2015-12-22,24.610001,25.389999,24.549999,25.26,670300,25.184849
2015-12-21,25.360001,25.360001,24.33,24.58,592800,24.42711
2015-12-18,25.57,25.60,24.60,25.18,3582500,25.023378
2015-12-17,26.41,26.50,25.68,25.690001,1417700,25.530206
2015-12-16,26.40,26.60,26.110001,26.40,811700,26.235789
2015-12-15,25.530001,26.34,25.530001,26.280001,1028400,26.116536
2015-12-14,24.50,25.42,24.440001,25.389999,1256800,25.232071
2015-12-11,24.09,24.540001,24.030001,24.379999,530900,24.228353
2015-12-10,24.620001,24.67,24.379999,24.43,432700,24.278043
2015-12-09,24.879999,25.200001,24.530001,24.559999,520500,24.407234
2015-12-08,24.83,25.129999,24.690001,24.969999,340900,24.814683
2015-12-07,25.40,25.540001,24.950001,25.08,330500,24.924
2015-12-04,24.780001,25.51,24.780001,25.49,335700,25.331449
2015-12-03,25.620001,25.629999,24.700001,24.74,528800,24.586114
2015-12-02,26.120001,26.139999,25.48,25.51,374000,25.351325
2015-12-01,25.90,26.209999,25.82,26.15,447000,25.987344
2015-11-30,25.950001,26.08,25.66,25.76,689500,25.59977
2015-11-27,25.65,25.93,25.57,25.879999,194500,25.719023
2015-11-25,25.66,25.85,25.60,25.700001,276400,25.540144
2015-11-24,25.469999,25.709999,25.33,25.620001,573700,25.460642
2015-11-23,24.99,25.719999,24.92,25.639999,650100,25.480516
2015-11-20,25.01,25.200001,24.83,25.040001,524900,24.88425
2015-11-19,24.73,24.870001,24.67,24.84,296800,24.685493
2015-11-18,24.629999,24.709999,24.32,24.690001,435200,24.536426
2015-11-17,24.709999,24.870001,24.379999,24.49,407500,24.337669
2015-11-16,24.559999,24.709999,24.370001,24.690001,312500,24.536426
