Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.54,10.84,10.51,10.52,1264200,10.52
2015-12-30,10.54,10.71,10.40,10.58,1279300,10.58
2015-12-29,10.19,10.61,10.10,10.59,1441100,10.59
2015-12-28,10.32,10.37,10.03,10.13,1450000,10.13
2015-12-24,10.83,10.88,10.36,10.38,813200,10.38
2015-12-23,10.58,10.86,10.53,10.85,2063300,10.85
2015-12-22,10.38,10.52,10.26,10.47,1432500,10.47
2015-12-21,10.20,10.38,10.03,10.30,1499600,10.30
2015-12-18,10.00,10.18,9.92,10.16,2644000,10.16
2015-12-17,10.25,10.27,10.01,10.05,1036400,10.05
2015-12-16,9.62,10.21,9.50,10.19,1579500,10.19
2015-12-15,9.61,9.71,9.42,9.59,1234800,9.59
2015-12-14,9.93,10.00,9.54,9.56,1710500,9.56
2015-12-11,9.98,10.05,9.78,9.93,1243900,9.93
2015-12-10,10.28,10.41,10.09,10.14,1162500,10.14
2015-12-09,10.25,10.53,10.20,10.30,1120400,10.30
2015-12-08,10.58,10.60,10.18,10.26,1554000,10.26
2015-12-07,10.92,10.92,10.63,10.68,1163200,10.68
2015-12-04,10.79,11.05,10.71,10.96,1510500,10.96
2015-12-03,10.94,11.14,10.70,10.80,1726000,10.80
2015-12-02,10.96,10.99,10.69,10.90,2107100,10.90
2015-12-01,11.00,11.52,10.95,10.99,3497100,10.99
2015-11-30,10.48,11.05,10.40,10.95,2374400,10.95
2015-11-27,10.59,10.68,10.42,10.47,466000,10.47
2015-11-25,10.42,10.72,10.30,10.62,1631300,10.62
2015-11-24,9.92,10.49,9.87,10.41,2036700,10.41
2015-11-23,9.40,9.94,9.37,9.91,1482300,9.91
2015-11-20,9.47,9.61,9.35,9.39,1216600,9.39
2015-11-19,9.32,9.42,9.13,9.40,1180000,9.40
2015-11-18,9.15,9.37,9.05,9.34,1485300,9.34
2015-11-17,9.81,9.85,9.07,9.10,1623400,9.10
2015-11-16,10.17,10.35,9.45,9.80,2119700,9.80
2015-11-13,10.55,10.94,10.14,10.20,4690000,10.20
2015-11-12,9.89,9.99,9.48,9.52,1876200,9.52
2015-11-11,10.07,10.23,9.93,10.00,1783500,10.00
2015-11-10,10.15,10.28,10.03,10.09,1390100,10.09
2015-11-09,10.42,10.51,10.07,10.17,1074100,10.17
2015-11-06,10.46,10.50,10.09,10.40,1302600,10.40
2015-11-05,10.47,10.55,10.29,10.50,980600,10.50
2015-11-04,10.63,10.80,10.27,10.47,1170200,10.47
2015-11-03,10.43,10.70,10.30,10.58,1122100,10.58
2015-11-02,10.13,10.53,10.05,10.43,912600,10.43
2015-10-30,10.15,10.24,10.02,10.12,691800,10.12
2015-10-29,10.28,10.37,10.08,10.16,932000,10.16
2015-10-28,10.13,10.61,10.07,10.26,1561800,10.26
2015-10-27,10.33,10.40,10.15,10.18,1291100,10.18
2015-10-26,10.42,10.46,10.20,10.39,1464000,10.39
2015-10-23,10.49,10.49,10.26,10.45,741300,10.45
2015-10-22,10.32,10.60,10.31,10.45,775800,10.45
2015-10-21,10.48,10.51,10.28,10.29,821600,10.29
2015-10-20,10.21,10.51,10.18,10.47,1201200,10.47
2015-10-19,10.54,10.54,10.16,10.22,1337100,10.22
2015-10-16,10.59,10.66,10.36,10.61,1079800,10.61
2015-10-15,10.79,10.79,10.43,10.58,1226700,10.58
2015-10-14,10.89,10.99,10.76,10.79,1230300,10.79
2015-10-13,11.16,11.24,10.92,10.93,1196100,10.93
2015-10-12,11.49,11.60,11.15,11.22,845000,11.22
2015-10-09,11.81,11.81,11.42,11.45,1335500,11.45
2015-10-08,11.31,11.80,11.27,11.75,1326100,11.75
2015-10-07,11.42,11.57,11.26,11.35,2056300,11.35
2015-10-06,11.68,11.71,11.35,11.36,1343700,11.36
2015-10-05,11.19,11.69,11.15,11.69,1066300,11.69
2015-10-02,10.82,11.15,10.74,11.12,1799400,11.12
2015-10-01,11.25,11.32,10.86,10.92,1354400,10.92
2015-09-30,11.31,11.40,11.07,11.24,1986400,11.24
2015-09-29,11.70,11.70,11.16,11.21,1211100,11.21
2015-09-28,11.91,11.95,11.64,11.65,2362500,11.65
2015-09-25,11.86,12.07,11.77,12.02,2889200,12.02
2015-09-24,11.46,11.78,11.38,11.73,1550500,11.73
2015-09-23,11.50,11.57,11.38,11.55,1543900,11.55
