Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.07,15.14,15.05,15.11,12300,14.904836
2015-12-30,14.95,15.03,14.89,15.03,28700,14.825922
2015-12-29,14.98,15.08,14.94,14.96,24900,14.756873
2015-12-28,14.97,15.05,14.96,15.05,13800,14.808167
2015-12-24,14.89,15.00,14.89,15.00,6400,14.75897
2015-12-23,15.00,15.08,14.87,14.93,28400,14.690096
2015-12-22,15.01,15.03,14.91,14.98,17100,14.739291
2015-12-21,14.87,15.01,14.86,14.98,37400,14.739291
2015-12-18,14.89,14.95,14.83,14.92,20600,14.680256
2015-12-17,14.78,14.90,14.78,14.84,22500,14.601542
2015-12-16,14.67,14.80,14.67,14.73,17100,14.493309
2015-12-15,14.73,14.75,14.61,14.68,32800,14.444113
2015-12-14,14.83,14.83,14.56,14.74,32100,14.503148
2015-12-11,14.78,14.93,14.77,14.84,34100,14.601542
2015-12-10,14.86,14.96,14.84,14.86,27200,14.552344
2015-12-09,14.90,14.91,14.87,14.88,8900,14.57193
2015-12-08,14.83,14.93,14.83,14.87,20500,14.562137
2015-12-07,14.88,14.91,14.83,14.83,8900,14.522965
2015-12-04,14.80,14.92,14.80,14.83,10100,14.522965
2015-12-03,14.93,14.93,14.80,14.81,14500,14.50338
2015-12-02,14.94,14.95,14.89,14.90,7600,14.591516
2015-12-01,14.93,14.97,14.89,14.94,15200,14.630688
2015-11-30,14.93,14.98,14.88,14.88,12200,14.57193
2015-11-27,14.92,15.01,14.92,14.99,3600,14.679653
2015-11-25,14.90,15.07,14.90,14.90,19300,14.591516
2015-11-24,15.01,15.01,14.88,14.89,13700,14.581724
2015-11-23,15.00,15.00,14.96,14.96,9600,14.650274
2015-11-20,14.91,14.99,14.91,14.99,5600,14.679653
2015-11-19,14.91,14.95,14.90,14.90,4700,14.591516
2015-11-18,14.90,14.95,14.88,14.91,3600,14.601309
2015-11-17,14.90,14.90,14.87,14.89,4300,14.581724
2015-11-16,14.89,14.95,14.89,14.95,4600,14.640481
2015-11-13,14.80,14.94,14.78,14.89,10300,14.581724
2015-11-12,14.88,14.95,14.88,14.88,8200,14.57193
2015-11-11,14.95,14.98,14.89,14.90,1500,14.522965
2015-11-10,14.90,14.95,14.90,14.95,3600,14.5717
2015-11-09,15.10,15.10,14.92,14.95,13000,14.5717
2015-11-06,15.23,15.23,15.08,15.18,5100,14.795881
2015-11-05,15.24,15.25,15.19,15.24,7000,14.854362
2015-11-04,15.22,15.25,15.18,15.25,13300,14.864109
