Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,69.860001,70.449997,68.209999,69.959999,906200,69.959999
2015-12-30,72.190002,72.860001,69.870003,70.029999,617000,70.029999
2015-12-29,72.150002,72.879997,71.75,72.82,456600,72.82
2015-12-28,73.080002,73.339996,71.440002,71.809998,595200,71.809998
2015-12-24,73.379997,74.589996,73.309998,73.400002,287000,73.400002
2015-12-23,72.860001,74.839996,72.57,73.800003,477000,73.800003
2015-12-22,73.510002,73.889999,70.949997,72.57,809300,72.57
2015-12-21,77.410004,77.410004,72.510002,73.199997,1088000,73.199997
2015-12-18,78.82,78.889999,76.050003,76.480003,1266800,76.480003
2015-12-17,82.330002,82.650002,79.269997,79.290001,544400,79.290001
2015-12-16,81.690002,83.199997,80.93,82.199997,714500,82.199997
2015-12-15,78.900002,81.330002,78.440002,81.260002,662000,81.260002
2015-12-14,78.620003,80.00,75.739998,78.199997,1025200,78.199997
2015-12-11,80.00,80.860001,76.830002,77.18,941000,77.18
2015-12-10,81.809998,82.699997,80.449997,81.129997,584900,81.129997
2015-12-09,84.190002,85.43,81.25,81.610001,676800,81.610001
2015-12-08,83.339996,85.370003,82.480003,84.389999,522600,84.389999
2015-12-07,85.900002,86.440002,83.260002,84.389999,706300,84.389999
2015-12-04,85.580002,86.830002,84.040001,86.279999,724100,86.279999
2015-12-03,87.300003,87.699997,85.379997,85.779999,520300,85.779999
2015-12-02,88.440002,89.489998,86.800003,87.599998,554900,87.599998
2015-12-01,87.93,89.00,87.080002,88.910004,519600,88.910004
2015-11-30,86.529999,88.68,86.400002,87.379997,676500,87.379997
2015-11-27,86.50,88.209999,85.629997,86.339996,328000,86.339996
2015-11-25,88.580002,90.370003,86.150002,86.669998,960200,86.669998
2015-11-24,89.50,90.82,79.309998,88.559998,3437400,88.559998
2015-11-23,83.779999,86.639999,83.550003,86.010002,978700,86.010002
2015-11-20,83.900002,84.169998,82.669998,83.379997,561500,83.379997
2015-11-19,83.43,83.900002,81.800003,83.440002,690800,83.440002
2015-11-18,82.970001,84.43,82.739998,83.370003,492400,83.370003
2015-11-17,84.290001,84.489998,81.959999,82.50,554400,82.50
2015-11-16,81.889999,84.50,81.550003,84.239998,512300,84.239998
2015-11-13,82.349998,82.860001,81.120003,81.82,472700,81.82
2015-11-12,84.190002,85.300003,82.290001,82.919998,654700,82.919998
2015-11-11,84.160004,85.480003,83.849998,85.360001,468300,85.360001
2015-11-10,83.360001,84.839996,83.029999,84.040001,537200,84.040001
2015-11-09,82.029999,83.629997,80.629997,83.370003,594800,83.370003
2015-11-06,84.00,84.529999,78.25,82.32,1327700,82.32
2015-11-05,84.370003,85.760002,84.239998,85.309998,681800,85.309998
2015-11-04,84.190002,85.07,82.309998,84.120003,1007300,84.120003
2015-11-03,80.440002,84.230003,80.440002,83.050003,1151800,83.050003
2015-11-02,76.489998,80.779999,76.32,80.18,714800,80.18
2015-10-30,76.300003,77.150002,74.849998,76.089996,495800,76.089996
2015-10-29,78.400002,78.82,75.720001,76.239998,663600,76.239998
2015-10-28,74.989998,78.849998,74.989998,78.839996,615100,78.839996
2015-10-27,74.519997,74.779999,72.459999,74.669998,478700,74.669998
2015-10-26,75.849998,76.470001,74.489998,74.760002,491600,74.760002
2015-10-23,77.720001,78.160004,75.00,75.790001,578400,75.790001
2015-10-22,77.099998,77.650002,75.699997,76.730003,619400,76.730003
2015-10-21,79.220001,79.50,75.739998,76.459999,663100,76.459999
2015-10-20,77.730003,79.980003,77.730003,78.629997,822800,78.629997
2015-10-19,75.059998,78.410004,74.870003,77.699997,1150500,77.699997
2015-10-16,76.849998,77.400002,74.510002,75.199997,595300,75.199997
2015-10-15,74.459999,76.550003,73.790001,76.410004,1046600,76.410004
2015-10-14,74.889999,75.75,73.050003,74.419998,639500,74.419998
2015-10-13,78.529999,78.940002,74.370003,74.68,798700,74.68
2015-10-12,78.400002,79.349998,77.879997,78.980003,510900,78.980003
2015-10-09,78.239998,79.160004,77.50,78.290001,425600,78.290001
2015-10-08,77.900002,78.230003,77.059998,77.769997,432700,77.769997
2015-10-07,74.980003,79.550003,74.690002,77.75,905300,77.75
2015-10-06,74.830002,75.309998,73.709999,73.949997,394300,73.949997
2015-10-05,72.00,75.32,71.50,74.650002,786400,74.650002
2015-10-02,69.379997,71.269997,68.50,71.239998,381800,71.239998
2015-10-01,72.459999,73.00,68.25,70.82,701200,70.82
2015-09-30,70.730003,72.669998,69.660004,72.360001,543400,72.360001
2015-09-29,71.220001,71.739998,69.099998,70.050003,691200,70.050003
2015-09-28,75.980003,76.25,70.75,71.279999,1039100,71.279999
2015-09-25,78.949997,79.110001,75.68,76.480003,451700,76.480003
2015-09-24,78.470001,78.709999,76.25,78.110001,551600,78.110001
2015-09-23,77.900002,79.790001,77.900002,79.290001,414200,79.290001
2015-09-22,77.959999,78.209999,77.00,77.699997,399400,77.699997
2015-09-21,78.389999,79.75,77.50,78.800003,321000,78.800003
2015-09-18,78.080002,79.400002,77.510002,77.690002,809700,77.690002
2015-09-17,78.940002,80.849998,78.010002,79.32,623300,79.32
2015-09-16,77.699997,79.260002,76.860001,79.239998,677100,79.239998
2015-09-15,77.910004,78.599998,76.540001,77.510002,802200,77.510002
2015-09-14,75.809998,78.00,75.199997,77.529999,539600,77.529999
2015-09-11,74.059998,75.209999,73.550003,75.199997,473200,75.199997
2015-09-10,74.300003,75.18,71.68,74.519997,2894100,74.519997
2015-09-09,76.50,77.75,74.00,74.529999,764600,74.529999
2015-09-08,73.970001,76.349998,73.480003,76.220001,542300,76.220001
2015-09-04,72.050003,73.279999,71.519997,72.57,237300,72.57
2015-09-03,72.459999,74.620003,72.419998,73.220001,485900,73.220001
2015-09-02,69.860001,72.050003,68.989998,71.989998,468300,71.989998
2015-09-01,69.620003,70.199997,68.059998,68.57,365300,68.57
2015-08-31,70.720001,71.870003,70.010002,71.089996,324500,71.089996
2015-08-28,71.129997,72.610001,70.209999,71.139999,457700,71.139999
2015-08-27,67.989998,71.769997,67.410004,71.260002,1232700,71.260002
2015-08-26,67.00,68.449997,61.049999,66.980003,1667200,66.980003
2015-08-25,61.669998,63.07,59.59,60.310001,582800,60.310001
2015-08-24,59.00,62.209999,55.84,59.380001,559000,59.380001
2015-08-21,63.029999,64.120003,62.16,62.279999,483400,62.279999
2015-08-20,66.589996,66.730003,63.720001,64.209999,336800,64.209999
2015-08-19,66.639999,68.059998,65.93,67.360001,219200,67.360001
2015-08-18,68.449997,68.650002,66.589996,66.940002,251800,66.940002
2015-08-17,67.419998,68.699997,66.510002,68.68,192400,68.68
2015-08-14,68.260002,68.510002,65.169998,67.769997,283500,67.769997
2015-08-13,66.879997,69.800003,66.879997,68.419998,444200,68.419998
2015-08-12,64.279999,67.330002,63.52,66.879997,470200,66.879997
2015-08-11,63.720001,64.980003,63.720001,64.709999,272300,64.709999
2015-08-10,63.689999,65.00,63.619999,64.559998,281400,64.559998
2015-08-07,62.869999,63.66,62.25,63.169998,180200,63.169998
2015-08-06,64.760002,65.379997,62.310001,63.34,305800,63.34
2015-08-05,66.339996,66.800003,64.489998,64.580002,243200,64.580002
2015-08-04,65.209999,66.50,65.209999,65.93,226500,65.93
2015-08-03,65.900002,65.980003,64.910004,65.209999,169500,65.209999
2015-07-31,65.589996,66.330002,65.040001,66.059998,192600,66.059998
2015-07-30,65.410004,65.910004,64.470001,65.589996,166500,65.589996
2015-07-29,65.18,65.82,64.32,65.410004,205400,65.410004
2015-07-28,64.550003,65.709999,63.459999,65.120003,252300,65.120003
2015-07-27,63.360001,64.019997,62.630001,64.00,249000,64.00
2015-07-24,66.010002,66.309998,63.41,63.900002,411700,63.900002
2015-07-23,68.300003,68.300003,66.040001,66.099998,377500,66.099998
2015-07-22,68.910004,68.910004,67.75,68.139999,351500,68.139999
2015-07-21,69.279999,70.260002,69.150002,69.419998,444500,69.419998
2015-07-20,69.68,69.989998,68.639999,69.489998,358100,69.489998
2015-07-17,68.800003,69.839996,68.489998,69.099998,423300,69.099998
2015-07-16,68.779999,70.800003,68.559998,69.010002,503000,69.010002
2015-07-15,69.660004,69.660004,68.43,68.529999,486600,68.529999
2015-07-14,67.620003,69.809998,67.269997,69.620003,413600,69.620003
2015-07-13,67.720001,67.849998,66.699997,67.43,402900,67.43
2015-07-10,66.470001,67.940002,65.949997,67.040001,438300,67.040001
2015-07-09,65.889999,66.290001,65.07,65.330002,326900,65.330002
2015-07-08,65.830002,66.129997,65.139999,65.25,440200,65.25
2015-07-07,65.739998,66.559998,64.339996,66.129997,495700,66.129997
2015-07-06,62.990002,66.269997,62.799999,66.18,726100,66.18
2015-07-02,63.549999,64.389999,63.080002,63.419998,591600,63.419998
2015-07-01,60.830002,63.759998,60.549999,63.48,1128000,63.48
2015-06-30,59.00,59.68,58.790001,58.849998,453800,58.849998
2015-06-29,59.16,60.130001,58.529999,58.599998,291700,58.599998
2015-06-26,60.099998,60.18,59.349998,59.619999,369500,59.619999
2015-06-25,60.00,60.279999,59.549999,60.080002,227400,60.080002
2015-06-24,60.25,60.360001,59.66,59.889999,323200,59.889999
2015-06-23,60.630001,60.82,60.209999,60.290001,358700,60.290001
2015-06-22,60.279999,60.75,59.880001,60.630001,387000,60.630001
2015-06-19,60.450001,60.66,59.669998,59.93,856700,59.93
2015-06-18,59.959999,60.709999,59.610001,60.48,202600,60.48
2015-06-17,59.84,60.59,59.43,59.880001,218800,59.880001
2015-06-16,59.099998,60.049999,58.84,59.740002,254900,59.740002
2015-06-15,59.139999,59.529999,58.139999,59.00,292900,59.00
2015-06-12,59.119999,59.82,58.919998,59.580002,195900,59.580002
2015-06-11,59.189999,59.810001,58.93,59.48,185900,59.48
2015-06-10,58.529999,59.360001,58.279999,59.099998,298500,59.099998
2015-06-09,57.959999,58.470001,57.09,58.119999,397500,58.119999
2015-06-08,58.790001,59.439999,57.68,57.700001,224000,57.700001
2015-06-05,57.709999,58.50,57.389999,58.419998,197700,58.419998
2015-06-04,58.52,58.849998,57.700001,58.07,172700,58.07
2015-06-03,58.66,58.98,58.240002,58.91,235600,58.91
2015-06-02,58.18,58.549999,57.66,58.380001,290400,58.380001
2015-06-01,57.950001,58.889999,56.880001,58.34,413100,58.34
2015-05-29,57.860001,58.450001,56.790001,57.580002,351600,57.580002
2015-05-28,58.57,59.009998,57.77,58.02,277800,58.02
2015-05-27,58.369999,58.990002,57.48,58.580002,511800,58.580002
2015-05-26,58.91,59.02,57.34,57.970001,536600,57.970001
2015-05-22,58.790001,60.389999,58.139999,58.959999,498900,58.959999
2015-05-21,56.470001,59.970001,56.060001,58.82,1087800,58.82
2015-05-20,53.419998,57.119999,52.509998,56.580002,2003400,56.580002
2015-05-19,47.150002,47.48,46.029999,46.07,514900,46.07
2015-05-18,47.029999,47.950001,46.860001,47.34,256300,47.34
2015-05-15,46.189999,47.540001,45.799999,47.220001,283000,47.220001
2015-05-14,46.990002,47.330002,46.130001,46.450001,157700,46.450001
2015-05-13,46.299999,47.02,45.73,46.990002,365300,46.990002
2015-05-12,46.419998,46.889999,45.450001,46.080002,285200,46.080002
2015-05-11,46.330002,47.950001,46.259998,47.220001,191400,47.220001
2015-05-08,46.66,47.119999,46.259998,46.419998,144100,46.419998
2015-05-07,47.040001,47.23,46.209999,46.419998,232200,46.419998
2015-05-06,46.110001,46.98,45.799999,46.959999,218200,46.959999
2015-05-05,46.700001,47.41,45.580002,45.84,320400,45.84
2015-05-04,47.009998,47.50,46.709999,46.880001,136000,46.880001
2015-05-01,45.959999,47.299999,45.91,46.900002,213300,46.900002
2015-04-30,48.52,48.599998,45.970001,45.98,325700,45.98
2015-04-29,48.720001,49.59,48.540001,48.869999,154900,48.869999
2015-04-28,48.400002,49.439999,47.889999,49.029999,134400,49.029999
2015-04-27,48.869999,50.139999,48.279999,48.48,218600,48.48
2015-04-24,48.209999,49.470001,47.950001,48.990002,237100,48.990002
2015-04-23,48.150002,49.119999,47.889999,48.040001,294400,48.040001
2015-04-22,47.740002,48.610001,47.209999,48.32,427300,48.32
2015-04-21,47.900002,48.200001,47.00,47.91,322300,47.91
2015-04-20,47.939999,48.23,47.18,47.599998,418300,47.599998
2015-04-17,48.630001,48.639999,47.700001,47.889999,244400,47.889999
2015-04-16,49.93,49.950001,48.779999,48.959999,204200,48.959999
2015-04-15,49.439999,50.48,49.040001,49.889999,413500,49.889999
2015-04-14,49.049999,49.700001,49.02,49.41,130500,49.41
2015-04-13,48.939999,49.860001,48.799999,49.049999,148000,49.049999
2015-04-10,49.419998,49.68,48.900002,49.049999,192100,49.049999
2015-04-09,49.00,49.419998,48.52,49.240002,200900,49.240002
2015-04-08,49.080002,49.470001,48.200001,49.139999,361100,49.139999
2015-04-07,49.150002,49.900002,48.259998,48.43,274100,48.43
2015-04-06,47.950001,49.470001,47.720001,49.189999,349000,49.189999
2015-04-02,48.25,49.560001,47.709999,48.529999,339400,48.529999
2015-04-01,48.66,48.849998,47.549999,48.049999,408300,48.049999
2015-03-31,49.18,49.57,48.139999,48.84,380300,48.84
2015-03-30,47.75,49.700001,47.68,49.349998,253600,49.349998
2015-03-27,47.43,48.220001,46.610001,47.41,215200,47.41
2015-03-26,46.84,48.259998,46.299999,47.540001,292300,47.540001
