Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,22.50,22.629999,22.16,22.389999,549200,22.366211
2015-12-30,22.809999,23.040001,22.549999,22.549999,375400,22.526041
2015-12-29,22.65,23.040001,22.65,22.90,568600,22.875669
2015-12-28,22.82,22.950001,22.32,22.559999,445600,22.536031
2015-12-24,22.92,23.10,22.809999,22.93,191500,22.905638
2015-12-23,22.620001,23.190001,22.34,22.940001,555300,22.915628
2015-12-22,22.67,22.82,22.32,22.58,848400,22.55601
2015-12-21,22.16,22.860001,22.059999,22.719999,1233700,22.69586
2015-12-18,22.07,22.25,21.799999,22.08,2235700,22.056541
2015-12-17,22.84,22.98,21.82,22.200001,1049100,22.176414
2015-12-16,22.559999,22.959999,22.50,22.85,621200,22.825723
2015-12-15,21.889999,22.700001,21.74,22.450001,907800,22.426149
2015-12-14,22.209999,22.290001,21.32,21.74,1073300,21.716902
2015-12-11,22.35,22.700001,22.23,22.26,878800,22.23635
2015-12-10,22.65,22.950001,22.219999,22.59,1306100,22.565999
2015-12-09,23.16,23.450001,22.51,22.57,668900,22.54602
2015-12-08,23.32,23.559999,23.120001,23.17,548700,23.145383
2015-12-07,24.57,24.58,23.49,23.58,701000,23.554947
2015-12-04,24.16,24.629999,24.08,24.58,424900,24.553885
2015-12-03,24.48,24.90,24.030001,24.15,946800,24.124341
2015-12-02,24.540001,24.73,24.34,24.370001,929100,24.344109
2015-12-01,24.42,24.75,24.27,24.50,883800,24.47397
2015-11-30,24.59,24.59,24.18,24.27,675100,24.244215
2015-11-27,24.75,24.889999,24.51,24.68,335600,24.653779
2015-11-25,24.559999,24.959999,24.370001,24.84,488200,24.788634
2015-11-24,23.60,24.780001,23.34,24.620001,746200,24.56909
2015-11-23,23.77,24.049999,23.559999,23.84,478800,23.790702
2015-11-20,23.76,23.83,23.41,23.700001,383600,23.650992
2015-11-19,23.67,23.74,23.42,23.549999,383000,23.501301
2015-11-18,23.35,23.84,23.129999,23.76,591700,23.710868
2015-11-17,24.309999,24.530001,23.450001,23.59,845600,23.541219
2015-11-16,23.950001,24.209999,23.60,24.10,844600,24.050165
2015-11-13,24.02,24.360001,23.68,23.969999,602500,23.920433
2015-11-12,24.459999,24.639999,24.08,24.360001,715500,24.309627
2015-11-11,25.07,25.10,24.440001,24.83,941900,24.778655
2015-11-10,24.799999,25.18,24.68,25.10,1509600,25.048097
