Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.47,4.51,4.44,4.46,7005800,4.434214
2015-12-30,4.55,4.60,4.46,4.46,15449100,4.434214
2015-12-29,4.69,4.72,4.64,4.68,11317900,4.652942
2015-12-28,4.59,4.69,4.58,4.67,12924600,4.643
2015-12-24,4.58,4.62,4.54,4.57,3627800,4.543578
2015-12-23,4.50,4.59,4.49,4.59,16131800,4.563463
2015-12-22,4.42,4.51,4.38,4.49,14092400,4.46404
2015-12-21,4.51,4.57,4.43,4.45,12148400,4.385497
2015-12-18,4.56,4.60,4.44,4.44,42687600,4.375642
2015-12-17,4.77,4.80,4.57,4.62,16236300,4.553033
2015-12-16,4.52,4.75,4.46,4.73,16988100,4.661439
2015-12-15,4.68,4.69,4.56,4.56,10985800,4.493903
2015-12-14,4.62,4.67,4.58,4.59,17358600,4.523468
2015-12-11,4.71,4.71,4.62,4.62,28158200,4.553033
2015-12-10,4.83,4.87,4.70,4.70,12373600,4.631874
2015-12-09,4.90,4.98,4.83,4.89,21701500,4.81912
2015-12-08,4.80,4.82,4.70,4.81,17677100,4.740279
2015-12-07,4.96,4.98,4.85,4.88,14466300,4.809265
2015-12-04,4.92,5.03,4.87,4.87,14952700,4.799409
2015-12-03,4.98,5.00,4.88,4.95,15575200,4.87825
2015-12-02,4.82,4.83,4.72,4.82,20185300,4.750134
2015-12-01,4.78,4.87,4.77,4.81,20044200,4.740279
2015-11-30,4.77,4.85,4.76,4.77,45072300,4.700859
2015-11-27,5.01,5.01,4.89,4.90,7985000,4.828975
2015-11-25,4.91,4.98,4.89,4.96,10092600,4.888105
2015-11-24,5.05,5.10,5.02,5.06,12119700,4.986655
2015-11-23,5.14,5.17,5.04,5.06,12392000,4.986655
2015-11-20,5.15,5.28,5.13,5.17,21130400,5.095061
2015-11-19,5.15,5.16,5.10,5.14,28353300,5.065496
2015-11-18,5.01,5.13,5.01,5.13,20550400,5.055641
2015-11-17,4.99,5.03,4.94,5.01,13170100,4.93738
2015-11-16,4.92,5.01,4.89,4.97,16720700,4.89796
2015-11-13,4.92,5.02,4.89,4.93,15567300,4.85854
2015-11-12,4.93,5.04,4.91,4.95,18851700,4.87825
2015-11-11,5.06,5.06,4.92,5.02,14747800,4.947235
2015-11-10,4.83,4.98,4.76,4.92,13310800,4.848685
2015-11-09,4.97,4.98,4.83,4.83,9542400,4.759989
2015-11-06,5.00,5.01,4.91,4.98,14362100,4.907815
2015-11-05,5.11,5.12,5.03,5.06,16365200,4.986655
2015-11-04,5.17,5.20,5.01,5.06,14932000,4.986655
2015-11-03,4.98,5.19,4.98,5.17,19666900,5.095061
2015-11-02,4.92,5.00,4.88,4.95,20982300,4.87825
2015-10-30,4.87,4.96,4.84,4.87,18670400,4.799409
2015-10-29,4.87,4.95,4.81,4.87,13513000,4.799409
2015-10-28,5.00,5.05,4.87,4.89,17504900,4.81912
2015-10-27,5.00,5.08,4.93,5.03,29555100,4.957091
2015-10-26,5.07,5.08,4.97,4.97,15647900,4.89796
2015-10-23,5.02,5.07,5.01,5.04,12040800,4.966945
2015-10-22,4.95,5.05,4.93,5.00,44199100,4.927525
2015-10-21,4.98,4.99,4.87,4.92,18494200,4.848685
2015-10-20,4.96,5.00,4.90,4.98,8739200,4.907815
2015-10-19,4.89,4.99,4.85,4.96,10492300,4.888105
2015-10-16,5.00,5.05,4.86,4.99,16192900,4.91767
2015-10-15,4.80,5.03,4.71,5.01,52711500,4.93738
2015-10-14,4.84,4.89,4.71,4.79,48873600,4.720569
2015-10-13,5.05,5.08,4.74,4.77,72881300,4.700859
2015-10-12,5.20,5.24,5.08,5.10,17245400,5.026076
2015-10-09,5.21,5.30,5.15,5.22,12198100,5.144336
2015-10-08,5.16,5.21,5.06,5.15,40747900,5.075351
2015-10-07,5.21,5.27,5.11,5.15,14148100,5.075351
2015-10-06,5.22,5.27,5.10,5.12,14900600,5.045786
2015-10-05,5.14,5.23,5.12,5.20,10889800,5.124626
