Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,56.450001,56.549999,55.32,55.32,1409400,54.868496
2015-12-30,57.169998,57.48,56.509998,56.549999,1459900,56.088457
2015-12-29,56.799999,57.75,56.689999,57.310001,1347700,56.842256
2015-12-28,56.669998,56.84,55.869999,56.450001,1205500,55.989275
2015-12-24,56.48,57.00,56.48,56.799999,536300,56.336417
2015-12-23,56.360001,56.84,56.23,56.48,1153100,56.019029
2015-12-22,56.549999,56.98,55.849998,56.02,1136200,55.562784
2015-12-21,55.830002,55.860001,55.349998,55.830002,1763500,55.374336
2015-12-18,55.75,56.369999,55.119999,55.169998,4719900,54.719719
2015-12-17,57.439999,57.869999,56.110001,56.119999,2249600,55.661966
2015-12-16,56.939999,57.740002,56.310001,57.529999,1960100,57.060458
2015-12-15,55.849998,57.849998,55.700001,56.549999,4685000,56.088457
2015-12-14,56.880001,57.27,56.400002,56.82,2896200,56.356254
2015-12-11,56.290001,57.110001,56.290001,56.93,3886300,56.465357
2015-12-10,56.669998,57.509998,56.439999,57.150002,3175600,56.683562
2015-12-09,58.00,58.060001,56.439999,56.650002,2479200,56.187643
2015-12-08,58.080002,58.330002,57.509998,58.02,2178100,57.546461
2015-12-07,59.220001,59.490002,58.34,58.50,2590700,58.022543
2015-12-04,57.759998,59.709999,56.77,59.209999,5550200,58.726747
2015-12-03,61.400002,61.459999,58.810001,59.049999,3560400,58.568053
2015-12-02,61.330002,61.970001,60.619999,60.740002,2031100,60.244262
2015-12-01,62.09,62.400002,61.279999,61.57,3044400,60.670749
2015-11-30,60.389999,62.080002,60.389999,61.630001,3358100,60.729874
2015-11-27,60.23,60.73,60.00,60.450001,915700,59.567108
2015-11-25,60.459999,61.360001,59.830002,60.25,3348400,59.370028
2015-11-24,59.380001,61.02,57.419998,60.419998,7189300,59.537543
2015-11-23,58.900002,59.00,56.50,56.799999,7029300,55.970416
2015-11-20,60.209999,60.209999,59.220001,59.419998,3044000,58.552149
2015-11-19,60.389999,60.41,59.43,59.77,2755000,58.897039
2015-11-18,59.330002,60.830002,59.299999,60.740002,1797300,59.852873
2015-11-17,58.490002,59.709999,58.27,59.299999,2341500,58.433902
2015-11-16,58.080002,58.540001,57.779999,58.48,2617600,57.625879
2015-11-13,59.459999,59.650002,57.799999,58.130001,2230200,57.280992
2015-11-12,59.720001,60.759998,59.330002,59.459999,2120800,58.591565
2015-11-11,60.34,60.799999,59.799999,59.900002,1268900,59.025141
2015-11-10,59.57,60.279999,59.540001,59.970001,1850400,59.094119
2015-11-09,61.529999,61.549999,60.560001,60.959999,1519600,60.069657
2015-11-06,60.419998,61.98,60.290001,61.700001,1866500,60.798851
2015-11-05,60.830002,60.919998,60.049999,60.360001,1202300,59.478422
2015-11-04,60.610001,60.700001,60.09,60.490002,1444900,59.606524
2015-11-03,60.220001,60.939999,60.220001,60.66,1140500,59.77404
2015-11-02,60.189999,60.790001,59.830002,60.34,1778900,59.458714
2015-10-30,60.209999,60.610001,59.950001,60.119999,2097600,59.241926
2015-10-29,59.959999,60.950001,59.27,59.98,2390700,59.103971
2015-10-28,62.50,63.200001,60.209999,61.860001,4532600,60.956514
2015-10-27,60.830002,61.779999,60.830002,61.389999,1608900,60.493377
2015-10-26,63.25,63.389999,61.439999,61.529999,2608600,60.631332
2015-10-23,64.040001,64.110001,63.099998,63.619999,2277000,62.690807
2015-10-22,63.279999,63.950001,62.419998,63.400002,3499200,62.474023
2015-10-21,61.02,62.50,61.02,61.75,4551000,60.84812
2015-10-20,60.310001,60.970001,59.84,60.400002,1730700,59.517839
2015-10-19,59.939999,60.389999,59.529999,60.220001,2107900,59.340467
2015-10-16,61.310001,61.540001,59.880001,60.189999,3055700,59.310903
2015-10-15,61.50,61.759998,60.389999,61.279999,4908100,60.384983
2015-10-14,56.91,64.160004,56.75,60.990002,11994700,60.099222
2015-10-13,56.07,56.639999,55.959999,56.049999,2100300,55.23137
2015-10-12,56.779999,56.900002,56.330002,56.580002,1717200,55.753631
2015-10-09,57.57,57.970001,56.50,56.689999,3683400,55.862022
2015-10-08,57.950001,57.990002,56.59,57.720001,2303000,56.876981
2015-10-07,57.599998,58.060001,56.639999,57.869999,3340300,57.024788
2015-10-06,57.380001,57.720001,56.32,56.889999,2523500,56.059101
2015-10-05,56.18,57.810001,55.919998,57.43,2778600,56.591215
2015-10-02,54.00,55.689999,53.700001,55.689999,3297000,54.876627
2015-10-01,56.349998,56.540001,53.709999,54.939999,4106800,54.137581
2015-09-30,55.02,56.540001,54.830002,56.41,3340700,55.586112
2015-09-29,53.48,54.310001,53.130001,54.049999,2368500,53.26058
2015-09-28,54.27,54.939999,53.459999,53.470001,2287600,52.689053
2015-09-25,54.529999,55.290001,53.880001,54.439999,2143100,53.644884
2015-09-24,54.529999,54.700001,52.48,54.00,3544000,53.211311
2015-09-23,55.580002,56.00,55.029999,55.200001,1800100,54.393786
2015-09-22,55.900002,56.380001,55.029999,55.18,2912200,54.374077
2015-09-21,56.880001,57.380001,56.16,56.630001,2856500,55.8029
2015-09-18,57.119999,57.330002,56.209999,56.669998,3925900,55.842313
2015-09-17,58.380001,58.959999,57.860001,57.93,2521100,57.083913
2015-09-16,58.540001,58.549999,57.75,58.450001,2085300,57.596318
2015-09-15,57.560001,58.599998,57.560001,58.299999,2950300,57.448508
2015-09-14,57.279999,57.599998,56.830002,57.560001,3124700,56.719318
2015-09-11,55.599998,56.459999,55.330002,56.349998,1762800,55.526987
2015-09-10,55.990002,56.549999,55.310001,56.009998,3366000,55.191953
2015-09-09,57.939999,58.650002,56.119999,56.27,2814600,55.448158
2015-09-08,55.990002,57.82,55.459999,57.77,4119600,56.92625
2015-09-04,54.080002,54.66,53.700001,53.959999,1693700,53.171895
2015-09-03,55.25,55.880001,54.700001,55.169998,2318700,54.364221
2015-09-02,54.68,54.68,53.59,54.59,2095700,53.792694
2015-09-01,54.25,54.880001,53.23,53.549999,3574400,52.767883
2015-08-31,56.32,56.41,55.509998,55.860001,2647000,55.044146
2015-08-28,56.099998,56.990002,55.689999,56.450001,3329700,55.625529
2015-08-27,54.75,56.509998,54.619999,56.48,5323200,55.65509
2015-08-26,51.889999,54.290001,50.959999,54.220001,5216300,53.428099
2015-08-25,53.299999,53.639999,50.560001,50.610001,3945500,49.476667
2015-08-24,51.490002,54.00,50.860001,51.669998,6843300,50.512928
2015-08-21,53.349998,55.25,53.029999,53.779999,5870900,52.575678
2015-08-20,57.259998,57.400002,53.799999,53.82,5913900,52.614783
2015-08-19,60.73,60.82,57.75,58.380001,9485000,57.072671
2015-08-18,58.990002,59.419998,57.330002,57.900002,4584900,56.60342
2015-08-17,58.470001,59.52,58.299999,59.50,1408700,58.167589
2015-08-14,58.849998,59.27,58.529999,58.84,1612100,57.522369
2015-08-13,59.66,59.889999,58.869999,59.00,1895700,57.678786
2015-08-12,58.779999,60.009998,58.27,59.740002,2127000,58.402216
2015-08-11,60.610001,60.849998,59.16,59.380001,2065800,58.050277
2015-08-10,59.950001,61.23,59.950001,61.09,1957500,59.721983
2015-08-07,58.810001,59.75,58.00,59.610001,2469300,58.275126
2015-08-06,60.32,60.790001,58.73,58.869999,2922600,57.551696
2015-08-05,59.139999,60.84,58.869999,60.700001,3227900,59.340717
2015-08-04,58.529999,59.200001,58.049999,58.48,1620800,57.17043
2015-08-03,58.43,59.040001,58.349998,58.669998,2262300,57.356174
2015-07-31,59.049999,59.049999,58.209999,58.330002,1930700,57.023791
2015-07-30,58.66,59.060001,57.98,58.82,2131900,57.502816
2015-07-29,58.869999,59.009998,58.25,58.790001,2355100,57.473489
2015-07-28,58.27,59.560001,57.619999,58.990002,2581500,57.669011
2015-07-27,58.220001,58.400002,57.529999,57.889999,2084700,56.593642
2015-07-24,60.369999,60.59,58.360001,58.490002,2506600,57.180208
2015-07-23,58.990002,61.220001,58.75,60.049999,3235500,58.705272
2015-07-22,58.73,58.950001,57.16,58.650002,5695500,57.336625
2015-07-21,61.900002,62.470001,60.599998,62.080002,1655900,60.689815
2015-07-20,62.610001,62.73,61.950001,61.990002,1395300,60.601831
2015-07-17,62.82,62.830002,62.060001,62.459999,1574400,61.061303
2015-07-16,62.509998,63.25,62.240002,62.830002,1782600,61.42302
2015-07-15,62.240002,63.150002,62.139999,62.919998,2252400,61.511001
2015-07-14,62.00,62.77,61.900002,62.619999,1968300,61.21772
2015-07-13,62.060001,62.150002,61.650002,61.869999,1589200,60.484515
2015-07-10,61.400002,62.049999,61.09,61.509998,1777300,60.132576
2015-07-09,62.82,63.220001,60.880001,60.889999,3328900,59.526461
2015-07-08,62.799999,62.98,61.389999,61.939999,2945200,60.552947
2015-07-07,63.470001,63.66,61.689999,63.380001,2417800,61.960703
2015-07-06,63.849998,64.309998,63.369999,63.59,2055500,62.166
