Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.88,1.89,1.82,1.86,6187700,1.856793
2015-12-30,1.87,1.91,1.86,1.87,4720300,1.866776
2015-12-29,1.93,1.94,1.88,1.91,5414400,1.906707
2015-12-28,1.95,1.97,1.88,1.89,4675800,1.871767
2015-12-24,1.91,1.99,1.91,1.99,8472000,1.970803
2015-12-23,1.86,1.92,1.84,1.89,10054900,1.871767
2015-12-22,1.87,1.93,1.83,1.83,10980000,1.812346
2015-12-21,1.87,1.94,1.86,1.89,12646700,1.871767
2015-12-18,1.81,1.90,1.78,1.81,15074600,1.792539
2015-12-17,1.83,1.85,1.78,1.80,10885300,1.782635
2015-12-16,1.92,1.94,1.78,1.94,18035200,1.921285
2015-12-15,2.00,2.01,1.85,1.85,10712800,1.832153
2015-12-14,2.10,2.10,1.94,1.94,10402100,1.921285
2015-12-11,2.06,2.16,2.06,2.10,10817600,2.079741
2015-12-10,2.09,2.17,2.07,2.10,7712600,2.079741
2015-12-09,2.17,2.19,2.07,2.10,6176800,2.079741
2015-12-08,2.19,2.19,2.06,2.09,6064200,2.069838
2015-12-07,2.32,2.33,2.12,2.15,8711700,2.129259
2015-12-04,2.26,2.37,2.25,2.37,8831500,2.347137
2015-12-03,2.22,2.29,2.17,2.21,6612000,2.18868
2015-12-02,2.18,2.27,2.12,2.20,9436700,2.178777
2015-12-01,2.11,2.27,2.08,2.26,11499100,2.238198
2015-11-30,2.01,2.11,2.00,2.10,7937500,2.079741
2015-11-27,1.99,2.03,1.96,1.99,3586500,1.970803
2015-11-25,2.03,2.12,1.98,2.08,7083700,2.059934
2015-11-24,1.84,2.07,1.84,2.07,12753700,2.050031
2015-11-23,1.79,1.88,1.78,1.84,11106100,1.82225
2015-11-20,1.96,1.98,1.78,1.82,8758800,1.802443
2015-11-19,1.91,1.99,1.88,1.91,9024600,1.891574
2015-11-18,1.78,1.90,1.78,1.90,7437800,1.881671
2015-11-17,1.89,1.92,1.77,1.77,6376900,1.752925
2015-11-16,1.90,1.96,1.88,1.92,6553800,1.901478
2015-11-13,1.77,1.87,1.77,1.83,7599400,1.812346
2015-11-12,1.75,1.83,1.73,1.76,7819400,1.743021
2015-11-11,1.77,1.85,1.76,1.79,7774700,1.772732
2015-11-10,1.81,1.84,1.76,1.77,7229300,1.752925
2015-11-09,1.82,1.86,1.69,1.86,17644000,1.842057
2015-11-06,1.83,1.85,1.79,1.82,16172100,1.802443
2015-11-05,2.08,2.08,1.90,1.95,12566300,1.931188
2015-11-04,2.16,2.17,2.05,2.07,7363100,2.050031
2015-11-03,2.17,2.20,2.10,2.12,10825400,2.099548
