Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.20,15.92,15.20,15.65,39600,15.65
2015-12-30,15.24,15.58,15.23,15.33,36800,15.33
2015-12-29,15.11,15.28,15.04,15.21,8300,15.21
2015-12-28,15.25,15.46,15.11,15.14,21800,15.14
2015-12-24,15.27,15.43,15.13,15.21,7800,15.21
2015-12-23,15.31,15.41,15.24,15.40,8600,15.40
2015-12-22,15.05,15.33,15.05,15.26,10200,15.26
2015-12-21,14.98,15.18,14.71,15.05,28600,15.05
2015-12-18,15.85,15.86,14.45,14.80,72400,14.80
2015-12-17,16.00,16.10,15.85,15.89,17900,15.89
2015-12-16,15.75,16.07,15.67,15.98,24000,15.98
2015-12-15,15.66,15.91,15.66,15.80,23900,15.80
2015-12-14,15.87,15.90,15.27,15.59,17900,15.59
2015-12-11,15.90,16.200001,15.66,15.82,16700,15.82
2015-12-10,16.25,16.309999,16.00,16.110001,17500,16.110001
2015-12-09,16.440001,16.50,16.26,16.299999,23700,16.299999
2015-12-08,16.43,16.57,16.43,16.51,10600,16.51
2015-12-07,16.950001,16.950001,16.60,16.60,9600,16.60
2015-12-04,16.809999,17.00,16.66,16.84,18200,16.84
2015-12-03,16.90,17.110001,16.66,16.809999,20200,16.809999
2015-12-02,17.040001,17.17,16.780001,16.790001,10200,16.790001
2015-12-01,17.120001,17.190001,16.860001,17.18,13000,17.18
2015-11-30,16.75,17.200001,16.60,17.049999,19500,17.049999
2015-11-27,16.950001,17.16,16.76,17.00,6300,17.00
2015-11-25,17.17,17.17,16.799999,17.030001,9400,17.030001
2015-11-24,17.309999,17.309999,16.799999,16.959999,11000,16.959999
2015-11-23,17.309999,17.59,17.16,17.52,11900,17.52
2015-11-20,17.25,17.469999,16.969999,17.42,18900,17.42
2015-11-19,16.959999,17.09,16.67,17.030001,23700,17.030001
2015-11-18,16.76,17.17,16.51,17.049999,16200,17.049999
2015-11-17,16.76,16.870001,16.040001,16.809999,26300,16.809999
2015-11-16,16.83,17.18,16.540001,17.08,13200,17.08
2015-11-13,17.00,17.209999,16.790001,17.16,11500,17.16
2015-11-12,17.00,17.24,16.860001,17.00,14200,17.00
2015-11-11,17.35,17.50,16.85,17.00,14900,17.00
2015-11-10,17.74,17.92,17.32,17.50,6900,17.50
