Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.74,13.75,13.58,13.66,1685700,13.366277
2015-12-30,13.70,13.77,13.65,13.74,877200,13.444556
2015-12-29,13.59,13.74,13.55,13.72,1224800,13.424987
2015-12-28,13.42,13.54,13.38,13.53,906000,13.239072
2015-12-24,13.41,13.49,13.31,13.44,520200,13.151007
2015-12-23,13.00,13.44,12.96,13.42,3453500,13.131437
2015-12-22,12.84,13.00,12.77,12.94,1386300,12.661758
2015-12-21,13.01,13.01,12.69,12.78,1960400,12.505199
2015-12-18,13.04,13.04,12.74,12.89,3163500,12.612834
2015-12-17,13.24,13.24,12.99,13.04,1485700,12.759608
2015-12-16,12.93,13.14,12.89,13.13,1043100,12.847673
2015-12-15,12.85,13.00,12.83,12.88,1370200,12.603049
2015-12-14,12.73,12.80,12.53,12.77,1900200,12.495414
2015-12-11,12.86,12.92,12.70,12.76,2149800,12.485629
2015-12-10,13.09,13.12,12.92,12.93,1486000,12.651974
2015-12-09,13.11,13.27,12.96,13.06,1726900,12.779179
2015-12-08,13.28,13.32,13.13,13.20,1399500,12.916168
2015-12-07,13.43,13.43,13.21,13.31,1389300,13.023803
2015-12-04,13.32,13.57,13.31,13.44,2104700,13.151007
2015-12-03,13.49,13.56,13.25,13.27,1517000,12.984663
2015-12-02,13.81,13.87,13.52,13.54,1320400,13.248857
2015-12-01,13.81,13.89,13.78,13.87,1043400,13.571761
2015-11-30,13.83,13.92,13.72,13.76,1670100,13.464127
2015-11-27,13.71,13.82,13.66,13.79,543200,13.493481
2015-11-25,13.68,13.78,13.64,13.75,733700,13.454342
2015-11-24,13.57,13.69,13.52,13.65,895700,13.356491
2015-11-23,13.69,13.74,13.61,13.66,986200,13.366277
2015-11-20,13.51,13.68,13.50,13.67,1234700,13.376062
2015-11-19,13.33,13.51,13.29,13.44,1313000,13.151007
2015-11-18,13.15,13.30,13.10,13.30,693600,13.014018
2015-11-17,13.00,13.27,12.96,13.12,1702100,12.837888
2015-11-16,12.92,13.04,12.83,13.04,891800,12.759608
2015-11-13,13.18,13.22,12.89,12.92,1966700,12.642189
2015-11-12,12.99,13.09,12.87,12.95,1459600,12.671543
2015-11-11,12.97,13.03,12.91,13.02,1722900,12.740039
2015-11-10,12.79,12.97,12.78,12.97,1509300,12.691114
2015-11-09,13.09,13.09,12.67,12.77,2472700,12.495414
2015-11-06,13.45,13.45,13.03,13.15,2923500,12.867243
2015-11-05,13.50,13.64,13.45,13.62,994900,13.327137
2015-11-04,13.58,13.64,13.44,13.52,954700,13.229288
2015-11-03,13.71,13.76,13.57,13.58,1037000,13.287997
2015-11-02,13.50,13.82,13.42,13.78,1167300,13.483696
2015-10-30,13.70,13.75,13.50,13.50,1302100,13.209717
2015-10-29,13.59,13.70,13.56,13.69,1292900,13.395631
2015-10-28,13.52,13.80,13.42,13.67,2085900,13.376062
