Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.92,15.95,15.89,15.95,27100,15.735997
2015-12-30,15.85,15.90,15.85,15.90,44700,15.686667
2015-12-29,15.84,15.88,15.82,15.86,29900,15.647204
2015-12-28,15.88,15.89,15.80,15.88,45800,15.666936
2015-12-24,15.87,15.89,15.80,15.89,25100,15.676802
2015-12-23,15.81,15.87,15.78,15.87,24800,15.65707
2015-12-22,15.82,15.83,15.67,15.79,34600,15.578144
2015-12-21,15.74,15.84,15.70,15.80,38000,15.58801
2015-12-18,15.72,15.72,15.63,15.68,23800,15.46962
2015-12-17,15.64,15.72,15.60,15.68,47700,15.46962
2015-12-16,15.44,15.56,15.27,15.56,57500,15.35123
2015-12-15,15.42,15.50,15.32,15.39,95000,15.183511
2015-12-14,15.65,15.65,15.44,15.49,26700,15.282169
2015-12-11,15.66,15.86,15.61,15.65,138300,15.440022
2015-12-10,15.69,15.69,15.53,15.60,101500,15.390693
2015-12-09,15.69,15.72,15.58,15.72,38600,15.438049
2015-12-08,15.57,15.69,15.51,15.69,48000,15.408587
2015-12-07,15.51,15.55,15.46,15.55,47400,15.271098
2015-12-04,15.46,15.51,15.45,15.51,32800,15.231816
2015-12-03,15.59,15.63,15.39,15.41,43400,15.133609
2015-12-02,15.69,15.74,15.62,15.64,54000,15.359484
2015-12-01,15.61,15.70,15.54,15.70,86500,15.418408
2015-11-30,15.53,15.53,15.43,15.52,24900,15.241637
2015-11-27,15.46,15.48,15.40,15.48,7400,15.202353
2015-11-25,15.42,15.43,15.39,15.40,16900,15.123788
2015-11-24,15.52,15.54,15.31,15.39,44500,15.113968
2015-11-23,15.46,15.52,15.43,15.47,20400,15.192533
2015-11-20,15.42,15.48,15.36,15.42,29400,15.14343
2015-11-19,15.28,15.42,15.26,15.41,35300,15.133609
2015-11-18,15.28,15.31,15.25,15.28,28300,15.005941
2015-11-17,15.29,15.30,15.20,15.23,23200,14.956837
2015-11-16,15.34,15.36,15.26,15.29,30800,15.015761
2015-11-13,15.32,15.32,15.26,15.29,30700,15.015761
2015-11-12,15.16,15.41,15.15,15.29,60700,15.015761
2015-11-11,15.35,15.36,15.25,15.32,56600,14.974515
2015-11-10,15.19,15.34,15.19,15.33,52900,14.984289
2015-11-09,15.33,15.38,15.00,15.16,153700,14.818123
2015-11-06,15.59,15.59,15.40,15.45,77900,15.101583
2015-11-05,15.70,15.70,15.62,15.64,45800,15.287299
2015-11-04,15.75,15.75,15.62,15.66,55700,15.306847
2015-11-03,15.75,15.77,15.70,15.72,79200,15.365495
2015-11-02,15.62,15.75,15.58,15.75,84300,15.394818
2015-10-30,15.51,15.57,15.49,15.57,47700,15.218877
2015-10-29,15.52,15.52,15.47,15.47,51400,15.121133
2015-10-28,15.52,15.57,15.48,15.50,34900,15.150456
2015-10-27,15.44,15.54,15.44,15.50,34500,15.150456
2015-10-26,15.52,15.58,15.45,15.47,73400,15.121133
2015-10-23,15.53,15.58,15.50,15.52,47700,15.170005
2015-10-22,15.56,15.62,15.50,15.53,43000,15.179779
2015-10-21,15.53,15.58,15.51,15.53,30900,15.179779
2015-10-20,15.52,15.54,15.48,15.52,58200,15.170005
2015-10-19,15.52,15.53,15.50,15.50,31800,15.150456
2015-10-16,15.52,15.52,15.48,15.49,22900,15.140681
2015-10-15,15.46,15.47,15.40,15.46,53500,15.111358
2015-10-14,15.44,15.52,15.40,15.51,49500,15.160231
2015-10-13,15.35,15.39,15.31,15.39,41700,15.042937
2015-10-12,15.37,15.38,15.35,15.38,14600,14.962786
2015-10-09,15.35,15.37,15.30,15.30,73900,14.884956
2015-10-08,15.33,15.34,15.30,15.34,33900,14.923871
2015-10-07,15.33,15.33,15.26,15.28,68800,14.865498
2015-10-06,15.23,15.32,15.21,15.28,46700,14.865498
2015-10-05,15.18,15.23,15.15,15.23,76900,14.816854
2015-10-02,15.17,15.21,15.13,15.20,34400,14.787668
2015-10-01,15.11,15.13,15.08,15.12,36000,14.709838
2015-09-30,15.07,15.08,15.02,15.06,21500,14.651466
2015-09-29,15.04,15.04,14.99,15.04,21700,14.632009
2015-09-28,15.01,15.05,14.96,15.03,20300,14.62228
2015-09-25,15.04,15.04,14.99,15.00,23100,14.593094
2015-09-24,15.10,15.11,14.96,15.00,27900,14.593094
2015-09-23,15.10,15.12,15.07,15.07,29300,14.661195
2015-09-22,15.06,15.15,15.03,15.08,57500,14.670923
2015-09-21,15.11,15.11,15.03,15.03,26300,14.62228
2015-09-18,15.10,15.19,15.07,15.11,113800,14.700109
2015-09-17,14.84,15.05,14.84,15.04,27400,14.632009
2015-09-16,14.85,14.89,14.83,14.89,21100,14.486078
2015-09-15,14.82,14.87,14.76,14.83,25200,14.427705
2015-09-14,14.90,14.90,14.80,14.81,33900,14.408248
2015-09-11,14.83,14.88,14.80,14.85,31400,14.447163
2015-09-10,14.90,14.93,14.87,14.87,79300,14.396573
2015-09-09,14.99,14.99,14.94,14.94,42600,14.464344
2015-09-08,15.04,15.04,14.95,14.96,50800,14.483708
2015-09-04,15.03,15.03,14.96,14.96,31300,14.483708
2015-09-03,15.05,15.05,14.96,15.00,22000,14.522434
2015-09-02,15.00,15.05,14.95,15.04,57100,14.561161
2015-09-01,14.89,15.01,14.87,15.00,70300,14.522434
2015-08-31,14.71,14.86,14.71,14.86,60000,14.386891
2015-08-28,14.72,14.73,14.64,14.66,31600,14.193259
2015-08-27,14.70,14.80,14.62,14.65,84200,14.183577
2015-08-26,14.78,14.80,14.70,14.74,93500,14.270712
2015-08-25,14.74,14.77,14.73,14.77,44700,14.299758
2015-08-24,14.69,14.70,14.69,14.70,67500,14.231986
2015-08-21,14.81,14.81,14.72,14.73,34500,14.26103
2015-08-20,14.85,14.85,14.76,14.78,47300,14.309439
2015-08-19,14.71,14.90,14.71,14.90,39700,14.425618
2015-08-18,14.67,14.78,14.64,14.75,48300,14.280394
2015-08-17,14.62,14.72,14.60,14.66,76600,14.193259
