Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,12.50,12.61,12.45,12.50,144000,12.381469
2015-12-30,12.34,12.54,12.32,12.50,183900,12.381469
2015-12-29,12.44,12.47,12.32,12.34,142000,12.222986
2015-12-28,12.57,12.57,12.42,12.44,74900,12.264587
2015-12-24,12.62,12.70,12.54,12.57,71700,12.392754
2015-12-23,12.63,12.78,12.52,12.62,140100,12.442049
2015-12-22,12.41,12.63,12.32,12.63,114300,12.451909
2015-12-21,12.38,12.44,12.33,12.39,82700,12.215293
2015-12-18,12.35,12.44,12.30,12.37,130000,12.195575
2015-12-17,12.32,12.43,12.23,12.34,83100,12.165998
2015-12-16,12.18,12.25,12.08,12.24,105700,12.067408
2015-12-15,12.04,12.17,11.94,12.12,149700,11.9491
2015-12-14,12.16,12.16,11.90,12.02,141000,11.85051
2015-12-11,12.42,12.43,12.12,12.16,116200,11.988536
2015-12-10,12.48,12.49,12.38,12.42,59400,12.24487
2015-12-09,12.48,12.53,12.48,12.50,86300,12.26656
2015-12-08,12.48,12.52,12.45,12.48,58000,12.246933
2015-12-07,12.52,12.52,12.43,12.43,74500,12.197867
2015-12-04,12.58,12.65,12.55,12.55,75400,12.315626
2015-12-03,12.68,12.68,12.60,12.61,38100,12.374505
2015-12-02,12.73,12.76,12.65,12.65,36400,12.413758
2015-12-01,12.80,12.80,12.74,12.74,52700,12.502078
2015-11-30,12.81,12.85,12.75,12.79,62900,12.551144
2015-11-27,12.85,12.85,12.68,12.82,34500,12.580584
2015-11-25,12.81,12.81,12.73,12.79,57600,12.551144
2015-11-24,12.92,12.95,12.81,12.86,39700,12.619836
2015-11-23,12.83,12.95,12.77,12.90,101800,12.659089
2015-11-20,12.71,12.82,12.64,12.82,96000,12.580584
2015-11-19,12.60,12.78,12.58,12.74,108100,12.502078
2015-11-18,12.53,12.68,12.51,12.62,102300,12.384319
2015-11-17,12.63,12.65,12.50,12.55,44200,12.315626
2015-11-16,12.53,12.64,12.46,12.63,81200,12.394132
2015-11-13,12.38,12.61,12.38,12.52,58300,12.286187
2015-11-12,12.51,12.55,12.33,12.34,107500,12.109548
2015-11-11,12.65,12.66,12.51,12.62,74700,12.327402
2015-11-10,12.65,12.75,12.52,12.65,93200,12.356706
