Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,47.029999,47.029999,46.009998,46.43,363900,46.062758
2015-12-30,46.650002,47.509998,46.610001,47.009998,481300,46.638168
2015-12-29,46.16,46.889999,46.07,46.740002,456600,46.370307
2015-12-28,45.610001,46.130001,45.330002,46.119999,482800,45.755208
2015-12-24,45.93,46.099998,45.400002,45.810001,270900,45.447663
2015-12-23,44.849998,46.139999,44.75,46.009998,594400,45.646078
2015-12-22,43.91,44.779999,43.490002,44.720001,487800,44.366284
2015-12-21,43.360001,43.990002,42.68,43.959999,650900,43.612293
2015-12-18,43.060001,43.790001,42.549999,43.130001,1653200,42.78886
2015-12-17,43.189999,43.970001,43.060001,43.43,612000,43.086487
2015-12-16,41.970001,43.220001,41.970001,43.150002,445100,42.808702
2015-12-15,41.50,41.900002,41.259998,41.689999,410700,41.360248
2015-12-14,41.490002,41.75,41.200001,41.43,463900,41.102306
2015-12-11,41.220001,42.09,41.200001,41.419998,456500,41.092383
2015-12-10,42.279999,42.43,40.82,41.509998,660400,41.181671
2015-12-09,42.330002,43.259998,42.330002,42.619999,891500,42.282892
2015-12-08,41.73,42.560001,41.57,42.50,707100,42.163842
2015-12-07,41.580002,42.099998,40.830002,41.549999,677700,41.221356
2015-12-04,41.09,41.73,40.700001,41.700001,494200,41.370171
2015-12-03,42.220001,42.220001,41.00,41.080002,488800,40.755076
2015-12-02,42.919998,42.919998,42.25,42.330002,887500,41.995189
2015-12-01,42.970001,43.650002,42.59,43.09,547200,42.749176
2015-11-30,42.700001,43.220001,42.450001,42.919998,712100,42.580518
2015-11-27,42.450001,42.880001,42.279999,42.75,345200,42.411865
2015-11-25,42.98,42.98,42.400002,42.68,521100,42.342419
2015-11-24,42.57,43.41,42.330002,43.049999,839800,42.709491
2015-11-23,42.209999,42.860001,42.110001,42.77,882800,42.431707
2015-11-20,41.75,42.52,41.549999,42.310001,1197500,41.975346
2015-11-19,40.700001,41.77,40.630001,41.540001,2508400,41.211436
2015-11-18,40.349998,40.700001,40.00,40.48,6544800,40.159819
2015-11-17,42.59,42.59,40.009998,40.25,3118000,39.931639
2015-11-16,44.00,44.759998,44.00,44.689999,114900,44.336519
2015-11-13,44.18,45.049999,43.91,44.00,147500,43.651978
2015-11-12,45.459999,45.84,44.650002,44.66,204500,43.904961
2015-11-11,45.360001,45.82,45.119999,45.619999,163000,44.84873
2015-11-10,44.349998,45.34,44.349998,45.330002,212000,44.563636
2015-11-09,44.330002,44.860001,44.029999,44.450001,186200,43.698512
2015-11-06,45.439999,45.77,43.639999,44.48,237100,43.728004
2015-11-05,46.34,46.529999,45.950001,46.23,216700,45.448418
2015-11-04,46.27,46.77,45.540001,45.66,273300,44.888055
2015-11-03,46.099998,46.57,45.759998,46.380001,330800,45.595883
2015-11-02,45.689999,46.509998,45.279999,46.279999,300200,45.497572
2015-10-30,45.470001,45.98,45.32,45.779999,804300,45.006025
2015-10-29,45.470001,45.790001,45.220001,45.48,214400,44.711097
2015-10-28,45.52,46.110001,44.970001,45.779999,312500,45.006025
2015-10-27,45.580002,45.75,45.200001,45.41,290500,44.642281
2015-10-26,44.93,45.799999,44.450001,45.650002,289400,44.878225
2015-10-23,45.75,45.82,44.860001,44.889999,215900,44.131072
2015-10-22,45.43,46.09,45.27,45.830002,175700,45.055182
2015-10-21,45.799999,46.099998,45.27,45.32,108800,44.553803
2015-10-20,45.669998,46.060001,45.43,45.779999,172700,45.006025
2015-10-19,45.66,45.84,45.209999,45.77,189200,44.996195
2015-10-16,45.50,45.880001,45.349998,45.720001,194400,44.947041
2015-10-15,44.619999,45.450001,44.380001,45.34,264600,44.573465
2015-10-14,44.34,44.810001,44.34,44.470001,138600,43.718174
2015-10-13,43.860001,44.380001,43.860001,44.220001,179000,43.472401
2015-10-12,43.470001,44.16,43.360001,43.880001,168100,43.138149
2015-10-09,43.919998,44.119999,43.040001,43.330002,229200,42.597448
2015-10-08,42.57,43.93,42.57,43.869999,248800,43.128316
2015-10-07,42.740002,43.169998,42.380001,42.59,371200,41.869957
2015-10-06,42.82,42.990002,42.439999,42.59,385500,41.869957
2015-10-05,42.080002,42.98,42.060001,42.98,276600,42.253363
2015-10-02,42.09,42.119999,41.290001,42.080002,293400,41.368581
2015-10-01,41.50,42.07,41.240002,41.709999,425500,41.004834
2015-09-30,40.700001,41.450001,40.43,41.34,385600,40.64109
2015-09-29,39.919998,40.50,39.799999,40.389999,340400,39.707151
2015-09-28,39.439999,40.220001,39.369999,39.849998,226700,39.176279
2015-09-25,39.169998,40.029999,38.860001,39.580002,386900,38.910847
2015-09-24,37.84,39.18,37.810001,39.09,286900,38.42913
2015-09-23,38.169998,38.23,37.68,37.98,230500,37.337895
2015-09-22,38.049999,38.41,37.790001,38.16,158300,37.514852
2015-09-21,38.279999,38.549999,38.240002,38.360001,209400,37.711472
2015-09-18,38.529999,39.009998,37.970001,38.150002,459700,37.505023
2015-09-17,38.25,39.360001,38.25,38.880001,213000,38.222681
2015-09-16,37.919998,38.41,37.619999,38.32,202800,37.672147
2015-09-15,37.630001,37.900002,37.380001,37.860001,186200,37.219925
2015-09-14,37.360001,37.650002,37.130001,37.59,230900,36.954489
2015-09-11,37.349998,37.459999,36.810001,37.290001,258200,36.659562
2015-09-10,38.040001,38.34,37.34,37.470001,172400,36.836519
2015-09-09,38.84,38.919998,38.040001,38.119999,187800,37.475528
2015-09-08,38.16,38.84,37.59,38.759998,237200,38.104707
2015-09-04,38.029999,38.060001,37.450001,37.75,202900,37.111784
2015-09-03,38.450001,38.860001,38.259998,38.50,218200,37.849104
2015-09-02,38.700001,38.790001,37.700001,38.27,293400,37.622993
2015-09-01,39.360001,39.560001,38.220001,38.330002,326500,37.68198
2015-08-31,40.009998,40.009998,39.209999,39.779999,251800,39.107463
2015-08-28,39.860001,40.189999,39.68,40.110001,253800,39.431886
2015-08-27,39.599998,39.869999,39.029999,39.799999,197100,39.127125
2015-08-26,39.189999,39.59,38.32,39.380001,423200,38.714228
2015-08-25,40.799999,40.810001,38.57,38.57,280500,37.917921
2015-08-24,40.900002,41.560001,39.869999,39.900002,411700,39.225437
2015-08-21,41.869999,42.919998,41.049999,42.349998,406700,41.634013
2015-08-20,42.02,42.93,41.849998,42.48,323600,41.761816
2015-08-19,41.950001,42.599998,41.560001,42.459999,283400,41.742154
2015-08-18,42.220001,42.34,41.82,42.099998,234700,41.38824
2015-08-17,42.02,42.549999,41.860001,42.439999,292500,41.722492
2015-08-14,41.93,42.200001,41.720001,42.189999,292300,41.476718
2015-08-13,42.889999,42.900002,42.119999,42.279999,392300,41.167044
2015-08-12,41.560001,42.759998,41.369999,42.639999,432400,41.517568
2015-08-11,41.639999,42.07,41.27,41.709999,259800,40.612049
2015-08-10,41.919998,42.09,41.560001,41.669998,325800,40.573101
2015-08-07,41.73,42.040001,41.52,41.799999,252900,40.69968
2015-08-06,41.099998,41.900002,40.25,41.900002,399200,40.797049
2015-08-05,40.610001,41.529999,40.459999,41.110001,308100,40.027844
2015-08-04,41.470001,41.48,40.00,40.07,285600,39.01522
2015-08-03,41.740002,42.07,41.200001,41.299999,270000,40.212841
2015-07-31,41.360001,41.959999,41.130001,41.66,550300,40.563365
2015-07-30,40.810001,41.849998,40.720001,40.919998,248800,39.842843
2015-07-29,41.009998,41.200001,40.73,40.98,194900,39.901265
2015-07-28,41.00,41.27,40.470001,41.080002,248500,39.998635
2015-07-27,40.25,41.130001,40.09,40.919998,282500,39.842843
2015-07-24,40.360001,40.610001,40.049999,40.189999,243800,39.13206
2015-07-23,40.900002,40.900002,39.790001,40.299999,252700,39.239165
2015-07-22,40.700001,41.18,40.66,40.869999,292300,39.79416
2015-07-21,41.720001,41.720001,40.509998,40.740002,353900,39.667585
2015-07-20,43.240002,43.360001,41.759998,41.799999,356300,40.69968
2015-07-17,44.220001,44.220001,42.849998,43.360001,606300,42.218616
2015-07-16,44.490002,45.080002,43.860001,44.240002,598000,43.075453
2015-07-15,45.060001,45.34,44.220001,44.27,399900,43.104662
2015-07-14,45.630001,45.939999,44.919998,45.18,453100,43.990707
2015-07-13,46.900002,47.27,45.639999,45.700001,552500,44.49702
2015-07-10,46.50,47.099998,46.119999,46.84,241600,45.60701
2015-07-09,46.52,46.860001,46.060001,46.18,377200,44.964384
2015-07-08,45.810001,46.349998,45.740002,46.189999,266000,44.974119
2015-07-07,45.560001,46.290001,45.419998,46.189999,224100,44.974119
2015-07-06,45.009998,45.75,44.950001,45.360001,440500,44.165969
2015-07-02,43.939999,45.139999,43.580002,45.009998,311300,43.82518
2015-07-01,43.720001,43.869999,43.209999,43.540001,276500,42.393878
2015-06-30,44.209999,44.209999,43.48,43.650002,256000,42.500983
2015-06-29,44.48,44.950001,43.869999,43.91,185900,42.754138
2015-06-26,43.849998,44.82,43.650002,44.650002,379700,43.47466
2015-06-25,44.34,44.34,43.740002,43.810001,125300,42.656772
2015-06-24,44.740002,44.77,44.200001,44.220001,156800,43.055979
2015-06-23,45.049999,45.369999,44.52,44.73,123000,43.552552
2015-06-22,45.57,45.57,44.990002,45.099998,107100,43.912811
2015-06-19,45.439999,45.68,45.049999,45.290001,276700,44.097812
2015-06-18,44.82,45.619999,44.82,45.369999,189700,44.175705
2015-06-17,44.580002,44.990002,44.290001,44.689999,108600,43.513604
2015-06-16,44.00,44.549999,43.799999,44.540001,135700,43.367555
2015-06-15,44.59,44.59,44.00,44.07,122900,42.909926
2015-06-12,45.32,45.32,44.630001,44.759998,117300,43.581761
2015-06-11,45.139999,45.450001,44.939999,45.439999,203400,44.243862
2015-06-10,44.380001,45.080002,44.25,44.849998,227200,43.669392
2015-06-09,44.759998,45.009998,44.23,44.25,167800,43.085188
2015-06-08,45.119999,46.59,44.689999,44.810001,264500,43.630448
2015-06-05,45.669998,45.669998,44.470001,45.110001,348000,43.92255
2015-06-04,46.650002,46.990002,45.77,46.029999,188300,44.818331
2015-06-03,47.32,47.73,46.77,46.93,169000,45.694641
2015-06-02,47.639999,47.639999,47.02,47.419998,196900,46.171741
2015-06-01,48.209999,48.209999,47.43,48.00,193800,46.736475
2015-05-29,48.290001,48.490002,47.709999,47.779999,163000,46.522265
2015-05-28,47.889999,48.52,47.810001,48.34,440100,47.067525
2015-05-27,47.50,48.099998,47.16,48.060001,294600,46.794897
2015-05-26,47.470001,47.470001,46.68,47.259998,227200,46.015953
2015-05-22,47.919998,48.099998,47.470001,47.77,107600,46.51253
2015-05-21,47.619999,48.110001,47.50,48.009998,141700,46.74621
2015-05-20,47.439999,47.84,47.200001,47.52,199200,46.269111
2015-05-19,47.740002,48.080002,47.27,47.439999,267400,46.191215
2015-05-18,47.470001,48.16,47.32,47.990002,132700,46.72674
2015-05-15,47.150002,47.959999,46.990002,47.689999,144600,46.434634
2015-05-14,47.139999,47.240002,46.650002,47.009998,188600,45.772534
2015-05-13,47.639999,47.639999,47.099998,47.25,237800,45.611879
2015-05-12,47.549999,47.91,47.040001,47.369999,155100,45.727718
2015-05-11,47.900002,48.549999,47.599998,47.759998,190700,46.104196
2015-05-08,48.299999,48.68,47.869999,48.060001,206000,46.393799
2015-05-07,47.669998,47.990002,47.27,47.810001,295300,46.152466
2015-05-06,48.990002,49.119999,47.919998,48.459999,235000,46.779929
2015-05-05,50.150002,50.150002,48.57,48.939999,299200,47.243287
2015-05-04,49.200001,50.09,49.200001,49.650002,173600,47.928675
2015-05-01,49.299999,49.689999,48.709999,49.169998,186500,47.465313
2015-04-30,50.290001,50.580002,49.029999,49.290001,266100,47.581155
2015-04-29,50.57,50.82,50.259998,50.619999,135000,48.865043
2015-04-28,50.02,51.27,49.830002,51.02,180000,49.251177
2015-04-27,51.119999,51.50,49.599998,50.049999,194100,48.314805
2015-04-24,50.610001,51.349998,50.540001,51.09,100600,49.31875
2015-04-23,50.27,50.709999,50.02,50.669998,113000,48.913309
2015-04-22,50.610001,50.610001,49.650002,50.330002,128600,48.5851
2015-04-21,51.48,51.48,50.50,50.66,103900,48.903657
2015-04-20,50.529999,51.900002,50.529999,51.259998,133100,49.482854
2015-04-17,50.529999,50.759998,49.959999,50.139999,170100,48.401685
2015-04-16,51.43,51.610001,50.619999,50.939999,135900,49.173949
2015-04-15,51.330002,51.93,51.330002,51.459999,114700,49.675921
2015-04-14,51.029999,51.330002,50.830002,51.07,124600,49.299443
2015-04-13,51.349998,51.68,50.720001,50.75,107600,48.990537
