Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,39.549999,40.41,39.200001,39.349998,76400,38.688863
2015-12-30,39.470001,39.509998,38.650002,39.02,41900,38.364409
2015-12-29,39.919998,39.919998,39.189999,39.290001,35000,38.629873
2015-12-28,39.00,40.990002,38.709999,39.830002,138100,39.160801
2015-12-24,38.580002,38.779999,37.75,37.990002,18400,37.351716
2015-12-23,38.360001,38.82,38.00,38.240002,24900,37.597515
2015-12-22,37.650002,38.380001,37.549999,37.869999,36100,37.233729
2015-12-21,38.299999,38.400002,37.599998,37.66,25500,37.027258
2015-12-18,39.450001,39.639999,37.82,38.23,30800,37.587681
2015-12-17,40.27,40.27,39.23,39.509998,27600,38.846174
2015-12-16,38.349998,40.939999,38.349998,40.59,56900,39.908031
2015-12-15,41.959999,42.439999,41.48,42.360001,47400,36.979082
2015-12-14,42.299999,42.66,40.919998,41.52,43000,36.245786
2015-12-11,42.200001,42.68,42.049999,42.259998,28400,36.891783
2015-12-10,42.799999,43.040001,42.27,42.50,42600,37.101298
2015-12-09,42.919998,43.470001,42.509998,42.689999,37300,37.267161
2015-12-08,42.639999,43.349998,41.950001,42.799999,37000,37.363189
2015-12-07,41.869999,42.57,41.34,41.68,33900,36.385461
2015-12-04,42.18,42.860001,41.689999,42.169998,28700,36.813216
2015-12-03,43.09,43.09,41.799999,42.02,27500,36.682272
2015-12-02,42.869999,43.639999,42.34,43.00,17400,37.537784
2015-12-01,42.540001,43.380001,42.360001,42.599998,11600,37.188594
2015-11-30,42.619999,42.830002,42.279999,42.330002,18500,36.952894
2015-11-27,42.490002,42.849998,41.360001,42.849998,10100,37.406837
2015-11-25,41.349998,42.459999,41.349998,42.450001,10800,37.05765
2015-11-24,40.849998,41.779999,40.700001,41.349998,18400,36.097379
2015-11-23,41.119999,41.200001,40.73,40.889999,18500,35.695813
2015-11-20,40.810001,41.41,40.810001,41.130001,23700,35.905328
2015-11-19,40.50,41.709999,40.299999,40.59,28100,35.433922
2015-11-18,40.59,40.939999,40.419998,40.66,14900,35.49503
2015-11-17,40.490002,40.790001,40.189999,40.419998,23000,35.285515
2015-11-16,40.259998,40.619999,40.25,40.529999,12600,35.381542
2015-11-13,40.970001,41.099998,39.66,40.610001,15000,35.451382
2015-11-12,41.830002,41.970001,41.049999,41.110001,19900,35.887868
