Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,19.450001,19.559999,19.299999,19.299999,3700,18.897389
2015-12-30,19.030001,19.549999,19.00,19.00,9700,18.603648
2015-12-29,19.58,19.58,19.01,19.15,2900,18.750519
2015-12-28,19.049999,19.639999,19.01,19.07,2200,18.672188
2015-12-24,19.15,19.18,19.15,19.18,400,18.779894
2015-12-23,19.040001,19.24,19.00,19.00,3800,18.603648
2015-12-22,19.15,19.790001,18.65,19.17,15500,18.770102
2015-12-21,19.09,19.200001,19.09,19.200001,2500,18.799477
2015-12-18,18.75,19.07,18.700001,18.75,20500,18.358864
2015-12-17,18.75,18.75,18.690001,18.690001,2600,18.300116
2015-12-16,19.77,19.77,18.60,18.92,14800,18.525317
2015-12-15,19.469999,19.51,19.440001,19.50,2800,19.093218
2015-12-14,19.90,19.90,19.49,19.60,2600,19.191132
2015-12-11,19.950001,19.98,19.90,19.950001,3600,19.533832
2015-12-10,20.049999,20.07,19.969999,19.98,2900,19.426125
2015-12-09,20.00,20.09,19.860001,20.00,4300,19.445571
2015-12-08,20.059999,20.059999,20.00,20.00,5800,19.445571
2015-12-07,20.32,20.32,20.10,20.10,2300,19.542799
2015-12-04,20.530001,20.530001,20.309999,20.450001,4700,19.883097
2015-12-03,20.52,20.66,20.25,20.25,4500,19.68864
2015-12-02,20.469999,20.77,20.469999,20.68,2800,20.10672
2015-12-01,20.530001,20.790001,20.26,20.74,4600,20.165057
2015-11-30,20.530001,20.870001,20.530001,20.870001,1200,20.291454
2015-11-27,20.90,20.90,20.90,20.90,500,20.320621
2015-11-25,20.92,20.92,20.85,20.85,1500,20.272008
2015-11-24,20.58,20.860001,20.540001,20.860001,2600,20.281731
2015-11-23,20.559999,20.559999,20.559999,20.559999,200,19.990046
2015-11-20,20.60,20.90,20.540001,20.77,5200,20.194226
2015-11-19,20.60,20.60,20.60,20.60,600,20.028938
2015-11-18,20.57,20.889999,20.540001,20.540001,1700,19.970602
2015-11-17,20.75,20.790001,20.60,20.790001,800,20.213672
2015-11-16,20.549999,20.559999,20.530001,20.540001,4500,19.970602
2015-11-13,20.65,20.84,20.530001,20.84,3900,20.262285
2015-11-12,20.66,20.66,20.65,20.65,1200,20.077551
2015-11-11,20.93,20.93,20.93,20.93,500,20.34979
2015-11-10,20.879999,20.879999,20.879999,20.879999,000,20.301175
2015-11-09,20.93,20.93,20.879999,20.879999,1100,20.165057
2015-11-06,20.799999,20.799999,20.799999,20.799999,000,20.087796
2015-11-05,20.84,20.84,20.68,20.799999,2500,20.087796
2015-11-04,20.799999,20.799999,20.67,20.67,1500,19.962248
2015-11-03,20.700001,20.940001,20.60,20.799999,8500,20.087796
2015-11-02,20.870001,21.049999,20.870001,20.99,800,20.271291
2015-10-30,21.02,21.049999,21.02,21.049999,4600,20.329236
2015-10-29,21.030001,21.10,20.950001,21.08,4200,20.358209
2015-10-28,21.15,21.15,21.059999,21.059999,3400,20.338894
2015-10-27,21.09,21.200001,20.93,21.059999,5800,20.338894
2015-10-26,21.09,21.09,21.09,21.09,2000,20.367867
