Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,43.700001,44.099998,43.220001,43.23,1046900,43.05761
2015-12-30,43.91,44.299999,43.799999,43.919998,1030600,43.744857
2015-12-29,43.66,44.349998,43.459999,44.040001,1163400,43.864381
2015-12-28,43.349998,43.639999,42.779999,43.389999,1146400,43.216972
2015-12-24,43.59,43.959999,43.439999,43.509998,610200,43.336492
2015-12-23,42.43,43.790001,42.34,43.57,1541400,43.396254
2015-12-22,41.77,42.41,41.59,42.130001,1056300,41.961998
2015-12-21,41.209999,41.790001,41.119999,41.580002,1574300,41.414192
2015-12-18,40.849998,41.080002,40.48,40.82,3094500,40.657221
2015-12-17,42.049999,42.150002,41.07,41.07,1128700,40.906224
2015-12-16,41.259998,42.209999,40.889999,42.119999,1793900,41.952036
2015-12-15,40.240002,41.200001,40.139999,40.779999,1587700,40.617379
2015-12-14,39.869999,40.130001,39.529999,39.970001,1494900,39.810612
2015-12-11,40.540001,40.580002,39.669998,39.82,1457800,39.661208
2015-12-10,41.25,41.650002,40.98,41.119999,1134900,40.956023
2015-12-09,41.110001,42.029999,40.810001,41.27,1465400,41.105427
2015-12-08,42.299999,42.299999,41.220001,41.290001,1639900,41.125348
2015-12-07,43.139999,43.139999,42.290001,42.759998,2175400,42.589483
2015-12-04,42.32,43.560001,42.169998,43.299999,1883100,43.127331
2015-12-03,42.900002,43.00,41.970001,42.23,1607300,42.061598
2015-12-02,43.419998,43.580002,42.709999,42.779999,2076900,42.609404
2015-12-01,42.810001,43.48,42.279999,43.419998,2506600,43.246851
2015-11-30,43.00,43.049999,42.209999,42.689999,1662700,42.519762
2015-11-27,42.950001,43.200001,42.560001,42.779999,622500,42.609404
2015-11-25,43.07,43.450001,42.880001,42.990002,896500,42.689088
2015-11-24,42.720001,43.27,42.709999,43.080002,2020700,42.778459
2015-11-23,43.119999,43.48,42.880001,43.049999,1579700,42.748666
2015-11-20,42.610001,43.470001,42.610001,43.220001,2404500,42.917478
2015-11-19,42.720001,42.889999,42.119999,42.380001,1840300,42.083358
2015-11-18,41.740002,42.98,41.610001,42.630001,3557500,42.331608
2015-11-17,40.57,41.189999,40.32,40.639999,2007500,40.355535
2015-11-16,39.799999,40.599998,39.709999,40.560001,2463500,40.276097
2015-11-13,40.709999,40.900002,39.740002,39.869999,1982400,39.590924
2015-11-12,41.259998,41.459999,40.830002,40.860001,2235700,40.573996
2015-11-11,42.200001,42.279999,41.43,41.470001,1775600,41.179727
2015-11-10,42.049999,42.48,41.830002,42.049999,1948100,41.755666
2015-11-09,41.57,42.34,41.310001,42.27,2426600,41.974127
2015-11-06,42.049999,42.369999,41.139999,41.689999,2412500,41.398185
2015-11-05,42.330002,42.900002,41.950001,42.299999,1807000,42.003916
2015-11-04,42.919998,43.00,42.07,42.50,2290400,42.202516
2015-11-03,42.73,43.130001,42.310001,42.810001,4459000,42.510348
2015-11-02,42.779999,43.07,42.189999,42.799999,2194700,42.500416
2015-10-30,41.220001,42.98,39.799999,42.82,6035000,42.520276
2015-10-29,46.810001,48.639999,41.490002,41.57,6577200,41.279026
2015-10-28,43.959999,45.790001,43.68,45.529999,3601800,45.211306
2015-10-27,44.139999,44.470001,43.290001,43.68,2369900,43.374257
2015-10-26,43.52,44.84,43.41,44.610001,3272900,44.297748
2015-10-23,42.599998,43.970001,42.41,43.66,3919900,43.354397
2015-10-22,42.34,42.669998,41.919998,42.259998,5330500,41.964195
2015-10-21,43.470001,43.779999,42.799999,42.880001,918000,42.579858
2015-10-20,42.790001,43.779999,42.459999,43.110001,1666100,42.808247
2015-10-19,42.290001,42.91,41.779999,42.790001,2936700,42.490488
2015-10-16,44.049999,44.049999,43.189999,43.639999,1858500,43.334536
2015-10-15,44.220001,44.220001,43.119999,44.02,1138600,43.711878
2015-10-14,43.509998,43.509998,42.630001,43.389999,2461500,43.086286
2015-10-13,44.580002,44.580002,43.470001,43.490002,2190200,43.185589
2015-10-12,45.169998,45.400002,44.549999,44.84,1519000,44.526138
2015-10-09,45.240002,45.849998,45.119999,45.189999,2644800,44.873686
2015-10-08,44.509998,45.080002,44.330002,44.939999,2102400,44.625436
2015-10-07,43.799999,45.049999,43.779999,44.799999,2909600,44.486417
