Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,17.27,17.389999,17.120001,17.25,177200,17.188392
2015-12-30,17.40,17.530001,17.209999,17.32,137400,17.258142
2015-12-29,17.299999,17.51,17.129999,17.40,141300,17.337856
2015-12-28,17.16,17.290001,17.00,17.15,111500,17.088749
2015-12-24,17.33,17.50,17.23,17.26,52400,17.198357
2015-12-23,16.93,17.42,16.84,17.370001,199700,17.307965
2015-12-22,16.530001,16.950001,16.280001,16.790001,218200,16.730036
2015-12-21,16.59,16.690001,16.389999,16.49,197100,16.431107
2015-12-18,16.75,16.889999,16.49,16.51,948400,16.451036
2015-12-17,16.91,17.059999,16.780001,16.83,324100,16.769892
2015-12-16,16.690001,17.120001,16.610001,16.92,361000,16.859571
2015-12-15,16.35,16.60,16.280001,16.559999,271200,16.500856
2015-12-14,16.469999,16.50,15.75,16.18,344000,16.122214
2015-12-11,16.549999,16.74,16.50,16.50,417000,16.441071
2015-12-10,16.549999,16.93,16.459999,16.84,279200,16.779857
2015-12-09,16.02,16.719999,16.01,16.549999,338600,16.490892
2015-12-08,16.139999,16.51,15.96,15.99,212600,15.932892
2015-12-07,16.68,16.690001,16.209999,16.33,193700,16.271678
2015-12-04,16.60,16.950001,16.51,16.780001,213100,16.720072
2015-12-03,16.77,16.90,16.48,16.60,158900,16.540714
2015-12-02,16.709999,16.969999,16.51,16.690001,164600,16.630393
2015-12-01,17.00,17.00,16.67,16.780001,139800,16.67025
2015-11-30,16.85,17.00,16.719999,16.91,170700,16.799399
2015-11-27,16.52,16.950001,16.52,16.799999,89200,16.690118
2015-11-25,16.57,16.780001,16.49,16.57,174000,16.461623
2015-11-24,16.16,16.559999,16.040001,16.549999,165400,16.441753
2015-11-23,15.81,16.309999,15.77,16.17,170000,16.06424
2015-11-20,15.94,16.139999,15.80,15.81,182300,15.706595
2015-11-19,16.00,16.23,15.71,15.81,254300,15.706595
2015-11-18,15.02,16.030001,15.00,15.84,313900,15.736398
2015-11-17,15.53,15.56,15.00,15.03,358700,14.931695
2015-11-16,15.19,15.60,15.15,15.57,188800,15.468164
2015-11-13,14.75,15.23,14.72,15.21,174100,15.110518
2015-11-12,15.15,15.18,14.81,14.83,219700,14.733004
2015-11-11,15.50,15.58,15.20,15.33,206700,15.229733
2015-11-10,15.55,15.85,15.41,15.47,262700,15.368818
2015-11-09,15.90,15.96,15.47,15.58,387500,15.478098
2015-11-06,16.17,16.190001,15.67,15.94,340500,15.835743
2015-11-05,17.889999,17.889999,16.16,16.35,572700,16.243063
2015-11-04,18.040001,18.219999,17.75,18.200001,375000,18.080963
2015-11-03,17.76,18.129999,17.709999,18.030001,193100,17.912075
2015-11-02,17.16,17.98,17.07,17.780001,214100,17.66371
2015-10-30,17.379999,17.41,17.110001,17.200001,167300,17.087504
2015-10-29,17.40,17.52,17.209999,17.379999,181800,17.266325
2015-10-28,16.780001,17.59,16.780001,17.52,285000,17.40541
2015-10-27,16.870001,16.92,16.459999,16.76,244600,16.650381
2015-10-26,17.15,17.33,16.940001,16.98,285700,16.868941
