Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,12.07,12.12,12.02,12.06,266900,12.06
2015-12-30,12.14,12.15,12.08,12.09,183900,12.09
2015-12-29,12.31,12.34,12.25,12.29,328600,12.29
2015-12-28,12.24,12.24,12.17,12.20,294400,12.20
2015-12-24,12.30,12.42,12.30,12.35,151100,12.35
2015-12-23,12.27,12.39,12.27,12.35,530400,12.35
2015-12-22,12.19,12.26,12.12,12.22,317500,12.22
2015-12-21,12.29,12.33,12.09,12.22,620800,12.22
2015-12-18,12.31,12.35,12.20,12.31,623300,12.31
2015-12-17,12.34,12.35,12.18,12.23,561000,12.23
2015-12-16,12.27,12.35,12.17,12.33,475000,12.33
2015-12-15,11.89,12.22,11.86,12.17,1049100,12.17
2015-12-14,11.69,11.78,11.59,11.72,509600,11.72
2015-12-11,11.63,11.67,11.51,11.53,882600,11.53
2015-12-10,11.68,11.75,11.64,11.67,508400,11.67
2015-12-09,11.76,11.92,11.64,11.71,516800,11.71
2015-12-08,11.84,11.89,11.78,11.87,383200,11.87
2015-12-07,12.12,12.12,11.91,11.97,389700,11.97
2015-12-04,12.09,12.22,12.03,12.16,298300,12.16
2015-12-03,12.22,12.23,11.98,12.04,1099800,12.04
2015-12-02,12.42,12.42,12.22,12.24,1232300,12.24
2015-12-01,12.52,12.54,12.40,12.45,827200,12.45
2015-11-30,12.42,12.49,12.38,12.45,440600,12.45
2015-11-27,12.47,12.50,12.42,12.42,273700,12.42
2015-11-25,12.61,12.63,12.54,12.56,269400,12.56
2015-11-24,12.67,12.79,12.61,12.75,308700,12.75
2015-11-23,12.85,12.85,12.69,12.70,292300,12.70
2015-11-20,12.90,13.03,12.90,12.99,667400,12.99
2015-11-19,12.73,12.83,12.73,12.75,318600,12.75
2015-11-18,12.53,12.60,12.46,12.59,374600,12.59
2015-11-17,12.84,12.86,12.74,12.77,446700,12.77
2015-11-16,12.75,12.83,12.68,12.81,569500,12.81
2015-11-13,12.70,12.74,12.56,12.60,614200,12.60
