Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,48.150002,48.50,47.779999,47.84,220700,47.512193
2015-12-30,48.43,48.970001,48.040001,48.27,218400,47.939247
2015-12-29,47.669998,48.889999,47.490002,48.66,408100,48.326574
2015-12-28,48.279999,48.48,46.860001,47.310001,453400,46.985826
2015-12-24,48.459999,48.82,47.990002,48.66,194300,48.326574
2015-12-23,47.27,48.509998,46.900002,48.32,400600,47.988904
2015-12-22,46.099998,46.900002,45.709999,46.689999,492300,46.370072
2015-12-21,45.560001,46.16,45.369999,46.029999,365400,45.714594
2015-12-18,45.549999,45.560001,44.860001,45.27,705800,44.959804
2015-12-17,46.869999,47.009998,45.599998,45.720001,348200,45.406721
2015-12-16,46.73,47.099998,45.93,46.630001,406000,46.310485
2015-12-15,46.939999,47.450001,45.91,46.330002,463500,46.012542
2015-12-14,47.400002,47.75,46.450001,46.779999,295300,46.459455
2015-12-11,47.759998,47.98,46.900002,47.27,430000,46.946099
2015-12-10,48.639999,48.830002,48.07,48.310001,380900,47.978974
2015-12-09,48.689999,49.98,48.389999,48.630001,266000,48.296781
2015-12-08,49.959999,50.240002,48.799999,48.950001,200500,48.614588
2015-12-07,51.360001,51.689999,50.310001,50.650002,197600,50.30294
2015-12-04,51.32,51.689999,51.09,51.610001,185400,51.256361
2015-12-03,51.860001,52.18,50.66,51.330002,299900,50.978281
2015-12-02,51.619999,52.009998,51.189999,51.450001,214000,51.097458
2015-12-01,52.09,52.52,51.549999,51.91,255600,51.554305
2015-11-30,51.98,52.810001,51.470001,52.02,227400,51.663552
2015-11-27,51.84,52.150002,51.34,51.93,138200,51.574168
2015-11-25,52.279999,53.169998,51.52,51.959999,345400,51.603961
2015-11-24,51.34,52.849998,51.200001,52.560001,331800,51.872112
2015-11-23,51.27,52.32,51.27,51.529999,209300,50.85559
2015-11-20,51.619999,52.25,51.040001,51.50,484800,50.825984
2015-11-19,51.299999,51.509998,50.880001,51.279999,131900,50.608862
2015-11-18,50.509998,51.360001,50.110001,51.27,241600,50.598995
2015-11-17,50.639999,51.07,50.00,50.040001,219400,49.385093
2015-11-16,49.419998,50.650002,49.259998,50.599998,390500,49.937761
2015-11-13,49.630001,50.560001,49.400002,49.580002,230400,48.931114
2015-11-12,51.450001,51.57,49.779999,49.810001,278500,49.158104
2015-11-11,52.439999,52.48,51.759998,52.00,161900,51.31944
2015-11-10,52.080002,52.470001,51.540001,52.240002,228400,51.556301
2015-11-09,52.790001,53.02,51.889999,52.330002,403900,51.645123
2015-11-06,53.040001,53.290001,52.029999,52.790001,217900,52.099102
2015-11-05,53.259998,53.540001,52.57,53.330002,318200,52.632035
2015-11-04,54.02,54.139999,53.009998,53.299999,514400,52.602425
2015-11-03,53.189999,54.66,53.060001,53.700001,365500,52.997192
2015-11-02,52.709999,54.07,52.32,53.630001,400300,52.928108
2015-10-30,51.900002,52.970001,51.490002,52.639999,363900,51.951063
2015-10-29,51.889999,52.700001,51.459999,51.66,258300,50.98389
2015-10-28,52.669998,52.669998,50.889999,52.110001,708400,51.428001
2015-10-27,49.720001,52.720001,49.720001,52.57,612000,51.88198
2015-10-26,50.150002,51.029999,49.98,50.73,573600,50.066061
2015-10-23,50.310001,50.619999,49.34,50.16,359000,49.503521
2015-10-22,48.779999,50.279999,48.66,49.720001,280200,49.069281
2015-10-21,48.970001,49.59,48.540001,48.619999,202000,47.983675
