Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2.24,2.27,2.14,2.22,7300,2.22
2015-12-30,2.21,2.25,2.20,2.25,2600,2.25
2015-12-29,2.26,2.29,2.22,2.29,4200,2.29
2015-12-28,2.28,2.33,2.21,2.25,2000,2.25
2015-12-24,2.34,2.34,2.20,2.31,11300,2.31
2015-12-23,2.30,2.36,2.23,2.30,800,2.30
2015-12-22,2.24,2.31,2.24,2.31,1200,2.31
2015-12-21,2.33,2.38,2.24,2.34,5600,2.34
2015-12-18,2.32,2.32,2.20,2.20,19300,2.20
2015-12-17,2.32,2.41,2.20,2.29,17300,2.29
2015-12-16,2.37,2.45,2.25,2.26,10800,2.26
2015-12-15,2.35,2.46,2.34,2.44,4400,2.44
2015-12-14,2.42,2.47,2.40,2.45,6000,2.45
2015-12-11,2.48,2.50,2.42,2.45,12700,2.45
2015-12-10,2.47,2.49,2.46,2.49,7400,2.49
2015-12-09,2.41,2.48,2.36,2.43,13500,2.43
2015-12-08,2.46,2.50,2.39,2.48,8000,2.48
2015-12-07,2.49,2.50,2.46,2.50,17900,2.50
2015-12-04,2.37,2.55,2.35,2.46,3500,2.46
2015-12-03,2.49,2.59,2.34,2.51,31200,2.51
2015-12-02,2.50,2.55,2.45,2.55,12900,2.55
2015-12-01,2.47,2.55,2.33,2.50,18000,2.50
2015-11-30,2.25,2.53,2.25,2.50,11700,2.50
2015-11-27,2.22,2.40,2.22,2.38,7200,2.38
2015-11-25,2.25,2.40,2.23,2.38,37600,2.38
2015-11-24,2.29,2.29,2.29,2.29,000,2.29
2015-11-23,2.34,2.40,2.22,2.29,5300,2.29
2015-11-20,2.40,2.40,2.35,2.35,4000,2.35
2015-11-19,2.44,2.44,2.31,2.41,16300,2.41
2015-11-18,2.53,2.53,2.40,2.45,7300,2.45
2015-11-17,2.40,2.56,2.40,2.49,5100,2.49
2015-11-16,2.42,2.60,2.40,2.51,6000,2.51
2015-11-13,2.60,2.60,2.40,2.57,21000,2.57
2015-11-12,2.43,2.58,2.40,2.56,8800,2.56
2015-11-11,2.43,2.57,2.43,2.57,2800,2.57
