Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,32.950001,33.110001,32.470001,32.68,1439800,32.546962
2015-12-30,33.150002,33.400002,33.009998,33.119999,1238100,32.845738
2015-12-29,33.049999,33.66,33.02,33.150002,1553000,32.875493
2015-12-28,33.09,33.139999,32.59,33.060001,995100,32.786238
2015-12-24,33.00,33.279999,32.98,33.169998,736200,32.895324
2015-12-23,32.25,33.209999,32.200001,33.040001,2002400,32.766403
2015-12-22,32.220001,32.470001,32.099998,32.220001,1848800,31.953193
2015-12-21,31.620001,32.360001,31.49,32.25,4134000,31.982944
2015-12-18,31.280001,31.75,31.02,31.51,6668000,31.249072
2015-12-17,31.33,31.92,31.059999,31.379999,4680200,31.120147
2015-12-16,30.60,31.48,30.280001,31.370001,3257300,31.110232
2015-12-15,30.219999,30.629999,29.950001,30.309999,2727800,30.059008
2015-12-14,29.889999,30.209999,29.51,29.92,2385500,29.672238
2015-12-11,30.219999,30.440001,29.559999,29.790001,2527200,29.543315
2015-12-10,30.48,30.76,30.35,30.620001,2960000,30.366442
2015-12-09,30.52,31.07,30.23,30.51,3207100,30.257353
2015-12-08,30.35,30.870001,30.200001,30.459999,3362000,30.207766
2015-12-07,30.50,30.799999,30.35,30.780001,3874900,30.525117
2015-12-04,30.07,30.690001,30.07,30.610001,4034100,30.356525
2015-12-03,30.889999,30.90,29.709999,30.07,5845700,29.820996
2015-12-02,31.25,31.50,30.83,30.870001,2821100,30.614372
2015-12-01,31.290001,31.540001,30.92,31.33,4804900,31.070562
2015-11-30,30.85,31.959999,29.780001,31.33,30648500,31.070562
2015-11-27,69.129998,70.299995,68.499996,68.619997,16264100,18.264475
2015-11-25,69.489998,69.829997,67.719997,69.459999,9338000,18.488056
2015-11-24,69.769998,70.209998,69.409998,69.559999,4147300,18.514673
2015-11-23,69.729996,70.329999,69.319996,69.949998,4944400,18.618479
2015-11-20,70.439998,70.719998,69.449996,69.789999,6171700,18.575892
2015-11-19,70.459999,70.459999,69.109997,70.039996,5946500,18.642433
2015-11-18,70.789995,71.149995,69.939996,70.529996,4508200,18.772856
2015-11-17,64.599999,71.119996,64.599999,70.469997,7302200,18.756886
2015-11-16,64.599999,69.119995,64.599999,68.769998,10549600,18.3044
2015-11-13,66.079996,66.19,64.599999,64.799995,3106700,17.247711
2015-11-12,66.819997,66.989999,66.209996,66.379998,2193600,17.668258
2015-11-11,67.249998,67.269999,66.759999,67.099998,2660100,17.859899
2015-11-10,67.209996,67.239996,66.399999,67.039999,3233700,17.843929
2015-11-09,67.529999,67.669997,66.569996,67.429998,4784900,17.947735
2015-11-06,66.939999,67.779996,66.449999,67.749996,4465700,18.032908
2015-11-05,67.649996,68.489997,65.329997,66.999997,4664400,17.833282
2015-11-04,67.769997,68.199999,67.259997,68.099998,6437500,18.126067
2015-11-03,67.299999,67.779996,66.999997,67.489997,2975300,17.963704
2015-11-02,66.619996,67.399999,66.619996,67.399999,3202100,17.93975
2015-10-30,66.429998,66.979996,66.199998,66.589997,2739200,17.724153
2015-10-29,66.799996,66.859999,65.959999,66.179997,2151800,17.615024
2015-10-28,66.329998,67.039999,66.059995,67.039999,3082300,17.843929
2015-10-27,66.119998,66.269999,65.769997,66.059995,1376800,17.583083
2015-10-26,66.279997,66.539997,66.089999,66.37,1705000,17.665596
2015-10-23,66.55,66.579999,65.899996,66.309997,2331000,17.649625
2015-10-22,65.419999,66.379998,64.709998,65.899996,3991100,17.540496
2015-10-21,65.059999,65.399998,64.589996,64.839997,3190300,17.258358
2015-10-20,64.329997,64.859998,64.319998,64.75,1621000,17.234404
2015-10-19,64.219998,64.719996,63.989998,64.39,2515900,17.138583
2015-10-16,64.199997,64.439995,63.659997,64.319998,2174900,17.119951
2015-10-15,64.459996,64.75,63.939997,64.099996,2061400,17.061393
2015-10-14,64.57,65.819997,64.059999,64.329997,1963400,17.122612
2015-10-13,64.699999,65.329997,64.489996,64.689997,2158700,17.218433
2015-10-12,64.829999,65.139999,64.39,65.009999,2614300,17.303607
2015-10-09,64.289999,64.839997,64.03,64.659997,2073500,17.210448
2015-10-08,63.299997,64.419999,63.249997,64.329997,1964600,17.122612
2015-10-07,63.389999,64.079995,63.049996,63.549998,2059800,16.915001
2015-10-06,62.999996,63.469999,62.709997,63.139998,2128300,16.805872
2015-10-05,62.679998,63.429997,62.579997,63.26,1388900,16.837813
2015-10-02,60.629996,62.429996,60.209998,62.389999,1618400,16.606246
2015-10-01,61.499997,61.739996,60.999999,61.409999,2386300,16.345401
2015-09-30,60.369997,61.479996,60.20,61.379996,5285100,16.337415
2015-09-29,59.909996,60.169996,59.139996,59.809996,3968400,15.919531
2015-09-28,60.979998,61.059998,59.679996,59.869999,3844300,15.935502
2015-09-25,61.049999,61.809997,60.569998,61.309999,2129100,16.318784
2015-09-24,60.279999,60.649997,59.089996,60.489998,2330500,16.100526
2015-09-23,60.879998,61.10,60.189997,60.889996,1201700,16.206993
2015-09-22,60.629996,61.039997,60.339998,60.899999,1653300,16.209655
2015-09-21,61.339998,61.869995,60.779997,61.409999,2068500,16.345401
2015-09-18,61.329995,61.829998,60.779997,60.889996,3098700,16.206993
2015-09-17,62.699999,63.019997,62.059998,62.189998,1345300,16.553012
2015-09-16,62.239998,62.909998,62.159999,62.749999,1461300,16.702067
2015-09-15,61.839996,62.589995,61.369997,62.429996,2660100,16.616892
2015-09-14,62.199996,62.429996,61.239998,61.489999,1415300,16.366694
2015-09-11,61.599998,62.239998,61.439999,62.189998,1316100,16.553012
2015-09-10,61.139997,62.36,60.999999,61.969996,1832900,16.494454
2015-09-09,62.849999,62.90,61.149995,61.28,1593200,16.310799
2015-09-08,61.669999,62.189998,61.119996,62.129999,1871600,16.537042
2015-09-04,60.669998,61.299996,60.349996,60.589999,1913100,16.127143
2015-09-03,61.119996,62.119997,61.039997,61.609996,1963200,16.398634
2015-09-02,60.519998,61.139997,59.989996,61.139997,3448400,16.273535
2015-09-01,61.289998,61.409999,59.749998,60.119996,7208900,15.940827
2015-08-31,62.499998,62.949995,61.909997,61.989997,1962000,16.436658
2015-08-28,62.219997,63.059999,62.009998,62.969996,2299200,16.696505
