Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,28.40,28.67,28.030001,28.379999,20900,28.170939
2015-12-30,28.16,28.59,27.950001,28.43,21800,28.220571
2015-12-29,28.799999,28.799999,27.85,28.15,29400,27.942633
2015-12-28,28.200001,28.780001,27.92,28.450001,21100,28.240424
2015-12-24,28.18,28.469999,27.76,28.33,19700,28.121308
2015-12-23,28.23,28.50,27.83,28.09,24300,27.883076
2015-12-22,27.98,28.17,27.290001,27.99,16400,27.783812
2015-12-21,27.299999,28.00,27.200001,28.00,15600,27.793739
2015-12-18,27.629999,28.01,26.93,27.309999,43000,27.108821
2015-12-17,27.73,28.10,27.559999,27.809999,19100,27.605138
2015-12-16,27.34,27.83,27.049999,27.719999,19300,27.515801
2015-12-15,27.48,27.48,26.90,27.110001,15100,26.910295
2015-12-14,27.48,27.860001,27.10,27.33,30800,27.128674
2015-12-11,26.84,28.09,26.84,27.51,29800,27.307348
2015-12-10,27.809999,27.809999,27.41,27.52,11500,27.317275
2015-12-09,28.469999,28.690001,27.50,27.639999,18400,27.43639
2015-12-08,28.17,28.459999,28.01,28.23,22200,28.022044
2015-12-07,28.51,28.76,28.059999,28.639999,36700,28.429023
2015-12-04,28.940001,29.65,28.530001,28.65,16800,28.43895
2015-12-03,29.27,29.90,28.870001,28.93,14700,28.716888
2015-12-02,29.68,29.870001,29.200001,29.26,18700,29.044457
2015-12-01,29.18,29.77,28.629999,29.75,23600,29.530847
2015-11-30,29.209999,29.209999,28.73,29.01,25700,28.796299
2015-11-27,29.07,29.200001,28.85,29.18,6300,28.965046
2015-11-25,29.35,30.10,29.129999,29.18,10400,28.786372
2015-11-24,28.85,29.280001,28.16,29.24,17700,28.845562
2015-11-23,28.370001,28.91,28.34,28.879999,15600,28.490418
2015-11-20,28.290001,28.530001,28.110001,28.34,17800,27.957703
2015-11-19,27.469999,28.27,27.139999,28.059999,24800,27.68148
2015-11-18,27.00,27.51,26.75,27.450001,17800,27.079709
2015-11-17,28.00,28.00,26.790001,26.940001,32300,26.576589
2015-11-16,28.200001,28.42,28.00,28.01,34400,27.632155
2015-11-13,29.299999,29.68,27.799999,28.15,24700,27.770266
2015-11-12,30.18,30.18,29.43,29.51,13600,29.11192
2015-11-11,30.860001,31.450001,30.190001,30.360001,47800,29.950454
2015-11-10,29.99,30.98,29.99,30.83,24900,30.414114
2015-11-09,30.25,30.33,29.58,30.07,15300,29.664366
2015-11-06,29.049999,29.860001,28.98,29.77,13600,29.368413
2015-11-05,29.23,29.440001,28.65,29.299999,15500,28.904752
2015-11-04,28.35,29.280001,28.26,29.07,24700,28.677855
2015-11-03,28.290001,28.719999,27.860001,28.540001,14600,28.155006
2015-11-02,27.299999,28.629999,26.959999,28.450001,16000,28.06622
2015-10-30,27.18,27.60,26.83,27.299999,30400,26.931731
2015-10-29,27.379999,27.709999,27.110001,27.18,7300,26.813351
2015-10-28,25.690001,27.610001,25.690001,27.440001,27900,27.069844
2015-10-27,26.99,27.23,25.440001,25.51,32000,25.165879
2015-10-26,27.40,27.50,26.969999,27.07,22400,26.704835
2015-10-23,27.08,27.40,26.75,27.40,18800,27.030383
2015-10-22,25.98,27.129999,25.940001,27.040001,48300,26.67524
2015-10-21,25.959999,26.290001,25.75,25.790001,15100,25.442102
2015-10-20,25.389999,26.01,25.08,25.82,23200,25.471697
2015-10-19,25.309999,25.40,25.00,25.33,11900,24.988307
2015-10-16,26.25,26.25,25.27,25.450001,17200,25.106689
2015-10-15,25.59,26.23,24.940001,26.16,22900,25.80711
2015-10-14,26.01,26.299999,25.450001,25.540001,18200,25.195475
2015-10-13,26.700001,26.799999,26.040001,26.08,20800,25.728189
2015-10-12,26.34,26.77,25.84,26.77,34400,26.408882
2015-10-09,26.120001,26.879999,26.120001,26.40,24400,26.043873
2015-10-08,26.09,26.379999,25.629999,26.190001,53700,25.836706
2015-10-07,25.450001,26.10,25.17,25.889999,43200,25.540752
2015-10-06,25.92,25.92,25.379999,25.40,26500,25.057362
2015-10-05,25.200001,26.299999,25.00,25.879999,36300,25.530887
2015-10-02,25.09,25.280001,24.75,25.209999,24800,24.869925
2015-10-01,26.450001,26.450001,25.209999,25.25,27000,24.909386
2015-09-30,26.549999,26.549999,25.700001,26.34,48500,25.984682
2015-09-29,25.10,26.59,24.85,26.43,47100,26.073468
2015-09-28,25.059999,25.92,24.83,25.00,50300,24.662758
2015-09-25,27.01,27.01,25.65,25.709999,36600,25.36318
2015-09-24,25.700001,26.969999,25.65,26.91,43900,26.546993
2015-09-23,25.940001,26.379999,25.50,26.07,14800,25.718324
2015-09-22,26.10,26.389999,25.66,25.92,19900,25.570348
2015-09-21,26.82,27.389999,26.10,26.389999,17700,26.034007
2015-09-18,27.639999,28.360001,26.389999,26.440001,88200,26.083334
2015-09-17,27.50,28.23,27.15,27.92,54400,27.543369
2015-09-16,28.26,28.49,27.52,27.58,35700,27.207955
2015-09-15,27.549999,28.290001,27.48,28.209999,19400,27.829456
2015-09-14,27.059999,27.93,27.059999,27.58,28000,27.207955
2015-09-11,27.780001,28.370001,26.73,27.01,19600,26.645644
2015-09-10,28.110001,28.74,27.67,28.01,40000,27.632155
2015-09-09,26.85,28.35,26.85,27.870001,60200,27.494044
2015-09-08,26.549999,27.950001,26.549999,26.860001,48700,26.497668
2015-09-04,26.889999,28.219999,26.889999,27.809999,24300,27.434852
2015-09-03,26.459999,27.84,26.299999,27.10,35800,26.73443
2015-09-02,26.190001,26.940001,26.049999,26.74,37100,26.379286
2015-09-01,26.01,26.52,25.68,25.780001,38300,25.432237
2015-08-31,26.24,27.030001,26.129999,26.48,31600,26.122793
2015-08-28,26.049999,26.52,26.00,26.219999,32600,25.8663
2015-08-27,26.379999,26.620001,26.10,26.219999,45800,25.688728
2015-08-26,25.91,26.469999,25.74,26.299999,33300,25.767107
2015-08-25,26.16,26.459999,25.32,25.33,34300,24.816762
2015-08-24,25.40,27.52,24.110001,25.870001,37100,25.345821
2015-08-21,27.459999,28.33,26.809999,27.18,48700,26.629277
2015-08-20,28.27,28.84,28.00,28.00,37600,27.432662
2015-08-19,28.16,28.950001,27.940001,28.50,36300,27.922531
2015-08-18,28.01,28.370001,28.00,28.25,29500,27.677597
2015-08-17,28.059999,28.76,27.90,28.110001,34900,27.540434
2015-08-14,28.01,28.940001,27.67,27.98,36700,27.413067
2015-08-13,28.059999,29.08,27.92,28.01,42200,27.44246
2015-08-12,27.110001,28.26,27.110001,28.09,29300,27.520839
2015-08-11,27.41,28.059999,27.190001,27.27,23000,26.717454
2015-08-10,27.82,28.530001,27.209999,27.51,31400,26.952591
2015-08-07,28.459999,28.90,27.58,27.719999,35300,27.158335
2015-08-06,29.459999,29.92,28.51,28.52,40600,27.942126
2015-08-05,28.84,29.99,28.52,29.24,37500,28.647537
2015-08-04,27.77,29.139999,27.77,28.540001,29500,27.961722
2015-08-03,28.41,28.780001,27.42,27.940001,49600,27.373878
2015-07-31,28.77,29.23,28.040001,28.389999,21800,27.814759
2015-07-30,28.00,29.27,28.00,28.639999,22000,28.059694
2015-07-29,29.75,30.17,28.08,28.18,32700,27.609015
2015-07-28,29.889999,30.200001,29.450001,29.889999,16500,29.284366
2015-07-27,29.82,30.23,29.629999,29.700001,9500,29.098217
2015-07-24,29.91,30.530001,29.549999,29.620001,35000,29.019839
2015-07-23,30.299999,30.99,29.799999,30.040001,17800,29.431329
2015-07-22,29.73,30.50,29.73,30.290001,18100,29.676263
