Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,3.02,3.13,3.02,3.08,836200,2.991712
2015-12-30,3.05,3.08,3.03,3.03,322800,2.943146
2015-12-29,3.03,3.07,3.02,3.05,326400,2.962572
2015-12-28,3.09,3.09,3.00,3.01,536700,2.923719
2015-12-24,3.09,3.13,3.08,3.10,230800,2.98297
2015-12-23,3.07,3.11,3.06,3.10,558300,2.98297
2015-12-22,3.05,3.07,3.04,3.07,691100,2.954103
2015-12-21,3.02,3.07,3.01,3.04,1279800,2.925235
2015-12-18,2.92,3.01,2.92,2.99,601800,2.877123
2015-12-17,2.92,2.94,2.89,2.94,516400,2.829011
2015-12-16,2.85,2.92,2.85,2.91,605300,2.800143
2015-12-15,2.80,2.85,2.80,2.85,665300,2.742408
2015-12-14,2.83,2.84,2.75,2.80,814700,2.694296
2015-12-11,2.92,2.94,2.84,2.85,807300,2.742408
2015-12-10,2.98,2.98,2.93,2.93,762100,2.819388
2015-12-09,3.02,3.02,2.97,2.99,316500,2.877123
2015-12-08,3.05,3.06,3.03,3.04,253700,2.89733
2015-12-07,3.11,3.12,3.04,3.04,321900,2.89733
2015-12-04,3.14,3.15,3.12,3.13,128000,2.983107
2015-12-03,3.16,3.16,3.13,3.15,140300,3.002168
2015-12-02,3.15,3.17,3.14,3.15,138700,3.002168
2015-12-01,3.12,3.15,3.11,3.14,159400,2.992637
2015-11-30,3.10,3.13,3.10,3.11,97300,2.964045
2015-11-27,3.12,3.14,3.10,3.11,129500,2.964045
2015-11-25,3.09,3.14,3.08,3.11,301000,2.964045
2015-11-24,3.09,3.10,3.07,3.07,186700,2.925922
2015-11-23,3.10,3.10,3.08,3.09,174100,2.944984
2015-11-20,3.09,3.10,3.07,3.10,184600,2.954514
2015-11-19,3.09,3.10,3.07,3.08,218800,2.935453
2015-11-18,3.08,3.10,3.07,3.09,153100,2.944984
2015-11-17,3.08,3.09,3.07,3.07,325400,2.925922
2015-11-16,3.09,3.09,3.08,3.08,210500,2.935453
2015-11-13,3.10,3.11,3.08,3.09,167500,2.944984
2015-11-12,3.15,3.17,3.11,3.11,227300,2.964045
