Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,55.18,55.459999,54.43,54.540001,237500,54.238674
2015-12-30,55.490002,56.18,55.369999,55.509998,174500,55.203313
2015-12-29,55.290001,55.799999,54.970001,55.639999,111600,55.332595
2015-12-28,54.549999,54.869999,53.869999,54.860001,178800,54.556906
2015-12-24,54.900002,55.200001,54.580002,54.75,123200,54.447513
2015-12-23,55.220001,55.369999,54.869999,55.00,178700,54.696132
2015-12-22,54.759998,54.98,53.810001,54.950001,163400,54.646409
2015-12-21,53.939999,54.93,53.68,54.619999,341000,54.31823
2015-12-18,54.110001,54.240002,53.299999,53.360001,651600,53.065193
2015-12-17,55.639999,55.77,54.360001,54.380001,198200,54.079558
2015-12-16,55.110001,55.939999,55.02,55.610001,242900,55.302762
2015-12-15,54.580002,54.939999,54.41,54.59,412100,54.288397
2015-12-14,55.209999,55.540001,54.00,54.23,489900,53.930386
2015-12-11,56.07,56.369999,54.990002,55.110001,384500,54.805525
2015-12-10,58.279999,58.599998,56.82,56.990002,372800,56.675139
2015-12-09,58.77,59.48,58.119999,58.18,463300,57.858563
2015-12-08,58.73,59.23,58.389999,58.939999,371700,58.614363
2015-12-07,59.970001,60.290001,58.529999,59.32,399100,58.992264
2015-12-04,59.139999,60.150002,59.130001,60.119999,277800,59.787844
2015-12-03,59.709999,60.200001,58.759998,59.110001,363800,58.783425
2015-12-02,60.080002,60.380001,59.450001,59.599998,287900,59.270716
2015-12-01,59.02,60.040001,58.669998,60.009998,308300,59.678451
2015-11-30,59.32,59.32,58.419998,58.650002,309100,58.325968
2015-11-27,59.009998,59.330002,58.599998,59.060001,99100,58.733702
2015-11-25,58.799999,59.220001,58.73,59.080002,139800,58.753592
2015-11-24,58.279999,58.919998,57.889999,58.810001,295100,58.485084
2015-11-23,57.369999,58.639999,57.369999,58.549999,324700,58.226518
2015-11-20,57.029999,57.57,56.529999,57.509998,246300,57.192263
2015-11-19,55.939999,56.869999,55.830002,56.639999,199200,56.327071
2015-11-18,55.130001,56.349998,54.810001,56.25,340100,55.640884
2015-11-17,55.279999,55.50,54.830002,54.959999,270900,54.364852
2015-11-16,55.02,55.349998,54.580002,55.259998,157600,54.661603
2015-11-13,55.240002,55.759998,54.959999,55.18,224100,54.582471
2015-11-12,56.349998,56.369999,55.48,55.57,214700,54.968247
2015-11-11,57.450001,57.450001,56.669998,56.84,240500,56.224495
2015-11-10,57.799999,58.16,56.900002,57.220001,303500,56.600381
2015-11-09,58.98,59.25,57.740002,58.009998,189100,57.381824
2015-11-06,58.740002,59.16,58.209999,59.150002,248800,58.509482
2015-11-05,59.549999,59.66,58.419998,59.18,176600,58.539156
2015-11-04,59.82,59.82,58.919998,59.549999,170500,58.905148
2015-11-03,59.959999,60.18,59.220001,59.84,168200,59.192009
2015-11-02,59.619999,60.459999,59.310001,60.279999,210500,59.627243
2015-10-30,60.290001,60.91,59.419998,59.549999,208000,58.905148
2015-10-29,60.119999,60.599998,59.790001,60.509998,201200,59.854752
2015-10-28,58.119999,60.509998,57.869999,60.509998,340700,59.854752
2015-10-27,58.380001,58.57,57.189999,57.84,224500,57.213666
2015-10-26,59.330002,59.639999,58.330002,58.66,209500,58.024786
2015-10-23,59.07,59.740002,58.16,59.580002,236500,58.934826
2015-10-22,59.099998,59.549999,56.459999,58.240002,440300,57.609336
2015-10-21,60.560001,60.799999,58.549999,58.560001,369100,57.925871
2015-10-20,60.700001,61.02,59.450001,60.259998,400100,59.607459
2015-10-19,60.82,61.610001,60.599998,60.779999,305500,60.121828
2015-10-16,60.900002,61.009998,60.18,60.709999,232200,60.052587
2015-10-15,59.57,60.720001,58.950001,60.700001,271900,60.042697
2015-10-14,60.16,60.59,59.25,59.330002,221000,58.687533
2015-10-13,60.130001,61.130001,60.00,60.169998,284000,59.518433
2015-10-12,59.779999,60.77,59.599998,60.43,280600,59.77562
2015-10-09,60.16,60.389999,59.23,59.580002,178400,58.934826
2015-10-08,59.27,60.169998,58.799999,60.009998,313500,59.360166
2015-10-07,57.52,59.34,57.50,59.290001,398600,58.647965
2015-10-06,57.029999,57.639999,56.540001,57.310001,427500,56.689407
2015-10-05,56.330002,57.049999,55.73,56.98,306700,56.362978
2015-10-02,54.560001,55.599998,54.099998,55.57,238800,54.968247
2015-10-01,55.66,56.00,54.330002,55.220001,311000,54.622039
2015-09-30,54.810001,55.919998,54.360001,55.740002,589000,55.136408
2015-09-29,53.810001,54.560001,53.549999,54.130001,606100,53.543842
2015-09-28,54.720001,54.869999,53.759998,53.82,386800,53.237197
2015-09-25,56.060001,56.060001,54.610001,54.900002,289400,54.305504
2015-09-24,55.41,55.950001,55.07,55.59,357600,54.988031
2015-09-23,56.150002,56.73,55.779999,55.790001,180200,55.185866
2015-09-22,57.220001,57.43,55.970001,56.23,438300,55.6211
2015-09-21,58.209999,58.59,57.59,57.75,202100,57.124641
2015-09-18,58.470001,58.700001,57.32,57.50,368000,56.877348
2015-09-17,59.060001,60.419998,58.59,59.400002,175100,58.756775
2015-09-16,58.93,59.400002,58.560001,59.299999,160000,58.657855
2015-09-15,58.650002,59.290001,57.939999,58.91,398400,58.272079
2015-09-14,58.549999,58.77,58.16,58.369999,128700,57.737926
2015-09-11,58.139999,58.91,57.630001,58.560001,151100,57.925871
2015-09-10,58.169998,59.150002,57.93,58.389999,200900,57.75771
2015-09-09,59.57,59.619999,58.290001,58.439999,246700,57.807167
2015-09-08,60.189999,60.189999,58.889999,59.040001,355900,58.400672
2015-09-04,56.849998,59.310001,56.849998,59.119999,485000,58.479804
2015-09-03,57.360001,57.98,57.080002,57.650002,313400,57.025725
2015-09-02,56.869999,57.07,55.759998,56.98,340100,56.362978
2015-09-01,57.25,57.630001,56.07,56.279999,400100,55.670558
2015-08-31,58.740002,59.720001,57.93,58.009998,467000,57.381824
2015-08-28,58.98,59.259998,58.240002,58.82,273600,58.183054
2015-08-27,58.299999,59.169998,57.560001,58.810001,285700,58.173164
2015-08-26,56.84,58.25,55.52,57.849998,311800,57.223556
2015-08-25,57.75,58.650002,55.619999,55.639999,518300,55.037489
2015-08-24,55.889999,58.68,51.610001,56.900002,533500,56.283847
2015-08-21,59.490002,60.509998,58.59,59.130001,425300,58.489698
2015-08-20,61.450001,61.759998,60.439999,60.470001,224800,59.815188
2015-08-19,62.599998,62.919998,61.919998,62.400002,205400,61.427538
2015-08-18,63.77,63.91,63.099998,63.16,167500,62.175692
2015-08-17,62.799999,64.089996,62.41,63.98,248300,62.982913
2015-08-14,62.639999,63.560001,62.299999,63.200001,212800,62.21507
2015-08-13,62.950001,63.509998,62.66,62.91,176600,61.929588
2015-08-12,63.02,63.380001,61.880001,63.060001,209200,62.077252
2015-08-11,63.450001,64.099998,63.310001,63.50,375500,62.510394
2015-08-10,63.330002,64.290001,63.189999,64.129997,204600,63.130573
2015-08-07,63.220001,63.509998,62.66,63.119999,182800,62.136315
2015-08-06,64.400002,64.400002,63.110001,63.709999,456700,62.71712
2015-08-05,64.839996,64.970001,64.129997,64.360001,283800,63.356992
2015-08-04,64.040001,64.720001,64.040001,64.620003,241700,63.612942
2015-08-03,64.330002,64.43,63.419998,64.120003,181400,63.120734
2015-07-31,64.260002,65.00,63.68,64.43,259900,63.425901
2015-07-30,64.160004,64.300003,63.380001,64.239998,314600,63.238859
2015-07-29,62.740002,64.309998,62.459999,64.220001,312900,63.219174
2015-07-28,62.610001,63.00,62.060001,62.939999,370600,61.95912
2015-07-27,61.779999,62.59,61.560001,62.34,409300,61.368472
2015-07-24,63.610001,63.790001,61.959999,62.029999,396200,61.063302
2015-07-23,63.509998,66.470001,62.459999,63.950001,548400,62.953382
2015-07-22,60.880001,61.529999,60.759998,61.48,244000,60.521874
2015-07-21,61.330002,62.209999,60.880001,61.02,233400,60.069043
2015-07-20,61.16,61.490002,60.830002,61.290001,262000,60.334836
2015-07-17,61.09,61.310001,60.639999,61.110001,214600,60.157641
2015-07-16,61.389999,61.77,60.849998,60.91,211700,59.960757
2015-07-15,61.630001,61.650002,61.009998,61.09,207400,60.137952
2015-07-14,61.580002,61.919998,60.950001,61.689999,236700,60.7286
2015-07-13,61.380001,62.060001,61.279999,61.509998,308600,60.551405
2015-07-10,60.209999,61.02,59.82,60.84,426400,59.891848
2015-07-09,61.509998,61.98,58.73,59.639999,672400,58.710549
2015-07-08,60.490002,61.139999,60.459999,60.709999,412500,59.763873
2015-07-07,61.93,61.93,60.139999,61.310001,364200,60.354525
2015-07-06,61.950001,62.200001,61.599998,61.66,304800,60.699069
2015-07-02,62.830002,62.830002,62.09,62.299999,219100,61.329094
2015-07-01,62.48,63.150002,62.220001,62.549999,338400,61.575198
2015-06-30,61.32,62.529999,60.689999,62.00,799200,61.03377
2015-06-29,62.349998,62.59,60.720001,60.77,421400,59.82294
2015-06-26,63.25,63.470001,62.75,62.860001,622900,61.880368
2015-06-25,64.199997,64.730003,63.02,63.139999,360400,62.156004
2015-06-24,64.599998,64.730003,63.939999,64.00,386800,63.002602
2015-06-23,64.559998,64.940002,64.360001,64.639999,409700,63.632627
2015-06-22,64.699997,64.82,64.360001,64.480003,324200,63.475124
2015-06-19,65.190002,65.199997,64.370003,64.370003,528900,63.366838
2015-06-18,64.269997,65.389999,64.269997,65.080002,251400,64.065772
2015-06-17,64.760002,64.910004,63.889999,64.07,227600,63.07151
