Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.90,9.00,8.86,8.96,506400,8.780269
2015-12-30,8.98,9.00,8.93,8.96,544900,8.780269
2015-12-29,9.06,9.11,9.00,9.02,391300,8.839066
2015-12-28,9.16,9.17,9.08,9.10,328800,8.853765
2015-12-24,9.19,9.22,9.13,9.17,157600,8.921871
2015-12-23,9.03,9.23,9.03,9.21,392200,8.960788
2015-12-22,9.03,9.10,9.00,9.02,426100,8.77593
2015-12-21,9.11,9.15,9.01,9.02,319000,8.77593
2015-12-18,9.20,9.23,9.05,9.06,426500,8.814847
2015-12-17,9.25,9.33,9.19,9.28,451100,9.028894
2015-12-16,8.95,9.30,8.95,9.28,646200,9.028894
2015-12-15,8.77,8.99,8.77,8.96,565000,8.717553
2015-12-14,8.88,8.95,8.73,8.75,866700,8.513235
2015-12-11,9.02,9.07,8.92,8.94,695300,8.698094
2015-12-10,9.14,9.16,9.01,9.04,594900,8.795388
2015-12-09,9.01,9.17,9.00,9.12,505800,8.873223
2015-12-08,9.01,9.06,8.98,8.98,453700,8.737011
2015-12-07,9.14,9.18,9.03,9.05,817300,8.805118
2015-12-04,9.22,9.30,9.20,9.22,350900,8.970518
2015-12-03,9.30,9.30,9.21,9.23,357400,8.980246
2015-12-02,9.43,9.43,9.28,9.28,376100,9.028894
2015-12-01,9.44,9.49,9.43,9.43,274700,9.174835
2015-11-30,9.42,9.48,9.42,9.43,349900,9.174835
2015-11-27,9.40,9.48,9.40,9.46,65200,9.204023
2015-11-25,9.41,9.48,9.34,9.43,369400,9.174835
2015-11-24,9.39,9.46,9.36,9.41,376300,9.092135
2015-11-23,9.50,9.55,9.44,9.46,286200,9.140446
2015-11-20,9.57,9.63,9.50,9.54,424000,9.217744
2015-11-19,9.42,9.55,9.42,9.54,233800,9.217744
2015-11-18,9.43,9.49,9.39,9.46,340900,9.140446
2015-11-17,9.41,9.50,9.39,9.44,254400,9.121121
2015-11-16,9.27,9.41,9.27,9.39,264400,9.072811
2015-11-13,9.44,9.44,9.25,9.31,636100,8.995513
2015-11-12,9.45,9.50,9.40,9.42,297600,9.101797
2015-11-11,9.47,9.55,9.46,9.48,304000,9.15977
2015-11-10,9.50,9.58,9.46,9.48,385300,9.15977
2015-11-09,9.53,9.55,9.45,9.48,329700,9.15977
2015-11-06,9.65,9.65,9.50,9.57,463200,9.24673
2015-11-05,9.70,9.77,9.70,9.75,180900,9.42065
2015-11-04,9.60,9.75,9.58,9.74,341800,9.410987
2015-11-03,9.63,9.65,9.58,9.60,306800,9.275717
2015-11-02,9.77,9.80,9.66,9.67,339300,9.343352
2015-10-30,9.66,9.79,9.53,9.77,362100,9.439975
2015-10-29,9.68,9.71,9.64,9.68,245400,9.353015
2015-10-28,9.78,9.80,9.65,9.73,281300,9.401325
2015-10-27,9.80,9.87,9.79,9.82,262600,9.42548
2015-10-26,9.90,9.91,9.80,9.85,283700,9.454276
2015-10-23,10.08,10.08,9.88,9.90,269000,9.502266
2015-10-22,10.00,10.10,9.98,10.05,403100,9.646241
2015-10-21,9.97,10.02,9.95,9.98,202300,9.579052
2015-10-20,9.93,10.04,9.93,9.97,310100,9.569455
2015-10-19,9.89,9.98,9.87,9.96,300900,9.559856
2015-10-16,9.83,9.94,9.83,9.90,260100,9.502266
2015-10-15,9.76,9.86,9.72,9.85,219200,9.454276
2015-10-14,9.70,9.86,9.70,9.72,393000,9.329498
2015-10-13,9.67,9.78,9.64,9.74,334500,9.348694
2015-10-12,9.61,9.69,9.61,9.68,327900,9.291106
2015-10-09,9.67,9.68,9.60,9.61,293600,9.223917
2015-10-08,9.53,9.68,9.50,9.68,294200,9.291106
2015-10-07,9.28,9.57,9.24,9.55,413600,9.166328
2015-10-06,9.08,9.27,9.07,9.23,298800,8.859184
2015-10-05,8.98,9.09,8.92,9.08,486000,8.71521
2015-10-02,8.95,9.01,8.85,8.90,697800,8.542441
2015-10-01,9.13,9.13,8.94,8.95,1033200,8.590433
2015-09-30,9.15,9.23,8.98,8.98,1187800,8.619227
2015-09-29,9.39,9.51,9.04,9.11,986200,8.744005
2015-09-28,9.52,9.53,9.36,9.38,429200,9.003158
2015-09-25,9.61,9.66,9.55,9.58,267800,9.132734
2015-09-24,9.56,9.62,9.50,9.53,350200,9.085069
2015-09-23,9.55,9.60,9.54,9.57,194800,9.123201
2015-09-22,9.57,9.63,9.55,9.57,310100,9.123201
2015-09-21,9.65,9.69,9.58,9.65,277600,9.199466
2015-09-18,9.63,9.79,9.62,9.63,312000,9.1804
2015-09-17,9.53,9.81,9.53,9.73,339200,9.275731
2015-09-16,9.54,9.69,9.50,9.56,350200,9.113669
2015-09-15,9.58,9.61,9.50,9.53,288700,9.085069
2015-09-14,9.65,9.65,9.55,9.55,273100,9.104135
2015-09-11,9.69,9.72,9.55,9.60,446200,9.151801
