Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,9.11,9.20,9.11,9.19,77000,9.042819
2015-12-30,9.18,9.26,9.16,9.20,17200,9.052659
2015-12-29,9.28,9.30,9.19,9.19,38800,9.042819
2015-12-28,9.33,9.34,9.27,9.28,33300,9.131378
2015-12-24,9.30,9.33,9.29,9.30,11700,9.151058
2015-12-23,9.27,9.30,9.27,9.29,23900,9.141218
2015-12-22,9.29,9.30,9.26,9.28,24900,9.131378
2015-12-21,9.28,9.29,9.25,9.29,41500,9.141218
2015-12-18,9.24,9.29,9.24,9.28,67200,9.131378
2015-12-17,9.21,9.24,9.19,9.24,126000,9.092018
2015-12-16,9.16,9.20,9.16,9.19,58500,9.042819
2015-12-15,9.17,9.18,9.06,9.16,45800,9.0133
2015-12-14,9.17,9.19,9.15,9.15,101800,9.00346
2015-12-11,9.22,9.24,9.18,9.20,47200,9.052659
2015-12-10,9.22,9.26,9.22,9.25,94800,9.052659
2015-12-09,9.27,9.28,9.22,9.25,37600,9.052659
2015-12-08,9.24,9.28,9.23,9.24,28100,9.042873
2015-12-07,9.25,9.25,9.23,9.24,33000,9.042873
2015-12-04,9.24,9.30,9.23,9.25,24000,9.052659
2015-12-03,9.33,9.34,9.24,9.24,22600,9.042873
2015-12-02,9.32,9.36,9.31,9.36,35400,9.160312
2015-12-01,9.24,9.38,9.24,9.36,40900,9.160312
2015-11-30,9.26,9.28,9.23,9.25,86100,9.052659
2015-11-27,9.23,9.26,9.23,9.24,14100,9.042873
2015-11-25,9.25,9.26,9.23,9.24,18400,9.042873
2015-11-24,9.23,9.26,9.22,9.25,56400,9.052659
2015-11-23,9.19,9.26,9.19,9.21,42200,9.013513
2015-11-20,9.25,9.25,9.22,9.23,17200,9.033086
2015-11-19,9.25,9.26,9.21,9.23,38800,9.033086
2015-11-18,9.20,9.24,9.20,9.22,26200,9.0233
2015-11-17,9.23,9.25,9.20,9.20,22700,9.003726
2015-11-16,9.26,9.27,9.22,9.23,17600,9.033086
2015-11-13,9.20,9.29,9.20,9.24,44000,9.042873
2015-11-12,9.21,9.26,9.20,9.21,16200,9.013513
2015-11-11,9.26,9.28,9.25,9.26,11600,9.013513
2015-11-10,9.18,9.28,9.18,9.23,26600,8.98431
2015-11-09,9.24,9.25,9.18,9.20,46600,8.955109
2015-11-06,9.29,9.34,9.26,9.30,31700,9.052448
2015-11-05,9.38,9.38,9.29,9.29,16200,9.042714
2015-11-04,9.42,9.42,9.35,9.35,31600,9.101117
2015-11-03,9.40,9.42,9.40,9.40,17400,9.149785
2015-11-02,9.39,9.44,9.37,9.37,45200,9.120584
2015-10-30,9.47,9.48,9.39,9.39,46400,9.140052
2015-10-29,9.50,9.50,9.42,9.44,37600,9.188721
2015-10-28,9.50,9.51,9.48,9.50,13200,9.247124
2015-10-27,9.46,9.50,9.46,9.48,22300,9.227656
2015-10-26,9.48,9.51,9.46,9.47,21300,9.217923
2015-10-23,9.48,9.52,9.47,9.48,19100,9.227656
2015-10-22,9.50,9.52,9.46,9.48,24200,9.227656
2015-10-21,9.50,9.50,9.48,9.48,14900,9.227656
2015-10-20,9.48,9.50,9.44,9.50,25500,9.247124
2015-10-19,9.48,9.49,9.46,9.48,65000,9.227656
2015-10-16,9.45,9.52,9.44,9.47,74300,9.217923
2015-10-15,9.44,9.48,9.44,9.48,37400,9.227656
2015-10-14,9.43,9.49,9.43,9.47,33600,9.217923
2015-10-13,9.28,9.44,9.28,9.44,23300,9.188721
2015-10-12,9.48,9.48,9.29,9.32,13200,9.023246
2015-10-09,9.48,9.49,9.44,9.47,123700,9.168471
2015-10-08,9.46,9.52,9.46,9.50,39900,9.197515
2015-10-07,9.55,9.56,9.49,9.50,47600,9.197515
2015-10-06,9.54,9.61,9.53,9.56,42400,9.255605
2015-10-05,9.58,9.58,9.50,9.55,25000,9.245923
2015-10-02,9.53,9.53,9.46,9.53,24600,9.22656
2015-10-01,9.48,9.52,9.48,9.51,47200,9.207197
2015-09-30,9.48,9.51,9.47,9.48,76800,9.178152
2015-09-29,9.50,9.51,9.47,9.48,38200,9.178152
2015-09-28,9.48,9.50,9.42,9.48,20500,9.178152
2015-09-25,9.47,9.51,9.46,9.48,17200,9.178152
2015-09-24,9.39,9.48,9.39,9.45,79500,9.149107
2015-09-23,9.46,9.52,9.41,9.45,44600,9.149107
2015-09-22,9.39,9.50,9.39,9.46,50800,9.158789
2015-09-21,9.37,9.41,9.35,9.40,76900,9.100699
2015-09-18,9.30,9.37,9.29,9.37,72300,9.071654
2015-09-17,9.35,9.38,9.30,9.35,32000,9.052292
2015-09-16,9.37,9.37,9.33,9.33,32500,9.032928
2015-09-15,9.41,9.41,9.33,9.36,74200,9.061973
2015-09-14,9.41,9.42,9.40,9.40,43200,9.100699
2015-09-11,9.40,9.42,9.40,9.40,43800,9.100699
2015-09-10,9.42,9.50,9.41,9.45,57700,9.100699
2015-09-09,9.39,9.43,9.39,9.42,31400,9.071808
2015-09-08,9.39,9.39,9.34,9.39,30900,9.042917
2015-09-04,9.30,9.49,9.30,9.44,71500,9.091068
