Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,9.97,10.11,9.95,9.97,135000,9.97
2015-12-30,9.91,9.99,9.85,9.89,97600,9.89
2015-12-29,10.11,10.16,9.94,9.97,51500,9.97
2015-12-28,9.91,10.22,9.91,10.15,147100,10.15
2015-12-24,10.08,10.15,9.98,10.02,20700,10.02
2015-12-23,9.81,9.97,9.81,9.93,79200,9.93
2015-12-22,9.77,9.85,9.77,9.83,57200,9.83
2015-12-21,9.87,9.89,9.73,9.75,111000,9.75
2015-12-18,9.93,9.93,9.77,9.77,124900,9.77
2015-12-17,9.92,9.99,9.85,9.89,104100,9.89
2015-12-16,9.85,9.92,9.62,9.86,184900,9.86
2015-12-15,9.65,9.80,9.58,9.75,140800,9.75
2015-12-14,9.70,9.79,9.45,9.62,74900,9.62
2015-12-11,10.98,10.98,10.77,10.84,166800,9.562
2015-12-10,11.16,11.17,11.05,11.10,69900,9.791347
2015-12-09,11.16,11.25,11.05,11.21,111600,9.888378
2015-12-08,11.07,11.17,11.05,11.16,58600,9.844273
2015-12-07,11.40,11.42,11.26,11.31,121100,9.976589
2015-12-04,11.35,11.52,11.21,11.45,192300,10.100083
2015-12-03,11.66,11.66,11.45,11.50,73400,10.144188
2015-12-02,11.60,11.68,11.52,11.55,23700,10.188294
2015-12-01,11.51,11.72,11.51,11.68,40400,10.302967
2015-11-30,11.54,11.61,11.48,11.54,48300,10.179472
2015-11-27,11.73,11.73,11.59,11.62,16000,10.250041
2015-11-25,11.84,11.90,11.74,11.83,23900,10.435282
2015-11-24,11.81,11.91,11.81,11.90,33000,10.497029
2015-11-23,11.90,11.93,11.85,11.91,37900,10.50585
2015-11-20,11.83,11.97,11.83,11.93,18300,10.523493
2015-11-19,11.71,11.80,11.67,11.80,26000,10.408819
2015-11-18,11.60,11.69,11.55,11.61,14700,10.241219
2015-11-17,11.48,11.69,11.48,11.68,71000,10.302967
2015-11-16,11.36,11.55,11.36,11.52,63300,10.161831
2015-11-13,11.57,11.57,11.36,11.38,45800,10.038336
2015-11-12,11.64,11.77,11.58,11.58,33100,10.214756
2015-11-11,11.78,11.78,11.61,11.71,47600,10.32943
2015-11-10,11.72,11.76,11.60,11.76,38600,10.373535
2015-11-09,11.90,11.90,11.79,11.85,28600,10.452925
2015-11-06,12.07,12.07,11.95,12.00,66600,10.58524
2015-11-05,12.22,12.29,12.01,12.17,35000,10.735198
2015-11-04,12.37,12.37,12.22,12.27,62300,10.823408
2015-11-03,12.04,12.28,12.00,12.28,41500,10.832229
2015-11-02,11.96,12.09,11.93,12.02,20900,10.602882
2015-10-30,11.91,11.92,11.82,11.91,26800,10.50585
2015-10-29,11.81,11.86,11.77,11.86,49200,10.461745
2015-10-28,11.96,12.00,11.82,11.88,37500,10.479388
2015-10-27,12.06,12.19,11.88,11.94,44200,10.532313
2015-10-26,12.40,12.40,12.01,12.05,59700,10.629345
2015-10-23,12.30,12.42,12.26,12.39,34300,10.92926
2015-10-22,12.12,12.28,12.06,12.21,65800,10.770482
2015-10-21,12.11,12.14,12.05,12.07,32900,10.646987
2015-10-20,12.26,12.28,12.20,12.21,17400,10.770482
2015-10-19,12.25,12.32,12.20,12.27,33900,10.823408
2015-10-16,12.34,12.40,12.28,12.36,10900,10.902797
2015-10-15,12.27,12.41,12.24,12.39,50200,10.92926
2015-10-14,12.05,12.19,12.05,12.17,38500,10.735198
2015-10-13,12.06,12.20,12.03,12.06,126000,10.638166
2015-10-12,12.34,12.34,12.23,12.27,24600,10.823408
2015-10-09,12.20,12.35,12.19,12.27,27800,10.823408
2015-10-08,11.89,12.12,11.89,12.12,18700,10.691092
2015-10-07,11.73,11.97,11.73,11.91,83500,10.50585
2015-10-06,11.37,11.56,11.37,11.56,94000,10.197115
2015-10-05,11.27,11.47,11.27,11.47,48600,10.117725
2015-10-02,10.87,11.18,10.84,11.18,21000,9.861915
2015-10-01,11.00,11.08,10.93,10.98,33100,9.685494
2015-09-30,11.00,11.08,10.99,11.03,68400,9.729599
2015-09-29,10.87,10.97,10.80,10.82,38500,9.544358
2015-09-28,10.97,11.02,10.84,10.92,34800,9.632568
2015-09-25,11.20,11.26,11.10,11.11,38000,9.800168
2015-09-24,11.06,11.13,10.93,11.12,51100,9.808989
2015-09-23,11.36,11.38,11.18,11.18,53700,9.861915
2015-09-22,11.42,11.47,11.26,11.46,63900,10.108904
2015-09-21,11.59,11.66,11.54,11.57,45300,10.205935
2015-09-18,11.67,11.72,11.56,11.64,111400,10.267683
2015-09-17,11.67,11.96,11.54,11.78,40900,10.391177
2015-09-16,11.64,11.80,11.64,11.78,78500,10.391177
2015-09-15,11.45,11.53,11.39,11.52,82500,10.161831
2015-09-14,11.36,11.48,11.30,11.43,40900,10.082441
2015-09-11,11.50,11.51,11.28,11.46,89600,10.108904
2015-09-10,11.39,11.56,11.35,11.50,77700,10.144188
2015-09-09,11.59,11.69,11.44,11.50,75900,10.144188
2015-09-08,11.27,11.43,11.27,11.43,39900,10.082441
2015-09-04,11.17,11.19,11.08,11.10,89700,9.791347
2015-09-03,11.35,11.44,11.20,11.36,76400,10.020693
2015-09-02,11.39,11.43,11.31,11.33,30700,9.994231
2015-09-01,11.33,11.42,11.29,11.31,196800,9.976589
2015-08-31,11.62,11.62,11.45,11.56,104700,10.197115
2015-08-28,11.50,11.64,11.49,11.55,57700,10.188294
2015-08-27,11.49,11.74,11.35,11.70,67000,10.320609
2015-08-26,11.10,11.27,10.96,11.27,111200,9.941305
2015-08-25,11.31,11.40,11.00,11.00,84300,9.703137
2015-08-24,10.57,11.20,10.28,10.95,105100,9.659031
2015-08-21,11.47,11.61,11.42,11.51,187800,10.153009
2015-08-20,11.75,11.80,11.68,11.68,142500,10.302967
2015-08-19,12.06,12.12,11.93,11.94,162500,10.532313
2015-08-18,12.33,12.33,12.18,12.21,44600,10.770482
2015-08-17,12.35,12.41,12.31,12.38,53300,10.920439
2015-08-14,12.47,12.53,12.41,12.44,64200,10.973365
2015-08-13,12.43,12.48,12.40,12.48,82700,11.008649
2015-08-12,12.49,12.49,12.35,12.46,48700,10.991007
2015-08-11,12.73,12.73,12.50,12.59,65500,11.105681
2015-08-10,12.75,12.93,12.74,12.93,63400,11.405596
2015-08-07,12.75,12.76,12.70,12.74,35600,11.237996
2015-08-06,12.83,12.90,12.74,12.80,73800,11.290923
2015-08-05,13.00,13.00,12.80,12.83,66300,11.317386
2015-08-04,12.95,12.99,12.82,12.95,44200,11.423238
2015-08-03,12.92,12.95,12.85,12.92,107000,11.396775
2015-07-31,13.00,13.08,12.95,12.98,145600,11.449701
2015-07-30,12.96,12.96,12.85,12.94,56000,11.414417
2015-07-29,12.90,13.05,12.90,13.03,15600,11.493806
2015-07-28,12.80,13.02,12.80,12.93,63600,11.405596
2015-07-27,13.04,13.04,12.79,12.79,86600,11.282101
2015-07-24,13.39,13.39,13.15,13.22,70100,11.661406
2015-07-23,13.53,13.55,13.38,13.41,94300,11.829005
2015-07-22,13.63,13.65,13.55,13.57,59200,11.970142
2015-07-21,13.86,13.86,13.67,13.69,27300,12.075994
2015-07-20,13.93,14.12,13.83,13.91,52000,12.270057
2015-07-17,13.99,14.00,13.95,13.96,36000,12.314162
2015-07-16,14.00,14.04,13.95,14.02,70800,12.367089
2015-07-15,13.90,13.93,13.81,13.86,100600,12.225952
2015-07-14,14.04,14.10,14.03,14.06,72000,12.402373
2015-07-13,14.19,14.20,14.11,14.14,30700,12.472941
2015-07-10,14.12,14.22,13.95,14.20,70400,12.525867
2015-07-09,13.94,13.99,13.72,13.84,122700,12.20831
2015-07-08,13.91,13.91,13.58,13.61,73900,12.005426
2015-07-07,14.14,14.20,13.89,14.19,120100,12.517046
2015-07-06,14.39,14.39,14.21,14.30,88100,12.614078
2015-07-02,14.60,14.70,14.57,14.58,45700,12.861066
2015-07-01,14.57,14.64,14.57,14.57,38100,12.852245
2015-06-30,14.53,14.60,14.48,14.56,29900,12.843425
2015-06-29,14.48,14.56,14.20,14.36,166200,12.667003
2015-06-26,14.74,14.74,14.60,14.62,37100,12.89635
2015-06-25,14.85,14.88,14.75,14.81,14700,13.063951
2015-06-24,14.95,14.98,14.82,14.83,42500,13.081592
2015-06-23,14.85,14.96,14.85,14.92,37000,13.160982
