Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.27,13.58,13.12,13.42,163400,13.140367
2015-12-30,13.56,13.56,13.51,13.52,101000,13.238283
2015-12-29,13.46,13.55,13.46,13.54,113700,13.257866
2015-12-28,13.48,13.49,13.35,13.43,139100,13.150158
2015-12-24,13.40,13.50,13.38,13.46,132600,13.179533
2015-12-23,13.33,13.41,13.26,13.32,162400,13.04245
2015-12-22,13.37,13.38,13.12,13.21,261400,12.934742
2015-12-21,13.25,13.35,13.16,13.31,346300,13.032659
2015-12-18,13.02,13.27,12.93,13.25,516100,12.889701
2015-12-17,13.05,13.09,12.97,13.00,160700,12.646499
2015-12-16,12.83,13.01,12.78,13.01,91300,12.656227
2015-12-15,12.80,12.83,12.69,12.74,190900,12.393568
2015-12-14,12.62,12.67,12.53,12.64,121200,12.296288
2015-12-11,12.66,12.76,12.60,12.66,146500,12.315744
2015-12-10,12.78,12.88,12.74,12.76,115300,12.413025
2015-12-09,12.77,12.93,12.64,12.74,160100,12.393568
2015-12-08,12.71,12.85,12.71,12.84,100500,12.49085
2015-12-07,12.88,12.90,12.81,12.86,111700,12.510305
2015-12-04,12.75,12.95,12.73,12.93,106300,12.578402
2015-12-03,12.85,12.88,12.70,12.71,59300,12.364384
2015-12-02,12.99,12.99,12.82,12.85,151700,12.500578
2015-12-01,12.88,12.95,12.87,12.95,127300,12.597858
2015-11-30,12.90,12.90,12.81,12.86,128400,12.510305
2015-11-27,12.81,12.86,12.75,12.85,29800,12.500578
2015-11-25,12.81,12.84,12.74,12.79,74500,12.442209
2015-11-24,12.76,12.82,12.71,12.78,80600,12.432481
2015-11-23,12.74,12.82,12.74,12.79,122900,12.442209
2015-11-20,12.73,12.77,12.71,12.72,45400,12.374113
2015-11-19,12.73,12.73,12.64,12.66,80900,12.315744
2015-11-18,12.67,12.79,12.65,12.79,93000,12.358548
2015-11-17,12.66,12.67,12.57,12.62,123800,12.194283
2015-11-16,12.47,12.63,12.46,12.63,87500,12.203945
2015-11-13,12.58,12.58,12.44,12.49,103100,12.068668
2015-11-12,12.65,12.70,12.57,12.57,61900,12.145969
2015-11-11,12.76,12.82,12.72,12.73,71500,12.300572
2015-11-10,12.73,12.80,12.70,12.78,52400,12.348885
2015-11-09,12.84,12.84,12.69,12.74,60700,12.310234
2015-11-06,12.85,12.86,12.74,12.84,86100,12.406861
2015-11-05,12.92,12.92,12.82,12.85,56100,12.416524
2015-11-04,12.92,12.92,12.83,12.89,96600,12.455175
2015-11-03,12.78,12.89,12.76,12.89,118200,12.455175
2015-11-02,12.73,12.81,12.71,12.79,91200,12.358548
2015-10-30,12.77,12.79,12.67,12.68,97200,12.252259
2015-10-29,12.71,12.77,12.71,12.73,65700,12.300572
2015-10-28,12.65,12.76,12.64,12.76,89600,12.32956
2015-10-27,12.69,12.73,12.63,12.65,74600,12.22327
2015-10-26,12.74,12.75,12.68,12.70,63800,12.271584
2015-10-23,12.69,12.81,12.69,12.74,122500,12.310234
2015-10-22,12.54,12.65,12.53,12.61,82600,12.18462
2015-10-21,12.59,12.60,12.46,12.46,135800,12.03968
2015-10-20,12.62,12.65,12.58,12.64,118900,12.130509
2015-10-19,12.51,12.59,12.46,12.59,124100,12.082525
2015-10-16,12.45,12.52,12.41,12.52,107500,12.015347
2015-10-15,12.25,12.41,12.24,12.41,87000,11.90978
2015-10-14,12.27,12.35,12.20,12.20,114900,11.708244
2015-10-13,12.33,12.39,12.30,12.31,118100,11.813811
2015-10-12,12.35,12.40,12.30,12.39,81200,11.890586
2015-10-09,12.32,12.36,12.29,12.35,92800,11.852199
2015-10-08,12.22,12.33,12.18,12.26,134000,11.765826
2015-10-07,12.24,12.29,12.15,12.22,112100,11.727439
2015-10-06,12.20,12.25,12.16,12.19,91800,11.698647
2015-10-05,12.07,12.22,12.07,12.19,82500,11.698647
2015-10-02,11.76,12.00,11.69,11.97,86600,11.487516
2015-10-01,11.89,11.92,11.76,11.88,97500,11.401143
2015-09-30,11.85,11.89,11.74,11.89,130900,11.41074
2015-09-29,11.75,11.80,11.62,11.70,84900,11.228398
2015-09-28,12.00,12.01,11.71,11.78,103200,11.305174
2015-09-25,12.21,12.22,12.01,12.08,86000,11.593081
2015-09-24,12.05,12.12,11.94,12.12,97000,11.631469
2015-09-23,12.07,12.15,12.05,12.15,93800,11.66026
2015-09-22,12.01,12.11,11.96,12.09,182000,11.602679
2015-09-21,12.27,12.39,12.14,12.19,427900,11.698647
2015-09-18,12.32,12.42,12.28,12.34,84000,11.760068
2015-09-17,12.47,12.60,12.41,12.43,56600,11.845839
2015-09-16,12.35,12.47,12.33,12.47,76400,11.883959
2015-09-15,12.25,12.37,12.23,12.35,78100,11.769598
2015-09-14,12.35,12.37,12.19,12.20,117300,11.626647
2015-09-11,12.29,12.34,12.24,12.34,61100,11.760068
2015-09-10,12.23,12.36,12.22,12.31,58500,11.731478
2015-09-09,12.56,12.56,12.23,12.25,81600,11.674298
2015-09-08,12.30,12.43,12.30,12.42,103300,11.836308
2015-09-04,12.16,12.20,12.07,12.14,55600,11.569467
2015-09-03,12.33,12.43,12.28,12.32,119500,11.741008
2015-09-02,12.26,12.26,12.13,12.26,72900,11.683828
2015-09-01,12.14,12.31,12.05,12.11,109600,11.540877
2015-08-31,12.56,12.59,12.48,12.49,49400,11.903018
2015-08-28,12.52,12.67,12.52,12.60,125900,12.007849
2015-08-27,12.49,12.62,12.39,12.57,164800,11.979259
2015-08-26,12.13,12.32,11.95,12.32,159800,11.741008
2015-08-25,12.21,12.34,11.84,11.89,131400,11.331217
2015-08-24,11.66,12.20,8.90,11.87,586500,11.312156
2015-08-21,12.86,12.88,12.51,12.54,191700,11.950669
2015-08-20,13.06,13.06,12.95,12.96,154800,12.35093
2015-08-19,13.28,13.28,13.15,13.25,83500,12.545343
2015-08-18,13.30,13.31,13.23,13.29,57800,12.583216
2015-08-17,13.26,13.32,13.21,13.29,79500,12.583216
2015-08-14,13.20,13.28,13.20,13.28,59000,12.573747
2015-08-13,13.25,13.26,13.19,13.20,74700,12.498002
2015-08-12,13.11,13.26,13.03,13.24,147400,12.535875
2015-08-11,13.15,13.22,13.15,13.20,61700,12.498002
2015-08-10,13.21,13.35,13.21,13.27,114500,12.56428
2015-08-07,13.21,13.24,13.11,13.18,109700,12.479066
2015-08-06,13.36,13.38,13.20,13.24,81500,12.535875
2015-08-05,13.42,13.46,13.35,13.40,92000,12.687366
2015-08-04,13.47,13.47,13.34,13.39,69600,12.677898
2015-08-03,13.43,13.48,13.37,13.47,79300,12.753643
2015-07-31,13.51,13.51,13.41,13.48,122700,12.763111
2015-07-30,13.36,13.45,13.32,13.45,100500,12.734707
2015-07-29,13.33,13.41,13.31,13.41,69200,12.696834
2015-07-28,13.19,13.34,13.16,13.34,71700,12.630557
2015-07-27,13.18,13.21,13.12,13.17,79800,12.469598
2015-07-24,13.33,13.33,13.20,13.25,48200,12.545343
2015-07-23,13.39,13.43,13.28,13.31,99300,12.602153
2015-07-22,13.37,13.41,13.34,13.36,122200,12.649493
2015-07-21,13.53,13.56,13.40,13.47,127900,12.672217
2015-07-20,13.55,13.57,13.50,13.51,84300,12.709848
2015-07-17,13.56,13.57,13.52,13.55,80700,12.747479
2015-07-16,13.48,13.54,13.47,13.52,65200,12.719256
2015-07-15,13.42,13.49,13.40,13.44,135700,12.643993
2015-07-14,13.40,13.45,13.36,13.40,228900,12.606362
2015-07-13,13.32,13.40,13.30,13.40,157700,12.606362
2015-07-10,13.20,13.29,13.18,13.20,148600,12.418207
2015-07-09,13.17,13.19,13.06,13.07,115700,12.295907
2015-07-08,13.17,13.18,13.00,13.00,133800,12.230053
2015-07-07,13.22,13.25,13.06,13.23,148900,12.44643
2015-07-06,13.15,13.19,13.08,13.17,157900,12.389985
2015-07-02,13.20,13.27,13.13,13.20,239700,12.418207
2015-07-01,13.22,13.29,13.19,13.23,197400,12.44643
2015-06-30,13.32,13.32,13.10,13.13,215600,12.352354
2015-06-29,13.31,13.37,13.17,13.21,141100,12.427615
2015-06-26,13.53,13.53,13.42,13.43,87300,12.634586
2015-06-25,13.58,13.59,13.49,13.50,80700,12.70044
2015-06-24,13.55,13.59,13.52,13.53,64200,12.728663
2015-06-23,13.57,13.61,13.54,13.57,57400,12.766294
2015-06-22,13.55,13.60,13.53,13.55,76600,12.747479
2015-06-19,13.56,13.59,13.30,13.53,42600,12.728663
2015-06-18,13.57,13.70,13.55,13.69,69200,12.798279
2015-06-17,13.54,13.59,13.50,13.56,82100,12.676748
2015-06-16,13.46,13.57,13.40,13.56,89200,12.676748
2015-06-15,13.43,13.48,13.38,13.47,46600,12.59261
2015-06-12,13.58,13.58,13.48,13.51,59000,12.630005
2015-06-11,13.57,13.65,13.51,13.61,84100,12.72349
2015-06-10,13.39,13.54,13.35,13.51,90400,12.630005
2015-06-09,13.47,13.51,13.36,13.37,152400,12.499123
2015-06-08,13.54,13.54,13.44,13.49,81100,12.611307
2015-06-05,13.51,13.58,13.48,13.56,111600,12.676748
2015-06-04,13.65,13.65,13.51,13.54,139300,12.65805
2015-06-03,13.66,13.74,13.64,13.66,120800,12.770234
2015-06-02,13.67,13.71,13.61,13.66,115100,12.770234
2015-06-01,13.73,13.74,13.65,13.71,99100,12.816977
2015-05-29,13.80,13.82,13.68,13.70,86800,12.807628
2015-05-28,13.77,13.81,13.76,13.80,51200,12.901115
2015-05-27,13.72,13.84,13.72,13.83,70900,12.929161
2015-05-26,13.75,13.78,13.61,13.70,212400,12.807628
2015-05-22,13.74,13.80,13.72,13.75,83600,12.854372
2015-05-21,13.77,13.83,13.71,13.79,85200,12.891766
2015-05-20,13.75,13.83,13.66,13.75,82400,12.854372
2015-05-19,13.82,13.89,13.79,13.81,85200,12.830066
2015-05-18,13.85,13.86,13.78,13.85,110100,12.867228
2015-05-15,13.80,13.87,13.80,13.85,69800,12.867228
2015-05-14,13.77,13.83,13.74,13.80,151000,12.820775
2015-05-13,13.70,13.80,13.70,13.75,65300,12.774323
2015-05-12,13.68,13.72,13.57,13.70,70500,12.727871
2015-05-11,13.73,13.80,13.66,13.73,63800,12.755742
2015-05-08,13.72,13.83,13.72,13.76,106500,12.783614
2015-05-07,13.56,13.68,13.56,13.67,76600,12.70
2015-05-06,13.71,13.75,13.56,13.59,96200,12.625677
2015-05-05,13.79,13.81,13.68,13.71,59800,12.737162
2015-05-04,13.75,13.82,13.75,13.80,106000,12.820775
2015-05-01,13.71,13.72,13.68,13.72,71000,12.746452
2015-04-30,13.76,13.76,13.59,13.62,146600,12.653548
2015-04-29,13.79,13.82,13.74,13.77,62400,12.792904
2015-04-28,13.89,13.93,13.80,13.86,76000,12.876517
2015-04-27,13.97,13.98,13.86,13.88,92100,12.895099
2015-04-24,13.95,13.97,13.91,13.95,28700,12.960131
2015-04-23,13.87,13.97,13.85,13.93,66200,12.941551
2015-04-22,13.80,13.88,13.76,13.88,84500,12.895099
2015-04-21,13.82,13.82,13.75,13.79,74700,12.811485
2015-04-20,13.82,13.90,13.80,13.84,103600,12.778039
2015-04-17,13.80,13.83,13.74,13.80,115800,12.741109
2015-04-16,13.87,13.91,13.83,13.90,62200,12.833435
2015-04-15,13.85,13.92,13.83,13.91,56500,12.842668
2015-04-14,13.79,13.84,13.75,13.80,125800,12.741109
2015-04-13,13.83,13.87,13.78,13.81,65300,12.750342
2015-04-10,13.83,13.86,13.79,13.82,106900,12.759574
2015-04-09,13.78,13.82,13.74,13.80,114700,12.741109
2015-04-08,13.77,13.79,13.72,13.74,71000,12.685712
2015-04-07,13.72,13.81,13.68,13.77,71700,12.713411
2015-04-06,13.57,13.78,13.57,13.75,96900,12.694945
2015-04-02,13.58,13.68,13.58,13.66,132500,12.611851
2015-04-01,13.72,13.72,13.64,13.66,111800,12.611851
2015-03-31,13.80,13.80,13.72,13.73,104900,12.676479
2015-03-30,13.73,13.83,13.73,13.82,82700,12.759574
2015-03-27,13.75,13.76,13.70,13.70,58200,12.648781
2015-03-26,13.73,13.78,13.71,13.72,174800,12.667247
2015-03-25,13.87,13.91,13.78,13.78,77500,12.722643
2015-03-24,13.94,13.95,13.87,13.89,60800,12.824203
2015-03-23,13.93,14.01,13.93,13.93,60300,12.861134
2015-03-20,13.92,14.03,13.88,13.95,69400,12.879599
2015-03-19,13.96,13.99,13.93,13.96,48800,12.80943
2015-03-18,13.84,13.99,13.73,13.96,115900,12.80943
2015-03-17,13.87,13.92,13.72,13.86,105500,12.717672
2015-03-16,13.90,14.00,13.89,13.93,83400,12.781903
2015-03-13,13.91,13.93,13.82,13.90,64300,12.754375
2015-03-12,13.85,13.97,13.75,13.95,66500,12.800254
2015-03-11,13.86,13.89,13.83,13.84,47500,12.699321
2015-03-10,13.96,13.96,13.82,13.86,83900,12.717672
2015-03-09,13.98,14.05,13.93,14.03,75900,12.873661
2015-03-06,14.02,14.02,13.92,13.95,76600,12.800254
2015-03-05,14.02,14.10,14.02,14.06,68200,12.901189
2015-03-04,14.02,14.06,13.92,14.02,101700,12.864486
2015-03-03,13.98,14.04,13.95,14.04,87900,12.882837
2015-03-02,13.96,14.06,13.96,14.03,127200,12.873661
2015-02-27,14.02,14.03,13.96,13.99,95100,12.836957
2015-02-26,14.00,14.05,13.99,14.00,105600,12.846133
2015-02-25,14.03,14.10,14.00,14.02,105600,12.864486
2015-02-24,14.00,14.07,13.98,14.07,82500,12.910364
2015-02-23,13.96,13.99,13.95,13.96,86700,12.80943
2015-02-20,13.87,14.00,13.87,13.99,76400,12.836957
2015-02-19,13.83,13.97,13.83,13.88,83200,12.736024
2015-02-18,13.85,13.92,13.83,13.86,117300,12.717672
2015-02-17,14.00,14.00,13.78,13.95,247600,12.721342
2015-02-13,13.99,14.05,13.97,14.05,61700,12.812535
2015-02-12,14.00,14.07,13.96,13.96,128600,12.730462
2015-02-11,13.90,13.98,13.89,13.95,67800,12.721342
2015-02-10,13.84,13.95,13.78,13.92,72600,12.693985
2015-02-09,13.71,13.81,13.71,13.77,84800,12.557196
2015-02-06,13.75,13.81,13.72,13.74,76500,12.529838
2015-02-05,13.71,13.78,13.69,13.73,70700,12.520719
2015-02-04,13.60,13.73,13.60,13.65,138100,12.447765
2015-02-03,13.53,13.66,13.52,13.64,87200,12.438646
2015-02-02,13.34,13.46,13.22,13.46,80600,12.2745
2015-01-30,13.32,13.42,13.27,13.28,65300,12.110353
2015-01-29,13.37,13.41,13.17,13.40,111400,12.219784
2015-01-28,13.53,13.58,13.32,13.33,100600,12.155949
2015-01-27,13.55,13.56,13.41,13.49,99600,12.301857
2015-01-26,13.64,13.67,13.60,13.65,100900,12.447765
2015-01-23,13.67,13.71,13.61,13.63,99100,12.429527
2015-01-22,13.56,13.70,13.50,13.67,119600,12.466004
2015-01-21,13.43,13.49,13.38,13.48,66300,12.292738
2015-01-20,13.54,13.55,13.41,13.52,119200,12.25079
2015-01-16,13.32,13.46,13.32,13.46,121800,12.196423
2015-01-15,13.38,13.38,13.26,13.30,91400,12.051443
2015-01-14,13.25,13.36,13.16,13.33,190100,12.078626
2015-01-13,13.50,13.59,13.30,13.38,146500,12.123933
2015-01-12,13.55,13.60,13.38,13.43,154700,12.169239
2015-01-09,13.65,13.65,13.49,13.58,130100,12.305157
2015-01-08,13.48,13.66,13.48,13.62,97900,12.341402
2015-01-07,13.44,13.53,13.33,13.37,247700,12.114871
2015-01-06,13.40,13.57,13.28,13.33,96600,12.078626
2015-01-05,13.65,13.66,13.33,13.37,157400,12.114871
2015-01-02,13.84,13.84,13.70,13.75,43900,12.459198
2014-12-31,13.86,13.92,13.76,13.79,67100,12.495443
2014-12-30,13.86,13.86,13.78,13.80,55100,12.504505
2014-12-29,13.99,14.02,13.86,13.86,100500,12.558872
2014-12-26,13.98,14.04,13.94,13.97,61500,12.658546
2014-12-24,14.02,14.06,13.95,13.95,59300,12.640423
2014-12-23,13.95,14.06,13.95,13.99,99400,12.676668
2014-12-22,14.13,14.13,13.94,13.96,98300,12.649484
2014-12-19,14.04,14.15,13.96,14.14,228800,12.73466
2014-12-18,13.70,14.03,13.69,13.99,223900,12.599567
2014-12-17,13.22,13.56,13.13,13.53,92800,12.185286
2014-12-16,13.30,13.47,13.18,13.18,144200,11.870072
2014-12-15,13.57,13.61,13.33,13.34,109100,12.01417
2014-12-12,13.63,13.68,13.47,13.47,87900,12.131249
2014-12-11,13.67,13.82,13.67,13.72,60300,12.356403
2014-12-10,13.69,13.74,13.61,13.64,162800,12.284354
2014-12-09,13.78,13.81,13.71,13.77,122000,12.401433
2014-12-08,13.94,14.05,13.90,13.98,65400,12.590561
2014-12-05,14.04,14.06,13.99,13.99,79000,12.599567
2014-12-04,14.04,14.05,13.98,14.02,58000,12.626586
2014-12-03,14.02,14.08,14.01,14.05,79200,12.653605
2014-12-02,13.98,14.04,13.96,13.99,68400,12.599567
2014-12-01,14.08,14.08,13.95,13.98,73700,12.590561
