Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.65,13.77,13.62,13.64,264000,13.348131
2015-12-30,13.79,13.79,13.62,13.70,192200,13.406846
2015-12-29,13.65,13.76,13.65,13.76,154100,13.465563
2015-12-28,13.67,13.68,13.55,13.62,112400,13.328558
2015-12-24,13.65,13.74,13.62,13.68,91100,13.387275
2015-12-23,13.64,13.73,13.59,13.65,198900,13.357916
2015-12-22,13.35,13.54,13.32,13.52,172800,13.230699
2015-12-21,13.33,13.40,13.28,13.30,141500,13.015406
2015-12-18,13.50,13.50,13.41,13.41,143700,13.036935
2015-12-17,13.62,13.63,13.50,13.50,116600,13.124431
2015-12-16,13.40,13.60,13.37,13.59,166400,13.211927
2015-12-15,13.25,13.36,13.25,13.32,139000,12.949438
2015-12-14,13.22,13.28,13.08,13.19,146700,12.823055
2015-12-11,13.35,13.38,13.22,13.25,180300,12.881386
2015-12-10,13.42,13.52,13.42,13.46,108900,13.085544
2015-12-09,13.48,13.59,13.38,13.45,156600,13.075822
2015-12-08,13.46,13.55,13.41,13.53,163300,13.153596
2015-12-07,13.53,13.58,13.42,13.54,147200,13.163318
2015-12-04,13.40,13.62,13.40,13.60,143200,13.221649
2015-12-03,13.54,13.56,13.36,13.38,135300,13.007769
2015-12-02,13.61,13.66,13.52,13.55,118600,13.17304
2015-12-01,13.58,13.62,13.51,13.60,131700,13.221649
2015-11-30,13.59,13.60,13.52,13.54,99100,13.163318
2015-11-27,13.56,13.59,13.53,13.59,46700,13.211927
2015-11-25,13.57,13.60,13.54,13.57,68700,13.192483
2015-11-24,13.44,13.56,13.42,13.55,78700,13.17304
2015-11-23,13.50,13.57,13.48,13.51,129300,13.134153
2015-11-20,13.44,13.52,13.44,13.47,66400,13.095266
2015-11-19,13.38,13.45,13.38,13.41,74800,13.036935
2015-11-18,13.37,13.49,13.35,13.49,283600,13.029157
2015-11-17,13.35,13.36,13.25,13.32,120800,12.864964
2015-11-16,13.17,13.30,13.16,13.30,146700,12.845648
2015-11-13,13.28,13.30,13.16,13.20,116700,12.749064
2015-11-12,13.43,13.43,13.30,13.30,96800,12.845648
2015-11-11,13.57,13.57,13.48,13.48,71800,13.019498
2015-11-10,13.42,13.52,13.42,13.52,84900,13.058133
2015-11-09,13.56,13.56,13.42,13.48,192800,13.019498
2015-11-06,13.58,13.58,13.51,13.55,187100,13.087108
2015-11-05,13.63,13.64,13.54,13.58,191600,13.116083
2015-11-04,13.66,13.67,13.57,13.61,134500,13.145057
2015-11-03,13.46,13.63,13.45,13.63,127300,13.164375
2015-11-02,13.44,13.49,13.43,13.48,102800,13.019498
2015-10-30,13.52,13.55,13.40,13.40,108200,12.942231
2015-10-29,13.57,13.59,13.49,13.52,84900,13.058133
2015-10-28,13.49,13.59,13.47,13.58,98100,13.116083
2015-10-27,13.52,13.55,13.42,13.45,118200,12.990524
2015-10-26,13.46,13.56,13.45,13.52,64200,13.058133
2015-10-23,13.53,13.54,13.42,13.50,99300,13.038816
2015-10-22,13.32,13.41,13.30,13.37,108500,12.913257
2015-10-21,13.40,13.40,13.23,13.23,93100,12.778039
2015-10-20,13.39,13.46,13.36,13.42,107600,12.876555
2015-10-19,13.26,13.38,13.22,13.37,101600,12.82858
2015-10-16,13.18,13.28,13.17,13.27,104800,12.73263
2015-10-15,12.99,13.12,12.96,13.10,139400,12.569514
2015-10-14,13.05,13.12,12.94,12.94,169600,12.415992
2015-10-13,13.12,13.18,13.05,13.05,132000,12.521538
2015-10-12,13.10,13.25,13.09,13.16,123200,12.627084
2015-10-09,13.06,13.11,13.04,13.05,155000,12.521538
2015-10-08,12.94,13.07,12.93,13.01,214800,12.483158
2015-10-07,13.07,13.08,12.92,12.94,153900,12.415992
2015-10-06,13.00,13.07,12.96,12.96,201200,12.435183
2015-10-05,12.87,13.06,12.86,12.96,168600,12.435183
2015-10-02,12.50,12.78,12.44,12.74,244900,12.224091
2015-10-01,12.64,12.72,12.51,12.66,213400,12.147331
2015-09-30,12.78,12.79,12.54,12.64,182300,12.128142
2015-09-29,12.72,12.73,12.47,12.62,177600,12.108951
2015-09-28,13.11,13.11,12.66,12.72,160500,12.204902
2015-09-25,13.22,13.24,13.06,13.15,140300,12.617488
2015-09-24,13.03,13.14,12.94,13.14,119300,12.607894
2015-09-23,13.06,13.15,13.00,13.15,108300,12.617488
2015-09-22,12.98,13.06,12.95,13.06,158900,12.531134
2015-09-21,13.13,13.19,13.07,13.19,136800,12.655868
2015-09-18,13.05,13.23,13.05,13.23,108500,12.609813
2015-09-17,13.21,13.38,13.18,13.21,105300,12.590751
2015-09-16,13.13,13.27,13.12,13.27,60100,12.647938
2015-09-15,13.03,13.14,12.98,13.13,74600,12.514501
2015-09-14,13.15,13.18,13.00,13.01,102400,12.400126
2015-09-11,13.07,13.15,13.01,13.15,69900,12.533563
2015-09-10,13.04,13.16,13.01,13.07,95600,12.457313
2015-09-09,13.30,13.30,13.03,13.04,64700,12.42872
2015-09-08,13.11,13.20,13.08,13.20,116000,12.581219
2015-09-04,12.93,13.01,12.85,12.91,100500,12.304814
2015-09-03,13.06,13.18,13.05,13.12,80500,12.504969
2015-09-02,12.97,12.98,12.86,12.98,79800,12.371532
2015-09-01,12.95,13.00,12.78,12.84,176900,12.238095
2015-08-31,13.37,13.37,13.20,13.20,180300,12.581219
2015-08-28,13.22,13.41,13.21,13.41,133200,12.781375
2015-08-27,12.99,13.35,12.99,13.23,209900,12.609813
2015-08-26,12.67,12.85,12.54,12.83,194300,12.228564
2015-08-25,12.71,12.71,12.50,12.54,251600,11.952158
2015-08-24,12.50,12.80,11.13,12.32,488900,11.742471
2015-08-21,13.68,13.68,13.22,13.25,221900,12.628875
2015-08-20,13.88,13.91,13.74,13.74,105300,13.095905
2015-08-19,14.11,14.13,14.01,14.07,120700,13.32656
2015-08-18,14.11,14.17,14.10,14.15,80400,13.402333
2015-08-17,14.04,14.12,14.03,14.11,62400,13.364447
2015-08-14,14.05,14.10,14.03,14.10,49300,13.354976
2015-08-13,14.07,14.10,14.02,14.03,81500,13.288674
2015-08-12,13.99,14.13,13.93,14.12,134300,13.373919
2015-08-11,14.00,14.05,13.98,14.05,67700,13.307618
2015-08-10,14.11,14.11,14.05,14.09,96000,13.345504
2015-08-07,14.16,14.16,13.93,13.99,120300,13.250787
2015-08-06,14.43,14.44,14.12,14.16,131600,13.411805
2015-08-05,14.35,14.41,14.31,14.41,136400,13.648595
2015-08-04,14.29,14.31,14.22,14.30,91600,13.544408
2015-08-03,14.33,14.33,14.20,14.30,110800,13.544408
2015-07-31,14.24,14.34,14.21,14.34,83400,13.582294
2015-07-30,14.26,14.29,14.16,14.22,180000,13.468635
2015-07-29,14.16,14.29,14.16,14.29,105300,13.534936
2015-07-28,14.10,14.12,14.00,14.12,119300,13.373919
2015-07-27,14.08,14.10,13.97,14.10,97100,13.354976
2015-07-24,14.25,14.25,14.07,14.14,110800,13.392862
2015-07-23,14.35,14.35,14.22,14.23,58100,13.478106
2015-07-22,14.30,14.34,14.25,14.31,91200,13.55388
2015-07-21,14.41,14.45,14.34,14.40,106300,13.555773
2015-07-20,14.42,14.48,14.40,14.40,170200,13.555773
2015-07-17,14.41,14.44,14.36,14.44,94100,13.593428
2015-07-16,14.30,14.38,14.30,14.38,84700,13.536946
2015-07-15,14.23,14.30,14.23,14.25,83000,13.414568
2015-07-14,14.15,14.26,14.14,14.24,93900,13.405154
2015-07-13,14.08,14.15,14.04,14.15,176900,13.32043
2015-07-10,13.93,13.98,13.86,13.98,119400,13.160396
2015-07-09,13.89,13.89,13.73,13.73,108500,12.925053
2015-07-08,13.96,13.97,13.74,13.74,145400,12.934467
2015-07-07,13.98,14.05,13.83,14.05,182200,13.226293
2015-07-06,13.90,14.01,13.85,13.91,121300,13.094501
2015-07-02,14.06,14.06,13.94,13.96,76900,13.141569
2015-07-01,14.04,14.05,13.96,14.03,97800,13.207465
2015-06-30,13.91,13.91,13.77,13.89,129200,13.075674
2015-06-29,13.99,14.00,13.78,13.80,159900,12.99095
2015-06-26,14.16,14.16,14.04,14.05,67700,13.226293
2015-06-25,14.22,14.22,14.12,14.15,72100,13.32043
2015-06-24,14.23,14.23,14.16,14.18,68700,13.348672
2015-06-23,14.21,14.23,14.18,14.20,100400,13.367499
2015-06-22,14.19,14.21,14.16,14.18,79900,13.348672
2015-06-19,14.13,14.16,14.09,14.09,80200,13.263948
2015-06-18,14.11,14.23,14.11,14.21,78500,13.294072
2015-06-17,14.06,14.12,14.00,14.08,120400,13.172451
2015-06-16,14.02,14.08,13.99,14.08,96100,13.172451
2015-06-15,14.01,14.05,13.93,14.01,97400,13.106963
2015-06-12,14.22,14.22,14.09,14.11,137800,13.200517
2015-06-11,14.13,14.25,14.11,14.24,145300,13.322138
2015-06-10,13.94,14.09,13.94,14.07,161000,13.163096
2015-06-09,13.97,13.98,13.91,13.93,140100,13.03212
2015-06-08,14.08,14.09,13.97,14.01,135400,13.106963
2015-06-05,14.05,14.08,14.00,14.07,130500,13.163096
2015-06-04,14.17,14.19,14.04,14.09,219800,13.181807
2015-06-03,14.20,14.29,14.17,14.20,188500,13.284716
2015-06-02,14.19,14.25,14.17,14.20,137100,13.284716
2015-06-01,14.27,14.31,14.21,14.25,124800,13.331494
2015-05-29,14.39,14.39,14.25,14.28,129700,13.35956
2015-05-28,14.37,14.40,14.32,14.38,87400,13.453114
2015-05-27,14.30,14.38,14.27,14.38,142300,13.453114
2015-05-26,14.34,14.38,14.22,14.25,118200,13.331494
2015-05-22,14.33,14.36,14.30,14.35,68700,13.425048
2015-05-21,14.38,14.41,14.29,14.33,97600,13.406337
2015-05-20,14.32,14.40,14.28,14.35,90500,13.425048
2015-05-19,14.44,14.48,14.36,14.37,135100,13.361431
2015-05-18,14.39,14.44,14.35,14.42,111200,13.407922
2015-05-15,14.38,14.43,14.35,14.43,65200,13.41722
2015-05-14,14.39,14.42,14.35,14.39,99100,13.380028
2015-05-13,14.35,14.40,14.29,14.35,79800,13.342835
2015-05-12,14.24,14.37,14.06,14.33,148200,13.324239
2015-05-11,14.30,14.34,14.27,14.28,91200,13.277748
2015-05-08,14.20,14.30,14.20,14.30,75200,13.296344
2015-05-07,14.08,14.12,14.05,14.12,74900,13.128978
2015-05-06,14.12,14.15,14.02,14.08,85600,13.091785
2015-05-05,14.12,14.15,14.08,14.11,138000,13.119679
2015-05-04,14.15,14.23,14.15,14.19,86200,13.194064
2015-05-01,14.14,14.16,14.10,14.12,86000,13.128978
2015-04-30,14.25,14.25,14.05,14.08,145800,13.091785
2015-04-29,14.34,14.34,14.24,14.26,109800,13.259152
2015-04-28,14.37,14.38,14.27,14.38,101900,13.370729
2015-04-27,14.45,14.48,14.32,14.35,107900,13.342835
2015-04-24,14.47,14.47,14.39,14.39,94200,13.380028
2015-04-23,14.35,14.45,14.35,14.42,86000,13.407922
2015-04-22,14.26,14.37,14.23,14.34,90600,13.333537
2015-04-21,14.28,14.28,14.21,14.28,90900,13.277748
2015-04-20,14.28,14.35,14.28,14.31,91700,13.223819
2015-04-17,14.33,14.33,14.21,14.27,81900,13.186855
2015-04-16,14.33,14.38,14.33,14.37,73800,13.279264
2015-04-15,14.30,14.37,14.29,14.34,74100,13.251542
2015-04-14,14.26,14.31,14.25,14.29,50400,13.205337
2015-04-13,14.22,14.31,14.20,14.29,88500,13.205337
2015-04-10,14.26,14.31,14.24,14.24,149200,13.159132
2015-04-09,14.20,14.30,14.20,14.28,103800,13.196096
2015-04-08,14.25,14.29,14.18,14.21,103000,13.131409
2015-04-07,14.17,14.24,14.17,14.22,136600,13.14065
2015-04-06,14.00,14.20,14.00,14.13,104900,13.057481
2015-04-02,14.06,14.11,14.05,14.05,152300,12.983554
2015-04-01,14.22,14.22,14.07,14.12,96800,13.04824
2015-03-31,14.28,14.29,14.20,14.21,107000,13.131409
2015-03-30,14.23,14.29,14.23,14.28,95000,13.196096
2015-03-27,14.20,14.21,14.14,14.19,76400,13.112927
