Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,24.860001,25.860001,24.60,25.58,6900300,25.130824
2015-12-30,24.459999,24.98,24.32,24.90,5028900,24.462764
2015-12-29,25.299999,25.559999,24.610001,24.969999,5546600,24.531535
2015-12-28,25.25,25.33,24.610001,24.940001,7308500,24.502063
2015-12-24,25.77,26.17,25.65,25.950001,3305900,25.494328
2015-12-23,25.40,25.83,25.110001,25.629999,9598500,25.179945
2015-12-22,24.08,25.450001,24.02,24.719999,10029300,24.285925
2015-12-21,23.51,24.26,23.360001,24.219999,10611400,23.794705
2015-12-18,23.120001,23.77,22.950001,23.43,10022000,23.018578
2015-12-17,23.50,23.559999,22.559999,23.120001,7476100,22.714022
2015-12-16,22.41,23.93,22.209999,23.48,8843100,23.067699
2015-12-15,22.40,23.15,22.17,22.42,6353800,22.026313
2015-12-14,21.98,22.540001,21.459999,22.16,9119400,21.770878
2015-12-11,23.07,23.24,22.049999,22.389999,7282600,21.996839
2015-12-10,24.040001,24.26,23.280001,23.43,8587700,23.018578
2015-12-09,23.00,24.799999,22.969999,24.209999,14398400,23.78488
2015-12-08,20.91,23.49,20.76,22.65,12108400,22.252274
2015-12-07,21.950001,22.34,20.83,21.860001,21046300,21.476147
2015-12-04,23.32,23.82,22.24,22.93,12010600,22.527358
2015-12-03,24.620001,25.10,23.450001,23.530001,7627100,23.116822
2015-12-02,24.85,24.950001,24.23,24.52,14071900,24.089438
2015-12-01,25.40,25.58,24.639999,25.200001,6121200,24.757498
2015-11-30,25.59,25.77,25.379999,25.389999,4759200,24.94416
2015-11-27,25.700001,25.959999,25.48,25.639999,1232600,25.18977
2015-11-25,25.57,26.08,25.32,25.93,3959100,25.474679
2015-11-24,25.40,26.110001,25.40,25.719999,4071000,25.268365
2015-11-23,25.540001,25.82,25.18,25.42,4860900,24.973634
2015-11-20,26.110001,26.280001,25.27,25.540001,5550500,25.091528
2015-11-19,26.32,26.459999,25.75,26.219999,4780100,25.759585
2015-11-18,26.370001,26.870001,26.129999,26.52,4068000,26.054319
2015-11-17,26.700001,26.84,26.129999,26.370001,4589100,25.906953
2015-11-16,25.98,26.82,25.92,26.799999,4356600,26.329401
2015-11-13,25.41,26.07,24.32,25.83,8186800,25.376434
2015-11-12,26.16,26.200001,25.530001,25.549999,4659400,25.10135
2015-11-11,26.76,26.959999,26.049999,26.42,4435900,25.956074
2015-11-10,26.559999,26.98,26.52,26.75,2155800,26.280279
2015-11-09,26.780001,27.15,26.41,26.639999,3354000,26.17221
2015-11-06,27.08,27.379999,26.40,26.790001,3914800,26.319578
2015-11-05,27.15,27.809999,26.620001,27.07,6003700,26.59466
2015-11-04,28.280001,28.469999,27.059999,27.389999,6260000,26.909041
2015-11-03,27.68,28.65,27.65,28.32,4865400,27.82271
2015-11-02,27.35,28.190001,27.32,27.65,5025400,27.164475
2015-10-30,27.639999,28.08,27.15,27.629999,3677900,27.144826
2015-10-29,26.049999,27.83,26.01,27.610001,4096200,27.125179
2015-10-28,25.780001,26.85,25.60,26.67,4257200,26.201684
2015-10-27,26.040001,26.23,25.549999,25.99,4696900,25.155384
2015-10-26,26.709999,26.83,26.299999,26.370001,3641100,25.523182
2015-10-23,26.51,27.110001,26.27,26.91,5567000,26.04584
2015-10-22,27.02,27.110001,25.73,26.49,10454300,25.639328
2015-10-21,27.85,27.879999,27.059999,27.129999,3589200,26.258775
2015-10-20,28.190001,28.32,27.76,27.90,3862800,27.004048
2015-10-19,28.530001,28.59,27.92,28.379999,3134500,27.468633
2015-10-16,28.99,29.02,28.530001,28.889999,5078300,27.962256
2015-10-15,28.129999,28.93,27.790001,28.82,4358600,27.894504
2015-10-14,27.799999,27.940001,27.23,27.809999,2911100,26.916938
2015-10-13,28.049999,28.450001,27.68,27.799999,2943300,26.907259
2015-10-12,28.780001,28.84,27.92,28.280001,3049100,27.371846
2015-10-09,28.68,28.83,28.280001,28.780001,2999000,27.85579
2015-10-08,28.07,28.709999,27.530001,28.540001,3469600,27.623497
2015-10-07,28.35,28.639999,27.59,28.139999,5331100,27.236341
2015-10-06,28.719999,28.99,27.860001,27.879999,4891300,26.98469
2015-10-05,28.00,28.700001,27.790001,28.700001,5978900,27.778359
2015-10-02,26.18,27.870001,25.940001,27.690001,7107300,26.800793
2015-10-01,25.530001,26.49,25.09,26.32,9196300,25.474787
2015-09-30,22.540001,25.09,22.52,24.90,12456000,24.100387
2015-09-29,23.74,23.98,22.01,22.10,11202600,21.390304
2015-09-28,25.299999,25.33,23.129999,23.48,10310700,22.725987
2015-09-25,25.65,25.73,24.99,25.41,4294000,24.59401
2015-09-24,25.860001,25.860001,24.49,25.459999,5960300,24.642403
2015-09-23,26.450001,26.73,25.540001,25.559999,3564700,24.739192
2015-09-22,27.219999,27.559999,26.25,26.57,3329300,25.716758
2015-09-21,26.969999,27.459999,26.780001,27.379999,3103800,26.500746
2015-09-18,26.90,27.18,26.559999,26.82,7427400,25.95873
2015-09-17,26.73,27.91,26.50,27.32,3995300,26.442674
2015-09-16,26.139999,26.870001,26.08,26.780001,3329000,25.920016
2015-09-15,25.799999,26.27,25.67,26.059999,2852900,25.223136
2015-09-14,26.16,26.219999,25.75,25.93,2863700,25.097311
2015-09-11,26.83,26.950001,26.190001,26.25,3847800,25.407035
2015-09-10,27.02,27.35,26.84,27.030001,3809500,26.161987
2015-09-09,27.33,27.67,27.00,27.059999,2987700,26.191023
2015-09-08,27.43,27.59,27.18,27.41,2483800,26.529784
2015-09-04,27.059999,27.620001,27.01,27.25,2036500,26.374922
2015-09-03,27.969999,28.09,27.16,27.379999,2742900,26.500746
2015-09-02,27.799999,28.24,26.700001,27.700001,3926400,26.810472
2015-09-01,27.33,27.73,26.92,27.49,4017800,26.607215
2015-08-31,28.51,29.01,27.719999,28.110001,4566000,27.207305
2015-08-28,28.40,29.200001,28.08,28.620001,3795500,27.700928
2015-08-27,27.76,28.76,27.620001,28.459999,3620000,27.546064
2015-08-26,26.50,27.34,26.280001,27.26,5143600,26.384601
2015-08-25,27.23,27.34,26.200001,26.219999,3951600,25.377998
2015-08-24,25.299999,27.459999,24.620001,26.129999,7522100,25.290888
2015-08-21,28.00,28.120001,27.299999,27.33,4244400,26.452353
2015-08-20,28.50,28.98,28.08,28.139999,2873000,27.236341
2015-08-19,29.24,29.58,28.41,28.67,3492500,27.749322
2015-08-18,29.59,29.77,29.08,29.40,2784400,28.455879
2015-08-17,28.34,29.92,28.309999,29.610001,7631300,28.659136
2015-08-14,28.50,28.889999,28.18,28.43,2672800,27.517029
2015-08-13,28.559999,28.82,27.860001,28.370001,3535300,27.458956
2015-08-12,27.290001,28.66,27.15,28.50,3889700,27.584781
2015-08-11,27.219999,27.59,27.049999,27.40,2799200,26.520105
2015-08-10,26.629999,27.84,26.549999,27.65,6979200,26.762076
2015-08-07,26.08,26.75,25.959999,26.43,5016000,25.581255
2015-08-06,25.50,26.49,24.690001,25.92,8613600,25.087632
2015-08-05,27.610001,28.219999,25.709999,25.860001,7706900,25.02956
2015-08-04,27.26,27.76,27.01,27.50,3654900,26.616894
2015-08-03,28.049999,28.129999,27.23,27.309999,3941200,26.432995
2015-07-31,28.719999,28.860001,28.16,28.33,3897900,27.42024
2015-07-30,29.209999,29.23,28.360001,28.92,4383700,27.991293
2015-07-29,28.57,29.459999,28.469999,29.42,5033000,28.475237
2015-07-28,28.290001,29.24,28.07,29.049999,4678500,27.749322
2015-07-27,27.139999,28.24,26.91,28.18,4251900,26.918276
2015-07-24,27.43,27.60,27.08,27.389999,5964300,26.163646
2015-07-23,27.43,27.98,27.219999,27.41,6802000,26.182751
2015-07-22,27.969999,28.049999,27.030001,27.549999,5256000,26.316482
2015-07-21,28.440001,28.809999,27.83,28.10,5244800,26.841858
2015-07-20,29.08,29.15,27.90,28.450001,5718400,27.176187
2015-07-17,29.690001,29.719999,28.950001,29.15,4860200,27.844845
2015-07-16,30.40,30.57,29.41,29.719999,3500100,28.389323
2015-07-15,30.92,31.09,30.10,30.27,3779000,28.914699
2015-07-14,30.35,31.17,30.299999,30.98,3316000,29.592909
2015-07-13,30.860001,30.950001,30.129999,30.35,3065400,28.991117
2015-07-10,30.190001,30.620001,30.08,30.530001,1680400,29.163058
2015-07-09,30.309999,30.559999,29.98,30.02,2139800,28.675892
2015-07-08,30.32,30.60,29.940001,30.00,2621400,28.656787
2015-07-07,29.40,30.639999,29.18,30.559999,3727900,29.191713
2015-07-06,29.43,29.68,29.190001,29.42,2279300,28.102756
2015-07-02,28.889999,30.059999,28.889999,29.74,3890600,28.408428
2015-07-01,29.959999,29.99,28.83,29.09,4277100,27.787532
2015-06-30,30.17,30.25,29.530001,29.889999,4544400,28.551712
2015-06-29,29.85,30.27,29.75,30.00,4317700,28.656787
2015-06-26,30.24,30.370001,29.690001,30.18,3138600,28.828728
2015-06-25,30.790001,30.98,30.17,30.190001,3088700,28.838281
2015-06-24,30.969999,31.139999,30.65,30.83,3509800,29.449625
2015-06-23,30.93,31.01,30.65,30.959999,3905000,29.573804
2015-06-22,31.049999,31.290001,30.940001,31.059999,3600500,29.669327
2015-06-19,31.559999,31.629999,30.799999,30.84,4140200,29.459177
2015-06-18,31.74,31.99,31.65,31.77,2532400,30.347538
2015-06-17,32.029999,32.169998,31.60,31.74,1873300,30.318881
2015-06-16,32.07,32.209999,31.860001,31.99,2052400,30.557687
2015-06-15,31.24,32.25,31.17,32.009998,3984000,30.57679
2015-06-12,31.10,31.41,31.02,31.41,2273200,30.003656
2015-06-11,31.48,31.57,31.25,31.35,1802900,29.946343
2015-06-10,31.440001,31.549999,31.209999,31.42,2258000,30.013209
2015-06-09,31.27,31.440001,31.18,31.219999,1532300,29.822163
2015-06-08,31.540001,31.629999,31.120001,31.219999,2650500,29.822163
2015-06-05,31.15,31.719999,30.950001,31.549999,2865700,30.137387
2015-06-04,31.559999,31.60,31.10,31.25,2388800,29.85082
2015-06-03,32.110001,32.189999,31.60,31.639999,2050800,30.223358
2015-06-02,32.299999,32.360001,31.969999,32.16,1849500,30.720076
2015-06-01,32.580002,32.599998,31.99,32.139999,2844700,30.700971
2015-05-29,32.66,32.759998,32.419998,32.419998,1665300,30.968433
2015-05-28,33.029999,33.07,32.639999,32.700001,1469700,31.235899
2015-05-27,33.119999,33.380001,33.060001,33.130001,1377100,31.646646
2015-05-26,33.549999,33.759998,33.049999,33.130001,1702600,31.646646
2015-05-22,33.580002,33.889999,33.580002,33.720001,1416700,32.21023
2015-05-21,33.68,33.869999,33.57,33.73,1184500,32.219781
2015-05-20,33.889999,33.939999,33.599998,33.720001,1860300,32.21023
2015-05-19,34.040001,34.150002,33.700001,33.880001,1816900,32.363066
2015-05-18,33.75,34.150002,33.549999,34.040001,2051100,32.515902
2015-05-15,33.860001,34.060001,33.450001,33.720001,2974200,32.21023
2015-05-14,33.700001,34.240002,33.650002,34.080002,2993900,32.554112
2015-05-13,34.290001,34.560001,33.400002,33.57,4408000,32.066945
2015-05-12,33.060001,34.130001,33.009998,34.00,4790200,32.477692
2015-05-11,33.299999,33.419998,32.900002,33.060001,2734700,31.579781
2015-05-08,33.02,33.630001,32.91,33.369999,2216300,31.875899
2015-05-07,33.810001,33.810001,32.900002,32.970001,2515200,31.49381
2015-05-06,34.189999,34.25,33.360001,33.549999,2565900,32.04784
2015-05-05,34.040001,34.459999,33.849998,34.110001,2437800,32.582768
2015-05-04,34.220001,34.400002,33.919998,33.950001,1949300,32.429932
2015-05-01,34.09,34.73,34.009998,34.220001,3963700,32.687843
2015-04-30,33.549999,34.490002,33.50,34.25,3799100,32.716499
2015-04-29,33.099998,33.669998,32.82,33.560001,3941900,32.057394
2015-04-28,33.380001,33.560001,32.98,33.040001,5288900,31.560676
2015-04-27,33.93,34.00,33.459999,33.740002,2577800,31.871125
2015-04-24,33.490002,33.970001,33.369999,33.84,4370000,31.965584
2015-04-23,33.380001,33.689999,33.310001,33.540001,2400600,31.682202
2015-04-22,33.709999,33.790001,33.25,33.349998,2389900,31.502724
2015-04-21,33.849998,34.139999,33.529999,33.639999,1861700,31.776662
2015-04-20,33.91,34.279999,33.599998,33.84,2388400,31.965584
2015-04-17,34.240002,34.310001,33.759998,33.860001,2195800,31.984477
2015-04-16,34.00,34.380001,33.830002,34.299999,2734000,32.400104
2015-04-15,33.950001,34.150002,33.57,34.029999,2583600,32.145059
2015-04-14,33.490002,33.990002,33.48,33.720001,2039000,31.852232
2015-04-13,34.00,34.00,33.43,33.50,2036900,31.644417
2015-04-10,33.50,33.98,33.419998,33.759998,2366700,31.890014
2015-04-09,33.400002,33.52,33.259998,33.459999,2915300,31.606632
2015-04-08,33.389999,33.50,32.93,33.389999,3386400,31.540509
2015-04-07,32.41,33.439999,32.41,33.34,3174700,31.49328
2015-04-06,32.669998,32.830002,32.43,32.77,2477300,30.954853
2015-04-02,32.610001,33.02,32.43,32.66,2832800,30.850945
2015-04-01,32.959999,33.200001,32.630001,32.630001,2717500,30.822608
2015-03-31,32.91,33.450001,32.700001,32.93,2760900,31.10599
2015-03-30,32.400002,33.02,32.400002,32.91,2092600,31.087097
2015-03-27,32.610001,32.810001,32.310001,32.400002,4435600,30.605348
2015-03-26,32.68,32.900002,32.290001,32.59,4156700,30.784823
2015-03-25,32.299999,32.75,32.209999,32.50,2857300,30.699808
2015-03-24,32.990002,33.060001,32.220001,32.25,2740200,30.463655
2015-03-23,32.360001,33.09,32.25,32.98,3188700,31.15322
2015-03-20,32.060001,32.509998,32.00,32.169998,4718600,30.388085
2015-03-19,32.09,32.150002,31.620001,31.90,2557800,30.133042
2015-03-18,31.190001,32.490002,31.16,32.220001,3843100,30.435318
2015-03-17,31.040001,31.799999,31.040001,31.40,3010600,29.660737
2015-03-16,31.040001,31.360001,30.709999,31.309999,2791400,29.575722
2015-03-13,31.280001,31.35,30.780001,31.16,6838500,29.434031
2015-03-12,31.50,31.77,31.35,31.43,2251700,29.689076
2015-03-11,32.02,32.16,31.26,31.379999,2959000,29.641844
2015-03-10,31.50,32.279999,31.200001,32.209999,4743900,30.42587
2015-03-09,32.00,32.450001,31.809999,31.809999,4431200,30.048027
2015-03-06,32.50,32.740002,31.67,31.99,4394000,30.218057
2015-03-05,32.599998,33.099998,32.470001,32.689999,2864800,30.879282
2015-03-04,32.549999,32.990002,32.52,32.540001,2040900,30.737593
2015-03-03,32.779999,33.099998,32.650002,32.970001,3426100,31.143775
2015-03-02,33.369999,33.419998,32.759998,32.82,2283200,31.002082
2015-02-27,32.720001,33.400002,32.709999,33.34,3282700,31.49328
2015-02-26,33.639999,33.75,32.549999,32.709999,4419900,30.898175
2015-02-25,33.630001,34.07,33.630001,33.75,2547600,31.880569
2015-02-24,33.549999,33.93,33.52,33.650002,2621700,31.78611
2015-02-23,33.810001,34.00,33.470001,33.549999,3410200,31.691647
2015-02-20,33.77,34.380001,33.59,34.00,3318300,32.116722
2015-02-19,33.529999,34.189999,33.400002,33.790001,4522300,31.918355
2015-02-18,34.25,34.32,33.970001,34.040001,2286300,32.154507
2015-02-17,34.41,34.68,33.810001,34.389999,2397300,32.485119
2015-02-13,34.50,34.73,34.189999,34.439999,3295900,32.532349
2015-02-12,34.50,34.50,34.07,34.25,1760300,32.352874
2015-02-11,34.169998,34.490002,34.02,34.07,2134200,32.182844
2015-02-10,34.650002,34.759998,33.830002,34.580002,2380000,32.664597
2015-02-09,35.299999,35.389999,34.52,34.619999,2838900,32.702379
2015-02-06,36.00,36.00,34.740002,35.290001,2681300,33.335269
2015-02-05,35.09,35.709999,34.630001,35.68,3063400,33.703666
2015-02-04,34.959999,35.400002,34.240002,34.759998,2506100,32.834623
2015-02-03,35.00,35.66,34.849998,35.330002,2852700,33.373054
2015-02-02,34.709999,34.84,33.849998,34.790001,4622300,32.862964
2015-01-30,34.16,34.950001,33.59,34.439999,3249000,32.532349
2015-01-29,33.139999,34.52,32.959999,34.360001,3768000,32.456782
2015-01-28,34.639999,34.639999,33.240002,33.330002,2777300,31.483835
2015-01-27,34.66,35.110001,34.389999,34.860001,2750200,32.579581
2015-01-26,35.389999,35.529999,34.599998,34.919998,3151400,32.635654
2015-01-23,35.220001,35.919998,34.91,35.259998,3277400,32.953412
2015-01-22,35.939999,36.200001,35.029999,35.220001,3750600,32.916031
2015-01-21,34.310001,35.849998,34.130001,35.700001,3127900,33.364631
2015-01-20,34.360001,34.549999,33.650002,34.23,2922500,31.990792
2015-01-16,32.84,34.400002,32.810001,34.380001,3027600,32.130981
2015-01-15,32.450001,33.57,32.27,32.889999,3093900,30.73845
2015-01-14,31.50,32.459999,31.030001,32.450001,4654300,30.327235
2015-01-13,32.52,32.82,31.84,31.85,3962800,29.766484
2015-01-12,34.00,34.220001,32.52,32.689999,3355100,30.551533
2015-01-09,34.439999,34.669998,33.66,34.32,2225100,32.074905
2015-01-08,34.290001,34.669998,34.040001,34.439999,3320100,32.187054
