Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,27.93,28.02,27.65,27.73,672900,27.73
2015-12-30,27.82,28.08,27.76,27.940001,476100,27.940001
2015-12-29,27.75,28.09,27.629999,27.889999,699800,27.889999
2015-12-28,27.51,27.790001,27.43,27.700001,332200,27.700001
2015-12-24,27.559999,27.639999,27.290001,27.620001,161500,27.620001
2015-12-23,27.629999,27.639999,27.32,27.549999,541900,27.549999
2015-12-22,27.43,27.799999,27.42,27.549999,652500,27.549999
2015-12-21,27.26,27.58,27.24,27.379999,870400,27.379999
2015-12-18,27.40,27.469999,26.85,27.190001,1253100,27.190001
2015-12-17,27.27,27.73,27.24,27.450001,1002200,27.450001
2015-12-16,26.950001,27.35,26.790001,27.26,1289500,27.26
2015-12-15,26.76,27.01,26.74,26.84,732900,26.84
2015-12-14,26.690001,26.950001,26.34,26.639999,820000,26.639999
2015-12-11,26.629999,26.879999,26.540001,26.74,941400,26.74
2015-12-10,26.969999,27.08,26.620001,26.76,629200,26.76
2015-12-09,27.200001,27.200001,26.84,26.889999,462000,26.889999
2015-12-08,27.07,27.35,26.99,27.26,420100,27.26
2015-12-07,27.40,27.52,26.98,27.24,514500,27.24
2015-12-04,27.24,27.610001,27.219999,27.50,464400,27.50
2015-12-03,27.299999,27.299999,26.969999,27.200001,565300,27.200001
2015-12-02,27.76,27.76,27.26,27.32,735400,27.32
2015-12-01,27.67,27.85,27.540001,27.809999,737600,27.809999
2015-11-30,27.98,27.99,27.40,27.620001,740500,27.620001
2015-11-27,27.610001,28.08,27.610001,27.950001,187200,27.950001
2015-11-25,27.76,27.77,27.51,27.700001,257100,27.700001
2015-11-24,27.65,27.799999,27.48,27.73,394300,27.73
2015-11-23,27.950001,28.09,27.68,27.82,641500,27.82
2015-11-20,27.93,28.139999,27.84,27.98,434100,27.98
2015-11-19,27.83,27.99,27.57,27.780001,360000,27.780001
2015-11-18,27.40,27.860001,27.309999,27.809999,693800,27.809999
2015-11-17,27.32,27.610001,27.17,27.370001,570300,27.370001
