Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,81.760002,82.389999,81.550003,81.589996,1577200,72.324805
2015-12-30,81.970001,82.25,81.50,81.889999,1068400,72.59074
2015-12-29,81.720001,82.00,81.150002,81.970001,1000000,72.661657
2015-12-28,80.660004,81.290001,80.339996,81.190002,782000,71.970233
2015-12-24,80.790001,81.190002,80.139999,80.870003,505600,71.686572
2015-12-23,79.650002,80.900002,79.620003,80.760002,1065600,71.589063
2015-12-22,80.699997,81.260002,79.790001,80.029999,1858400,70.451757
2015-12-21,80.669998,80.93,79.68,80.080002,1594900,70.495775
2015-12-18,79.93,80.75,79.889999,79.900002,3463600,70.337318
2015-12-17,80.709999,80.889999,80.120003,80.580002,2873900,70.935934
2015-12-16,79.669998,81.089996,79.410004,80.830002,1704100,71.156013
2015-12-15,78.769997,79.940002,78.580002,79.32,1229800,69.826733
2015-12-14,77.290001,78.279999,77.00,78.190002,1639400,68.831977
2015-12-11,76.82,78.300003,76.660004,77.550003,2013500,68.268575
2015-12-10,77.550003,78.00,76.980003,77.209999,2031400,67.969263
2015-12-09,78.120003,78.68,77.190002,77.57,1316400,68.286178
2015-12-08,79.099998,79.68,78.529999,78.650002,1430000,69.236922
2015-12-07,79.739998,80.00,78.839996,79.110001,1204700,69.641867
2015-12-04,78.160004,79.949997,78.139999,79.660004,1646100,70.126044
2015-12-03,79.879997,79.959999,77.470001,77.629997,1978300,68.338995
2015-12-02,80.830002,81.489998,79.779999,79.93,1765100,70.363726
2015-12-01,80.300003,81.160004,80.00,81.129997,1460100,71.420104
2015-11-30,80.75,81.599998,79.43,79.82,3296900,70.266891
2015-11-27,79.68,81.050003,79.50,80.650002,599700,70.997556
2015-11-25,79.260002,80.260002,79.040001,79.860001,1151800,70.302104
2015-11-24,79.150002,79.559998,78.150002,79.120003,1448500,69.650672
2015-11-23,79.93,80.480003,79.300003,79.790001,1448700,70.240483
2015-11-20,79.57,79.980003,79.360001,79.639999,1633100,70.108434
2015-11-19,78.970001,79.82,78.760002,79.129997,1153700,69.65947
2015-11-18,78.870003,78.970001,77.540001,78.730003,1458100,69.307349
2015-11-17,78.580002,79.300003,78.129997,78.650002,949100,69.236922
2015-11-16,77.400002,78.290001,77.07,78.290001,1351700,68.920007
2015-11-13,78.059998,78.190002,77.269997,77.290001,1244200,68.03969
2015-11-12,78.099998,78.650002,77.639999,77.699997,1309000,68.400617
2015-11-11,77.650002,78.879997,77.559998,78.389999,1416500,69.008038
2015-11-10,76.349998,78.089996,76.349998,77.57,1754100,68.286178
2015-11-09,76.129997,76.669998,75.370003,76.199997,1716100,67.080142
2015-11-06,77.970001,78.279999,76.120003,76.900002,1432900,67.696367
2015-11-05,78.970001,79.209999,78.290001,79.160004,1180600,69.685885
2015-11-04,79.57,79.800003,78.769997,79.139999,1501900,69.668275
2015-11-03,79.660004,79.870003,78.620003,79.459999,2058300,69.949976
2015-11-02,77.160004,80.110001,77.089996,80.110001,2417300,70.522184
2015-10-30,77.970001,78.389999,77.029999,77.32,2660800,68.066099
2015-10-29,78.50,78.870003,77.68,78.139999,3008100,68.787958
2015-10-28,79.690002,80.059998,77.290001,78.910004,2066100,69.465806
2015-10-27,80.599998,81.25,79.360001,79.639999,2584400,70.108434
2015-10-26,81.330002,81.82,79.650002,80.940002,2054800,71.252848
2015-10-23,79.639999,80.00,78.720001,79.470001,1525300,69.958781
2015-10-22,79.860001,80.129997,79.040001,79.720001,1919000,70.178861
2015-10-21,79.910004,80.25,79.300003,79.449997,1218500,69.941171
2015-10-20,80.099998,80.970001,79.040001,79.50,1831000,69.98519
2015-10-19,78.690002,80.18,78.489998,80.129997,1479700,70.539787
2015-10-16,78.550003,79.209999,78.400002,78.739998,1728300,69.316147
2015-10-15,76.540001,78.260002,76.540001,78.230003,1613400,68.86719
2015-10-14,77.419998,77.50,76.199997,76.389999,1238700,67.247404
2015-10-13,77.839996,78.169998,76.809998,77.199997,1057600,67.960458
2015-10-12,77.699997,78.389999,77.459999,78.129997,873400,68.779153
2015-10-09,77.150002,77.580002,76.809998,77.489998,1071300,68.215751
2015-10-08,76.910004,77.459999,76.059998,77.349998,1228500,68.092507
2015-10-07,75.879997,76.75,75.510002,76.720001,1652400,67.53791
2015-10-06,76.379997,76.790001,75.510002,75.669998,1620500,66.613575
2015-10-05,76.269997,76.550003,75.419998,76.419998,1522300,67.273812
2015-10-02,75.059998,76.089996,74.620003,76.080002,1156100,66.974508
2015-10-01,75.519997,75.589996,74.379997,75.269997,1378300,66.261447
2015-09-30,74.010002,75.339996,73.769997,75.120003,2850100,66.129404
2015-09-29,71.459999,73.760002,71.349998,73.550003,2044800,64.747307
2015-09-28,72.540001,72.669998,70.879997,71.330002,1800800,62.793003
2015-09-25,72.489998,73.300003,71.879997,72.870003,1644900,64.148692
2015-09-24,72.589996,73.160004,71.720001,72.269997,1864900,63.620496
2015-09-23,72.540001,73.230003,72.110001,72.860001,1430500,64.139886
2015-09-22,72.650002,72.959999,72.209999,72.519997,1536000,63.840575
2015-09-21,72.220001,73.370003,72.099998,73.139999,1366000,64.386374
2015-09-18,71.480003,73.440002,71.410004,72.110001,2933300,63.479649
2015-09-17,71.900002,73.980003,71.379997,72.610001,1439200,63.919807
2015-09-16,71.830002,72.589996,71.559998,72.360001,1449800,63.212912
2015-09-15,70.949997,71.879997,70.190002,71.82,1258200,62.741173
2015-09-14,71.120003,71.120003,70.290001,70.580002,887300,61.657924
2015-09-11,69.510002,70.910004,69.099998,70.900002,2066600,61.937473
2015-09-10,68.989998,70.260002,68.989998,69.519997,1263300,60.731915
2015-09-09,71.209999,71.599998,69.209999,69.339996,1503100,60.574669
2015-09-08,69.949997,70.470001,69.309998,70.230003,1742900,61.35217
2015-09-04,69.800003,69.93,68.449997,69.160004,1346200,60.417429
2015-09-03,70.489998,70.919998,70.209999,70.440002,1380800,61.535622
2015-09-02,70.379997,70.709999,69.580002,70.160004,1197900,61.291019
2015-09-01,70.050003,70.699997,68.940002,69.480003,1872600,60.696978
2015-08-31,72.68,72.75,71.160004,71.25,3305000,62.243228
2015-08-28,73.120003,73.470001,72.389999,72.940002,1642900,63.719595
2015-08-27,71.889999,73.580002,71.43,73.120003,1961600,63.876842
2015-08-26,70.080002,71.480003,68.849998,71.290001,2766400,62.278172
2015-08-25,71.989998,72.400002,68.870003,68.949997,2883000,60.23397
2015-08-24,70.00,81.980003,61.900002,70.519997,2629200,61.605504
2015-08-21,75.769997,75.849998,74.389999,74.389999,2577700,64.986297
2015-08-20,76.199997,76.669998,75.610001,75.959999,1664100,66.357832
2015-08-19,77.25,77.470001,76.07,76.470001,2092700,66.803364
2015-08-18,77.510002,78.00,77.25,77.709999,1491700,67.886613
2015-08-17,77.129997,77.580002,76.639999,77.529999,1509600,67.729366
2015-08-14,76.68,77.160004,76.019997,77.139999,979700,67.388667
2015-08-13,76.550003,77.519997,76.019997,76.800003,1109500,67.09165
2015-08-12,76.879997,76.879997,75.699997,76.849998,2119200,67.135325
2015-08-11,75.220001,76.620003,75.019997,76.370003,1527400,66.716006
2015-08-10,75.400002,75.699997,74.919998,75.279999,1139000,65.763791
2015-08-07,74.709999,75.199997,73.989998,75.199997,911200,65.693902
2015-08-06,74.32,74.800003,73.370003,74.769997,1523000,65.318258
2015-08-05,74.75,75.110001,74.050003,74.50,1383200,65.082392
2015-08-04,75.309998,75.949997,74.449997,74.57,1312700,65.143543
2015-08-03,75.00,75.760002,74.889999,75.519997,924400,65.97345
2015-07-31,74.940002,75.989998,74.699997,74.809998,1642100,65.353203
2015-07-30,74.169998,75.059998,74.050003,74.290001,2296800,64.898939
2015-07-29,74.800003,75.010002,73.080002,74.449997,2176600,65.03871
2015-07-28,75.330002,77.010002,74.589996,74.889999,1231500,65.423092
2015-07-27,74.739998,75.470001,74.739998,75.050003,1499700,65.562869
2015-07-24,74.449997,74.75,74.190002,74.580002,2369900,65.152281
2015-07-23,75.25,75.43,74.230003,74.529999,1451100,65.108599
2015-07-22,74.93,75.709999,74.919998,75.349998,850900,65.824942
2015-07-21,75.220001,75.919998,74.709999,74.769997,1086000,65.318258
2015-07-20,74.510002,75.370003,74.410004,75.279999,1078000,65.763791
2015-07-17,75.00,75.360001,74.290001,74.730003,1162500,65.283321
2015-07-16,74.970001,75.510002,74.739998,75.07,1219700,65.580338
2015-07-15,74.779999,75.160004,74.330002,74.760002,1539400,65.309527
2015-07-14,74.550003,75.260002,74.290001,74.809998,1185000,65.353203
2015-07-13,74.959999,75.720001,73.989998,74.43,1702900,65.021241
2015-07-10,74.43,75.269997,74.330002,74.68,1458900,65.239639
2015-07-09,74.339996,74.860001,74.029999,74.190002,1714200,64.811582
2015-07-08,74.120003,74.419998,73.959999,74.080002,1815500,64.715486
2015-07-07,73.419998,74.43,73.120003,74.080002,2378400,64.715486
2015-07-06,72.230003,72.949997,72.230003,72.940002,1836700,63.719595
2015-07-02,72.169998,73.029999,71.849998,72.589996,2760000,63.413834
2015-07-01,70.50,71.650002,70.040001,71.639999,1936900,62.583927
2015-06-30,71.120003,71.120003,69.940002,70.169998,1812400,61.29975
2015-06-29,71.260002,71.800003,70.050003,70.120003,1969800,61.256074
2015-06-26,70.50,71.580002,70.18,71.199997,1803600,62.199545
2015-06-25,71.370003,71.660004,70.629997,70.650002,1441600,61.719075
2015-06-24,71.339996,71.739998,71.18,71.349998,1751900,62.330585
2015-06-23,72.889999,73.00,71.589996,71.809998,2151100,62.249341
2015-06-22,74.260002,74.400002,72.889999,72.959999,1878800,63.246233
2015-06-19,74.760002,75.019997,74.050003,74.07,2473600,64.20845
2015-06-18,73.519997,75.510002,73.519997,74.769997,2738300,64.815251
2015-06-17,72.800003,73.760002,72.019997,73.669998,1881400,63.861704
2015-06-16,71.610001,72.790001,71.25,72.650002,2016100,62.977508
2015-06-15,71.410004,71.639999,70.949997,71.519997,1660900,61.99795
2015-06-12,71.620003,71.959999,71.32,71.550003,1133000,62.023962
2015-06-11,71.339996,72.059998,71.32,71.589996,1716200,62.05863
2015-06-10,70.400002,71.330002,70.050003,70.889999,1895500,61.45183
2015-06-09,70.980003,71.290001,70.470001,70.739998,1432900,61.321799
2015-06-08,71.540001,71.690002,70.949997,71.139999,2785300,61.668545
2015-06-05,71.199997,72.419998,70.709999,71.489998,2034000,61.971945
2015-06-04,71.720001,72.25,71.480003,71.889999,1451800,62.318691
2015-06-03,73.790001,74.169998,71.620003,71.910004,2297400,62.336032
2015-06-02,74.690002,74.790001,73.459999,73.790001,1140000,63.96573
2015-06-01,74.639999,75.279999,73.93,75.019997,1311200,65.031966
2015-05-29,75.019997,75.169998,74.18,74.32,2989400,64.425166
2015-05-28,75.019997,75.370003,74.480003,74.889999,1158700,64.919277
2015-05-27,74.139999,75.269997,73.760002,75.080002,1615300,65.083983
2015-05-26,74.410004,74.529999,73.660004,73.949997,997900,64.104425
2015-05-22,74.32,75.110001,73.959999,74.620003,921500,64.685227
2015-05-21,74.919998,75.050003,74.239998,74.540001,976700,64.615876
2015-05-20,74.50,75.349998,74.360001,74.839996,1392900,64.875931
2015-05-19,74.57,75.269997,74.120003,74.620003,1066000,64.685227
2015-05-18,74.889999,75.269997,74.68,74.800003,1125400,64.841262
2015-05-15,75.190002,75.440002,75.019997,75.18,1973900,65.170667
2015-05-14,73.730003,74.980003,73.529999,74.940002,986100,64.962622
2015-05-13,74.080002,74.959999,73.209999,73.400002,1565800,63.627655
2015-05-12,72.910004,74.389999,72.68,73.809998,1444700,63.983064
2015-05-11,74.639999,75.050003,73.269997,73.370003,1476800,63.60165
2015-05-08,75.510002,75.790001,74.730003,74.839996,1512800,64.875931
2015-05-07,72.650002,74.50,72.650002,74.18,1491800,64.303806
2015-05-06,73.110001,73.239998,72.019997,72.459999,2342200,62.812802
2015-05-05,74.959999,74.959999,72.870003,73.029999,1525300,63.306913
2015-05-04,75.139999,75.949997,74.970001,75.199997,1267000,65.188002
2015-05-01,74.120003,75.470001,73.860001,74.769997,1602100,64.815251
2015-04-30,74.949997,75.519997,73.330002,73.860001,2344800,64.02641
2015-04-29,75.760002,76.550003,74.760002,75.419998,1894700,65.378712
2015-04-28,76.419998,76.800003,75.809998,76.529999,1754000,66.340929
2015-04-27,76.690002,77.279999,76.449997,76.690002,1397000,66.479631
2015-04-24,76.489998,77.220001,76.32,76.550003,835500,66.35827
2015-04-23,76.059998,76.709999,76.029999,76.489998,946300,66.306254
2015-04-22,76.00,76.82,75.860001,76.25,2104100,66.098209
2015-04-21,75.529999,76.230003,75.389999,75.769997,1668300,65.682113
2015-04-20,75.400002,75.709999,75.010002,75.269997,1112300,65.248682
2015-04-17,75.519997,75.82,74.959999,75.32,1303300,65.292028
2015-04-16,75.32,76.080002,74.830002,75.769997,1010000,65.682113
2015-04-15,76.07,76.18,75.169998,75.309998,1247900,65.283357
2015-04-14,76.080002,76.18,75.510002,76.099998,1394500,65.968179
2015-04-13,75.379997,75.959999,75.32,75.32,1185800,65.292028
2015-04-10,76.059998,76.650002,75.389999,75.620003,1331300,65.552089
2015-04-09,77.860001,77.879997,75.709999,75.870003,1453800,65.768804
2015-04-08,77.800003,78.43,77.720001,78.040001,2342000,67.649893
2015-04-07,78.970001,79.160004,77.699997,77.699997,1632400,67.355156
2015-04-06,78.610001,79.230003,78.400002,79.080002,1045800,68.55143
2015-04-02,77.68,78.650002,77.510002,78.309998,1461700,67.883942
2015-04-01,77.940002,78.190002,77.25,77.559998,1849600,67.233796
2015-03-31,78.860001,79.019997,77.849998,77.860001,3194300,67.493857
2015-03-30,78.779999,79.209999,78.300003,78.900002,4373000,68.395394
2015-03-27,78.449997,79.199997,78.010002,78.449997,1861400,68.005302
2015-03-26,79.010002,79.330002,78.279999,78.50,2742800,68.048648
