Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.30,15.38,15.26,15.30,166000,14.945098
2015-12-30,15.34,15.44,15.28,15.31,229400,14.954866
2015-12-29,15.25,15.34,15.23,15.33,236400,14.974402
2015-12-28,15.24,15.24,15.12,15.20,104400,14.847417
2015-12-24,15.20,15.25,15.16,15.25,68700,14.896258
2015-12-23,15.17,15.22,15.13,15.20,131100,14.847417
2015-12-22,15.09,15.09,14.98,15.07,149400,14.720433
2015-12-21,14.99,15.02,14.90,15.02,136200,14.671593
2015-12-18,15.02,15.03,14.91,14.98,193100,14.524095
2015-12-17,15.22,15.22,15.00,15.02,221800,14.562879
2015-12-16,15.03,15.27,14.95,15.19,221900,14.727704
2015-12-15,14.80,14.92,14.80,14.90,145000,14.44653
2015-12-14,14.82,14.83,14.55,14.74,211400,14.2914
2015-12-11,14.98,15.10,14.78,14.81,234000,14.35927
2015-12-10,14.92,15.10,14.92,15.08,181200,14.621052
2015-12-09,15.10,15.15,14.88,14.92,233000,14.465922
2015-12-08,15.09,15.12,15.01,15.12,166200,14.659835
2015-12-07,15.35,15.37,15.14,15.16,195700,14.698618
2015-12-04,15.29,15.39,15.25,15.39,98700,14.921618
2015-12-03,15.38,15.40,15.22,15.27,182400,14.80527
2015-12-02,15.38,15.41,15.30,15.36,141900,14.89253
2015-12-01,15.37,15.40,15.29,15.34,154500,14.87314
2015-11-30,15.38,15.38,15.28,15.36,152500,14.89253
2015-11-27,15.28,15.34,15.25,15.33,52100,14.863444
2015-11-25,15.17,15.28,15.17,15.28,98700,14.814965
2015-11-24,15.18,15.23,15.10,15.18,205600,14.718009
2015-11-23,15.28,15.31,15.20,15.23,101900,14.766487
2015-11-20,15.24,15.32,15.22,15.24,97000,14.776183
2015-11-19,15.18,15.25,15.12,15.25,139900,14.785879
2015-11-18,15.22,15.25,15.15,15.25,173600,14.678256
2015-11-17,15.07,15.19,15.02,15.18,200200,14.610881
2015-11-16,14.89,15.05,14.89,15.03,129100,14.466504
