Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.70,13.74,13.67,13.73,27400,13.464938
2015-12-30,13.56,13.67,13.55,13.67,29600,13.406097
2015-12-29,13.45,13.59,13.45,13.55,47300,13.288414
2015-12-28,13.47,13.50,13.42,13.47,27600,13.209958
2015-12-24,13.36,13.51,13.36,13.42,30000,13.160923
2015-12-23,13.46,13.47,13.32,13.35,56500,13.092275
2015-12-22,13.43,13.43,13.33,13.39,44500,13.131503
2015-12-21,13.38,13.43,13.34,13.40,54700,13.141309
2015-12-18,13.31,13.37,13.27,13.33,67700,13.07266
2015-12-17,13.22,13.30,13.21,13.28,82000,13.023626
2015-12-16,13.13,13.20,13.07,13.20,66700,12.94517
2015-12-15,13.05,13.15,13.05,13.10,76900,12.847101
2015-12-14,13.22,13.22,13.06,13.06,58100,12.807873
2015-12-11,13.28,13.30,13.19,13.22,69000,12.964784
2015-12-10,13.29,13.34,13.25,13.26,37200,13.004012
2015-12-09,13.59,13.59,13.29,13.29,67200,13.033433
2015-12-08,13.40,13.60,13.34,13.59,55200,13.258011
2015-12-07,13.41,13.43,13.28,13.37,43000,13.043385
2015-12-04,13.22,13.37,13.21,13.37,34700,13.043385
2015-12-03,13.39,13.39,13.19,13.19,69500,12.867782
2015-12-02,13.49,13.51,13.40,13.44,38900,13.111675
2015-12-01,13.44,13.50,13.37,13.45,38000,13.121431
2015-11-30,13.33,13.41,13.30,13.39,47900,13.062897
2015-11-27,13.32,13.34,13.29,13.33,7700,13.004363
2015-11-25,13.22,13.26,13.18,13.26,39500,12.936073
2015-11-24,13.18,13.20,13.12,13.20,22800,12.877538
2015-11-23,13.27,13.30,13.08,13.08,57500,12.76047
2015-11-20,13.22,13.27,13.19,13.27,66200,12.945829
2015-11-19,13.18,13.22,13.12,13.22,54800,12.89705
2015-11-18,13.15,13.18,13.11,13.14,43900,12.819005
2015-11-17,13.07,13.13,13.05,13.10,46400,12.779982
2015-11-16,13.07,13.10,13.02,13.03,41000,12.711691
2015-11-13,12.79,13.13,12.79,13.00,104500,12.682424
2015-11-12,12.84,12.87,12.72,12.73,67700,12.41902
2015-11-11,12.87,12.87,12.79,12.80,20500,12.48731
2015-11-10,12.83,12.88,12.80,12.83,76800,12.516577
2015-11-09,12.89,12.91,12.82,12.91,49600,12.525357
2015-11-06,12.95,12.95,12.86,12.93,47500,12.544762
2015-11-05,13.05,13.05,12.97,13.00,50500,12.612676
2015-11-04,13.00,13.07,12.99,13.03,77600,12.641782
2015-11-03,13.15,13.17,13.05,13.09,60100,12.699995
2015-11-02,13.00,13.12,12.98,13.11,48700,12.719398
2015-10-30,12.96,12.99,12.91,12.99,50800,12.602974
2015-10-29,12.93,12.96,12.88,12.96,44400,12.573868
2015-10-28,12.92,12.95,12.87,12.87,45600,12.486549
2015-10-27,12.92,12.95,12.90,12.95,48600,12.564165
2015-10-26,12.90,12.93,12.90,12.90,18000,12.515655
2015-10-23,12.96,12.96,12.92,12.94,27900,12.554463
2015-10-22,12.93,12.97,12.87,12.94,52100,12.554463
2015-10-21,12.90,12.95,12.89,12.93,46600,12.544762
2015-10-20,12.82,12.90,12.82,12.90,51600,12.515655
2015-10-19,12.86,12.91,12.81,12.81,41800,12.428337
2015-10-16,12.91,12.91,12.81,12.89,74700,12.505954
2015-10-15,12.88,12.88,12.83,12.88,22600,12.496251
2015-10-14,12.84,12.88,12.84,12.85,29200,12.467145
2015-10-13,12.86,12.87,12.80,12.82,38200,12.438039
2015-10-12,12.83,12.87,12.81,12.84,42100,12.457443
2015-10-09,12.80,12.88,12.80,12.84,28400,12.457443
2015-10-08,12.89,12.89,12.82,12.82,18800,12.438039
2015-10-07,12.89,12.91,12.88,12.90,41000,12.446771
2015-10-06,12.88,13.00,12.86,12.86,261000,12.408176
2015-10-05,12.81,12.97,12.81,12.84,103500,12.388879
2015-10-02,13.00,13.02,12.73,12.80,167100,12.350285
2015-10-01,12.97,13.12,12.97,13.07,67600,12.610798
2015-09-30,13.06,13.11,12.90,12.97,70700,12.514312
2015-09-29,12.89,13.05,12.89,13.00,140000,12.543258
2015-09-28,12.95,12.95,12.85,12.85,29400,12.398528
2015-09-25,12.91,12.93,12.88,12.90,30500,12.446771
2015-09-24,12.92,12.96,12.90,12.90,42300,12.446771
2015-09-23,12.92,12.96,12.90,12.94,29800,12.485365
2015-09-22,12.89,12.97,12.89,12.90,46300,12.446771
2015-09-21,12.96,12.98,12.87,12.90,74500,12.446771
2015-09-18,12.86,12.96,12.72,12.93,29500,12.475717
2015-09-17,12.70,12.91,12.65,12.86,39000,12.408176
2015-09-16,12.56,12.75,12.56,12.68,39800,12.234501
2015-09-15,12.67,12.74,12.53,12.53,43100,12.089771
2015-09-14,12.79,12.81,12.66,12.66,44000,12.215203
