Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,27.639999,27.85,27.32,27.77,5603900,27.500473
2015-12-30,27.74,27.950001,27.50,27.690001,4437100,27.421249
2015-12-29,27.91,28.00,27.709999,27.950001,4773500,27.678726
2015-12-28,27.65,27.82,27.360001,27.76,4582500,27.490569
2015-12-24,27.67,27.860001,27.65,27.75,1830300,27.480666
2015-12-23,27.530001,27.860001,27.43,27.790001,5226200,27.520279
2015-12-22,27.379999,27.620001,27.200001,27.52,6229700,27.252899
2015-12-21,27.07,27.51,26.84,27.43,9824800,27.163772
2015-12-18,26.50,27.040001,26.26,26.90,17123600,26.638916
2015-12-17,26.440001,26.790001,26.209999,26.60,8133300,26.341828
2015-12-16,25.68,26.59,25.629999,26.440001,11191900,26.183381
2015-12-15,25.50,26.049999,25.459999,25.65,10690700,25.401048
2015-12-14,25.99,26.01,25.09,25.459999,10904700,25.212891
2015-12-11,26.26,26.540001,25.879999,25.940001,7304000,25.688234
2015-12-10,26.610001,26.75,26.32,26.48,6954200,26.222992
2015-12-09,26.379999,27.059999,26.309999,26.57,5832900,26.312119
2015-12-08,26.60,26.700001,26.219999,26.540001,5723200,26.282411
2015-12-07,26.709999,26.90,26.280001,26.76,9614600,26.500275
2015-12-04,27.34,27.450001,26.65,26.709999,11246200,26.450759
2015-12-03,27.219999,27.48,27.040001,27.139999,5566600,26.876586
2015-12-02,27.75,27.83,27.26,27.34,6722600,27.074646
2015-12-01,27.48,27.879999,27.42,27.85,7261800,27.579696
2015-11-30,27.620001,27.73,27.280001,27.309999,8702800,27.044936
2015-11-27,27.75,27.84,27.559999,27.620001,2248800,27.351929
2015-11-25,27.75,27.82,27.48,27.700001,4534500,27.431152
2015-11-24,27.57,27.870001,27.40,27.780001,8228500,27.510376
2015-11-23,27.98,28.07,27.610001,27.67,6350600,27.401443
2015-11-20,28.280001,28.49,27.58,28.00,9698200,27.72824
2015-11-19,28.190001,28.59,28.110001,28.16,5961600,27.886687
2015-11-18,27.700001,28.18,27.49,28.120001,9515200,27.847076
2015-11-17,28.59,28.809999,27.60,27.690001,9481200,27.421249
2015-11-16,28.34,28.66,28.27,28.65,7055300,28.371931
2015-11-13,28.57,28.879999,28.26,28.34,14599100,28.06494
2015-11-12,28.709999,28.98,28.549999,28.559999,6872800,28.282804
2015-11-11,28.84,28.98,28.68,28.870001,6158300,28.589797
2015-11-10,28.549999,29.01,28.50,28.74,6872200,28.461057
2015-11-09,28.200001,29.209999,28.17,28.809999,13740900,28.223387
2015-11-06,28.35,28.50,27.73,28.09,9663100,27.518048
2015-11-05,29.129999,29.209999,28.68,28.74,6174500,28.154812
2015-11-04,28.52,29.10,28.459999,29.10,10957400,28.507483
2015-11-03,28.360001,28.58,28.10,28.51,6290900,27.929496
2015-11-02,27.969999,28.43,27.969999,28.370001,7919600,27.792347
2015-10-30,28.67,29.10,27.709999,27.92,13220500,27.351509
2015-10-29,28.459999,28.639999,27.91,28.59,7659300,28.007867
2015-10-28,28.639999,28.969999,28.200001,28.559999,9476400,27.978477
2015-10-27,29.040001,29.120001,28.40,28.549999,7118500,27.968681
2015-10-26,29.870001,30.00,28.98,29.17,9366200,28.576057
2015-10-23,30.860001,30.91,29.84,29.860001,7759300,29.252008
2015-10-22,30.58,31.049999,30.530001,31.01,5454100,30.378592
2015-10-21,30.629999,30.85,30.379999,30.459999,4600900,29.83979
2015-10-20,30.209999,30.709999,30.16,30.58,7233700,29.957348
2015-10-19,30.370001,30.459999,29.959999,30.18,7893800,29.565493
2015-10-16,31.09,31.139999,30.35,30.459999,9428100,29.83979
2015-10-15,30.51,31.15,29.790001,30.959999,12145600,30.329609
2015-10-14,30.65,30.700001,30.23,30.389999,9707800,29.771216
2015-10-13,31.01,31.18,30.530001,30.59,7265600,29.967144
2015-10-12,30.940001,31.370001,30.90,31.030001,6161300,30.398186
2015-10-09,30.870001,31.02,30.65,30.82,7877600,30.192461
2015-10-08,30.07,30.98,29.85,30.879999,8113100,30.251238
2015-10-07,30.309999,30.52,30.049999,30.129999,7145900,29.516509
2015-10-06,30.24,30.43,29.870001,30.209999,7908100,29.59488
2015-10-05,29.99,30.75,29.92,30.299999,9407000,29.683048
2015-10-02,29.49,29.82,29.120001,29.82,7145500,29.212822
2015-10-01,29.67,29.75,29.059999,29.200001,7442200,28.605447
2015-09-30,29.35,29.76,29.129999,29.700001,6715900,29.095266
2015-09-29,29.389999,29.559999,28.940001,29.15,7098200,28.556464
2015-09-28,29.299999,29.84,29.08,29.200001,9685500,28.605447
2015-09-25,29.379999,29.719999,29.059999,29.50,10390400,28.899338
2015-09-24,28.870001,29.24,28.450001,29.07,14645200,28.478093
2015-09-23,28.74,29.49,28.459999,29.02,14892400,28.429112
2015-09-22,30.48,30.58,28.41,28.459999,22482400,27.880513
2015-09-21,30.93,31.200001,30.50,30.52,7578600,29.89857
2015-09-18,31.00,31.549999,30.870001,30.91,9166300,30.280628
2015-09-17,31.049999,31.940001,30.92,31.57,6882300,30.92719
2015-09-16,30.530001,31.120001,30.450001,31.059999,7829800,30.427574
2015-09-15,30.309999,30.59,30.10,30.49,5180800,29.86918
2015-09-14,29.889999,30.43,29.889999,30.16,5358800,29.545899
2015-09-11,29.68,29.83,29.549999,29.700001,4009100,29.095266
2015-09-10,30.049999,30.110001,29.639999,29.75,6509200,29.144248
2015-09-09,30.34,30.51,29.73,29.790001,4512100,29.183434
2015-09-08,30.07,30.33,29.969999,30.290001,3842800,29.673253
2015-09-04,30.00,30.10,29.59,29.719999,5798400,29.114858
2015-09-03,30.10,30.35,29.940001,30.26,6765400,29.643864
2015-09-02,30.200001,30.34,29.83,29.959999,8101400,29.349971
2015-09-01,30.41,30.639999,29.75,29.959999,9394300,29.349971
2015-08-31,31.16,31.200001,30.309999,30.76,10317600,30.133683
2015-08-28,31.60,31.860001,30.93,31.40,7408700,30.760651
2015-08-27,31.66,31.790001,31.190001,31.719999,7495000,31.074135
2015-08-26,31.18,31.83,30.68,31.440001,18016000,30.799837
2015-08-25,33.169998,33.459999,30.370001,30.40,26465600,29.781012
2015-08-24,32.66,33.540001,32.150002,32.639999,20428100,31.975403
2015-08-21,33.759998,33.950001,32.919998,33.00,11659800,32.328073
2015-08-20,34.00,34.439999,33.75,33.799999,7130700,33.111783
2015-08-19,33.490002,34.279999,33.330002,34.18,10515600,33.484047
2015-08-18,33.23,33.619999,33.029999,33.599998,6873900,32.915855
2015-08-17,32.950001,33.68,32.919998,33.41,5618700,32.729725
