Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,23.360001,23.65,23.10,23.110001,137100,23.110001
2015-12-30,23.530001,23.610001,23.25,23.41,106700,23.41
2015-12-29,23.40,23.66,23.25,23.540001,233600,23.540001
2015-12-28,23.49,23.540001,23.09,23.25,287200,23.25
2015-12-24,23.49,23.719999,23.389999,23.50,138500,23.50
2015-12-23,23.620001,23.77,23.459999,23.51,252700,23.51
2015-12-22,23.440001,23.540001,23.059999,23.50,201900,23.50
2015-12-21,23.57,23.84,23.26,23.440001,156200,23.440001
2015-12-18,23.90,24.00,23.27,23.42,259400,23.42
2015-12-17,24.219999,24.43,23.91,24.00,114100,24.00
2015-12-16,24.08,24.25,23.74,24.120001,166200,24.120001
2015-12-15,23.709999,24.120001,23.629999,23.940001,179200,23.940001
2015-12-14,23.690001,23.809999,23.129999,23.49,166200,23.49
2015-12-11,24.129999,24.389999,23.530001,23.65,173000,23.65
2015-12-10,24.24,24.67,24.10,24.40,181800,24.40
2015-12-09,24.40,24.620001,24.01,24.18,140100,24.18
2015-12-08,24.40,24.719999,24.33,24.41,119400,24.41
2015-12-07,24.950001,24.950001,24.459999,24.57,239000,24.57
2015-12-04,24.50,25.049999,24.50,24.950001,186700,24.950001
2015-12-03,24.530001,24.969999,24.299999,24.459999,264800,24.459999
2015-12-02,24.809999,24.959999,24.469999,24.50,163800,24.50
2015-12-01,24.68,24.860001,24.58,24.780001,244300,24.780001
2015-11-30,24.75,24.83,24.51,24.559999,310400,24.559999
2015-11-27,24.690001,24.799999,24.620001,24.719999,98100,24.719999
2015-11-25,24.49,24.73,24.389999,24.66,263100,24.66
2015-11-24,24.07,24.51,24.00,24.469999,223200,24.469999
2015-11-23,24.00,24.290001,24.00,24.18,171100,24.18
2015-11-20,23.77,24.10,23.530001,23.93,178200,23.93
2015-11-19,24.00,24.02,23.610001,23.67,224500,23.67
2015-11-18,23.93,24.08,23.700001,24.00,245300,24.00
2015-11-17,23.540001,24.07,23.41,23.85,307500,23.85
2015-11-16,23.18,23.48,22.950001,23.469999,259700,23.469999
2015-11-13,23.32,23.549999,23.09,23.16,261200,23.16
2015-11-12,23.34,23.52,23.32,23.34,344700,23.34
2015-11-11,23.309999,23.709999,23.18,23.360001,284200,23.360001
2015-11-10,22.93,23.24,22.93,23.200001,222400,23.200001
2015-11-09,23.09,23.25,22.74,22.959999,263200,22.959999
2015-11-06,22.950001,23.40,22.870001,23.02,729700,23.02
2015-11-05,22.52,22.85,22.48,22.799999,149500,22.799999
2015-11-04,22.33,22.709999,22.299999,22.51,213400,22.51
2015-11-03,22.42,22.52,22.190001,22.290001,138400,22.290001
2015-11-02,22.27,22.530001,22.26,22.51,241800,22.51
2015-10-30,22.719999,22.780001,22.030001,22.24,262000,22.24
2015-10-29,23.030001,23.540001,22.82,23.08,321700,23.08
2015-10-28,23.07,23.219999,22.67,22.82,587500,22.82
2015-10-27,22.629999,23.00,22.309999,22.85,629900,22.85
2015-10-26,21.790001,21.889999,21.360001,21.629999,113500,21.629999
2015-10-23,21.50,21.92,21.440001,21.809999,118700,21.809999
2015-10-22,21.10,21.73,21.08,21.32,152900,21.32
2015-10-21,21.34,21.41,20.870001,20.969999,164100,20.969999
2015-10-20,21.17,21.40,20.959999,21.24,154900,21.24
2015-10-19,21.01,21.48,21.01,21.15,101500,21.15
2015-10-16,21.26,21.34,21.00,21.10,85100,21.10
2015-10-15,20.610001,21.26,20.51,21.25,106700,21.25
2015-10-14,21.440001,21.440001,20.57,20.60,177900,20.60
2015-10-13,21.59,21.73,21.33,21.41,154000,21.41
2015-10-12,21.85,22.00,21.540001,21.799999,78700,21.799999
2015-10-09,21.83,22.00,21.629999,21.809999,171400,21.809999
2015-10-08,21.620001,21.91,21.309999,21.77,153100,21.77
2015-10-07,21.299999,21.65,21.110001,21.59,265600,21.59
2015-10-06,21.27,21.440001,21.049999,21.17,89600,21.17
2015-10-05,20.90,21.49,20.82,21.25,207600,21.25
2015-10-02,20.67,20.889999,20.139999,20.889999,157500,20.889999
2015-10-01,20.60,20.99,20.379999,20.959999,182500,20.959999
