Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.48,14.51,14.42,14.51,12400,14.398463
2015-12-30,14.39,14.46,14.38,14.39,3100,14.279386
2015-12-29,14.46,14.47,14.45,14.45,3100,14.338924
2015-12-28,14.43,14.52,14.43,14.48,5200,14.368693
2015-12-24,14.41,14.46,14.41,14.46,1300,14.348847
2015-12-23,14.40,14.49,14.40,14.48,6400,14.368693
2015-12-22,14.53,14.53,14.41,14.44,4800,14.329001
2015-12-21,14.41,14.55,14.39,14.55,16000,14.438156
2015-12-18,14.37,14.43,14.33,14.43,14100,14.319078
2015-12-17,14.34,14.38,14.34,14.35,4800,14.239693
2015-12-16,14.32,14.37,14.28,14.37,22500,14.259539
2015-12-15,14.33,14.33,14.29,14.32,7000,14.209923
2015-12-14,14.43,14.43,14.36,14.39,3000,14.279386
2015-12-11,14.64,14.64,14.40,14.46,23100,14.348847
2015-12-10,14.43,14.80,14.39,14.63,19100,14.517541
2015-12-09,14.55,14.56,14.54,14.54,8000,14.266485
2015-12-08,14.55,14.59,14.55,14.56,1100,14.286109
2015-12-07,14.54,14.60,14.54,14.57,16400,14.29592
2015-12-04,14.65,14.68,14.61,14.61,4000,14.335168
2015-12-03,14.69,14.70,14.65,14.65,6200,14.374415
2015-12-02,14.70,14.74,14.70,14.72,4400,14.443099
2015-12-01,14.65,14.72,14.65,14.72,8300,14.443099
2015-11-30,14.65,14.67,14.65,14.66,7000,14.384227
2015-11-27,14.65,14.67,14.65,14.66,2100,14.384227
2015-11-25,14.68,14.76,14.68,14.68,7600,14.403852
2015-11-24,14.65,14.68,14.65,14.68,7100,14.403852
2015-11-23,14.62,14.67,14.62,14.66,11500,14.384227
2015-11-20,14.62,14.65,14.61,14.62,7300,14.34498
2015-11-19,14.64,14.64,14.60,14.61,4900,14.335168
2015-11-18,14.59,14.64,14.59,14.61,12400,14.335168
2015-11-17,14.55,14.61,14.55,14.59,10500,14.315544
2015-11-16,14.57,14.61,14.57,14.60,11000,14.325356
2015-11-13,14.56,14.60,14.56,14.58,8800,14.305732
2015-11-12,14.56,14.59,14.56,14.57,5800,14.29592
2015-11-11,14.60,14.60,14.56,14.56,4500,14.286109
2015-11-10,14.54,14.58,14.54,14.57,3100,14.29592
2015-11-09,14.57,14.62,14.57,14.59,8400,14.315544
2015-11-06,14.65,14.65,14.64,14.64,4900,14.364604
2015-11-05,14.65,14.68,14.65,14.68,6400,14.403852
2015-11-04,14.65,14.73,14.65,14.66,5900,14.384227
2015-11-03,14.70,14.70,14.64,14.67,9100,14.394039
2015-11-02,14.69,14.77,14.69,14.71,7200,14.433287
2015-10-30,14.67,14.72,14.66,14.67,5000,14.394039
2015-10-29,14.66,14.72,14.66,14.70,5000,14.423475
2015-10-28,14.65,14.70,14.65,14.70,11100,14.423475
2015-10-27,14.66,14.68,14.65,14.67,8400,14.394039
2015-10-26,14.64,14.67,14.62,14.66,9300,14.384227
2015-10-23,14.66,14.67,14.66,14.67,6500,14.394039
2015-10-22,14.62,14.67,14.58,14.67,6900,14.394039
2015-10-21,14.58,14.60,14.58,14.59,7900,14.315544
2015-10-20,14.58,14.61,14.58,14.60,2600,14.325356
2015-10-19,14.54,14.60,14.54,14.59,3900,14.315544
2015-10-16,14.58,14.60,14.57,14.60,7500,14.325356
2015-10-15,14.56,14.63,14.56,14.57,18500,14.29592
2015-10-14,14.51,14.76,14.51,14.61,94200,14.335168
2015-10-13,14.13,14.20,14.13,14.19,10000,13.923068
2015-10-12,14.08,14.16,14.08,14.12,17100,13.854385
2015-10-09,14.08,14.16,14.08,14.13,17800,13.864197
2015-10-08,14.07,14.12,14.07,14.09,4400,13.82495
2015-10-07,14.09,14.09,14.06,14.07,5700,13.805326
2015-10-06,14.10,14.10,14.05,14.06,4000,13.795515
2015-10-05,14.07,14.11,14.07,14.09,52700,13.82495
2015-10-02,14.09,14.13,14.09,14.11,15800,13.844573
2015-10-01,14.04,14.09,14.02,14.09,11200,13.82495
2015-09-30,14.20,14.20,14.10,14.10,19900,13.834762
2015-09-29,14.20,14.23,14.17,14.20,10700,13.93288
2015-09-28,14.24,14.26,14.18,14.24,21200,13.972128
2015-09-25,14.21,14.24,14.17,14.20,60500,13.93288
2015-09-24,14.10,14.19,14.10,14.19,16100,13.923068
2015-09-23,13.99,14.13,13.99,14.11,9300,13.844573
2015-09-22,13.99,14.07,13.99,14.05,8000,13.785702
2015-09-21,13.92,14.07,13.92,14.06,9200,13.795515
2015-09-18,13.93,14.04,13.89,13.97,15700,13.707207
2015-09-17,13.81,13.91,13.81,13.91,8300,13.648336
2015-09-16,13.99,14.09,13.99,14.04,7100,13.615957
2015-09-15,14.05,14.08,14.05,14.06,3300,13.635353
2015-09-14,14.06,14.14,14.06,14.08,7700,13.654749
2015-09-11,14.00,14.12,14.00,14.11,17000,13.683842
2015-09-10,14.00,14.10,13.95,14.05,15600,13.625655
2015-09-09,13.93,14.06,13.93,14.04,16400,13.615957
2015-09-08,13.98,14.03,13.90,14.02,17700,13.596561
2015-09-04,13.80,14.00,13.80,13.98,18700,13.557768
2015-09-03,13.75,13.85,13.75,13.85,11100,13.431696
2015-09-02,13.75,13.75,13.69,13.75,17500,13.334716
2015-09-01,13.71,13.75,13.63,13.75,12300,13.334716
2015-08-31,13.75,13.75,13.71,13.71,5200,13.295924
2015-08-28,13.73,13.75,13.68,13.71,5400,13.295924
2015-08-27,13.65,13.76,13.65,13.68,6000,13.26683
2015-08-26,13.75,13.76,13.60,13.68,7800,13.26683
2015-08-25,13.72,13.82,13.71,13.73,24800,13.315319
2015-08-24,13.98,14.03,13.50,13.71,25500,13.295924
2015-08-21,13.98,14.03,13.92,13.93,4100,13.509279
2015-08-20,14.00,14.00,13.96,13.98,15400,13.557768
2015-08-19,13.97,14.05,13.97,14.05,2500,13.625655
2015-08-18,14.02,14.09,13.95,13.96,7000,13.538373
2015-08-17,14.03,14.13,13.98,14.07,17900,13.64505
2015-08-14,14.02,14.04,13.96,13.98,7500,13.557768
2015-08-13,14.08,14.08,13.93,14.03,18400,13.606259
2015-08-12,14.08,14.15,14.02,14.09,69600,13.664447
2015-08-11,13.96,14.07,13.96,14.06,11700,13.635353
2015-08-10,13.96,14.00,13.91,13.96,6800,13.538373
2015-08-07,13.87,13.95,13.87,13.94,4000,13.518977
2015-08-06,13.99,14.00,13.89,13.90,7300,13.480185
2015-08-05,14.03,14.03,13.96,13.96,14700,13.538373
2015-08-04,14.00,14.08,14.00,14.03,2900,13.606259
2015-08-03,14.00,14.01,13.98,13.99,13000,13.567467
2015-07-31,13.95,14.02,13.92,14.00,7000,13.577165
2015-07-30,13.90,13.93,13.89,13.92,10700,13.499581
2015-07-29,13.92,13.92,13.84,13.91,14600,13.489883
2015-07-28,13.97,13.98,13.94,13.94,3300,13.518977
2015-07-27,14.02,14.03,13.95,13.95,9400,13.528675
2015-07-24,14.08,14.08,14.00,14.04,5300,13.615957
2015-07-23,14.01,14.10,13.96,14.07,5200,13.64505
2015-07-22,14.01,14.04,13.94,13.96,14600,13.538373
2015-07-21,14.00,14.01,13.97,14.01,37300,13.586863
2015-07-20,14.11,14.14,14.02,14.02,4300,13.596561
2015-07-17,14.12,14.14,14.06,14.11,10600,13.683842
2015-07-16,13.99,14.17,13.99,14.12,16600,13.69354
2015-07-15,13.98,14.05,13.96,14.05,13900,13.625655
2015-07-14,13.88,13.98,13.88,13.97,30000,13.548071
2015-07-13,13.88,13.93,13.88,13.90,4600,13.480185
2015-07-10,13.85,13.91,13.83,13.87,15300,13.451091
2015-07-09,13.90,13.92,13.86,13.87,4600,13.451091
2015-07-08,13.81,13.99,13.81,13.89,78200,13.470487
2015-07-07,13.82,13.92,13.82,13.86,17700,13.441393
2015-07-06,13.87,13.88,13.78,13.78,18600,13.363809
2015-07-02,13.79,13.89,13.79,13.82,11000,13.402601
2015-07-01,13.78,13.82,13.75,13.77,18400,13.354112
2015-06-30,13.85,13.91,13.79,13.79,39600,13.373507
2015-06-29,14.03,14.03,13.72,13.82,36400,13.402601
2015-06-26,14.11,14.11,14.02,14.02,7500,13.596561
2015-06-25,14.28,14.29,14.07,14.14,43200,13.712937
2015-06-24,14.22,14.26,14.18,14.25,38400,13.819614
2015-06-23,14.11,14.20,14.09,14.20,10500,13.771124
2015-06-22,14.19,14.19,14.10,14.11,14000,13.683842
2015-06-19,14.18,14.21,14.12,14.13,9900,13.703239
2015-06-18,14.16,14.25,14.16,14.19,10400,13.761426
2015-06-17,14.21,14.21,14.16,14.19,6100,13.761426
2015-06-16,14.18,14.23,14.17,14.22,8300,13.790521
2015-06-15,14.12,14.18,14.12,14.14,7400,13.712937
2015-06-12,14.01,14.16,14.01,14.12,16600,13.69354
2015-06-11,14.05,14.16,14.05,14.10,13000,13.674145
2015-06-10,14.25,14.25,14.10,14.22,12700,13.635353
2015-06-09,14.32,14.32,14.19,14.19,13500,13.606586
2015-06-08,14.27,14.41,14.24,14.29,17300,13.702474
2015-06-05,14.25,14.32,14.21,14.24,14300,13.65453
2015-06-04,14.38,14.38,14.30,14.31,12600,13.721653
2015-06-03,14.37,14.44,14.36,14.36,1800,13.769596
2015-06-02,14.42,14.45,14.37,14.38,9700,13.788774
2015-06-01,14.48,14.48,14.36,14.37,6400,13.779185
2015-05-29,14.38,14.47,14.38,14.47,12100,13.875074
2015-05-28,14.51,14.51,14.44,14.44,4800,13.846307
2015-05-27,14.48,14.51,14.44,14.51,6900,13.91343
2015-05-26,14.36,14.48,14.35,14.46,13500,13.865485
2015-05-22,14.53,14.54,14.35,14.39,35700,13.798363
2015-05-21,14.49,14.64,14.49,14.52,7200,13.923019
2015-05-20,14.44,14.50,14.43,14.49,7100,13.894251
2015-05-19,14.50,14.57,14.48,14.52,2000,13.923019
2015-05-18,14.53,14.59,14.45,14.52,31000,13.923019
2015-05-15,14.49,14.53,14.44,14.53,12000,13.932607
2015-05-14,14.46,14.46,14.40,14.46,6700,13.865485
2015-05-13,14.39,14.45,14.35,14.42,17300,13.82713
2015-05-12,14.42,14.46,14.42,14.42,8400,13.82713
2015-05-11,14.46,14.50,14.39,14.44,17900,13.846307
2015-05-08,14.43,14.46,14.41,14.46,14500,13.865485
2015-05-07,14.38,14.43,14.36,14.43,7500,13.836719
2015-05-06,14.35,14.40,14.33,14.33,12200,13.74083
2015-05-05,14.45,14.46,14.39,14.40,15200,13.807952
2015-05-04,14.40,14.47,14.40,14.42,13800,13.82713
2015-05-01,14.49,14.49,14.44,14.44,18400,13.846307
2015-04-30,14.46,14.51,14.46,14.49,6200,13.894251
2015-04-29,14.46,14.51,14.44,14.44,7800,13.846307
2015-04-28,14.46,14.51,14.45,14.51,13800,13.91343
2015-04-27,14.51,14.54,14.50,14.50,13500,13.90384
