Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,19.23,19.34,19.16,19.17,40100,18.77803
2015-12-30,19.040001,19.280001,19.040001,19.200001,33900,18.807417
2015-12-29,19.280001,19.280001,19.02,19.049999,39500,18.660482
2015-12-28,19.120001,19.34,19.120001,19.15,25100,18.758438
2015-12-24,19.23,19.26,19.01,19.209999,29300,18.817211
2015-12-23,19.15,19.34,19.030001,19.18,19600,18.787825
2015-12-22,19.08,19.23,19.00,19.139999,24700,18.748642
2015-12-21,19.10,19.18,19.02,19.10,29500,18.709461
2015-12-18,19.299999,19.360001,19.15,19.209999,45800,18.683992
2015-12-17,19.01,19.450001,18.959999,19.33,37500,18.800707
2015-12-16,18.450001,18.99,18.450001,18.959999,48000,18.440837
2015-12-15,18.450001,18.76,18.120001,18.50,88800,17.993434
2015-12-14,19.10,19.26,18.34,18.450001,91000,17.944804
2015-12-11,19.370001,19.549999,19.059999,19.23,35300,18.703445
2015-12-10,19.42,19.48,19.32,19.379999,42800,18.849337
2015-12-09,19.379999,19.469999,19.299999,19.42,28700,18.888242
2015-12-08,19.23,19.59,19.23,19.43,22300,18.897969
2015-12-07,19.48,19.549999,19.209999,19.440001,64400,18.907695
2015-12-04,19.49,19.58,19.48,19.51,24300,18.975778
2015-12-03,19.530001,19.60,19.42,19.540001,33900,19.004957
2015-12-02,19.469999,19.66,19.389999,19.57,50700,19.034135
2015-12-01,19.43,19.549999,19.389999,19.450001,30900,18.917422
2015-11-30,19.440001,19.57,19.389999,19.389999,36400,18.859063
2015-11-27,19.49,19.66,19.440001,19.440001,12600,18.907695
2015-11-25,19.42,19.67,19.42,19.549999,15200,19.014682
2015-11-24,19.469999,19.700001,19.42,19.43,26000,18.897969
2015-11-23,19.379999,19.559999,19.34,19.49,39500,18.956325
2015-11-20,19.440001,19.57,19.389999,19.450001,16900,18.917422
2015-11-19,19.51,19.639999,19.42,19.42,21000,18.888242
2015-11-18,19.879999,19.879999,19.32,19.51,62100,18.975778
2015-11-17,19.809999,19.93,19.68,19.93,26800,19.252002
2015-11-16,19.690001,19.83,19.690001,19.790001,29800,19.116765
2015-11-13,19.65,19.77,19.57,19.68,22700,19.010507
2015-11-12,19.65,19.75,19.58,19.67,15800,19.000846
2015-11-11,19.85,19.85,19.57,19.709999,26600,19.039485
2015-11-10,19.43,19.959999,19.34,19.85,60500,19.174723
2015-11-09,19.379999,19.65,19.15,19.440001,45500,18.778671
2015-11-06,19.60,19.60,19.309999,19.48,29600,18.81731
2015-11-05,19.690001,19.82,19.620001,19.719999,10800,19.049145
2015-11-04,19.58,19.77,19.379999,19.68,30300,19.010507
2015-11-03,19.360001,19.52,19.26,19.49,23800,18.82697
2015-11-02,19.09,19.389999,19.01,19.360001,58300,18.701393
2015-10-30,18.98,19.059999,18.870001,19.049999,27700,18.401937
2015-10-29,19.01,19.01,18.90,18.959999,28600,18.314999
2015-10-28,19.00,19.09,18.959999,18.99,42100,18.343979
2015-10-27,19.17,19.219999,19.02,19.10,23200,18.450238
2015-10-26,19.219999,19.290001,19.059999,19.129999,26900,18.479216
2015-10-23,19.26,19.34,19.16,19.209999,20800,18.556494
2015-10-22,19.379999,19.57,19.25,19.25,21200,18.595134
2015-10-21,19.360001,19.40,19.219999,19.299999,25600,18.643433
2015-10-20,19.40,19.43,19.309999,19.379999,23900,18.589338
2015-10-19,19.32,19.43,19.25,19.389999,38200,18.598931
2015-10-16,19.299999,19.34,19.23,19.33,29300,18.541379
2015-10-15,19.24,19.299999,19.10,19.290001,17900,18.503012
2015-10-14,19.23,19.469999,19.120001,19.27,23800,18.483827
2015-10-13,19.190001,19.34,19.129999,19.299999,31200,18.512602
2015-10-12,19.139999,19.27,19.110001,19.27,28200,18.483827
2015-10-09,19.10,19.17,18.99,19.15,15600,18.368722
2015-10-08,19.049999,19.15,19.040001,19.08,19600,18.301578
2015-10-07,18.85,19.08,18.83,19.030001,26900,18.253619
2015-10-06,18.780001,18.90,18.690001,18.879999,27200,18.109737
2015-10-05,18.559999,18.77,18.52,18.77,35600,18.004226
2015-10-02,18.41,18.540001,18.290001,18.51,39100,17.754833
2015-10-01,18.620001,18.620001,18.41,18.51,34300,17.754833
2015-09-30,18.440001,18.620001,18.370001,18.620001,34200,17.860346
2015-09-29,18.49,18.49,18.219999,18.290001,37500,17.54381
2015-09-28,18.540001,18.620001,18.360001,18.469999,31200,17.716465
2015-09-25,18.559999,18.68,18.450001,18.610001,28400,17.850754
2015-09-24,18.700001,18.709999,18.549999,18.559999,22900,17.802793
2015-09-23,18.809999,18.84,18.690001,18.75,14900,17.985042
2015-09-22,18.84,18.889999,18.719999,18.74,26000,17.97545
2015-09-21,19.129999,19.129999,18.780001,18.799999,23400,18.033001
2015-09-18,18.870001,19.139999,18.870001,19.139999,36600,18.228678
2015-09-17,18.83,19.08,18.73,19.07,30200,18.162011
2015-09-16,18.709999,18.93,18.620001,18.860001,35400,17.962011
2015-09-15,18.60,18.700001,18.530001,18.66,26400,17.771533
2015-09-14,18.65,18.719999,18.530001,18.530001,8300,17.647724
2015-09-11,18.610001,18.65,18.530001,18.58,12400,17.695342
2015-09-10,18.58,18.65,18.50,18.65,30100,17.762009
2015-09-09,18.58,18.639999,18.450001,18.60,28000,17.71439
2015-09-08,18.700001,18.700001,18.559999,18.60,22400,17.71439
2015-09-04,18.50,18.700001,18.469999,18.700001,9400,17.809629
2015-09-03,18.57,18.76,18.530001,18.75,27800,17.857248
2015-09-02,18.440001,18.68,18.360001,18.68,27100,17.790581
2015-09-01,18.35,18.530001,18.33,18.530001,26500,17.647724
2015-08-31,18.450001,18.620001,18.389999,18.620001,31400,17.733439
2015-08-28,18.379999,18.50,18.299999,18.49,42000,17.609627
2015-08-27,18.33,18.50,18.26,18.50,46500,17.619151
2015-08-26,18.24,18.33,18.23,18.26,38800,17.390579
