Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.51,8.70,8.50,8.60,86600,8.559719
2015-12-30,8.42,8.58,8.41,8.50,101200,8.460187
2015-12-29,8.35,8.55,8.31,8.46,78900,8.420375
2015-12-28,8.17,8.32,8.14,8.26,34900,8.221312
2015-12-24,8.08,8.15,8.05,8.13,11800,8.09192
2015-12-23,8.06,8.24,7.94,8.05,12400,8.012295
2015-12-22,8.17,8.17,7.96,8.08,14000,8.042154
2015-12-21,8.22,8.34,8.05,8.13,24600,8.09192
2015-12-18,8.18,8.30,8.05,8.27,372700,8.231265
2015-12-17,8.07,8.43,8.02,8.24,62500,8.201405
2015-12-16,8.13,8.22,8.00,8.18,51000,8.141686
2015-12-15,7.85,8.25,7.85,8.10,87500,8.062061
2015-12-14,7.74,8.02,7.60,7.89,73500,7.853044
2015-12-11,7.75,7.82,7.70,7.77,50300,7.733606
2015-12-10,7.97,8.09,7.75,7.78,78600,7.74356
2015-12-09,8.08,8.13,7.77,7.91,41800,7.872951
2015-12-08,8.14,8.25,8.01,8.06,88000,7.992389
2015-12-07,8.34,8.37,8.14,8.17,61100,8.101466
2015-12-04,8.33,8.48,8.27,8.40,15400,8.329536
2015-12-03,8.42,8.42,8.30,8.39,14300,8.319621
2015-12-02,8.24,8.40,8.24,8.36,20800,8.289872
2015-12-01,8.42,8.48,8.35,8.46,9900,8.389033
2015-11-30,8.25,8.41,8.25,8.41,38300,8.339452
2015-11-27,8.26,8.40,8.25,8.29,12000,8.220459
2015-11-25,8.33,8.39,8.25,8.33,8100,8.260124
2015-11-24,8.30,8.42,8.24,8.38,10300,8.309704
2015-11-23,8.30,8.39,8.22,8.30,61200,8.230375
2015-11-20,8.43,8.50,8.21,8.41,38900,8.339452
2015-11-19,8.32,8.48,8.32,8.35,43200,8.279956
2015-11-18,8.31,8.39,8.30,8.36,30500,8.289872
2015-11-17,8.29,8.34,8.23,8.33,22700,8.260124
2015-11-16,8.30,8.40,8.24,8.24,6600,8.170878
2015-11-13,8.30,8.45,8.20,8.38,17000,8.309704
2015-11-12,8.28,8.35,8.20,8.21,4500,8.14113
2015-11-11,8.35,8.39,8.25,8.27,3500,8.200627
2015-11-10,8.21,8.36,8.21,8.35,6700,8.279956
2015-11-09,8.30,8.30,8.24,8.25,16900,8.180795
2015-11-06,8.34,8.39,8.25,8.25,12000,8.180795
2015-11-05,8.30,8.45,8.30,8.39,7500,8.319621
2015-11-04,8.31,8.35,8.25,8.33,10900,8.260124
2015-11-03,8.35,8.35,8.23,8.28,15700,8.210543
2015-11-02,8.49,8.49,8.27,8.29,6100,8.220459
2015-10-30,8.25,8.30,8.21,8.25,17100,8.180795
2015-10-29,8.21,8.34,8.21,8.24,15700,8.170878
2015-10-28,8.19,8.36,8.19,8.21,10400,8.14113
2015-10-27,8.36,8.45,8.19,8.22,30000,8.151047
2015-10-26,8.51,8.52,8.24,8.35,34500,8.279956
2015-10-23,8.50,8.52,8.44,8.52,12800,8.44853
2015-10-22,8.54,8.54,8.50,8.50,16300,8.428698
2015-10-21,8.50,8.54,8.28,8.54,17200,8.468362
2015-10-20,8.50,8.54,8.42,8.50,30100,8.428698
2015-10-19,8.46,8.46,8.46,8.46,000,8.389033
2015-10-16,8.47,8.50,8.44,8.46,7700,8.389033
2015-10-15,8.35,8.49,8.35,8.48,19700,8.408865
2015-10-14,8.38,8.42,8.13,8.32,15800,8.250207
2015-10-13,8.50,8.50,8.44,8.45,8300,8.379117
2015-10-12,8.55,8.66,8.42,8.55,15700,8.478278
2015-10-09,8.29,8.63,8.24,8.50,154900,8.428698
2015-10-08,8.20,8.34,8.20,8.32,17200,8.250207
2015-10-07,8.26,8.26,8.14,8.20,6400,8.131214
2015-10-06,8.27,8.30,8.17,8.23,7600,8.160962
2015-10-05,8.46,8.53,8.15,8.19,23400,8.121298
2015-10-02,8.33,8.65,8.08,8.56,80100,8.488195
2015-10-01,8.22,8.47,8.15,8.40,18500,8.329536
2015-09-30,8.28,8.41,8.13,8.22,14900,8.151047
2015-09-29,8.35,8.50,8.13,8.24,20200,8.170878
2015-09-28,8.22,8.50,8.20,8.29,9500,8.220459
2015-09-25,8.29,8.35,8.20,8.21,8100,8.14113
2015-09-24,8.24,8.36,8.21,8.22,4500,8.151047
2015-09-23,8.41,8.46,8.19,8.30,12700,8.230375
2015-09-22,8.25,8.63,8.18,8.40,86400,8.329536
2015-09-21,8.19,8.28,8.04,8.21,13300,8.14113
2015-09-18,8.22,8.35,7.86,7.86,74200,7.794066
2015-09-17,8.43,8.60,8.12,8.23,22500,8.160962
2015-09-16,8.64,8.64,8.40,8.40,13100,8.329536
2015-09-15,8.65,8.65,8.50,8.64,18200,8.567524
2015-09-14,8.65,8.75,8.58,8.58,11400,8.508026
2015-09-11,8.61,8.68,8.61,8.66,7300,8.587355
2015-09-10,8.65,8.68,8.56,8.63,29300,8.557607
2015-09-09,8.32,8.65,8.26,8.59,34100,8.517943
2015-09-08,8.29,8.40,8.27,8.32,31000,8.220459
2015-09-04,8.18,8.29,8.16,8.28,11700,8.180938
2015-09-03,8.20,8.29,8.16,8.25,41300,8.151297
2015-09-02,8.33,8.33,8.16,8.16,6600,8.062373
2015-09-01,8.38,8.38,8.09,8.11,35600,8.012971
2015-08-31,8.25,8.37,8.20,8.31,20900,8.210579
2015-08-28,8.04,8.40,8.04,8.27,19600,8.171058
2015-08-27,8.05,8.13,8.02,8.10,18200,8.003092
2015-08-26,8.05,8.05,7.90,8.03,4600,7.933929
2015-08-25,8.00,8.05,8.00,8.00,14800,7.904288
2015-08-24,8.00,8.07,7.98,7.98,32900,7.884527
2015-08-21,8.03,8.12,8.00,8.03,6500,7.933929
2015-08-20,8.07,8.16,8.00,8.08,8200,7.983331
2015-08-19,8.02,8.15,8.00,8.13,31600,8.032733
2015-08-18,8.09,8.16,8.00,8.13,17400,8.032733
2015-08-17,7.94,8.20,7.94,8.09,17400,7.993211
2015-08-14,8.03,8.21,8.03,8.12,13400,8.022852
2015-08-13,8.11,8.11,8.03,8.10,15500,8.003092
2015-08-12,8.10,8.10,8.00,8.00,14600,7.904288
2015-08-11,8.13,8.20,8.09,8.19,7300,8.092014
2015-08-10,8.15,8.28,8.15,8.22,11400,8.121656
2015-08-07,8.15,8.19,8.10,8.10,10800,8.003092
2015-08-06,8.22,8.22,8.12,8.13,5100,8.032733
2015-08-05,8.35,8.35,8.20,8.21,8800,8.111775
2015-08-04,8.20,8.22,8.16,8.16,5700,8.062373
2015-08-03,8.15,8.24,8.15,8.16,9100,8.062373
2015-07-31,8.15,8.26,8.15,8.19,17100,8.092014
2015-07-30,8.15,8.24,8.15,8.15,8700,8.052493
2015-07-29,8.15,8.36,8.15,8.18,5900,8.082135
2015-07-28,8.24,8.24,8.11,8.11,3800,8.012971
2015-07-27,8.05,8.26,8.05,8.15,4000,8.052493
2015-07-24,8.26,8.30,8.16,8.16,7000,8.062373
2015-07-23,8.30,8.38,8.25,8.25,20300,8.151297
2015-07-22,8.20,8.30,8.19,8.30,33000,8.200699
2015-07-21,8.00,8.18,8.00,8.16,14000,8.062373
2015-07-20,8.20,8.20,8.07,8.08,19300,7.983331
2015-07-17,8.08,8.19,8.02,8.19,3500,8.092014
2015-07-16,8.15,8.15,8.06,8.15,20400,8.052493
2015-07-15,8.12,8.15,8.09,8.10,10500,8.003092
2015-07-14,8.18,8.18,8.07,8.10,20700,8.003092
2015-07-13,8.01,8.21,8.01,8.05,8600,7.95369
