Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,12.33,13.18,12.17,12.98,271300,12.378453
2015-12-30,12.39,12.56,12.20,12.33,379000,11.758577
2015-12-29,12.83,12.87,12.18,12.50,660200,11.920699
2015-12-28,13.01,13.01,12.51,12.61,424900,12.025601
2015-12-24,13.16,13.46,13.03,13.24,291900,12.626404
2015-12-23,12.24,13.08,12.24,13.04,761400,12.435673
2015-12-22,11.50,12.33,11.44,12.04,474900,11.482017
2015-12-21,11.04,11.47,10.95,11.45,452600,10.91936
2015-12-18,11.03,11.30,10.90,11.06,484100,10.547435
2015-12-17,11.42,11.42,10.98,11.10,407100,10.585581
2015-12-16,10.88,11.49,10.84,11.27,516400,10.747702
2015-12-15,10.65,10.98,10.65,10.84,489100,10.33763
2015-12-14,10.93,11.03,10.48,10.52,562100,10.03246
2015-12-11,11.71,11.71,10.94,10.97,634900,10.461605
2015-12-10,11.79,12.28,11.72,11.94,379000,11.386651
2015-12-09,11.42,11.97,11.42,11.84,586400,11.291286
2015-12-08,10.90,11.62,10.75,11.22,711700,10.700019
2015-12-07,12.18,12.18,10.80,11.23,729400,10.709555
2015-12-04,12.98,13.02,12.42,12.44,640700,11.863479
2015-12-03,13.58,13.74,12.95,13.07,400500,12.464282
2015-12-02,13.66,13.70,13.39,13.58,486800,12.950647
2015-12-01,13.73,13.90,13.62,13.78,556400,13.141378
2015-11-30,13.94,14.16,13.71,13.76,355800,13.122305
2015-11-27,13.66,13.94,13.61,13.86,97300,13.21767
2015-11-25,13.75,13.87,13.54,13.76,229100,13.122305
2015-11-24,13.79,14.13,13.71,13.85,426200,13.208135
2015-11-23,13.93,14.22,13.52,13.60,390700,12.969721
2015-11-20,14.31,14.45,13.89,13.90,246600,13.255817
2015-11-19,14.35,14.49,14.12,14.33,363900,13.665889
2015-11-18,14.28,14.68,14.24,14.47,316800,13.799401
2015-11-17,14.83,14.93,14.11,14.22,428900,13.560987
2015-11-16,14.57,15.02,14.45,14.82,423200,14.13318
2015-11-13,14.46,14.86,14.20,14.61,270300,13.932912
2015-11-12,14.93,14.99,14.54,14.59,198900,13.91384
2015-11-11,15.56,15.64,15.10,15.12,170400,14.419277
2015-11-10,15.86,16.200001,15.50,15.59,319000,14.867496
2015-11-09,16.41,16.59,16.09,16.290001,158100,15.12403
2015-11-06,16.74,16.780001,16.379999,16.57,143600,15.383987
2015-11-05,16.940001,17.299999,16.559999,16.790001,172000,15.588242
2015-11-04,17.73,17.73,17.01,17.02,165000,15.801779
2015-11-03,17.280001,17.75,17.23,17.67,152400,16.405254
2015-11-02,16.99,17.440001,16.940001,17.120001,121000,15.894622
2015-10-30,16.940001,17.219999,16.74,17.049999,103800,15.829631
2015-10-29,16.52,17.00,16.52,16.879999,90200,15.671798
2015-10-28,16.139999,16.77,16.059999,16.610001,176100,15.421125
2015-10-27,16.209999,16.209999,15.85,15.97,160900,14.826933
2015-10-26,16.65,16.790001,16.26,16.33,187700,15.161166
2015-10-23,16.91,17.00,16.58,16.73,269300,15.532535
2015-10-22,17.42,17.50,16.84,16.940001,188100,15.727505
2015-10-21,17.82,18.030001,17.280001,17.299999,164300,16.061737
2015-10-20,17.58,17.799999,17.459999,17.780001,128800,16.507381
2015-10-19,17.780001,17.860001,17.450001,17.540001,83500,16.28456
2015-10-16,17.940001,17.99,17.700001,17.84,131800,16.563086
2015-10-15,17.620001,17.889999,17.440001,17.83,111800,16.553802
2015-10-14,17.450001,17.84,17.24,17.719999,177900,16.451675
2015-10-13,17.559999,17.93,17.450001,17.48,146100,16.228853
2015-10-12,18.27,18.280001,17.559999,17.77,139800,16.498097
2015-10-09,18.17,18.41,18.17,18.27,116500,16.962309
2015-10-08,17.799999,18.280001,17.709999,18.09,111400,16.795192
2015-10-07,17.90,18.120001,17.549999,17.799999,161600,16.525949
2015-10-06,17.00,17.700001,16.84,17.65,375700,16.386685
2015-10-05,16.469999,16.959999,16.469999,16.790001,253500,15.588242
2015-10-02,15.67,16.40,15.52,16.290001,288900,15.12403
2015-10-01,15.75,16.08,15.53,15.79,463200,14.659817
2015-09-30,15.27,15.94,15.00,15.64,439500,14.520554
2015-09-29,15.97,16.00,15.01,15.08,239900,14.000636
2015-09-28,16.57,16.700001,15.78,15.88,213800,14.743375
2015-09-25,17.09,17.09,16.60,16.709999,190900,15.513966
2015-09-24,17.129999,17.139999,16.58,16.959999,239300,15.746072
2015-09-23,17.959999,18.040001,17.25,17.34,128200,16.098874
2015-09-22,17.98,18.16,17.799999,17.83,130000,16.553802
2015-09-21,18.030001,18.17,17.969999,18.08,80300,16.785908
2015-09-18,17.65,18.129999,17.60,18.02,133200,16.730203
2015-09-17,18.190001,18.280001,17.809999,17.98,307500,16.693065
2015-09-16,17.91,18.110001,17.75,18.08,226500,16.785908
2015-09-15,17.629999,17.950001,17.629999,17.76,193500,16.488813
2015-09-14,18.25,18.25,17.66,17.700001,166000,16.433108
2015-09-11,18.879999,19.07,18.10,18.27,183500,16.962309
2015-09-10,19.50,19.58,19.040001,19.10,131400,17.732901
2015-09-09,20.200001,20.200001,19.450001,19.51,118500,18.113555
2015-09-08,20.110001,20.26,20.040001,20.190001,123500,18.744883
2015-09-04,19.959999,20.07,19.82,20.00,118100,18.568482
2015-09-03,19.76,20.15,19.76,20.120001,134200,18.679894
2015-09-02,19.790001,19.92,19.42,19.74,154800,18.327092
2015-09-01,19.139999,19.82,18.77,19.52,273400,18.122839
2015-08-31,19.43,19.75,19.09,19.48,108500,18.085701
2015-08-28,18.719999,19.469999,18.719999,19.459999,143500,18.067133
2015-08-27,18.440001,19.219999,18.379999,18.790001,101500,17.44509
2015-08-26,18.57,18.57,18.10,18.24,173600,16.934456
2015-08-25,19.08,19.110001,18.08,18.10,190600,16.804477
2015-08-24,18.00,19.309999,17.59,18.290001,232600,16.980878
2015-08-21,19.50,19.709999,18.83,19.059999,158400,17.695763
2015-08-20,20.00,20.120001,19.58,19.629999,117000,18.224965
2015-08-19,20.280001,20.549999,19.959999,20.049999,118200,18.614903
2015-08-18,20.15,20.700001,20.030001,20.35,385100,18.893431
2015-08-17,20.16,20.190001,19.98,20.139999,127000,18.698461
2015-08-14,20.02,20.440001,20.02,20.370001,74000,18.912
2015-08-13,20.27,20.290001,19.940001,19.99,107300,18.559198
2015-08-12,19.50,20.459999,19.43,20.35,168800,18.893431
2015-08-11,19.469999,19.940001,19.26,19.93,209800,18.1052
2015-08-10,19.110001,19.67,19.00,19.67,187300,17.869005
2015-08-07,19.17,19.27,18.860001,18.969999,158500,17.233097
2015-08-06,19.49,19.540001,18.780001,19.10,154000,17.351195
2015-08-05,20.60,20.870001,19.530001,19.530001,181000,17.741824
2015-08-04,20.50,21.030001,20.389999,20.530001,145600,18.650264
2015-08-03,21.299999,21.299999,20.52,20.75,91500,18.85012
2015-07-31,21.25,21.74,21.030001,21.379999,134300,19.422436
2015-07-30,21.120001,21.41,21.00,21.24,130400,19.295255
2015-07-29,20.940001,21.389999,20.780001,21.209999,132800,19.268001
2015-07-28,20.299999,21.00,20.200001,20.92,121700,19.004555
2015-07-27,20.120001,20.50,20.049999,20.41,90000,18.54125
2015-07-24,20.379999,20.83,20.18,20.360001,147100,18.495829
2015-07-23,20.25,20.459999,19.889999,20.129999,120000,18.286887
2015-07-22,20.83,20.85,19.799999,20.26,180200,18.404985
2015-07-21,20.85,21.379999,20.610001,21.059999,107400,19.131736
2015-07-20,21.690001,21.690001,20.780001,20.799999,103300,18.895541
2015-07-17,22.00,22.00,21.52,21.68,105800,19.694969
2015-07-16,22.360001,22.360001,22.02,22.040001,62800,20.022008
2015-07-15,22.65,22.860001,22.18,22.18,66600,20.149189
2015-07-14,22.66,23.00,22.59,22.76,73400,20.676084
2015-07-13,22.700001,22.780001,22.360001,22.629999,127200,20.557986
2015-07-10,22.290001,22.540001,22.18,22.530001,62300,20.467143
2015-07-09,22.52,22.83,21.92,22.08,186300,20.058344
2015-07-08,22.58,22.58,21.870001,22.18,66500,20.149189
2015-07-07,22.25,22.809999,21.780001,22.76,105800,20.676084
2015-07-06,22.34,22.43,22.09,22.200001,64300,20.167358
2015-07-02,22.24,22.540001,22.200001,22.42,108100,20.367214
2015-07-01,22.41,22.42,22.17,22.24,201000,20.203695
2015-06-30,22.200001,22.280001,21.77,22.25,120200,20.212779
2015-06-29,22.68,22.68,21.84,22.059999,137400,20.040175
2015-06-26,22.98,22.98,22.65,22.77,54100,20.685168
2015-06-25,23.370001,23.370001,22.68,23.059999,92800,20.948615
2015-06-24,23.530001,23.559999,23.290001,23.309999,60200,21.175725
2015-06-23,23.58,23.59,23.40,23.43,44900,21.284738
2015-06-22,23.65,23.68,23.43,23.549999,47200,21.39375
2015-06-19,23.780001,23.780001,23.50,23.58,49600,21.421004
2015-06-18,23.85,24.049999,23.75,23.870001,58600,21.684452
2015-06-17,23.85,24.02,23.73,23.889999,45500,21.70262
2015-06-16,23.66,23.84,23.559999,23.82,34400,21.639029
2015-06-15,23.52,23.77,23.469999,23.77,61600,21.593608
2015-06-12,23.57,23.719999,23.299999,23.58,59600,21.421004
2015-06-11,23.870001,23.889999,23.57,23.74,55800,21.566354
2015-06-10,24.26,24.309999,23.799999,23.809999,45900,21.629944
2015-06-09,23.98,24.15,23.92,24.059999,45000,21.857054
2015-06-08,23.969999,24.139999,23.879999,24.02,41800,21.820718
2015-06-05,23.950001,24.09,23.75,24.08,52600,21.875224
2015-06-04,24.42,24.42,24.00,24.00,82000,21.802548
2015-06-03,24.65,24.690001,24.389999,24.450001,36100,22.211347
2015-06-02,24.76,24.84,24.57,24.700001,59900,22.438457
2015-06-01,25.040001,25.040001,24.75,24.85,82000,22.574722
2015-05-29,24.85,25.01,24.700001,25.01,118700,22.720073
2015-05-28,24.780001,24.780001,24.49,24.74,60500,22.474793
2015-05-27,24.809999,24.889999,24.610001,24.76,58200,22.492963
2015-05-26,24.84,24.84,24.559999,24.780001,59100,22.511132
2015-05-22,24.690001,24.870001,24.690001,24.860001,33600,22.583807
2015-05-21,24.940001,24.940001,24.66,24.780001,56100,22.511132
2015-05-20,25.02,25.02,24.719999,24.76,57900,22.492963
2015-05-19,25.129999,25.129999,24.85,24.90,60000,22.620144
2015-05-18,25.200001,25.209999,25.049999,25.09,52900,22.792748
2015-05-15,25.15,25.17,24.950001,25.139999,56300,22.838169
2015-05-14,25.00,25.17,25.00,25.10,34200,22.801832
2015-05-13,24.700001,24.98,24.629999,24.92,43600,22.638313
2015-05-12,24.60,24.85,24.559999,24.83,59800,22.16865
2015-05-11,24.92,24.92,24.540001,24.73,78300,22.079367
2015-05-08,24.940001,25.030001,24.75,24.92,70800,21.867769
2015-05-07,25.280001,25.280001,24.719999,24.809999,55000,21.771242
2015-05-06,25.969999,26.00,25.059999,25.33,89000,22.227552
2015-05-05,25.879999,25.91,25.690001,25.860001,31600,22.692638
2015-05-04,25.90,25.90,25.68,25.719999,37800,22.569784
2015-05-01,25.76,25.92,25.76,25.799999,28500,22.639985
2015-04-30,25.700001,25.91,25.639999,25.82,50800,22.657536
2015-04-29,25.969999,26.059999,25.73,25.82,194800,22.657536
2015-04-28,25.879999,26.049999,25.870001,25.91,36400,22.736513
2015-04-27,26.17,26.26,25.860001,25.959999,62000,22.780388
2015-04-24,26.25,26.370001,25.940001,26.110001,49200,22.912017
2015-04-23,26.15,26.370001,26.07,26.190001,46700,22.982219
2015-04-22,26.219999,26.440001,26.040001,26.09,47500,22.894466
2015-04-21,26.40,26.450001,26.120001,26.27,36700,23.05242
2015-04-20,26.26,26.66,26.200001,26.200001,31100,22.990994
2015-04-17,26.32,26.48,26.059999,26.32,75100,23.096295
2015-04-16,26.620001,26.84,26.24,26.50,73900,23.254249
2015-04-15,26.02,26.74,25.90,26.43,73900,23.192823
2015-04-14,25.50,25.950001,25.35,25.860001,31300,22.692638
2015-04-13,25.379999,25.73,25.10,25.110001,78700,22.034498
2015-04-10,25.549999,25.719999,25.309999,25.43,73600,22.315304
2015-04-09,25.49,25.77,25.440001,25.559999,49200,22.429381
2015-04-08,25.719999,25.790001,25.33,25.530001,48800,22.403056
2015-04-07,25.959999,25.959999,25.50,25.68,48300,22.534684
2015-04-06,25.68,25.99,25.549999,25.620001,46000,22.482033
2015-04-02,25.76,26.040001,25.52,25.65,47400,22.508358
2015-04-01,25.940001,26.120001,25.629999,25.629999,68500,22.490807
2015-03-31,25.809999,26.40,25.700001,26.09,127300,22.894466
2015-03-30,25.40,25.99,25.16,25.950001,163600,22.771614
2015-03-27,24.799999,25.49,24.620001,25.120001,74500,22.043274
2015-03-26,24.77,24.870001,24.610001,24.629999,72300,21.613288
2015-03-25,24.629999,25.00,24.629999,24.719999,82700,21.692265
2015-03-24,24.809999,25.00,24.530001,24.629999,118400,21.613288
2015-03-23,24.299999,25.190001,24.209999,24.879999,134500,21.832668
2015-03-20,23.84,24.17,23.780001,24.15,180900,21.192079
2015-03-19,23.629999,23.68,23.459999,23.559999,54900,20.674343
2015-03-18,23.41,23.91,23.209999,23.73,102000,20.823521
2015-03-17,23.07,23.370001,22.92,23.27,58300,20.419864
2015-03-16,23.360001,23.360001,23.049999,23.15,94200,20.314561
2015-03-13,23.719999,23.719999,23.200001,23.24,87200,20.393537
2015-03-12,23.889999,23.92,23.66,23.719999,102700,20.814746
2015-03-11,24.389999,24.59,23.709999,23.780001,84900,20.867398
2015-03-10,24.540001,24.620001,24.290001,24.440001,84100,21.446561
